日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,16,晴,西南风,3级,23.0,14
2019-09-02,31,17,晴,西南风,3级,24.0,14
2019-09-03,30,15,晴,东南风,2级,22.5,15
2019-09-04,30,20,多云,东北风,2级,25.0,10
2019-09-05,25,19,雷阵雨,东南风,2级,22.0,6
2019-09-06,27,20,多云,东南风,2级,23.5,7
2019-09-07,23,20,大雨,东北风,2级,21.5,3
2019-09-08,29,16,晴,西南风,2级,22.5,13
2019-09-09,27,17,晴,东南风,1级,22.0,10
2019-09-10,25,12,多云,东北风,2级,18.5,13
2019-09-11,23,12,晴,东北风,3级,17.5,11
2019-09-12,24,17,多云,西南风,2级,20.5,7
2019-09-13,20,14,中雨,东南风,2级,17.0,6
2019-09-14,24,10,晴,东南风,1级,17.0,14
2019-09-15,27,12,晴,西南风,3级,19.5,15
2019-09-16,20,7,晴,西北风,2级,13.5,13
2019-09-17,23,7,多云,西南风,3级,15.0,16
2019-09-18,18,6,晴,东北风,1级,12.0,12
2019-09-19,23,12,晴,西南风,4级,17.5,11
2019-09-20,26,11,多云,西南风,5级,18.5,15
2019-09-21,23,9,晴,西北风,4级,16.0,14
2019-09-22,24,9,晴,西北风,5级,16.5,15
2019-09-23,25,10,晴,东南风,2级,17.5,15
2019-09-24,25,8,晴,西北风,7级,16.5,17
2019-09-25,27,14,晴,西南风,4级,20.5,13
2019-09-26,28,12,晴,西南风,6级,20.0,16
2019-09-27,27,14,晴,西南风,5级,20.5,13
2019-09-28,28,14,晴,西南风,6级,21.0,14
2019-09-29,26,14,多云,西风,3级,20.0,12
2019-09-30,30,17,晴,西南风,6级,23.5,13
2019-08-01,33,23,多云,西南风,2级,28.0,10
2019-08-02,30,22,雷阵雨,西南风,2级,26.0,8
2019-08-03,26,22,雷阵雨,西南风,4级,24.0,4
2019-08-04,30,20,多云,西南风,2级,25.0,10
2019-08-05,30,23,多云,西南风,2级,26.5,7
2019-08-06,30,23,雷阵雨,西南风,1级,26.5,7
2019-08-07,29,22,多云,西南风,2级,25.5,7
2019-08-08,27,22,雷阵雨,西南风,3级,24.5,5
2019-08-09,30,23,多云,东南风,2级,26.5,7
2019-08-10,29,23,雷阵雨,东南风,3级,26.0,6
2019-08-11,25,22,小到中雨,东北风,2级,23.5,3
2019-08-12,26,21,小到中雨,东北风,3级,23.5,5
2019-08-13,25,22,中到大雨,西北风,2级,23.5,3
2019-08-14,25,21,中雨,东南风,1级,23.0,4
2019-08-15,26,20,雷阵雨,西北风,2级,23.0,6
2019-08-16,26,19,雷阵雨,东北风,2级,22.5,7
2019-08-17,23,18,雷阵雨,西南风,3级,20.5,5
2019-08-18,26,17,多云,西南风,3级,21.5,9
2019-08-19,29,17,晴,东南风,2级,23.0,12
2019-08-20,29,22,多云,东南风,1级,25.5,7
2019-08-21,27,18,多云,西南风,3级,22.5,9
2019-08-22,27,17,晴,西南风,2级,22.0,10
2019-08-23,25,16,多云,西北风,2级,20.5,9
2019-08-24,26,15,晴,东南风,2级,20.5,11
2019-08-25,29,20,晴,西南风,2级,24.5,9
2019-08-26,29,19,多云,西南风,3级,24.0,10
2019-08-27,28,17,多云,东北风,1级,22.5,11
2019-08-28,25,15,小到中雨,西南风,3级,20.0,10
2019-08-29,21,16,雷阵雨,东北风,2级,18.5,5
2019-08-30,23,13,雷阵雨,西南风,2级,18.0,10
2019-08-31,28,14,晴,东南风,2级,21.0,14
2019-07-01,26,16,多云,东南风,2级,21.0,10
2019-07-02,29,17,多云,西南风,3级,23.0,12
2019-07-03,31,18,多云,西南风,3级,24.5,13
2019-07-04,33,22,晴,西南风,3级,27.5,11
2019-07-05,32,21,多云,东南风,2级,26.5,11
2019-07-06,32,20,多云,西南风,3级,26.0,12
2019-07-07,30,20,雷阵雨,西北风,2级,25.0,10
2019-07-08,28,18,多云,东北风,1级,23.0,10
2019-07-09,30,21,多云,东南风,1级,25.5,9
2019-07-10,30,20,多云,西南风,3级,25.0,10
2019-07-11,28,20,多云,西南风,3级,24.0,8
2019-07-12,29,20,雷阵雨,西南风,2级,24.5,9
2019-07-13,27,20,雷阵雨,东北风,1级,23.5,7
2019-07-14,27,20,雷阵雨,西北风,1级,23.5,7
2019-07-15,29,20,多云,东南风,1级,24.5,9
2019-07-16,30,21,多云,西南风,2级,25.5,9
2019-07-17,29,22,多云,西南风,3级,25.5,7
2019-07-18,30,21,雷阵雨,西南风,2级,25.5,9
2019-07-19,33,22,晴,西南风,3级,27.5,11
2019-07-20,33,24,多云,西南风,2级,28.5,9
2019-07-21,31,22,雷阵雨,东南风,2级,26.5,9
2019-07-22,36,26,多云,西南风,2级,31.0,10
2019-07-23,28,23,雷阵雨,东南风,2级,25.5,5
2019-07-24,34,25,多云,西南风,3级,29.5,9
2019-07-25,31,23,雷阵雨,西南风,2级,27.0,8
2019-07-26,34,24,晴,西南风,3级,29.0,10
2019-07-27,35,23,晴,西南风,3级,29.0,12
2019-07-28,34,25,多云,西南风,3级,29.5,9
2019-07-29,33,24,雷阵雨,西南风,4级,28.5,9
2019-07-30,32,24,多云,西南风,4级,28.0,8
2019-07-31,33,24,多云,西南风,3级,28.5,9
2019-06-01,30,16,晴,西南风,2级,23.0,14
2019-06-02,27,16,雷阵雨,东南风,2级,21.5,11
2019-06-03,22,15,雷阵雨,东北风,2级,18.5,7
2019-06-04,28,15,多云,东南风,2级,21.5,13
2019-06-05,29,17,多云,西南风,4级,23.0,12
2019-06-06,30,17,多云,东南风,2级,23.5,13
2019-06-07,30,17,晴,西南风,3级,23.5,13
2019-06-08,25,16,雷阵雨,西南风,4级,20.5,9
2019-06-09,22,14,雷阵雨,西北风,2级,18.0,8
2019-06-10,24,16,雷阵雨,东南风,2级,20.0,8
2019-06-11,26,16,多云,西南风,3级,21.0,10
2019-06-12,30,18,多云,东南风,4级,24.0,12
2019-06-13,25,17,雷阵雨,西南风,3级,21.0,8
2019-06-14,26,15,多云,西南风,3级,20.5,11
2019-06-15,22,13,多云,北风,3级,17.5,9
2019-06-16,24,13,多云,东北风,2级,18.5,11
2019-06-17,26,17,多云,东北风,2级,21.5,9
2019-06-18,24,16,雷阵雨,东北风,1级,20.0,8
2019-06-19,30,19,晴,西南风,3级,24.5,11
2019-06-20,30,16,雷阵雨,西南风,3级,23.0,14
2019-06-21,27,15,晴,东北风,3级,21.0,12
2019-06-22,28,15,晴,西北风,2级,21.5,13
2019-06-23,31,17,晴,东北风,2级,24.0,14
2019-06-24,33,19,晴,东南风,2级,26.0,14
2019-06-25,32,19,多云,西南风,3级,25.5,13
2019-06-26,30,18,多云,西南风,3级,24.0,12
2019-06-27,32,20,晴,西南风,3级,26.0,12
2019-06-28,27,19,雷阵雨,西南风,2级,23.0,8
2019-06-29,25,18,中到大雨,东南风,2级,21.5,7
2019-06-30,24,16,多云,东北风,2级,20.0,8
2019-05-01,19,7,晴,东北风,3级,13.0,12
2019-05-02,27,8,晴,东北风,2级,17.5,19
2019-05-03,31,13,晴,西南风,2级,22.0,18
2019-05-04,29,11,多云,西南风,5级,20.0,18
2019-05-05,15,4,阵雨,西北风,3级,9.5,11
2019-05-06,21,6,晴,西南风,2级,13.5,15
2019-05-07,25,12,晴,东南风,2级,18.5,13
2019-05-08,28,9,晴,西南风,4级,18.5,19
2019-05-09,29,14,晴,西南风,3级,21.5,15
2019-05-10,31,11,晴,西南风,4级,21.0,20
2019-05-11,29,9,晴,西南风,2级,19.0,20
2019-05-12,29,11,多云,西南风,3级,20.0,18
2019-05-13,21,10,多云,西南风,4级,15.5,11
2019-05-14,26,12,晴,西南风,4级,19.0,14
2019-05-15,27,14,多云,西南风,5级,20.5,13
2019-05-16,27,16,多云,西南风,3级,21.5,11
2019-05-17,28,15,多云,西南风,4级,21.5,13
2019-05-18,27,15,多云,西南风,4级,21.0,12
2019-05-19,21,9,中雨,东南风,2级,15.0,12
2019-05-20,20,11,多云,西南风,4级,15.5,9
2019-05-21,23,9,多云,西北风,4级,16.0,14
2019-05-22,27,14,晴,西北风,3级,20.5,13
2019-05-23,33,18,晴,西南风,3级,25.5,15
2019-05-24,35,20,晴,西南风,5级,27.5,15
2019-05-25,33,18,晴,西南风,3级,25.5,15
2019-05-26,25,11,小雨,东南风,4级,18.0,14
2019-05-27,21,10,阵雨,东北风,4级,15.5,11
2019-05-28,25,8,晴,西北风,4级,16.5,17
2019-05-29,27,16,晴,西北风,4级,21.5,11
2019-05-30,22,10,多云,西北风,1级,16.0,12
2019-05-31,25,12,晴,西北风,4级,18.5,13
2019-04-01,10,-3,晴,东北风,3级,3.5,13
2019-04-02,11,-2,晴,西北风,3级,4.5,13
2019-04-03,17,5,晴,西南风,5级,11.0,12
2019-04-04,20,2,多云,西南风,6级,11.0,18
2019-04-05,14,1,晴,西北风,3级,7.5,13
2019-04-06,14,0,晴,西南风,3级,7.0,14
2019-04-07,11,-2,多云,西南风,3级,4.5,13
2019-04-08,13,-1,晴,西南风,2级,6.0,14
2019-04-09,13,3,多云,东北风,4级,8.0,10
2019-04-10,16,0,晴,东北风,4级,8.0,16
2019-04-11,17,4,晴,西南风,2级,10.5,13
2019-04-12,19,7,晴,西南风,4级,13.0,12
2019-04-13,16,4,多云,西南风,2级,10.0,12
2019-04-14,14,4,晴,西北风,4级,9.0,10
2019-04-15,23,11,晴,西南风,4级,17.0,12
2019-04-16,23,8,晴,东南风,4级,15.5,15
2019-04-17,22,7,多云,西南风,5级,14.5,15
2019-04-18,13,1,晴,东北风,4级,7.0,12
2019-04-19,18,6,晴,西北风,2级,12.0,12
2019-04-20,13,2,阵雨,西南风,3级,7.5,11
2019-04-21,19,4,晴,东北风,2级,11.5,15
2019-04-22,26,14,多云,西南风,5级,20.0,12
2019-04-23,25,12,多云,西南风,5级,18.5,13
2019-04-24,14,6,多云,西北风,4级,10.0,8
2019-04-25,15,3,阵雨,东北风,2级,9.0,12
2019-04-26,18,2,晴,西北风,2级,10.0,16
2019-04-27,22,7,晴,西南风,3级,14.5,15
2019-04-28,19,8,多云,西南风,4级,13.5,11
2019-04-29,16,8,阵雨,西南风,3级,12.0,8
2019-04-30,20,7,阵雨,西南风,2级,13.5,13
2019-03-01,12,-5,霾,西南风,2级,3.5,17
2019-03-02,15,-4,霾,西南风,4级,5.5,19
2019-03-03,14,-3,霾,西南风,2级,5.5,17
2019-03-04,14,0,小雨,西北风,3级,7.0,14
2019-03-05,11,-5,阵雨,东北风,1级,3.0,16
2019-03-06,6,-8,晴,西北风,3级,-1.0,14
2019-03-07,9,-5,晴,西南风,2级,2.0,14
2019-03-08,13,1,晴,西南风,3级,7.0,12
2019-03-09,12,-3,多云,西南风,4级,4.5,15
2019-03-10,10,-5,多云,西北风,2级,2.5,15
2019-03-11,12,-5,晴,西南风,3级,3.5,17
2019-03-12,4,-7,多云,西北风,4级,-1.5,11
2019-03-13,7,-4,晴,西北风,3级,1.5,11
2019-03-14,9,-4,多云,西北风,3级,2.5,13
2019-03-14,8,-3,多云,西北风,4级,2.5,11
2019-03-15,8,-4,多云,西北风,2级,2.0,12
2019-03-16,10,-6,晴,西南风,3级,2.0,16
2019-03-17,13,3,晴,西南风,4级,8.0,10
2019-03-18,18,6,晴,西南风,4级,12.0,12
2019-03-19,21,8,晴,西南风,5级,14.5,13
2019-03-20,15,-1,阵雨,东南风,3级,7.0,16
2019-03-21,2,-8,小雪,西北风,3级,-3.0,10
2019-03-22,7,-5,多云,西北风,3级,1.0,12
2019-03-23,7,-2,晴,西北风,4级,2.5,9
2019-03-24,13,0,晴,西南风,6级,6.5,13
2019-03-25,16,-2,晴,西南风,4级,7.0,18
2019-03-26,11,0,晴,东北风,2级,5.5,11
2019-03-27,9,-4,晴,东北风,5级,2.5,13
2019-03-28,9,-5,晴,西北风,2级,2.0,14
2019-03-29,12,0,多云,东南风,3级,6.0,12
2019-03-30,6,-4,阵雨,西北风,2级,1.0,10
2019-03-31,8,-5,晴,西南风,3级,1.5,13
2019-02-01,4,-9,晴,西南风,4级,-2.5,13
2019-02-02,7,-7,雨夹雪,西南风,3级,0.0,14
2019-02-03,-2,-18,多云,东北风,2级,-10.0,16
2019-02-04,-1,-16,多云,西南风,3级,-8.5,15
2019-02-05,-4,-13,多云,东北风,3级,-8.5,9
2019-02-06,-7,-19,多云,东北风,2级,-13.0,12
2019-02-07,-11,-21,晴,西北风,2级,-16.0,10
2019-02-08,-9,-21,晴,西北风,2级,-15.0,12
2019-02-09,-7,-21,晴,西北风,2级,-14.0,14
2019-02-10,-5,-19,多云,西南风,3级,-12.0,14
2019-02-11,-3,-19,晴,西北风,2级,-11.0,16
2019-02-12,-6,-17,晴,西北风,3级,-11.5,11
2019-02-13,-5,-20,晴,北风,2级,-12.5,15
2019-02-14,-2,-17,多云,东南风,1级,-9.5,15
2019-02-15,-2,-15,小雪,西北风,3级,-8.5,13
2019-02-16,-2,-16,晴,西南风,3级,-9.0,14
2019-02-17,4,-11,晴,西南风,3级,-3.5,15
2019-02-18,6,-9,多云,西南风,2级,-1.5,15
2019-02-19,3,-8,阵雪,西南风,2级,-2.5,11
2019-02-20,5,-9,多云,西南风,3级,-2.0,14
2019-02-21,8,-8,晴,东南风,2级,0.0,16
2019-02-22,8,-8,晴,西南风,2级,0.0,16
2019-02-23,11,-5,霾,西南风,1级,3.0,16
2019-02-24,8,-8,晴,西北风,2级,0.0,16
2019-02-25,7,-7,晴,西北风,2级,0.0,14
2019-02-26,7,-6,晴,东北风,2级,0.5,13
2019-02-27,7,-7,霾,东南风,1级,0.0,14
2019-02-28,11,-5,霾,西南风,2级,3.0,16
2019-01-01,-7,-21,多云,西北风,2级,-14.0,14
2019-01-02,-6,-20,晴,西南风,2级,-13.0,14
2019-01-03,0,-15,多云,东南风,2级,-7.5,15
2019-01-04,-4,-16,晴,西南风,3级,-10.0,12
2019-01-05,-6,-19,晴,西北风,2级,-12.5,13
2019-01-06,-6,-18,晴,东南风,2级,-12.0,12
2019-01-07,-3,-15,晴,西南风,3级,-9.0,12
2019-01-08,-6,-16,晴,西北风,3级,-11.0,10
2019-01-09,1,-17,晴,西南风,3级,-8.0,18
2019-01-10,1,-15,晴,西南风,2级,-7.0,16
2019-01-11,4,-10,晴,东北风,1级,-3.0,14
2019-01-12,6,-9,中度霾,西南风,2级,-1.5,15
2019-01-13,0,-15,中度霾,西南风,2级,-7.5,15
2019-01-14,1,-15,霾,西北风,2级,-7.0,16
2019-01-15,-7,-15,晴,西北风,3级,-11.0,8
2019-01-16,-1,-16,晴,西南风,3级,-8.5,15
2019-01-17,-3,-17,晴,东北风,2级,-10.0,14
2019-01-18,2,-15,晴,西北风,1级,-6.5,17
2019-01-19,-2,-14,多云,西南风,2级,-8.0,12
2019-01-20,-1,-10,晴,西北风,2级,-5.5,9
2019-01-21,3,-10,晴,西北风,3级,-3.5,13
2019-01-22,5,-11,晴,西南风,3级,-3.0,16
2019-01-23,1,-15,晴,东北风,3级,-7.0,16
2019-01-24,1,-12,多云,东北风,2级,-5.5,13
2019-01-25,-3,-15,晴,西北风,3级,-9.0,12
2019-01-26,-1,-16,晴,东南风,2级,-8.5,15
2019-01-27,5,-10,晴,西南风,4级,-2.5,15
2019-01-28,0,-13,晴,西北风,4级,-6.5,13
2019-01-29,6,-12,晴,西南风,3级,-3.0,18
2019-01-30,-2,-16,晴,西北风,4级,-9.0,14
2019-01-31,-3,-15,晴,西南风,3级,-9.0,12
2018-12-02,8,2,阵雨,东南风,3级,5.0,6
2018-12-03,5,-8,多云,西北风,4级,-1.5,13
2018-12-04,-2,-13,晴,东北风,3级,-7.5,11
2018-12-05,-3,-13,多云,东南风,1级,-8.0,10
2018-12-06,-8,-18,阵雪,西北风,4级,-13.0,10
2018-12-07,-10,-20,晴,西北风,3级,-15.0,10
2018-12-08,-9,-18,晴,西北风,3级,-13.5,9
2018-12-09,-5,-19,晴,西南风,2级,-12.0,14
2018-12-10,-4,-16,多云,东北风,2级,-10.0,12
2018-12-11,-4,-19,多云,西北风,2级,-11.5,15
2018-12-12,-4,-15,晴,西南风,3级,-9.5,11
2018-12-13,-6,-19,晴,西北风,3级,-12.5,13
2018-12-14,-3,-16,晴,西南风,2级,-9.5,13
2018-12-15,4,-9,多云,西南风,5级,-2.5,13
