日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,12,晴,东南风,3级,19.0,14
2019-09-02,27,15,多云,东南风,4级,21.0,12
2019-09-03,26,14,晴,东南风,4级,20.0,12
2019-09-04,27,14,多云,东南风,5级,20.5,13
2019-09-05,27,14,多云,东南风,3级,20.5,13
2019-09-06,29,16,晴,东北风,3级,22.5,13
2019-09-07,30,16,扬沙,东北风,2级,23.0,14
2019-09-08,27,17,阴,西北风,3级,22.0,10
2019-09-09,21,13,阴,东南风,3级,17.0,8
2019-09-10,22,16,多云,东北风,3级,19.0,6
2019-09-11,28,15,阴,东南风,4级,21.5,13
2019-09-12,16,8,阴,西南风,2级,12.0,8
2019-09-13,19,9,阴,东南风,2级,14.0,10
2019-09-14,22,11,多云,东南风,3级,16.5,11
2019-09-15,23,11,多云,东南风,3级,17.0,12
2019-09-16,24,11,阴,东北风,3级,17.5,13
2019-09-17,24,11,阴,东南风,2级,17.5,13
2019-09-18,22,10,多云,东南风,4级,16.0,12
2019-09-19,17,8,阴,西南风,1级,12.5,9
2019-09-20,23,7,多云,东北风,1级,15.0,16
2019-09-21,23,7,晴,东南风,2级,15.0,16
2019-09-22,23,8,阴,东北风,1级,15.5,15
2019-09-23,24,9,晴,北风,微风,16.5,15
2019-09-24,24,7,多云,东北风,2级,15.5,17
2019-09-25,25,8,多云,东南风,2级,16.5,17
2019-09-26,25,8,多云,东南风,2级,16.5,17
2019-09-27,26,9,晴,东南风,2级,17.5,17
2019-09-28,27,10,晴,东南风,2级,18.5,17
2019-09-29,28,8,晴,东南风,3级,18.0,20
2019-09-30,30,12,晴,东南风,3级,21.0,18
2019-08-01,30,20,晴,东南风,4级,25.0,10
2019-08-02,27,17,阴,东南风,3级,22.0,10
2019-08-03,24,16,多云,东南风,3级,20.0,8
2019-08-04,30,18,多云,东南风,3级,24.0,12
2019-08-05,30,18,多云,西南风,2级,24.0,12
2019-08-06,34,17,晴,东南风,3级,25.5,17
