日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,24,21,阴,东南风,1级,22.5,3
2019-09-02,22,20,阴,西北风,1级,21.0,2
2019-09-03,25,20,阵雨,西北风,1级,22.5,5
2019-09-04,24,21,阴,西北风,2级,22.5,3
2019-09-05,25,22,阴,西北风,1级,23.5,3
2019-09-06,27,22,阴,西北风,1级,24.5,5
2019-09-07,25,21,阴,西南风,1级,23.0,4
2019-09-08,26,23,阴,东南风,1级,24.5,3
2019-09-09,29,23,阴,东北风,1级,26.0,6
2019-09-10,27,22,阴,西北风,2级,24.5,5
2019-09-11,30,23,阴,东北风,2级,26.5,7
2019-09-12,29,21,阴,东北风,1级,25.0,8
2019-09-13,21,17,阴,西北风,1级,19.0,4
2019-09-14,20,18,多云,东南风,1级,19.0,2
2019-09-15,21,18,阴,东南风,1级,19.5,3
2019-09-16,23,19,阴,西北风,1级,21.0,4
2019-09-17,20,19,阴,西北风,1级,19.5,1
2019-09-18,25,18,多云,东南风,1级,21.5,7
2019-09-19,19,18,阴,东北风,1级,18.5,1
2019-09-20,24,18,阴,西北风,1级,21.0,6
2019-09-21,29,18,阴,东北风,1级,23.5,11
2019-09-22,29,18,多云,东北风,1级,23.5,11
2019-09-23,27,17,多云,西北风,2级,22.0,10
2019-09-24,17,16,阴,西南风,1级,16.5,1
2019-09-25,26,16,多云,东北风,2级,21.0,10
2019-09-26,27,18,多云,西北风,1级,22.5,9
2019-09-27,27,19,多云,西南风,1级,23.0,8
2019-09-28,28,19,多云,东北风,1级,23.5,9
2019-09-29,27,20,多云,西北风,2级,23.5,7
2019-09-30,26,20,阴,西北风,1级,23.0,6
2019-08-01,34,23,阴,东北风,1级,28.5,11
2019-08-02,31,22,小雨,西北风,3级,26.5,9
2019-08-03,28,22,小雨,东北风,2级,25.0,6
2019-08-04,31,23,小雨,东南风,1级,27.0,8
2019-08-05,30,21,小雨,西北风,2级,25.5,9
2019-08-06,27,21,小雨,东南风,1级,24.0,6
2019-08-07,33,22,多云,东南风,1级,27.5,11
2019-08-08,34,23,多云,西南风,2级,28.5,11
2019-08-09,31,23,小雨,北风,微风,27.0,8
2019-08-10,35,24,晴,东风,1级,29.5,11
2019-08-11,36,24,晴,东北风,1级,30.0,12
2019-08-12,36,25,晴,西北风,1级,30.5,11
2019-08-13,36,23,阴,西南风,1级,29.5,13
2019-08-14,29,23,小雨,东南风,2级,26.0,6
2019-08-15,35,23,晴,东北风,1级,29.0,12
2019-08-16,35,23,晴,东北风,1级,29.0,12
2019-08-17,35,25,晴,西北风,1级,30.0,10
2019-08-18,36,23,阴,西北风,1级,29.5,13
2019-08-19,27,24,阴,西南风,2级,25.5,3
2019-08-20,26,23,阴,西风,1级,24.5,3
2019-08-21,26,22,小雨,西北风,1级,24.0,4
2019-08-22,30,23,阴,西北风,1级,26.5,7
2019-08-23,32,24,多云,西南风,1级,28.0,8
2019-08-24,34,25,多云,西南风,1级,29.5,9
2019-08-25,34,25,多云,西北风,1级,29.5,9
2019-08-26,35,25,多云,东北风,3级,30.0,10
2019-08-27,27,23,阴,东南风,1级,25.0,4
2019-08-28,33,23,多云,西北风,3级,28.0,10
2019-08-29,29,21,阴,东南风,1级,25.0,8
2019-08-30,29,19,阴,西北风,1级,24.0,10
2019-08-31,21,19,阴,东南风,1级,20.0,2
2019-07-01,34,23,晴,东南风,1级,28.5,11
2019-07-02,32,22,多云,东北风,3级,27.0,10
2019-07-03,25,20,阵雨,西南风,1级,22.5,5
2019-07-04,22,21,中雨,东北风,1级,21.5,1
2019-07-05,27,22,阴,西南风,1级,24.5,5
2019-07-06,27,21,多云,东南风,1级,24.0,6
2019-07-07,28,20,阵雨,东北风,1级,24.0,8
2019-07-08,26,21,阴,西南风,1级,23.5,5
2019-07-09,29,22,阴,东南风,2级,25.5,7
2019-07-10,31,22,阴,西北风,2级,26.5,9
2019-07-11,25,20,大雨,东北风,2级,22.5,5
2019-07-12,27,22,阴,西南风,1级,24.5,5
2019-07-13,32,22,阴,东南风,1级,27.0,10
2019-07-14,32,22,阴,西南风,1级,27.0,10
2019-07-15,23,22,中雨,东南风,1级,22.5,1
2019-07-16,27,23,阴,东北风,1级,25.0,4
2019-07-17,30,24,阴,西南风,1级,27.0,6
2019-07-18,32,24,阴,东南风,1级,28.0,8
2019-07-19,29,24,大雨,东北风,1级,26.5,5
2019-07-20,27,24,中雨,东北风,1级,25.5,3
2019-07-21,34,24,多云,东北风,2级,29.0,10
2019-07-22,25,23,大雨,西北风,1级,24.0,2
2019-07-23,32,24,阴,东南风,1级,28.0,8
2019-07-24,29,23,阴,西北风,1级,26.0,6
2019-07-25,34,23,阴,西南风,1级,28.5,11
2019-07-26,35,25,多云,东北风,1级,30.0,10
2019-07-27,33,25,小雨,东北风,1级,29.0,8
2019-07-28,35,25,阴,东北风,3级,30.0,10
2019-07-29,25,23,大暴雨,西北风,2级,24.0,2
2019-07-30,28,22,小雨,西南风,1级,25.0,6
2019-07-31,32,23,阴,东南风,1级,27.5,9
2019-06-01,30,19,阴,东南风,2级,24.5,11
2019-06-02,32,20,多云,西北风,1级,26.0,12
2019-06-03,33,22,晴,西北风,1级,27.5,11
2019-06-04,33,22,阴,西北风,2级,27.5,11
2019-06-05,32,22,阴,西南风,1级,27.0,10
2019-06-06,31,22,阴,东北风,2级,26.5,9
2019-06-07,32,22,阴,东北风,2级,27.0,10
2019-06-08,27,22,阴,西北风,1级,24.5,5
2019-06-09,31,21,阴,西南风,2级,26.0,10
2019-06-10,29,22,阴,东北风,4级,25.5,7
2019-06-11,27,20,阴,东北风,2级,23.5,7
2019-06-12,30,23,晴,东南风,2级,26.5,7
2019-06-13,33,23,晴,东南风,3级,28.0,10
2019-06-14,25,22,阴,西北风,2级,23.5,3
2019-06-15,24,20,小雨,东北风,1级,22.0,4
2019-06-16,25,20,小雨,东南风,1级,22.5,5
2019-06-17,26,21,阵雨,西南风,2级,23.5,5
2019-06-18,28,21,阴,西北风,1级,24.5,7
2019-06-19,28,22,小雨,西南风,2级,25.0,6
2019-06-20,31,24,阴,东南风,2级,27.5,7
2019-06-21,29,24,阴,东北风,1级,26.5,5
2019-06-22,28,23,阴,东北风,1级,25.5,5
2019-06-23,26,21,小雨,东南风,微风,23.5,5
2019-06-24,26,22,小雨,东北风,1级,24.0,4
2019-06-25,23,23,中雨,东南风,1级,23.0,0
2019-06-26,27,21,阵雨,东北风,2级,24.0,6
2019-06-27,29,22,小雨,东北风,2级,25.5,7
2019-06-28,28,22,小雨,东南风,2级,25.0,6
2019-06-29,32,22,阴,南风,1级,27.0,10
2019-06-30,33,23,多云,西北风,1级,28.0,10
2019-05-01,25,18,阴,西北风,3级,21.5,7
2019-05-02,26,17,阴,东南风,2级,21.5,9
2019-05-03,20,17,阴,西南风,2级,18.5,3
2019-05-04,23,18,阴,西北风,1级,20.5,5
2019-05-05,20,18,阴,西风,2级,19.0,2
2019-05-06,19,16,阴,西南风,2级,17.5,3
2019-05-07,17,13,阴,东北风,1级,15.0,4
2019-05-08,19,15,阴,西北风,2级,17.0,4
2019-05-09,23,16,阴,东南风,1级,19.5,7
2019-05-10,26,18,阴,东北风,1级,22.0,8
2019-05-11,27,18,多云,东北风,1级,22.5,9
2019-05-12,26,16,阴,东风,2级,21.0,10
2019-05-13,26,17,阴,东南风,2级,21.5,9
2019-05-14,26,19,阴,西南风,1级,22.5,7
2019-05-15,28,19,多云,西北风,1级,23.5,9
2019-05-16,28,21,阴,西南风,1级,24.5,7
2019-05-17,28,21,多云,西北风,2级,24.5,7
2019-05-18,24,21,阴,西北风,1级,22.5,3
2019-05-19,21,15,阴,西北风,2级,18.0,6
2019-05-20,24,16,阴,东北风,2级,20.0,8
2019-05-21,27,19,阴,东南风,2级,23.0,8
2019-05-22,28,18,多云,东北风,2级,23.0,10
2019-05-23,29,20,多云,西北风,2级,24.5,9
2019-05-24,28,20,阴,西北风,1级,24.0,8
2019-05-25,30,22,阴,东南风,2级,26.0,8
2019-05-26,30,22,阴,东南风,1级,26.0,8
2019-05-27,22,16,阴,西南风,2级,19.0,6
2019-05-28,18,16,阴,西北风,1级,17.0,2
2019-05-29,20,16,阴,西北风,1级,18.0,4
2019-05-30,23,18,多云,东北风,2级,20.5,5
2019-05-31,29,18,多云,西北风,2级,23.5,11
2019-04-01,21,13,多云,东北风,2级,17.0,8
2019-04-02,16,13,阴,西南风,1级,14.5,3
2019-04-03,20,13,阴,西北风,2级,16.5,7
2019-04-04,20,12,阴,东南风,1级,16.0,8
2019-04-05,28,14,晴,东南风,1级,21.0,14
2019-04-06,29,15,多云,东北风,1级,22.0,14
2019-04-07,30,16,晴,西北风,2级,23.0,14
2019-04-08,30,18,阴,西北风,1级,24.0,12
2019-04-09,31,17,阴,东南风,2级,24.0,14
2019-04-10,25,18,阴,西北风,2级,21.5,7
2019-04-11,20,17,阴,东北风,1级,18.5,3
2019-04-12,19,16,阴,西南风,2级,17.5,3
2019-04-13,23,14,雾,西南风,2级,18.5,9
2019-04-14,22,15,阴,西南风,1级,18.5,7
2019-04-15,21,15,阴,东南风,1级,18.0,6
2019-04-16,27,16,阴,东南风,2级,21.5,11
2019-04-17,24,18,多云,西北风,1级,21.0,6
2019-04-18,27,22,阴,西北风,1级,24.5,5
2019-04-19,29,20,阴,东北风,2级,24.5,9
2019-04-20,22,18,阴,西南风,1级,20.0,4
2019-04-21,30,17,晴,东北风,1级,23.5,13
2019-04-22,31,19,多云,东南风,1级,25.0,12
2019-04-23,32,19,多云,西南风,2级,25.5,13
2019-04-24,33,21,晴,西南风,1级,27.0,12
2019-04-25,35,23,多云,东南风,3级,29.0,12
2019-04-26,35,22,阴,西南风,2级,28.5,13
2019-04-27,32,21,多云,西北风,4级,26.5,11
2019-04-28,25,17,阴,西北风,1级,21.0,8
2019-04-29,29,17,阴,东南风,2级,23.0,12
2019-04-30,26,17,阴,东南风,2级,21.5,9
2019-03-01,10,8,雾,东北风,2级,9.0,2
2019-03-02,18,7,阴,东北风,2级,12.5,11
2019-03-03,19,9,多云,西南风,1级,14.0,10
2019-03-04,13,9,阴,西北风,1级,11.0,4
2019-03-05,18,10,阴,东南风,1级,14.0,8
2019-03-06,15,11,阴,西北风,1级,13.0,4
2019-03-07,11,9,阴,西北风,2级,10.0,2
2019-03-08,12,9,阴,东北风,1级,10.5,3
2019-03-09,18,9,雾,东北风,2级,13.5,9
2019-03-10,19,10,阴,东北风,2级,14.5,9
2019-03-11,23,13,多云,东南风,2级,18.0,10
2019-03-12,20,13,阴,东北风,2级,16.5,7
2019-03-13,16,11,阴,西北风,2级,13.5,5
2019-03-14,14,11,阴,东北风,1级,12.5,3
2019-03-15,15,11,阴,东风,2级,13.0,4
2019-03-16,16,11,阴,西北风,1级,13.5,5
2019-03-17,17,11,多云,东风,1级,14.0,6
2019-03-18,19,12,多云,西南风,1级,15.5,7
2019-03-19,20,12,阴,南风,微风,16.0,8
2019-03-20,23,13,多云,西北风,1级,18.0,10
