日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,18,晴,东南风,3级,24.5,13
2019-09-02,32,18,晴,西北风,2级,25.0,14
2019-09-03,32,18,晴,东南风,1级,25.0,14
2019-09-04,31,17,多云,东北风,1级,24.0,14
2019-09-05,31,18,晴,西风,2级,24.5,13
2019-09-06,32,19,晴,西北风,2级,25.5,13
2019-09-07,33,21,晴,西北风,3级,27.0,12
2019-09-08,35,23,晴,西南风,2级,29.0,12
2019-09-09,33,22,晴,东北风,3级,27.5,11
2019-09-10,27,20,阴,东北风,3级,23.5,7
2019-09-11,25,18,多云,东北风,3级,21.5,7
2019-09-12,24,18,阴,西南风,3级,21.0,6
2019-09-13,24,17,阴,西北风,2级,20.5,7
2019-09-14,28,16,多云,东南风,1级,22.0,12
2019-09-15,29,17,多云,西南风,4级,23.0,12
2019-09-16,26,16,晴,东北风,3级,21.0,10
2019-09-17,26,16,多云,西南风,3级,21.0,10
2019-09-18,24,13,晴,东南风,3级,18.5,11
2019-09-19,23,16,多云,西南风,2级,19.5,7
2019-09-20,24,16,阴,西南风,2级,20.0,8
2019-09-21,27,15,晴,东北风,2级,21.0,12
2019-09-22,27,14,晴,东北风,2级,20.5,13
2019-09-23,29,15,晴,西南风,3级,22.0,14
2019-09-24,30,15,晴,东南风,3级,22.5,15
2019-09-25,30,13,晴,东南风,1级,21.5,17
2019-09-26,30,13,晴,东南风,2级,21.5,17
2019-09-27,29,16,晴,东南风,1级,22.5,13
2019-09-28,31,18,晴,西南风,3级,24.5,13
2019-09-29,31,20,晴,西南风,3级,25.5,11
2019-09-30,31,20,晴,西南风,4级,25.5,11
2019-08-01,36,23,多云,西北风,1级,29.5,13
2019-08-02,28,23,中雨,东北风,3级,25.5,5
2019-08-03,30,23,多云,东北风,2级,26.5,7
2019-08-04,29,23,阴,东北风,2级,26.0,6
2019-08-05,32,24,阴,东南风,1级,28.0,8
2019-08-06,32,24,多云,西北风,2级,28.0,8
2019-08-07,31,24,多云,东北风,2级,27.5,7
2019-08-08,33,23,晴,西北风,1级,28.0,10
2019-08-09,31,24,多云,东南风,3级,27.5,7
2019-08-10,27,23,小雨,西北风,2级,25.0,4
2019-08-11,25,22,暴雨,东北风,3级,23.5,3
2019-08-12,24,21,中雨,西北风,4级,22.5,3
2019-08-13,27,21,阴,东北风,3级,24.0,6
2019-08-14,31,21,多云,西北风,2级,26.0,10
2019-08-15,32,22,多云,西北风,3级,27.0,10
2019-08-16,29,19,晴,西北风,3级,24.0,10
2019-08-17,30,18,晴,西北风,4级,24.0,12
2019-08-18,32,19,晴,西南风,3级,25.5,13
2019-08-19,32,21,晴,西南风,3级,26.5,11
2019-08-20,27,20,小雨,东南风,4级,23.5,7
2019-08-21,30,19,晴,东北风,3级,24.5,11
2019-08-22,31,19,晴,东北风,3级,25.0,12
2019-08-23,31,20,晴,东北风,2级,25.5,11
2019-08-24,31,19,晴,西北风,3级,25.0,12
2019-08-25,30,22,多云,西南风,3级,26.0,8
2019-08-26,28,20,阴,西南风,3级,24.0,8
2019-08-27,32,20,阴,西北风,2级,26.0,12
2019-08-28,32,19,晴,西北风,4级,25.5,13
2019-08-29,30,17,晴,西北风,5级,23.5,13
2019-08-30,30,18,晴,西北风,4级,24.0,12
2019-08-31,31,17,晴,南风,1级,24.0,14
2019-07-01,34,24,晴,东北风,2级,29.0,10
2019-07-02,37,24,多云,西南风,3级,30.5,13
2019-07-03,36,23,晴,东北风,2级,29.5,13
2019-07-04,40,27,晴,东南风,4级,33.5,13
2019-07-05,36,22,多云,西北风,1级,29.0,14
2019-07-06,24,20,雷阵雨,西北风,微风,22.0,4
2019-07-07,27,21,阴,东北风,3级,24.0,6
2019-07-08,31,20,多云,西南风,1级,25.5,11
2019-07-09,29,21,阴,东北风,2级,25.0,8
2019-07-10,27,21,雷阵雨,东北风,3级,24.0,6
2019-07-11,29,20,多云,东北风,2级,24.5,9
2019-07-12,34,23,晴,西北风,2级,28.5,11
2019-07-13,35,24,晴,西北风,1级,29.5,11
2019-07-14,34,22,多云,西南风,2级,28.0,12
2019-07-15,35,23,晴,东南风,1级,29.0,12
2019-07-16,34,24,多云,东南风,2级,29.0,10
2019-07-17,31,24,雷阵雨,东北风,3级,27.5,7
