日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,18,4,局部多云,西南风,2级,11.0,14
2019-09-02,17,3,局部多云,西南风,2级,10.0,14
2019-09-03,18,3,局部多云,西南偏西风,2级,10.5,15
2019-09-04,18,4,零散雷雨,东南风,2级,11.0,14
2019-09-05,18,3,零散雷雨,西北偏西风,2级,10.5,15
2019-09-06,19,5,局部多云,南风,2级,12.0,14
2019-09-07,19,6,局部雷雨,东南偏南风,2级,12.5,13
2019-09-08,19,7,零散雷雨,东南偏南风,2级,13.0,12
2019-09-09,15,4,阴,东北风,4级,9.5,11
2019-09-10,16,5,阴,东北风,1级,10.5,11
2019-09-11,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-12,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-13,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-14,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-15,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-16,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-17,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-18,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-19,5,0,阴,西北风,2级,2.5,5
2019-09-20,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-21,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-22,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-23,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-24,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-25,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-26,11,-5,晴,西南风,1级,3.0,16
2019-09-27,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-28,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-29,18,7,零散雷雨,东南风,2级,12.5,11
2019-09-30,18,7,零散雷雨,东南风,2级,12.5,11
2019-08-01,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-02,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-03,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-04,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-05,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-06,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-07,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-08,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-09,4,0,阵雨,西北偏北风,2级,2.0,4
2019-08-10,0,-1,晴,,,-0.5,1
2019-08-11,1,0,少云,西北偏西风,3级,0.5,1
2019-08-12,5,0,零散阵雨,东南偏南风,3级,2.5,5
2019-08-13,1,0,局部多云,北风,3级,0.5,1
2019-08-14,0,0,晴,西北偏西风,2级,0.0,0
2019-08-15,2,0,晴,西南风,2级,1.0,2
2019-08-16,4,0,局部多云,西南偏南风,2级,2.0,4
2019-08-17,6,0,零散雷雨,东南风,3级,3.0,6
2019-08-18,6,0,雷雨,东风,3级,3.0,6
2019-08-19,5,0,雷雨,东南偏东风,3级,2.5,5
2019-08-20,5,0,雷雨,东南偏东风,3级,2.5,5
2019-08-21,5,0,雷雨,东南偏东风,3级,2.5,5
2019-08-22,8,0,阵雨,,,4.0,8
2019-08-23,8,0,雷雨,东南风,2级,4.0,8
2019-08-24,8,0,零散雷雨,东南偏东风,2级,4.0,8
2019-08-25,9,0,雷雨,东南偏南风,2级,4.5,9
2019-08-26,5,0,阵雨,东北偏东风,3级,2.5,5
2019-08-27,4,0,阵雨,东北偏东风,2级,2.0,4
2019-08-28,4,0,零散雷雨,东北风,2级,2.0,4
2019-08-29,2,0,局部多云,东风,2级,1.0,2
2019-08-30,2,0,局部多云,东南风,2级,1.0,2
2019-08-31,16,1,阵雨,西北偏北风,3级,8.5,15
2019-07-01,7,0,雷雨,,,3.5,7
2019-07-02,6,0,多云,东北偏东风,2级,3.0,6
2019-07-03,6,0,阵雨,东北偏东风,3级,3.0,6
2019-07-04,2,0,局部多云,西北偏北风,3级,1.0,2
2019-07-05,5,0,局部多云,西北风,2级,2.5,5
2019-07-06,14,5,阵雨,东南风,3级,9.5,9
2019-07-07,13,3,阵雨,西风,2级,8.0,10
2019-07-08,14,0,局部多云,西北偏西风,3级,7.0,14
2019-07-09,16,1,局部多云,西北偏西风,3级,8.5,15
2019-07-10,17,4,局部多云,西风,2级,10.5,13
2019-07-11,9,2,雨,北风,2级,5.5,7
2019-07-12,16,2,局部多云,西北偏西风,2级,9.0,14
2019-07-13,14,5,零散雷雨,东南风,3级,9.5,9
2019-07-14,12,6,多云,东北风,2级,9.0,6
2019-07-15,11,4,阵雨,北风,2级,7.5,7
2019-07-16,16,6,多云,北风,2级,11.0,10
2019-07-17,14,6,零散雷雨,东北偏东风,2级,10.0,8
2019-07-18,15,6,雷雨,东北风,2级,10.5,9
2019-07-19,3,0,零散雷雨,,,1.5,3
2019-07-20,7,0,雷雨,东南偏南风,3级,3.5,7
2019-07-21,3,0,局部多云,西北风,3级,1.5,3
2019-07-22,4,0,局部多云,西北风,3级,2.0,4
2019-07-23,5,0,雨,西风,2级,2.5,5
2019-07-24,2,0,局部多云,西北风,2级,1.0,2
2019-07-25,4,0,晴,西南风,2级,2.0,4
2019-07-26,4,0,局部多云,西南偏南风,2级,2.0,4
2019-07-27,5,0,零散雷雨,西北风,2级,2.5,5
2019-07-28,4,0,阵雨,西北偏北风,2级,2.0,4
2019-07-29,4,0,阵雨,西北偏北风,2级,2.0,4
2019-07-30,4,0,阵雨,西北偏北风,2级,2.0,4
2019-07-31,4,0,阵雨,西北偏北风,2级,2.0,4
2019-06-01,12,-3,局部多云,西风,3级,4.5,15
2019-06-02,13,-2,少云,西北偏西风,3级,5.5,15
2019-06-03,15,0,阴天,西南偏西风,2级,7.5,15
2019-06-04,16,2,局部多云,西风,2级,9.0,14
2019-06-05,15,2,局部多云,东北偏北风,2级,8.5,13
2019-06-06,15,2,局部多云,东北偏北风,2级,8.5,13
2019-06-07,15,2,局部多云,东北偏北风,2级,8.5,13
2019-06-08,15,2,局部多云,东北偏北风,2级,8.5,13
2019-06-09,2,0,雨,,,1.0,2
2019-06-10,4,0,雨,东风,3级,2.0,4
2019-06-11,1,0,局部多云,西北偏北风,3级,0.5,1
2019-06-12,2,0,晴,西北偏西风,2级,1.0,2
2019-06-13,6,0,阵雨,东南风,3级,3.0,6
2019-06-14,6,0,雨,东北偏东风,2级,3.0,6
2019-06-15,3,0,阴天,,3级,1.5,3
2019-06-16,3,0,局部多云,东北偏北风,2级,1.5,3
2019-06-17,3,0,零散阵雨,东南风,2级,1.5,3
2019-06-18,4,0,阵雨,东风,3级,2.0,4
2019-06-19,4,0,阵雨,东风,3级,2.0,4
2019-06-20,4,0,阵雨,东风,3级,2.0,4
2019-06-21,4,0,阵雨,东风,3级,2.0,4
2019-06-22,4,0,阵雨,东风,3级,2.0,4
2019-06-23,8,0,雷雨,,,4.0,8
2019-06-24,7,0,零散雷雨,,2级,3.5,7
2019-06-25,8,0,零散雷雨,东北偏东风,2级,4.0,8
2019-06-26,8,0,雷雨,东南风,2级,4.0,8
2019-06-27,4,0,阵雨,东北偏北风,3级,2.0,4
2019-06-28,3,0,阵雨,东北风,2级,1.5,3
2019-06-29,2,0,局部多云,北风,2级,1.0,2
2019-06-30,3,0,局部多云,西北风,2级,1.5,3
2019-05-01,0,-2,小雨,东北风,小于3级,-1.0,2
2019-05-02,1,0,小雨,南风,小于3级,0.5,1
2019-05-03,2,0,小雨,西北风,小于3级,1.0,2
2019-05-04,4,0,小雨,东风,小于3级,2.0,4
2019-05-05,3,0,雨夹雪,东风,小于3级,1.5,3
2019-05-06,1,0,雨夹雪,东北风,小于3级,0.5,1
2019-05-07,0,-4,多云,西风,小于3级,-2.0,4
2019-05-08,0,-3,阴,东风,小于3级,-1.5,3
