日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,13,阴,东北风,2级,19.0,12
2019-09-02,22,14,阴,西北风,2级,18.0,8
2019-09-03,22,13,小雨,东南风,1级,17.5,9
2019-09-04,19,13,阴,北风,微风,16.0,6
2019-09-05,22,13,阴,西北风,2级,17.5,9
2019-09-06,24,14,阴,西北风,2级,19.0,10
2019-09-07,22,14,阴,西北风,1级,18.0,8
2019-09-08,21,14,阴,西南风,1级,17.5,7
2019-09-09,22,14,阴,西北风,1级,18.0,8
2019-09-10,23,14,阴,东南风,1级,18.5,9
2019-09-11,25,14,阴,西北风,2级,19.5,11
2019-09-12,22,13,阴,东南风,1级,17.5,9
2019-09-13,23,13,阴,东南风,2级,18.0,10
2019-09-14,21,13,阴,西北风,1级,17.0,8
2019-09-15,19,12,阴,西南风,1级,15.5,7
2019-09-16,18,13,阴,西北风,1级,15.5,5
2019-09-17,18,12,阴,西南风,微风,15.0,6
2019-09-18,20,12,小雨,西南风,2级,16.0,8
2019-09-19,18,10,阴,东南风,1级,14.0,8
2019-09-20,14,9,阴,西南风,微风,11.5,5
2019-09-21,15,8,阴,东北风,微风,11.5,7
2019-09-22,17,9,阴,西南风,1级,13.0,8
2019-09-23,14,9,阴,西北风,1级,11.5,5
2019-09-24,19,6,阴,东北风,1级,12.5,13
2019-09-25,23,4,多云,东南风,1级,13.5,19
2019-09-26,22,5,阴,东南风,2级,13.5,17
2019-09-27,21,8,阴,西北风,1级,14.5,13
2019-09-28,19,8,阴,东北风,3级,13.5,11
2019-09-29,15,9,阴,西南风,2级,12.0,6
2019-09-30,17,10,阴,北风,微风,13.5,7
2019-08-01,24,14,小雨,西南风,2级,19.0,10
2019-08-02,16,13,小雨,西南风,1级,14.5,3
2019-08-03,25,14,阴,西北风,2级,19.5,11
2019-08-04,21,13,小雨,东南风,1级,17.0,8
2019-08-05,17,13,小雨,西北风,1级,15.0,4
2019-08-06,20,14,小雨,西北风,2级,17.0,6
2019-08-07,24,14,阴,西南风,1级,19.0,10
2019-08-08,20,12,小雨,东南风,1级,16.0,8
2019-08-09,25,14,阴,东南风,1级,19.5,11
2019-08-10,29,12,阴,西北风,3级,20.5,17
2019-08-11,26,12,阴,东北风,3级,19.0,14
2019-08-12,25,12,多云,西北风,2级,18.5,13
2019-08-13,26,11,多云,西南风,1级,18.5,15
2019-08-14,27,11,多云,西南风,4级,19.0,16
2019-08-15,27,14,多云,西北风,4级,20.5,13
2019-08-16,29,14,阴,西北风,5级,21.5,15
2019-08-17,28,13,多云,西北风,3级,20.5,15
2019-08-18,24,13,阴,西北风,4级,18.5,11
2019-08-19,25,14,阴,北风,2级,19.5,11
2019-08-20,24,15,阴,东南风,2级,19.5,9
2019-08-21,22,12,阴,东南风,5级,17.0,10
2019-08-22,24,15,阴,西北风,1级,19.5,9
2019-08-23,22,13,小雨,西北风,2级,17.5,9
2019-08-24,26,13,阴,西北风,3级,19.5,13
2019-08-25,26,14,多云,东北风,微风,20.0,12
2019-08-26,29,14,阴,西北风,5级,21.5,15
2019-08-27,31,14,多云,东北风,3级,22.5,17
2019-08-28,29,15,阴,西北风,3级,22.0,14
2019-08-29,24,14,阴,西北风,3级,19.0,10
2019-08-30,24,14,阴,东南风,1级,19.0,10
2019-08-31,25,13,阴,东北风,4级,19.0,12
2019-07-01,23,14,阴,西北风,3级,18.5,9
2019-07-02,23,14,小雨,东北风,3级,18.5,9
2019-07-03,23,14,小雨,西北风,1级,18.5,9
2019-07-04,19,12,多云,西南风,1级,15.5,7
