日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,33,23,阴,东南风,3级,28.0,10
2019-09-02,29,21,阴,西北风,1级,25.0,8
2019-09-03,27,20,中雨,东南风,微风,23.5,7
2019-09-04,28,21,阴,西南风,1级,24.5,7
2019-09-05,29,22,阴,西南风,1级,25.5,7
2019-09-06,30,21,阴,东南风,1级,25.5,9
2019-09-07,31,21,阴,东北风,2级,26.0,10
2019-09-08,30,21,阴,东北风,1级,25.5,9
2019-09-09,29,22,阴,东南风,1级,25.5,7
2019-09-10,29,21,阴,东南风,1级,25.0,8
2019-09-11,25,22,阴,西南风,1级,23.5,3
2019-09-12,27,21,阴,东北风,1级,24.0,6
2019-09-13,30,21,阴,东北风,1级,25.5,9
2019-09-14,31,21,阴,西北风,2级,26.0,10
2019-09-15,25,21,阴,南风,微风,23.0,4
2019-09-16,28,20,阴,东北风,1级,24.0,8
2019-09-17,29,21,阴,东北风,微风,25.0,8
2019-09-18,32,20,多云,东北风,1级,26.0,12
2019-09-19,30,21,阴,西北风,1级,25.5,9
2019-09-20,31,21,阴,西北风,1级,26.0,10
2019-09-21,28,19,阴,东南风,2级,23.5,9
2019-09-22,26,19,阴,西南风,1级,22.5,7
2019-09-23,26,18,阴,南风,微风,22.0,8
2019-09-24,21,18,阴,东北风,1级,19.5,3
2019-09-25,20,18,阴,东北风,2级,19.0,2
2019-09-26,28,18,阴,东南风,1级,23.0,10
2019-09-27,28,17,阴,东北风,2级,22.5,11
2019-09-28,28,17,阴,西南风,微风,22.5,11
2019-09-29,29,17,阴,东南风,1级,23.0,12
2019-09-30,27,17,多云,东南风,1级,22.0,10
2019-08-01,30,21,阴,西南风,1级,25.5,9
2019-08-02,31,21,阴,西北风,1级,26.0,10
2019-08-03,33,21,阴,东北风,1级,27.0,12
2019-08-04,30,21,中雨,东北风,微风,25.5,9
2019-08-05,32,21,阴,东南风,3级,26.5,11
2019-08-06,32,22,阴,西南风,2级,27.0,10
2019-08-07,29,22,中雨,北风,微风,25.5,7
2019-08-08,30,22,小雨,南风,微风,26.0,8
2019-08-09,30,21,阴,西北风,2级,25.5,9
2019-08-10,31,20,小雨,北风,微风,25.5,11
2019-08-11,32,21,阴,西北风,2级,26.5,11
2019-08-12,34,22,多云,东南风,3级,28.0,12
2019-08-13,32,22,阴,东南风,1级,27.0,10
2019-08-14,30,22,阴,北风,微风,26.0,8
2019-08-15,32,22,小雨,东南风,2级,27.0,10
2019-08-16,32,22,小雨,东北风,1级,27.0,10
2019-08-17,33,23,阴,西南风,1级,28.0,10
2019-08-18,33,23,阴,东北风,1级,28.0,10
2019-08-19,32,23,阴,东南风,1级,27.5,9
2019-08-20,32,21,阴,北风,微风,26.5,11
2019-08-21,32,24,阴,东南风,1级,28.0,8
2019-08-22,32,22,阴,西南风,1级,27.0,10
2019-08-23,26,22,小雨,东南风,1级,24.0,4
2019-08-24,31,21,多云,南风,微风,26.0,10
2019-08-25,33,21,多云,北风,微风,27.0,12
2019-08-26,33,23,多云,西南风,1级,28.0,10
2019-08-27,31,21,多云,西北风,2级,26.0,10
2019-08-28,27,21,中雨,东北风,1级,24.0,6
2019-08-29,33,22,阴,西南风,1级,27.5,11
2019-08-30,28,21,阴,东南风,微风,24.5,7
2019-08-31,30,20,阴,西北风,1级,25.0,10
2019-07-01,25,22,中雨,北风,微风,23.5,3
2019-07-02,29,23,小雨,东北风,1级,26.0,6
2019-07-03,32,23,阵雨,南风,微风,27.5,9
2019-07-04,33,23,阴,西北风,2级,28.0,10
2019-07-05,27,23,小雨,东南风,2级,25.0,4
2019-07-06,27,23,小雨,东北风,2级,25.0,4
2019-07-07,30,23,中雨,西南风,1级,26.5,7
2019-07-08,28,23,小雨,西北风,1级,25.5,5
2019-07-09,24,22,大雨,北风,微风,23.0,2
2019-07-10,21,21,暴雨,东南风,1级,21.0,0
2019-07-11,26,21,小雨,南风,微风,23.5,5
2019-07-12,27,22,中雨,东南风,2级,24.5,5
2019-07-13,24,21,小雨,东南风,1级,22.5,3
2019-07-14,27,22,阴,东北风,2级,24.5,5
2019-07-15,29,22,阴,东北风,1级,25.5,7
2019-07-16,31,23,阴,东南风,1级,27.0,8
2019-07-17,34,23,阴,西南风,1级,28.5,11
2019-07-18,34,24,阴,西北风,1级,29.0,10
2019-07-19,35,22,阴,南风,微风,28.5,13
2019-07-20,31,23,阴,东南风,2级,27.0,8
2019-07-21,33,23,阴,东南风,3级,28.0,10
2019-07-22,30,22,阴,东南风,2级,26.0,8
2019-07-23,24,22,中雨,东北风,1级,23.0,2
2019-07-24,27,22,小雨,南风,微风,24.5,5
2019-07-25,29,23,中雨,南风,微风,26.0,6
2019-07-26,25,22,小雨,西北风,微风,23.5,3
2019-07-27,31,23,小雨,东南风,3级,27.0,8
2019-07-28,32,23,阴,西南风,1级,27.5,9
2019-07-29,28,22,阴,东南风,1级,25.0,6
2019-07-30,25,20,中雨,东南风,1级,22.5,5
2019-07-31,25,21,中雨,西南风,微风,23.0,4
2019-06-01,29,19,多云,东北风,2级,24.0,10
2019-06-02,31,20,多云,东南风,2级,25.5,11
2019-06-03,35,20,阴,东南风,3级,27.5,15
2019-06-04,29,20,阴,南风,微风,24.5,9
2019-06-05,32,21,阴,东南风,2级,26.5,11
2019-06-06,34,22,阴,东南风,1级,28.0,12
2019-06-07,33,22,阴,东南风,3级,27.5,11
2019-06-08,29,22,阴,东南风,2级,25.5,7
2019-06-09,25,22,阴,东北风,2级,23.5,3
2019-06-10,26,22,阴,北风,微风,24.0,4
2019-06-11,35,24,阴,东南风,2级,29.5,11
2019-06-12,35,23,小雨,东南风,2级,29.0,12
2019-06-13,35,23,阴,西北风,2级,29.0,12
2019-06-14,24,22,大雨,东南风,1级,23.0,2
2019-06-15,28,22,小雨,北风,2级,25.0,6
2019-06-16,25,23,小雨,南风,微风,24.0,2
2019-06-17,31,22,阵雨,东南风,微风,26.5,9
2019-06-18,35,22,阴,南风,微风,28.5,13
2019-06-19,29,23,中雨,南风,微风,26.0,6
2019-06-20,27,22,小雨,东南风,1级,24.5,5
2019-06-21,30,22,小雨,北风,微风,26.0,8
2019-06-22,33,23,阴,东南风,2级,28.0,10
2019-06-23,34,23,小雨,东北风,1级,28.5,11
2019-06-24,31,23,小雨,西北风,1级,27.0,8
2019-06-25,30,24,阴,西南风,1级,27.0,6
2019-06-26,28,23,暴雨,东南风,2级,25.5,5
2019-06-27,30,22,中雨,南风,微风,26.0,8
2019-06-28,31,23,阴,东南风,2级,27.0,8
2019-06-29,35,23,阴,东南风,2级,29.0,12
2019-06-30,34,22,阴,东南风,3级,28.0,12
2019-05-01,25,21,阴,西北风,2级,23.0,4
2019-05-02,27,18,阴,西北风,3级,22.5,9
2019-05-03,26,20,多云,东南风,2级,23.0,6
2019-05-04,31,21,阴,西北风,4级,26.0,10
2019-05-05,24,20,阴,北风,微风,22.0,4
2019-05-06,33,19,阴,西北风,4级,26.0,14
2019-05-07,35,19,阴,西北风,3级,27.0,16
2019-05-08,31,20,多云,东北风,3级,25.5,11
2019-05-09,33,19,阴,西北风,6级,26.0,14
2019-05-10,27,20,阴,西北风,6级,23.5,7
2019-05-11,30,20,多云,西北风,6级,25.0,10
2019-05-12,34,21,多云,西北风,3级,27.5,13
2019-05-13,28,19,多云,西北风,2级,23.5,9
2019-05-14,30,19,多云,北风,微风,24.5,11
2019-05-15,32,20,多云,东北风,2级,26.0,12
2019-05-16,37,20,阴,西北风,3级,28.5,17
2019-05-17,34,20,阴,北风,4级,27.0,14
2019-05-18,31,20,阴,西北风,2级,25.5,11
2019-05-19,37,21,阴,西北风,3级,29.0,16
2019-05-20,38,21,多云,西北风,2级,29.5,17
2019-05-21,37,21,多云,西北风,2级,29.0,16
2019-05-22,33,21,阴,西北风,4级,27.0,12
2019-05-23,34,20,阴,西北风,1级,27.0,14
2019-05-24,26,20,阴,西北风,3级,23.0,6
2019-05-25,28,21,阴,东南风,2级,24.5,7
2019-05-26,30,21,阴,西南风,1级,25.5,9
2019-05-27,36,22,阴,东北风,3级,29.0,14
2019-05-28,36,22,阴,东北风,2级,29.0,14
2019-05-29,37,21,阴,西北风,1级,29.0,16
2019-05-30,33,21,多云,东北风,3级,27.0,12
2019-05-31,36,21,晴,西北风,4级,28.5,15
2019-04-01,17,15,阴,东北风,微风,16.0,2
2019-04-02,23,15,阴,西北风,1级,19.0,8
2019-04-03,17,14,阴,西北风,3级,15.5,3
