日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,16,阴,东南风,1级,19.5,7
2019-09-02,23,16,阴,东北风,3级,19.5,7
2019-09-03,24,15,阵雨,西南风,1级,19.5,9
2019-09-04,24,16,多云,西南风,2级,20.0,8
2019-09-05,25,17,阴,南风,微风,21.0,8
2019-09-06,24,17,阴,南风,微风,20.5,7
2019-09-07,26,18,阴,南风,微风,22.0,8
2019-09-08,24,16,阴,南风,微风,20.0,8
2019-09-09,21,18,阴,东南风,1级,19.5,3
2019-09-10,22,17,阴,西南风,2级,19.5,5
2019-09-11,25,16,阴,西南风,2级,20.5,9
2019-09-12,26,16,阴,南风,微风,21.0,10
2019-09-13,27,14,阴,东南风,2级,20.5,13
2019-09-14,28,13,多云,东南风,1级,20.5,15
2019-09-15,27,14,阴,东北风,1级,20.5,13
2019-09-16,25,16,阴,东南风,1级,20.5,9
2019-09-17,27,15,多云,东南风,3级,21.0,12
2019-09-18,24,12,阵雨,东南风,2级,18.0,12
2019-09-19,25,16,阴,东南风,1级,20.5,9
2019-09-20,23,14,阴,东北风,3级,18.5,9
2019-09-21,20,10,多云,东北风,3级,15.0,10
2019-09-22,22,10,阴,西北风,1级,16.0,12
2019-09-23,20,10,多云,东北风,2级,15.0,10
2019-09-24,21,10,多云,东南风,1级,15.5,11
2019-09-25,18,12,阴,西北风,1级,15.0,6
2019-09-26,19,11,阴,东南风,1级,15.0,8
2019-09-27,22,10,多云,西南风,2级,16.0,12
2019-09-28,23,11,多云,东南风,3级,17.0,12
2019-09-29,26,13,晴,西南风,1级,19.5,13
2019-09-30,26,14,晴,西南风,1级,20.0,12
2019-08-01,29,16,多云,东北风,2级,22.5,13
2019-08-02,28,18,小雨,东南风,2级,23.0,10
2019-08-03,26,17,阴,东北风,2级,21.5,9
2019-08-04,25,18,小雨,东北风,3级,21.5,7
2019-08-05,25,17,小雨,东北风,3级,21.0,8
2019-08-06,27,18,小雨,西南风,3级,22.5,9
2019-08-07,26,18,小雨,南风,微风,22.0,8
2019-08-08,27,16,小雨,北风,微风,21.5,11
2019-08-09,27,17,阴,东南风,2级,22.0,10
2019-08-10,25,15,小雨,西北风,3级,20.0,10
2019-08-11,30,16,多云,东南风,1级,23.0,14
2019-08-12,30,17,多云,东北风,1级,23.5,13
2019-08-13,30,17,多云,西南风,1级,23.5,13
2019-08-14,28,17,阴,东南风,2级,22.5,11
2019-08-15,27,15,小雨,西南风,微风,21.0,12
2019-08-16,29,16,多云,东南风,2级,22.5,13
2019-08-17,28,16,晴,西南风,2级,22.0,12
2019-08-18,29,18,阴,西南风,1级,23.5,11
2019-08-19,28,18,阴,西南风,2级,23.0,10
2019-08-20,29,17,阴,东北风,1级,23.0,12
2019-08-21,27,16,阴,东南风,2级,21.5,11
2019-08-22,26,15,阴,西北风,3级,20.5,11
2019-08-23,24,15,阴,东北风,2级,19.5,9
2019-08-24,28,16,多云,东南风,2级,22.0,12
2019-08-25,28,16,多云,东北风,2级,22.0,12
2019-08-26,30,17,多云,东南风,4级,23.5,13
2019-08-27,21,18,大雨,北风,微风,19.5,3
2019-08-28,24,18,阴,东南风,2级,21.0,6
2019-08-29,26,17,中雨,东北风,2级,21.5,9
2019-08-30,21,15,阴,东北风,4级,18.0,6
2019-08-31,21,17,阴,东北风,1级,19.0,4
2019-07-01,28,17,多云,东北风,1级,22.5,11
2019-07-02,28,18,阴,西北风,2级,23.0,10
2019-07-03,27,18,小雨,东南风,4级,22.5,9
2019-07-04,24,18,阴,东北风,4级,21.0,6
2019-07-05,21,18,小雨,西南风,1级,19.5,3
2019-07-06,26,18,小雨,北风,微风,22.0,8
2019-07-07,27,18,阵雨,西南风,3级,22.5,9
2019-07-08,28,18,阴,西南风,2级,23.0,10
2019-07-09,18,17,大雨,南风,微风,17.5,1
2019-07-10,20,17,中雨,西北风,2级,18.5,3
2019-07-11,24,18,阴,西南风,2级,21.0,6
2019-07-12,26,18,小雨,西南风,2级,22.0,8
2019-07-13,24,18,阴,南风,微风,21.0,6
