日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,16,多云,东南风,2级,21.0,10
2019-09-02,25,17,多云,西南风,2级,21.0,8
2019-09-03,27,16,晴,东南风,1级,21.5,11
2019-09-04,26,15,晴,西南风,1级,20.5,11
2019-09-05,28,16,晴,西南风,2级,22.0,12
2019-09-06,28,17,晴,东南风,1级,22.5,11
2019-09-07,30,18,晴,东南风,1级,24.0,12
2019-09-08,33,18,晴,东南风,2级,25.5,15
2019-09-09,28,18,多云,东南风,2级,23.0,10
2019-09-10,24,16,阴,东南风,2级,20.0,8
2019-09-11,18,16,阴,西南风,2级,17.0,2
2019-09-12,18,17,阴,东南风,1级,17.5,1
2019-09-13,22,16,阴,西北风,3级,19.0,6
2019-09-14,19,15,阴,西北风,1级,17.0,4
2019-09-15,18,15,阴,西北风,2级,16.5,3
2019-09-16,24,15,阴,东南风,1级,19.5,9
2019-09-17,18,15,阴,西北风,1级,16.5,3
2019-09-18,24,13,多云,东南风,1级,18.5,11
2019-09-19,17,14,阴,西北风,1级,15.5,3
2019-09-20,21,13,多云,东北风,3级,17.0,8
2019-09-21,25,12,晴,西南风,1级,18.5,13
2019-09-22,26,13,晴,西南风,1级,19.5,13
2019-09-23,27,13,多云,西北风,2级,20.0,14
2019-09-24,27,13,多云,西北风,1级,20.0,14
2019-09-25,26,13,晴,东南风,1级,19.5,13
2019-09-26,26,13,晴,东北风,2级,19.5,13
2019-09-27,24,13,多云,西北风,1级,18.5,11
2019-09-28,26,13,多云,南风,微风,19.5,13
2019-09-29,26,14,晴,东南风,1级,20.0,12
2019-09-30,26,15,晴,西南风,1级,20.5,11
2019-08-01,31,22,多云,东南风,1级,26.5,9
2019-08-02,29,21,阴,西南风,1级,25.0,8
2019-08-03,25,20,阴,东南风,3级,22.5,5
2019-08-04,27,20,大雨,西南风,1级,23.5,7
2019-08-05,25,22,暴雨,东南风,1级,23.5,3
2019-08-06,25,21,小雨,东南风,1级,23.0,4
2019-08-07,30,21,多云,西南风,1级,25.5,9
2019-08-08,30,21,阴,西南风,2级,25.5,9
2019-08-09,28,22,阴,西北风,2级,25.0,6
2019-08-10,30,20,阴,东南风,3级,25.0,10
2019-08-11,31,20,阴,西南风,3级,25.5,11
2019-08-12,29,20,阴,东南风,2级,24.5,9
2019-08-13,30,21,阴,东南风,2级,25.5,9
2019-08-14,29,20,中雨,东南风,1级,24.5,9
2019-08-15,33,20,晴,东南风,2级,26.5,13
2019-08-16,34,19,晴,西南风,2级,26.5,15
2019-08-17,29,18,晴,东南风,2级,23.5,11
2019-08-18,28,20,晴,东南风,2级,24.0,8
2019-08-19,28,20,多云,东南风,2级,24.0,8
2019-08-20,28,22,多云,西北风,2级,25.0,6
2019-08-21,24,20,阴,西北风,2级,22.0,4
2019-08-22,28,20,阴,西南风,2级,24.0,8
2019-08-23,26,20,多云,东南风,2级,23.0,6
2019-08-24,27,20,多云,东南风,2级,23.5,7
2019-08-25,22,19,小雨,东南风,1级,20.5,3
2019-08-26,28,20,阴,西北风,2级,24.0,8
2019-08-27,25,18,小雨,西南风,1级,21.5,7
2019-08-28,29,16,晴,西北风,4级,22.5,13
2019-08-29,29,16,晴,东南风,2级,22.5,13
2019-08-30,27,16,晴,东南风,1级,21.5,11
2019-08-31,27,16,多云,东北风,2级,21.5,11
2019-07-01,33,20,多云,东南风,2级,26.5,13
2019-07-02,34,20,多云,东南风,2级,27.0,14
2019-07-03,35,21,多云,东北风,2级,28.0,14
2019-07-04,32,20,阴,西南风,2级,26.0,12
2019-07-05,34,20,晴,西南风,3级,27.0,14
2019-07-06,30,18,晴,东南风,2级,24.0,12
2019-07-07,31,18,晴,东南风,2级,24.5,13
2019-07-08,23,18,阴,东南风,3级,20.5,5
2019-07-09,27,18,阴,东南风,2级,22.5,9
2019-07-10,25,17,阴,东南风,微风,21.0,8
2019-07-11,26,18,阴,东南风,2级,22.0,8
2019-07-12,27,18,小雨,东南风,1级,22.5,9
2019-07-13,33,20,多云,西南风,2级,26.5,13
2019-07-14,33,20,晴,东北风,微风,26.5,13
2019-07-15,30,21,阴,东南风,2级,25.5,9
2019-07-16,28,21,阴,东南风,2级,24.5,7
2019-07-17,24,18,阴,西北风,2级,21.0,6
2019-07-18,28,20,多云,西南风,2级,24.0,8
