日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,20,晴,东南风,1级,25.5,11
2019-09-02,32,21,晴,东南风,2级,26.5,11
2019-09-03,32,21,晴,东南风,2级,26.5,11
2019-09-04,30,20,多云,东南风,1级,25.0,10
2019-09-05,31,21,晴,东南风,1级,26.0,10
2019-09-06,32,21,晴,东南风,2级,26.5,11
2019-09-07,33,22,晴,东南风,2级,27.5,11
2019-09-08,35,23,晴,东北风,2级,29.0,12
2019-09-09,32,21,阴,东南风,2级,26.5,11
2019-09-10,25,19,阴,西北风,3级,22.0,6
2019-09-11,25,19,阴,西南风,微风,22.0,6
2019-09-12,23,18,阴,西南风,1级,20.5,5
2019-09-13,25,18,阴,西北风,微风,21.5,7
2019-09-14,29,19,多云,东南风,2级,24.0,10
2019-09-15,29,17,多云,西南风,2级,23.0,12
2019-09-16,26,16,晴,东南风,1级,21.0,10
2019-09-17,27,17,阴,东南风,1级,22.0,10
2019-09-18,24,16,晴,东南风,2级,20.0,8
2019-09-19,23,18,阴,西南风,微风,20.5,5
2019-09-20,25,16,阴,东南风,1级,20.5,9
2019-09-21,26,16,多云,西南风,1级,21.0,10
2019-09-22,27,18,晴,西北风,1级,22.5,9
2019-09-23,30,18,晴,西南风,1级,24.0,12
2019-09-24,28,17,晴,东南风,2级,22.5,11
2019-09-25,30,17,晴,东南风,2级,23.5,13
2019-09-26,30,17,晴,东南风,2级,23.5,13
2019-09-27,28,18,多云,东南风,2级,23.0,10
2019-09-28,30,19,晴,东北风,1级,24.5,11
2019-09-29,31,19,晴,东北风,2级,25.0,12
2019-09-30,31,20,晴,东南风,2级,25.5,11
2019-08-01,34,24,阴,东北风,2级,29.0,10
2019-08-02,26,24,中雨,东北风,2级,25.0,2
2019-08-03,30,24,阴,东南风,2级,27.0,6
2019-08-04,29,24,阴,西北风,2级,26.5,5
2019-08-05,33,24,阴,东南风,2级,28.5,9
2019-08-06,33,24,阴,西南风,2级,28.5,9
2019-08-07,30,25,阴,西北风,1级,27.5,5
2019-08-08,32,26,多云,东南风,2级,29.0,6
2019-08-09,32,23,阴,西南风,3级,27.5,9
2019-08-10,29,23,小雨,东南风,3级,26.0,6
2019-08-11,24,21,中雨,西北风,4级,22.5,3
2019-08-12,25,22,小雨,北风,4级,23.5,3
2019-08-13,25,21,小雨,东南风,1级,23.0,4
2019-08-14,31,23,多云,东南风,2级,27.0,8
2019-08-15,32,22,晴,东南风,3级,27.0,10
2019-08-16,30,21,多云,西北风,2级,25.5,9
2019-08-17,31,20,晴,西北风,1级,25.5,11
2019-08-18,32,21,晴,东北风,2级,26.5,11
2019-08-19,32,22,阴,东南风,2级,27.0,10
2019-08-20,27,21,阴,东南风,2级,24.0,6
2019-08-21,31,20,晴,西南风,1级,25.5,11
2019-08-22,29,22,阴,西北风,1级,25.5,7
2019-08-23,31,20,多云,东南风,2级,25.5,11
2019-08-24,31,22,多云,西北风,2级,26.5,9
2019-08-25,31,22,多云,西北风,2级,26.5,9
2019-08-26,27,22,阴,西南风,1级,24.5,5
2019-08-27,33,20,晴,东南风,1级,26.5,13
2019-08-28,32,19,晴,西南风,3级,25.5,13
2019-08-29,28,20,晴,西北风,1级,24.0,8
2019-08-30,30,20,晴,东南风,2级,25.0,10
2019-08-31,31,20,晴,东北风,2级,25.5,11
2019-07-01,32,24,晴,东北风,1级,28.0,8
2019-07-02,33,23,多云,东南风,2级,28.0,10
2019-07-03,37,25,晴,东南风,2级,31.0,12
2019-07-04,38,27,晴,东南风,4级,32.5,11
2019-07-05,32,22,小雨,西南风,3级,27.0,10
2019-07-06,23,21,中雨,东南风,1级,22.0,2
2019-07-07,27,22,小雨,西北风,2级,24.5,5
2019-07-08,30,22,多云,西南风,2级,26.0,8
2019-07-09,28,21,阴,东南风,2级,24.5,7
2019-07-10,28,23,阴,东北风,2级,25.5,5
2019-07-11,30,23,晴,东南风,2级,26.5,7
2019-07-12,31,23,多云,东北风,2级,27.0,8
2019-07-13,31,23,多云,东南风,3级,27.0,8
2019-07-14,31,22,多云,东南风,2级,26.5,9
2019-07-15,33,24,晴,东南风,2级,28.5,9
2019-07-16,31,25,阴,东南风,2级,28.0,6
2019-07-17,31,24,阴,东北风,3级,27.5,7
2019-07-18,31,25,多云,东南风,3级,28.0,6
2019-07-19,32,25,阴,东北风,2级,28.5,7
2019-07-20,29,23,小雨,东南风,1级,26.0,6
2019-07-21,36,27,多云,西北风,1级,31.5,9
2019-07-22,35,24,阴,东南风,2级,29.5,11
2019-07-23,34,25,阴,东南风,2级,29.5,9
2019-07-24,37,26,晴,东南风,2级,31.5,11
2019-07-25,36,27,阴,东南风,1级,31.5,9
2019-07-26,36,28,晴,东南风,2级,32.0,8
2019-07-27,36,27,晴,东南风,4级,31.5,9
2019-07-28,34,26,多云,东南风,3级,30.0,8
2019-07-29,32,23,暴雨,东北风,3级,27.5,9
2019-07-30,33,26,晴,西北风,2级,29.5,7
2019-07-31,34,26,晴,东南风,2级,30.0,8
2019-06-01,30,19,阴,东南风,2级,24.5,11
2019-06-02,32,20,多云,东南风,2级,26.0,12
2019-06-03,30,20,多云,东北风,3级,25.0,10
2019-06-04,26,18,阴,东北风,2级,22.0,8
2019-06-05,24,20,阴,东北风,1级,22.0,4
2019-06-06,23,18,阴,东南风,2级,20.5,5
2019-06-07,30,21,多云,东南风,1级,25.5,9
2019-06-08,34,19,多云,东南风,2级,26.5,15
2019-06-09,29,18,晴,东南风,4级,23.5,11
2019-06-10,30,19,晴,东南风,3级,24.5,11
2019-06-11,28,22,晴,东南风,2级,25.0,6
2019-06-12,33,19,多云,东南风,1级,26.0,14
2019-06-13,31,20,阴,东南风,3级,25.5,11
2019-06-14,33,21,多云,东北风,3级,27.0,12
2019-06-15,29,21,阴,东南风,4级,25.0,8
2019-06-16,22,19,小雨,东南风,2级,20.5,3
2019-06-17,30,20,多云,东北风,2级,25.0,10
2019-06-18,34,24,多云,东北风,3级,29.0,10
2019-06-19,25,21,小雨,东南风,2级,23.0,4
2019-06-20,33,23,阴,东南风,2级,28.0,10
2019-06-21,28,21,多云,东北风,2级,24.5,7
2019-06-22,34,22,晴,东南风,3级,28.0,12
2019-06-23,30,23,晴,东南风,2级,26.5,7
2019-06-24,37,25,多云,东南风,3级,31.0,12
2019-06-25,35,25,多云,东南风,3级,30.0,10
2019-06-26,32,23,多云,东北风,3级,27.5,9
2019-06-27,33,23,阴,东南风,3级,28.0,10
2019-06-28,31,23,阴,东北风,2级,27.0,8
2019-06-29,34,22,晴,西北风,4级,28.0,12
2019-06-30,30,22,多云,东南风,1级,26.0,8
2019-05-01,28,15,晴,西南风,1级,21.5,13
2019-05-02,30,16,多云,西北风,2级,23.0,14
2019-05-03,30,16,多云,东北风,2级,23.0,14
2019-05-04,28,15,阴,东南风,3级,21.5,13
2019-05-05,22,9,阴,东南风,2级,15.5,13
2019-05-06,24,14,晴,西南风,2级,19.0,10
2019-05-07,28,15,晴,西南风,2级,21.5,13
2019-05-08,24,14,阴,西北风,2级,19.0,10
2019-05-09,30,16,晴,东南风,2级,23.0,14
2019-05-10,28,17,阴,东南风,2级,22.5,11
2019-05-11,27,17,多云,东南风,3级,22.0,10
2019-05-12,27,12,阴,西北风,3级,19.5,15
2019-05-13,25,14,晴,东北风,3级,19.5,11
2019-05-14,26,18,多云,东北风,3级,22.0,8
2019-05-15,32,18,阴,西北风,3级,25.0,14
2019-05-16,32,21,晴,东南风,2级,26.5,11
2019-05-17,30,19,阴,东南风,2级,24.5,11
2019-05-18,25,18,阴,东南风,3级,21.5,7
2019-05-19,26,14,阴,西北风,4级,20.0,12
2019-05-20,26,15,晴,西北风,3级,20.5,11
2019-05-21,31,16,晴,西北风,1级,23.5,15
2019-05-22,36,18,晴,西南风,3级,27.0,18
2019-05-23,37,23,晴,东南风,2级,30.0,14
2019-05-24,35,24,阴,东南风,2级,29.5,11
2019-05-25,34,25,多云,东南风,2级,29.5,9
2019-05-26,30,18,阴,西北风,3级,24.0,12
2019-05-27,27,16,晴,西南风,1级,21.5,11
2019-05-28,32,18,晴,西南风,2级,25.0,14
2019-05-29,32,21,晴,东北风,2级,26.5,11
2019-05-30,30,17,阴,西北风,2级,23.5,13
2019-05-31,30,17,晴,东北风,2级,23.5,13
2019-04-01,15,6,多云,东南风,2级,10.5,9
2019-04-02,17,7,晴,东南风,2级,12.0,10
2019-04-03,20,8,晴,东北风,2级,14.0,12
2019-04-04,27,10,多云,西北风,2级,18.5,17
2019-04-05,15,7,扬沙,东北风,4级,11.0,8
2019-04-06,18,7,阴,东南风,1级,12.5,11
2019-04-07,15,7,多云,东北风,3级,11.0,8
2019-04-08,14,5,阴,东北风,3级,9.5,9
2019-04-09,10,4,阴,西北风,2级,7.0,6
2019-04-10,18,8,晴,东南风,3级,13.0,10
2019-04-11,16,6,阴,西北风,1级,11.0,10
2019-04-12,21,10,多云,东南风,2级,15.5,11
2019-04-13,18,10,多云,西南风,2级,14.0,8
2019-04-14,23,9,晴,西北风,2级,16.0,14
2019-04-15,27,14,晴,东南风,2级,20.5,13
2019-04-16,24,14,阴,东南风,2级,19.0,10
2019-04-17,28,16,晴,东南风,1级,22.0,12
2019-04-18,18,10,多云,东北风,4级,14.0,8
2019-04-19,17,10,阴,东南风,2级,13.5,7
2019-04-20,14,9,阴,南风,微风,11.5,5
2019-04-21,16,10,阴,东南风,2级,13.0,6
2019-04-22,25,14,多云,东北风,2级,19.5,11
2019-04-23,24,15,多云,东南风,2级,19.5,9
2019-04-24,20,8,阴,东北风,3级,14.0,12
2019-04-25,16,8,多云,西北风,1级,12.0,8
2019-04-26,18,8,阴,西北风,3级,13.0,10
2019-04-27,14,6,阴,东南风,1级,10.0,8
2019-04-28,17,9,多云,东南风,2级,13.0,8
2019-04-29,22,15,阴,西南风,2级,18.5,7
2019-04-30,23,12,多云,西北风,3级,17.5,11
2019-03-01,14,2,多云,东南风,2级,8.0,12
2019-03-02,16,2,多云,东南风,1级,9.0,14
2019-03-03,15,2,多云,东北风,2级,8.5,13
2019-03-04,15,2,多云,东南风,2级,8.5,13
2019-03-05,18,2,多云,西北风,2级,10.0,16
2019-03-06,11,-2,晴,东北风,微风,4.5,13
2019-03-07,13,3,晴,南风,微风,8.0,10
2019-03-08,15,4,晴,东北风,2级,9.5,11
2019-03-09,14,4,阴,东北风,2级,9.0,10
2019-03-10,10,2,阴,东南风,2级,6.0,8
2019-03-11,17,2,多云,西北风,3级,9.5,15
2019-03-12,11,1,晴,西南风,1级,6.0,10
2019-03-13,16,3,晴,西北风,2级,9.5,13
2019-03-14,16,3,多云,西南风,2级,9.5,13
2019-03-15,12,1,晴,东北风,3级,6.5,11
2019-03-16,18,4,晴,东南风,1级,11.0,14
2019-03-17,21,6,晴,东南风,2级,13.5,15
2019-03-18,22,10,阴,东南风,1级,16.0,12
2019-03-19,25,14,晴,西南风,1级,19.5,11
2019-03-20,16,7,阴,东北风,3级,11.5,9
2019-03-21,11,2,晴,西南风,1级,6.5,9
2019-03-22,14,4,晴,西南风,1级,9.0,10
2019-03-23,11,2,晴,西南风,1级,6.5,9
2019-03-24,20,6,晴,西北风,2级,13.0,14
2019-03-25,23,7,晴,东南风,2级,15.0,16
2019-03-26,14,4,晴,东北风,3级,9.0,10
2019-03-27,20,5,晴,东南风,4级,12.5,15
2019-03-28,9,3,阴,西南风,微风,6.0,6
2019-03-29,14,4,阴,东南风,3级,9.0,10
2019-03-30,11,2,晴,西北风,2级,6.5,9
2019-03-31,15,4,晴,南风,微风,9.5,11
2019-02-01,7,-2,晴,南风,微风,2.5,9
2019-02-02,2,-3,阴,西北风,2级,-0.5,5
2019-02-03,7,-5,阴,西北风,4级,1.0,12
2019-02-04,8,-4,多云,东北风,2级,2.0,12
2019-02-05,0,-4,多云,东南风,3级,-2.0,4
2019-02-06,-1,-8,阴,东南风,2级,-4.5,7
2019-02-07,-3,-8,多云,东南风,1级,-5.5,5
2019-02-08,0,-9,阴,东南风,微风,-4.5,9
2019-02-09,-2,-8,多云,东南风,1级,-5.0,6
2019-02-10,-1,-7,阴,东南风,微风,-4.0,6
2019-02-11,2,-6,多云,东南风,1级,-2.0,8
2019-02-12,-1,-9,阴,东北风,2级,-5.0,8
2019-02-13,0,-5,多云,东南风,1级,-2.5,5
2019-02-14,0,-6,阴,东北风,2级,-3.0,6
2019-02-15,0,-7,晴,西北风,3级,-3.5,7
2019-02-16,2,-6,晴,西北风,2级,-2.0,8
