日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,16,晴,东北风,3级,22.5,13
2019-09-02,25,15,多云,东北风,2级,20.0,10
2019-09-03,25,13,晴,西南风,2级,19.0,12
2019-09-04,30,18,晴,西南风,3级,24.0,12
2019-09-05,30,17,多云,东南风,2级,23.5,13
2019-09-06,29,17,多云,西南风,2级,23.0,12
2019-09-07,26,19,多云,东北风,2级,22.5,7
2019-09-08,26,13,多云,西北风,2级,19.5,13
2019-09-09,22,11,晴,西北风,2级,16.5,11
2019-09-10,22,10,晴,东南风,2级,16.0,12
2019-09-11,25,12,晴,东南风,2级,18.5,13
2019-09-12,24,15,阴,东南风,3级,19.5,9
2019-09-13,21,10,阴,西南风,1级,15.5,11
2019-09-14,24,13,晴,西南风,2级,18.5,11
2019-09-15,27,5,晴,西北风,3级,16.0,22
2019-09-16,20,11,晴,西南风,3级,15.5,9
2019-09-17,23,7,阴,西北风,3级,15.0,16
2019-09-18,21,5,晴,西北风,2级,13.0,16
2019-09-19,19,6,晴,东南风,3级,12.5,13
2019-09-20,22,7,晴,西南风,1级,14.5,15
2019-09-21,20,6,阴,东南风,2级,13.0,14
2019-09-22,26,9,多云,西南风,2级,17.5,17
2019-09-23,29,9,晴,东北风,4级,19.0,20
2019-09-24,23,10,晴,东南风,2级,16.5,13
2019-09-25,23,10,晴,东北风,2级,16.5,13
2019-09-26,26,12,晴,东南风,2级,19.0,14
2019-09-27,31,13,多云,西南风,3级,22.0,18
2019-09-28,29,10,晴,西北风,2级,19.5,19
2019-09-29,19,9,阴,东南风,3级,14.0,10
2019-09-30,26,17,多云,西南风,3级,21.5,9
2019-08-01,30,20,晴,东北风,2级,25.0,10
2019-08-02,33,22,晴,东南风,2级,27.5,11
2019-08-03,31,22,阴,东南风,2级,26.5,9
2019-08-04,35,23,晴,西南风,3级,29.0,12
2019-08-05,33,23,阴,东南风,2级,28.0,10
2019-08-06,23,21,小雨,西北风,3级,22.0,2
2019-08-07,25,20,阴,东北风,5级,22.5,5
2019-08-08,20,17,小雨,北风,2级,18.5,3
2019-08-09,23,18,多云,东北风,1级,20.5,5
2019-08-10,18,17,小雨,西北风,1级,17.5,1
2019-08-11,21,18,阴,东北风,2级,19.5,3
2019-08-12,24,18,多云,东北风,2级,21.0,6
2019-08-13,25,19,多云,东北风,1级,22.0,6
2019-08-14,28,17,多云,东北风,1级,22.5,11
2019-08-15,28,17,阴,东北风,1级,22.5,11
2019-08-16,25,17,多云,西北风,1级,21.0,8
2019-08-17,24,16,阴,西北风,1级,20.0,8
2019-08-18,27,15,多云,西北风,1级,21.0,12
2019-08-19,26,16,多云,东南风,2级,21.0,10
2019-08-20,24,17,阴,东南风,4级,20.5,7
2019-08-21,24,17,多云,西南风,3级,20.5,7
2019-08-22,24,17,小雨,西北风,1级,20.5,7
2019-08-23,24,15,小雨,东北风,2级,19.5,9
2019-08-24,25,15,晴,东南风,1级,20.0,10
2019-08-25,24,17,阴,东南风,2级,20.5,7
2019-08-26,20,13,小雨,西北风,2级,16.5,7
