日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,19,多云,东北风,2级,25.0,12
2019-09-02,29,18,阴,东南风,1级,23.5,11
2019-09-03,30,18,晴,东南风,微风,24.0,12
2019-09-04,31,18,晴,东北风,1级,24.5,13
2019-09-05,31,18,晴,南风,微风,24.5,13
2019-09-06,32,18,晴,东北风,1级,25.0,14
2019-09-07,33,20,晴,西南风,1级,26.5,13
2019-09-08,35,20,晴,东北风,3级,27.5,15
2019-09-09,33,22,多云,东南风,3级,27.5,11
2019-09-10,25,20,阴,东北风,1级,22.5,5
2019-09-11,18,18,阴,东北风,2级,18.0,0
2019-09-12,18,18,阴,东南风,1级,18.0,0
2019-09-13,28,19,多云,西南风,2级,23.5,9
2019-09-14,21,17,阴,西北风,1级,19.0,4
2019-09-15,19,16,阴,东南风,1级,17.5,3
2019-09-16,24,18,多云,东南风,2级,21.0,6
2019-09-17,21,15,阴,南风,微风,18.0,6
2019-09-18,26,17,多云,东北风,2级,21.5,9
2019-09-19,20,17,阴,西南风,1级,18.5,3
2019-09-20,27,15,阴,东南风,2级,21.0,12
2019-09-21,28,14,晴,西北风,1级,21.0,14
2019-09-22,29,15,晴,西北风,1级,22.0,14
2019-09-23,30,17,晴,西北风,1级,23.5,13
2019-09-24,30,16,多云,西南风,1级,23.0,14
2019-09-25,30,14,多云,东南风,1级,22.0,16
2019-09-26,30,15,晴,东南风,1级,22.5,15
2019-09-27,29,16,多云,西南风,2级,22.5,13
2019-09-28,30,16,晴,北风,微风,23.0,14
2019-09-29,30,16,多云,西北风,微风,23.0,14
2019-09-30,30,18,晴,东南风,2级,24.0,12
2019-08-01,34,23,多云,东北风,1级,28.5,11
2019-08-02,29,23,多云,东南风,2级,26.0,6
2019-08-03,28,22,小雨,东南风,2级,25.0,6
2019-08-04,29,23,小雨,西北风,3级,26.0,6
2019-08-05,30,23,小雨,西北风,微风,26.5,7
2019-08-06,28,23,大雨,西南风,1级,25.5,5
2019-08-07,33,24,阴,东南风,2级,28.5,9
2019-08-08,31,24,阴,东北风,1级,27.5,7
2019-08-09,30,23,阴,西北风,1级,26.5,7
2019-08-10,31,23,雾,东北风,4级,27.0,8
2019-08-11,26,22,多云,东北风,3级,24.0,4
2019-08-12,32,22,阴,东北风,3级,27.0,10
2019-08-13,32,23,多云,东北风,2级,27.5,9
2019-08-14,32,22,中雨,东北风,2级,27.0,10
2019-08-15,34,22,晴,东北风,1级,28.0,12
2019-08-16,33,21,晴,东南风,3级,27.0,12
2019-08-17,31,21,多云,北风,微风,26.0,10
2019-08-18,31,23,晴,东北风,2级,27.0,8
2019-08-19,31,23,多云,东南风,3级,27.0,8
2019-08-20,32,24,多云,西北风,1级,28.0,8
2019-08-21,25,22,中雨,西南风,1级,23.5,3
2019-08-22,31,22,阴,西南风,1级,26.5,9
2019-08-23,32,23,多云,东北风,2级,27.5,9
2019-08-24,32,21,多云,东南风,3级,26.5,11
2019-08-25,27,22,多云,东北风,3级,24.5,5
2019-08-26,30,23,阴,西北风,1级,26.5,7
2019-08-27,28,20,小雨,东南风,1级,24.0,8
2019-08-28,34,19,晴,西风,3级,26.5,15
2019-08-29,33,18,晴,东南风,3级,25.5,15
2019-08-30,31,19,晴,东北风,2级,25.0,12
2019-08-31,31,20,多云,东北风,3级,25.5,11
2019-07-01,36,23,晴,东南风,1级,29.5,13
2019-07-02,37,23,多云,西北风,2级,30.0,14
2019-07-03,36,25,阴,东南风,1级,30.5,11
2019-07-04,34,23,大雨,西南风,2级,28.5,11
2019-07-05,36,23,多云,西南风,2级,29.5,13
2019-07-06,36,21,晴,东南风,5级,28.5,15
2019-07-07,33,20,晴,东南风,3级,26.5,13
2019-07-08,27,21,阴,东南风,2级,24.0,6
2019-07-09,30,21,阴,东北风,2级,25.5,9
2019-07-10,27,21,中雨,东南风,2级,24.0,6
2019-07-11,30,22,多云,南风,微风,26.0,8
2019-07-12,32,22,阴,西南风,1级,27.0,10
2019-07-13,35,23,阴,东北风,1级,29.0,12
2019-07-14,37,23,多云,西南风,2级,30.0,14
2019-07-15,34,24,阴,东北风,3级,29.0,10
2019-07-16,32,24,阴,东北风,2级,28.0,8
2019-07-17,27,23,小雨,西北风,2级,25.0,4
2019-07-18,32,23,多云,东北风,1级,27.5,9
2019-07-19,35,25,多云,东南风,1级,30.0,10
2019-07-20,37,25,多云,东南风,2级,31.0,12
2019-07-21,36,27,多云,东南风,2级,31.5,9
2019-07-22,36,25,阴,西南风,2级,30.5,11
2019-07-23,41,26,多云,东南风,3级,33.5,15
2019-07-24,36,26,多云,东南风,2级,31.0,10
2019-07-25,36,26,阴,东南风,微风,31.0,10
2019-07-26,37,25,多云,西南风,2级,31.0,12
2019-07-27,35,26,阴,西南风,2级,30.5,9
2019-07-28,36,27,阴,东南风,1级,31.5,9
2019-07-29,35,25,阴,西南风,3级,30.0,10
2019-07-30,37,26,多云,东南风,1级,31.5,11
2019-07-31,38,24,多云,东北风,1级,31.0,14
2019-06-01,36,19,多云,西南风,1级,27.5,17
2019-06-02,41,19,多云,东南风,2级,30.0,22
2019-06-03,39,22,多云,东北风,3级,30.5,17
2019-06-04,38,25,多云,东南风,2级,31.5,13
2019-06-05,30,20,阴,东南风,2级,25.0,10
2019-06-06,28,19,多云,东北风,2级,23.5,9
2019-06-07,34,20,多云,东南风,1级,27.0,14
2019-06-08,37,21,多云,西南风,1级,29.0,16
2019-06-09,37,19,晴,东北风,3级,28.0,18
2019-06-10,34,22,多云,东北风,2级,28.0,12
2019-06-11,35,21,阴,东南风,1级,28.0,14
2019-06-12,34,21,多云,西南风,1级,27.5,13
2019-06-13,36,21,晴,东南风,1级,28.5,15
2019-06-14,37,24,晴,东南风,2级,30.5,13
2019-06-15,35,23,阴,东北风,1级,29.0,12
2019-06-16,35,21,多云,东南风,1级,28.0,14
2019-06-17,34,22,多云,南风,微风,28.0,12
2019-06-18,37,25,晴,东北风,2级,31.0,12
2019-06-19,34,25,多云,东南风,1级,29.5,9
2019-06-20,23,21,小雨,西北风,1级,22.0,2
2019-06-21,29,24,多云,南风,微风,26.5,5
2019-06-22,32,22,阴,东北风,1级,27.0,10
2019-06-23,35,22,阴,东南风,1级,28.5,13
2019-06-24,32,22,阴,西北风,1级,27.0,10
2019-06-25,32,21,多云,西南风,1级,26.5,11
2019-06-26,34,20,多云,东南风,1级,27.0,14
2019-06-27,33,22,多云,东南风,1级,27.5,11
2019-06-28,26,20,小雨,西南风,1级,23.0,6
2019-06-29,35,22,阴,西南风,2级,28.5,13
2019-06-30,34,21,多云,南风,微风,27.5,13
2019-05-01,24,13,多云,西南风,1级,18.5,11
2019-05-02,26,13,晴,东南风,2级,19.5,13
2019-05-03,25,17,阴,东南风,2级,21.0,8
2019-05-04,25,15,阴,东北风,2级,20.0,10
2019-05-05,26,14,阴,东南风,4级,20.0,12
2019-05-06,19,13,阴,东南风,1级,16.0,6
2019-05-07,20,13,阴,东南风,1级,16.5,7
2019-05-08,24,13,多云,西南风,3级,18.5,11
2019-05-09,26,13,阴,东北风,2级,19.5,13
2019-05-10,31,15,多云,东北风,2级,23.0,16
2019-05-11,30,15,阴,东南风,2级,22.5,15
2019-05-12,30,16,阴,西北风,4级,23.0,14
2019-05-13,22,13,多云,东南风,1级,17.5,9
2019-05-14,26,15,多云,东北风,1级,20.5,11
2019-05-15,28,17,阴,东北风,2级,22.5,11
2019-05-16,30,20,阴,西北风,2级,25.0,10
2019-05-17,32,19,多云,东南风,2级,25.5,13
2019-05-18,26,18,阴,东南风,3级,22.0,8
2019-05-19,28,14,多云,西北风,4级,21.0,14
2019-05-20,29,13,多云,西南风,1级,21.0,16
2019-05-21,34,17,阴,西南风,3级,25.5,17
2019-05-22,37,17,晴,西南风,1级,27.0,20
2019-05-23,38,18,多云,东北风,1级,28.0,20
2019-05-24,31,21,阴,东南风,2级,26.0,10
