日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,14,晴,东南风,2级,22.5,17
2019-09-02,29,16,晴,东南风,5级,22.5,13
2019-09-03,29,15,晴,东南风,4级,22.0,14
2019-09-04,29,17,晴,西南风,5级,23.0,12
2019-09-05,28,17,多云,东南风,3级,22.5,11
2019-09-06,30,18,晴,西南风,2级,24.0,12
2019-09-07,26,18,阴,东南风,3级,22.0,8
2019-09-08,28,16,阴,东北风,2级,22.0,12
2019-09-09,22,14,阴,东北风,2级,18.0,8
2019-09-10,24,15,多云,东南风,3级,19.5,9
2019-09-11,27,18,多云,东南风,3级,22.5,9
2019-09-12,19,7,阴,西南风,2级,13.0,12
2019-09-13,21,8,多云,东南风,2级,14.5,13
2019-09-14,23,9,多云,东南风,1级,16.0,14
2019-09-15,26,9,晴,东北风,2级,17.5,17
2019-09-16,26,10,多云,东南风,1级,18.0,16
2019-09-17,28,12,阴,东北风,4级,20.0,16
2019-09-18,26,12,多云,东南风,3级,19.0,14
2019-09-19,19,8,阴,西北风,1级,13.5,11
2019-09-20,24,8,晴,东北风,2级,16.0,16
2019-09-21,25,9,晴,东北风,1级,17.0,16
2019-09-22,26,9,晴,东南风,1级,17.5,17
2019-09-23,27,10,晴,东北风,2级,18.5,17
2019-09-24,27,7,晴,东北风,2级,17.0,20
2019-09-25,27,9,晴,东北风,2级,18.0,18
2019-09-26,26,10,晴,东北风,2级,18.0,16
2019-09-27,26,13,晴,东南风,1级,19.5,13
2019-09-28,28,13,晴,东南风,1级,20.5,15
2019-09-29,29,15,晴,东南风,2级,22.0,14
2019-09-30,29,15,晴,东南风,2级,22.0,14
2019-08-01,35,19,晴,东北风,1级,27.0,16
2019-08-02,33,18,小雨,西南风,3级,25.5,15
2019-08-03,29,16,多云,东南风,2级,22.5,13
2019-08-04,31,17,晴,西南风,1级,24.0,14
2019-08-05,36,18,多云,东南风,2级,27.0,18
2019-08-06,36,18,晴,东北风,3级,27.0,18
2019-08-07,32,19,阴,东北风,3级,25.5,13
2019-08-08,27,16,小雨,东南风,2级,21.5,11
2019-08-09,34,16,多云,东北风,3级,25.0,18
2019-08-10,29,16,晴,东北风,2级,22.5,13
2019-08-11,29,15,晴,东北风,3级,22.0,14
2019-08-12,31,17,晴,东北风,3级,24.0,14
2019-08-13,24,15,阴,西南风,2级,19.5,9
2019-08-14,33,16,晴,东南风,2级,24.5,17
2019-08-15,36,14,晴,东北风,6级,25.0,22
2019-08-16,27,12,阴,东北风,3级,19.5,15
2019-08-17,30,17,晴,东南风,1级,23.5,13
2019-08-18,34,19,阴,东南风,4级,26.5,15
2019-08-19,31,16,阴,西北风,3级,23.5,15
2019-08-20,28,14,多云,东北风,1级,21.0,14
2019-08-21,29,16,阴,东北风,2级,22.5,13
