日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,22,阴,西北风,2级,22.5,1
2019-09-02,26,22,阴,西北风,2级,24.0,4
2019-09-03,28,23,小雨,西北风,2级,25.5,5
2019-09-04,28,24,阴,西北风,1级,26.0,4
2019-09-05,30,24,阴,东北风,2级,27.0,6
2019-09-06,28,23,阴,西北风,2级,25.5,5
2019-09-07,31,21,晴,东南风,2级,26.0,10
2019-09-08,30,20,晴,东北风,2级,25.0,10
2019-09-09,31,23,晴,东南风,2级,27.0,8
2019-09-10,33,24,晴,东南风,3级,28.5,9
2019-09-11,33,24,晴,东南风,2级,28.5,9
2019-09-12,32,24,多云,东南风,2级,28.0,8
2019-09-13,31,23,多云,东北风,2级,27.0,8
2019-09-14,30,23,晴,东北风,3级,26.5,7
2019-09-15,29,23,多云,东北风,4级,26.0,6
2019-09-16,29,22,多云,东北风,2级,25.5,7
2019-09-17,29,21,多云,东北风,4级,25.0,8
2019-09-18,28,22,多云,东北风,3级,25.0,6
2019-09-19,26,20,多云,东北风,4级,23.0,6
2019-09-20,26,20,阴,东北风,3级,23.0,6
2019-09-21,21,19,阴,西北风,6级,20.0,2
2019-09-22,22,18,阴,西北风,3级,20.0,4
2019-09-23,26,16,多云,西北风,1级,21.0,10
2019-09-24,27,15,多云,西南风,1级,21.0,12
2019-09-25,28,16,晴,东南风,1级,22.0,12
2019-09-26,28,16,多云,东南风,1级,22.0,12
2019-09-27,28,18,多云,东北风,2级,23.0,10
2019-09-28,27,19,多云,西南风,1级,23.0,8
2019-09-29,28,19,多云,东北风,2级,23.5,9
2019-09-30,27,21,阴,东北风,2级,24.0,6
2019-08-01,34,26,多云,东南风,3级,30.0,8
2019-08-02,33,26,阴,东南风,2级,29.5,7
2019-08-03,32,25,小雨,东南风,3级,28.5,7
2019-08-04,27,24,中雨,东南风,2级,25.5,3
2019-08-05,32,24,小雨,东南风,2级,28.0,8
2019-08-06,33,24,阴,东南风,3级,28.5,9
2019-08-07,32,26,多云,东南风,1级,29.0,6
2019-08-08,32,27,小雨,东北风,3级,29.5,5
2019-08-09,28,26,大雨,东北风,6级,27.0,2
2019-08-10,27,26,中雨,东南风,5级,26.5,1
2019-08-11,35,26,多云,西南风,2级,30.5,9
2019-08-12,35,25,多云,东南风,2级,30.0,10
2019-08-13,35,25,多云,东南风,2级,30.0,10
2019-08-14,34,25,多云,西南风,2级,29.5,9
2019-08-15,33,25,多云,西北风,1级,29.0,8
2019-08-16,34,25,晴,东南风,2级,29.5,9
2019-08-17,36,25,晴,东南风,2级,30.5,11
2019-08-18,35,24,阴,西南风,2级,29.5,11
2019-08-19,31,24,多云,东南风,2级,27.5,7
2019-08-20,32,24,多云,东南风,2级,28.0,8
2019-08-21,34,23,多云,东南风,3级,28.5,11
2019-08-22,33,25,中雨,西北风,1级,29.0,8
2019-08-23,34,25,小雨,西南风,1级,29.5,9
2019-08-24,33,27,多云,东南风,3级,30.0,6
2019-08-25,30,27,中雨,东南风,2级,28.5,3
2019-08-26,34,26,阴,东南风,2级,30.0,8
2019-08-27,35,26,阴,东南风,2级,30.5,9
2019-08-28,35,25,阴,东南风,1级,30.0,10
2019-08-29,26,22,小雨,西北风,1级,24.0,4
2019-08-30,28,21,阴,东南风,1级,24.5,7
2019-08-31,27,21,阴,东北风,1级,24.0,6
2019-07-01,28,23,小雨,东南风,1级,25.5,5
2019-07-02,26,23,阴,东北风,2级,24.5,3
2019-07-03,25,22,中雨,东南风,2级,23.5,3
2019-07-04,25,20,小雨,东南风,1级,22.5,5
2019-07-05,27,23,小雨,东南风,1级,25.0,4
2019-07-06,29,23,多云,东南风,2级,26.0,6
2019-07-07,32,24,多云,东北风,1级,28.0,8
2019-07-08,28,22,阴,西南风,2级,25.0,6
