日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,17,晴,西北风,1级,23.0,12
2019-09-02,30,18,晴,西北风,2级,24.0,12
2019-09-03,30,17,晴,西北风,1级,23.5,13
2019-09-04,27,18,晴,东北风,1级,22.5,9
2019-09-05,28,18,多云,西北风,微风,23.0,10
2019-09-06,30,19,晴,东北风,微风,24.5,11
2019-09-07,28,19,阴,西南风,1级,23.5,9
2019-09-08,30,21,晴,东南风,微风,25.5,9
2019-09-09,28,17,晴,东南风,4级,22.5,11
2019-09-10,24,15,阴,东北风,1级,19.5,9
2019-09-11,24,16,阴,东北风,1级,20.0,8
2019-09-12,25,18,阴,西北风,3级,21.5,7
2019-09-13,25,16,阴,东南风,1级,20.5,9
2019-09-14,26,16,晴,西北风,微风,21.0,10
2019-09-15,29,16,晴,西北风,1级,22.5,13
2019-09-16,24,13,晴,东南风,2级,18.5,11
2019-09-17,27,13,多云,西北风,微风,20.0,14
2019-09-18,23,13,晴,西北风,微风,18.0,10
2019-09-19,24,14,阴,西南风,2级,19.0,10
2019-09-20,25,16,阴,东北风,1级,20.5,9
2019-09-21,23,13,多云,东北风,2级,18.0,10
2019-09-22,24,11,晴,西北风,1级,17.5,13
2019-09-23,25,14,晴,西北风,微风,19.5,11
2019-09-24,26,12,晴,西北风,1级,19.0,14
2019-09-25,27,14,晴,西南风,3级,20.5,13
2019-09-26,25,13,多云,西北风,微风,19.0,12
2019-09-27,24,14,多云,东北风,微风,19.0,10
2019-09-28,25,16,多云,西南风,2级,20.5,9
2019-09-29,28,15,晴,东南风,1级,21.5,13
2019-09-30,27,16,晴,西南风,1级,21.5,11
2019-08-01,30,25,多云,东南风,2级,27.5,5
2019-08-02,26,21,暴雨,东北风,3级,23.5,5
2019-08-03,28,22,阴,西南风,微风,25.0,6
2019-08-04,29,23,阴,东南风,1级,26.0,6
2019-08-05,29,23,阴,南风,微风,26.0,6
2019-08-06,28,23,暴雨,西南风,1级,25.5,5
2019-08-07,27,22,阴,西北风,1级,24.5,5
2019-08-08,30,22,多云,西南风,微风,26.0,8
2019-08-09,29,23,阴,东南风,2级,26.0,6
2019-08-10,29,22,阴,南风,微风,25.5,7
2019-08-11,24,22,大雨,东北风,5级,23.0,2
2019-08-12,24,21,暴雨,东北风,3级,22.5,3
2019-08-13,22,21,中雨,东北风,1级,21.5,1
2019-08-14,27,21,小雨,西北风,微风,24.0,6
2019-08-15,29,20,晴,西南风,1级,24.5,9
2019-08-16,28,18,小雨,西北风,1级,23.0,10
2019-08-17,28,18,多云,西南风,微风,23.0,10
2019-08-18,29,18,多云,东北风,1级,23.5,11
2019-08-19,29,20,多云,西南风,2级,24.5,9
2019-08-20,27,19,阴,西北风,4级,23.0,8
2019-08-21,30,18,晴,北风,微风,24.0,12
2019-08-22,28,17,阴,西北风,微风,22.5,11
2019-08-23,27,18,晴,西北风,微风,22.5,9
2019-08-24,28,17,多云,东南风,1级,22.5,11
2019-08-25,29,19,多云,西南风,2级,24.0,10
2019-08-26,26,19,小雨,西南风,1级,22.5,7
2019-08-27,28,17,晴,西北风,1级,22.5,11
