日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,21,阴,东北风,3级,24.5,7
2019-09-02,23,21,阴,东北风,3级,22.0,2
2019-09-03,27,21,多云,东北风,3级,24.0,6
2019-09-04,29,23,多云,东北风,2级,26.0,6
2019-09-05,31,23,多云,东北风,2级,27.0,8
2019-09-06,33,23,晴,东北风,2级,28.0,10
2019-09-07,35,26,晴,东北风,1级,30.5,9
2019-09-08,35,24,晴,东北风,2级,29.5,11
2019-09-09,35,27,多云,东北风,3级,31.0,8
2019-09-10,35,26,多云,东北风,2级,30.5,9
2019-09-11,36,27,晴,东北风,2级,31.5,9
2019-09-12,36,27,晴,东北风,2级,31.5,9
2019-09-13,36,27,晴,东北风,2级,31.5,9
2019-09-14,35,26,多云,东北风,3级,30.5,9
2019-09-15,34,25,晴,东北风,3级,29.5,9
2019-09-16,33,25,多云,东北风,4级,29.0,8
2019-09-17,32,23,多云,东北风,4级,27.5,9
2019-09-18,32,22,多云,东北风,4级,27.0,10
2019-09-19,30,20,晴,东北风,2级,25.0,10
2019-09-20,30,21,晴,东北风,3级,25.5,9
2019-09-21,30,20,多云,东北风,3级,25.0,10
2019-09-22,29,20,晴,东北风,2级,24.5,9
2019-09-23,30,21,晴,东北风,3级,25.5,9
2019-09-24,31,20,多云,东北风,3级,25.5,11
2019-09-25,30,21,晴,东北风,2级,25.5,9
2019-09-26,27,22,多云,东北风,2级,24.5,5
2019-09-27,30,21,多云,东北风,2级,25.5,9
2019-09-28,31,21,晴,东北风,2级,26.0,10
2019-09-29,32,21,晴,东北风,2级,26.5,11
2019-09-30,32,21,晴,东北风,3级,26.5,11
2019-08-01,35,26,阴,东北风,2级,30.5,9
2019-08-02,34,26,阴,东北风,2级,30.0,8
2019-08-03,34,26,多云,东北风,1级,30.0,8
2019-08-04,34,26,多云,东北风,2级,30.0,8
2019-08-05,35,26,多云,东北风,2级,30.5,9
2019-08-06,36,27,多云,西北风,1级,31.5,9
2019-08-07,35,26,小雨,东北风,2级,30.5,9
2019-08-08,35,27,多云,东北风,2级,31.0,8
2019-08-09,36,27,多云,东北风,1级,31.5,9
2019-08-10,35,27,多云,西南风,1级,31.0,8
2019-08-11,35,26,多云,西北风,1级,30.5,9
2019-08-12,37,26,晴,东北风,1级,31.5,11
2019-08-13,37,26,阴,西北风,2级,31.5,11
2019-08-14,35,26,多云,西北风,2级,30.5,9
2019-08-15,35,26,阴,东南风,2级,30.5,9
2019-08-16,35,25,多云,东北风,2级,30.0,10
2019-08-17,36,26,晴,东南风,2级,31.0,10
2019-08-18,36,26,多云,东北风,3级,31.0,10
2019-08-19,35,27,多云,东北风,3级,31.0,8
2019-08-20,36,26,多云,东北风,1级,31.0,10
2019-08-21,36,27,多云,西北风,5级,31.5,9
2019-08-22,35,26,多云,东北风,2级,30.5,9
2019-08-23,35,27,多云,东北风,3级,31.0,8
2019-08-24,35,27,阴,东北风,4级,31.0,8
2019-08-25,33,27,多云,东北风,4级,30.0,6
2019-08-26,35,27,阴,西南风,2级,31.0,8
2019-08-27,36,27,多云,东北风,2级,31.5,9
2019-08-28,37,27,多云,东南风,2级,32.0,10
2019-08-29,31,23,阴,东北风,3级,27.0,8
2019-08-30,28,22,阴,东北风,1级,25.0,6
2019-08-31,32,24,阴,东北风,3级,28.0,8
2019-07-01,32,26,阴,东北风,1级,29.0,6
2019-07-02,33,26,多云,东北风,2级,29.5,7
2019-07-03,32,24,中雨,东北风,1级,28.0,8
2019-07-04,28,24,小雨,西北风,1级,26.0,4
2019-07-05,28,24,中雨,西南风,1级,26.0,4
2019-07-06,33,24,多云,西南风,1级,28.5,9
2019-07-07,28,24,暴雨,东北风,2级,26.0,4
2019-07-08,22,21,暴雨,东北风,2级,21.5,1
2019-07-09,22,21,中雨,西北风,1级,21.5,1
2019-07-10,26,22,多云,西南风,1级,24.0,4
2019-07-11,33,24,多云,东北风,1级,28.5,9
2019-07-12,27,23,中雨,西北风,1级,25.0,4
2019-07-13,26,22,中雨,东北风,1级,24.0,4
2019-07-14,23,23,小雨,东北风,1级,23.0,0
2019-07-15,30,24,小雨,东北风,2级,27.0,6
2019-07-16,32,25,小雨,西北风,1级,28.5,7
2019-07-17,35,27,阴,东北风,2级,31.0,8
2019-07-18,34,26,多云,西北风,2级,30.0,8
2019-07-19,33,26,小雨,西北风,2级,29.5,7
2019-07-20,29,26,小雨,东南风,1级,27.5,3
2019-07-21,34,26,雾,西南风,1级,30.0,8
2019-07-22,33,26,中雨,东南风,1级,29.5,7
2019-07-23,33,26,多云,西南风,1级,29.5,7
2019-07-24,34,26,多云,西北风,1级,30.0,8
2019-07-25,35,27,多云,西南风,1级,31.0,8
2019-07-26,36,27,多云,西南风,1级,31.5,9
2019-07-27,36,27,阴,西南风,1级,31.5,9
2019-07-28,35,27,多云,西南风,1级,31.0,8
2019-07-29,34,26,晴,东南风,1级,30.0,8
2019-07-30,35,27,晴,西北风,1级,31.0,8
2019-07-31,36,27,晴,东北风,2级,31.5,9
2019-06-01,23,19,阴,西北风,1级,21.0,4
2019-06-02,28,21,多云,东北风,1级,24.5,7
2019-06-03,33,23,多云,西南风,1级,28.0,10
2019-06-04,35,25,晴,西北风,1级,30.0,10
2019-06-05,32,25,阴,西南风,2级,28.5,7
2019-06-06,29,23,阴,西北风,2级,26.0,6
2019-06-07,27,22,阴,东南风,1级,24.5,5
2019-06-08,24,22,阴,东北风,2级,23.0,2
2019-06-09,27,22,阴,西南风,1级,24.5,5
2019-06-10,30,23,阴,东北风,2级,26.5,7
2019-06-11,29,22,阴,东北风,2级,25.5,7
2019-06-12,27,21,中雨,东北风,2级,24.0,6
2019-06-13,21,18,中雨,东北风,1级,19.5,3
2019-06-14,28,20,多云,东北风,1级,24.0,8
2019-06-15,29,20,晴,东北风,2级,24.5,9
2019-06-16,32,24,阴,西北风,2级,28.0,8
2019-06-17,31,24,阵雨,东北风,2级,27.5,7
2019-06-18,33,24,大雨,西北风,1级,28.5,9
2019-06-19,34,25,阴,西南风,1级,29.5,9
2019-06-20,35,26,阴,西南风,2级,30.5,9
2019-06-21,31,23,阴,西北风,1级,27.0,8
2019-06-22,25,22,大雨,东北风,3级,23.5,3
2019-06-23,24,20,小雨,西北风,1级,22.0,4
2019-06-24,25,22,阴,东南风,1级,23.5,3
2019-06-25,27,24,小雨,东北风,1级,25.5,3
2019-06-26,32,24,多云,东北风,1级,28.0,8
2019-06-27,34,26,多云,东北风,1级,30.0,8
2019-06-28,35,27,小雨,西南风,1级,31.0,8
2019-06-29,34,26,阴,西北风,1级,30.0,8
2019-06-30,33,25,阴,西北风,2级,29.0,8
2019-05-01,23,14,多云,东北风,1级,18.5,9
2019-05-02,23,15,阴,西北风,1级,19.0,8
2019-05-03,26,18,晴,东北风,2级,22.0,8
2019-05-04,26,19,阴,西南风,2级,22.5,7
2019-05-05,19,16,阴,东北风,1级,17.5,3
2019-05-06,19,15,阴,东北风,1级,17.0,4
2019-05-07,17,13,阴,东北风,2级,15.0,4
2019-05-08,20,14,阴,西南风,1级,17.0,6
2019-05-09,24,17,多云,西北风,1级,20.5,7
2019-05-10,27,17,多云,西南风,1级,22.0,10
2019-05-11,29,20,多云,西北风,1级,24.5,9
2019-05-12,29,20,阴,东北风,3级,24.5,9
2019-05-13,20,19,阴,东北风,1级,19.5,1
2019-05-14,24,20,阴,东北风,2级,22.0,4
2019-05-15,30,21,阴,西北风,2级,25.5,9
2019-05-16,24,22,阴,东北风,1级,23.0,2
2019-05-17,27,21,阴,西北风,1级,24.0,6
2019-05-18,27,22,阴,西北风,1级,24.5,5
2019-05-19,24,20,阴,东北风,3级,22.0,4
2019-05-20,24,17,阴,东北风,2级,20.5,7
2019-05-21,24,19,多云,东北风,1级,21.5,5
2019-05-22,26,18,多云,西南风,1级,22.0,8
2019-05-23,29,20,晴,东北风,1级,24.5,9
2019-05-24,29,24,阴,东南风,2级,26.5,5
2019-05-25,28,24,阴,西南风,2级,26.0,4
2019-05-26,29,22,阴,西北风,1级,25.5,7
2019-05-27,25,20,阴,东北风,1级,22.5,5
2019-05-28,23,16,阴,东北风,1级,19.5,7
2019-05-29,26,20,晴,东北风,1级,23.0,6
