日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,18,多云,东南风,2级,22.0,8
2019-09-02,28,18,阴,东北风,3级,23.0,10
2019-09-03,28,18,多云,东南风,3级,23.0,10
2019-09-04,28,18,多云,东南风,2级,23.0,10
2019-09-05,29,19,晴,东南风,2级,24.0,10
2019-09-06,30,19,晴,东南风,3级,24.5,11
2019-09-07,32,19,多云,东南风,2级,25.5,13
2019-09-08,34,20,晴,东南风,2级,27.0,14
2019-09-09,29,20,阴,东北风,4级,24.5,9
2019-09-10,21,18,阴,东北风,2级,19.5,3
2019-09-11,18,17,阴,东风,4级,17.5,1
2019-09-12,20,17,阴,东南风,4级,18.5,3
2019-09-13,19,15,阴,西南风,3级,17.0,4
2019-09-14,14,14,阴,西北风,2级,14.0,0
2019-09-15,15,14,阴,西南风,3级,14.5,1
2019-09-16,23,16,多云,东北风,4级,19.5,7
2019-09-17,16,14,阴,西南风,2级,15.0,2
2019-09-18,24,15,多云,东南风,2级,19.5,9
2019-09-19,16,15,阴,西北风,1级,15.5,1
2019-09-20,22,14,阴,西南风,2级,18.0,8
2019-09-21,23,14,多云,西南风,3级,18.5,9
2019-09-22,25,14,晴,东南风,3级,19.5,11
2019-09-23,26,13,晴,西南风,3级,19.5,13
2019-09-24,24,15,多云,西南风,2级,19.5,9
2019-09-25,27,14,晴,东南风,3级,20.5,13
2019-09-26,26,16,多云,东南风,1级,21.0,10
2019-09-27,26,16,多云,东南风,3级,21.0,10
2019-09-28,27,17,晴,东南风,3级,22.0,10
2019-09-29,27,18,多云,东南风,3级,22.5,9
2019-09-30,27,19,晴,东南风,3级,23.0,8
2019-08-01,30,25,阴,东南风,3级,27.5,5
2019-08-02,29,23,阴,东南风,4级,26.0,6
2019-08-03,22,21,中雨,东南风,4级,21.5,1
2019-08-04,29,23,阴,东南风,3级,26.0,6
2019-08-05,30,24,阴,东南风,2级,27.0,6
2019-08-06,22,22,大雨,东北风,1级,22.0,0
2019-08-07,29,22,多云,北风,微风,25.5,7
2019-08-08,29,22,多云,东风,2级,25.5,7
2019-08-09,25,22,大雨,东南风,1级,23.5,3
2019-08-10,30,20,雾,东北风,1级,25.0,10
2019-08-11,24,22,晴,西南风,3级,23.0,2
2019-08-12,30,21,多云,西南风,2级,25.5,9
2019-08-13,32,21,晴,西南风,1级,26.5,11
2019-08-14,32,22,晴,西南风,2级,27.0,10
2019-08-15,33,22,晴,西南风,3级,27.5,11
2019-08-16,34,21,多云,西南风,3级,27.5,13
2019-08-17,30,21,晴,东南风,1级,25.5,9
2019-08-18,31,22,多云,东南风,4级,26.5,9
2019-08-19,31,23,阴,东南风,4级,27.0,8
2019-08-20,31,21,阴,西北风,3级,26.0,10
2019-08-21,21,21,中雨,西南风,1级,21.0,0
2019-08-22,27,21,阴,东南风,2级,24.0,6
2019-08-23,28,22,多云,东南风,3级,25.0,6
2019-08-24,29,22,多云,东南风,4级,25.5,7
2019-08-25,26,22,阴,东南风,4级,24.0,4
2019-08-26,24,21,多云,东南风,2级,22.5,3
2019-08-27,22,18,中雨,西南风,1级,20.0,4
2019-08-28,27,19,多云,南风,微风,23.0,8
2019-08-29,29,18,晴,东南风,2级,23.5,11
2019-08-30,29,18,多云,东南风,3级,23.5,11
2019-08-31,29,19,多云,南风,微风,24.0,10
2019-07-01,33,21,晴,东南风,3级,27.0,12
2019-07-02,33,22,多云,东南风,2级,27.5,11
2019-07-03,35,22,晴,东南风,2级,28.5,13
2019-07-04,32,22,阴,西南风,4级,27.0,10
2019-07-05,33,23,晴,西南风,2级,28.0,10
2019-07-06,30,20,晴,西南风,3级,25.0,10
2019-07-07,34,21,多云,东南风,5级,27.5,13
2019-07-08,22,18,小雨,西北风,1级,20.0,4
2019-07-09,26,20,阴,东南风,3级,23.0,6
2019-07-10,26,20,小雨,东南风,3级,23.0,6
2019-07-11,28,20,多云,东南风,3级,24.0,8
2019-07-12,26,20,阴,东南风,3级,23.0,6
2019-07-13,33,21,多云,东南风,3级,27.0,12
2019-07-14,35,23,晴,东南风,5级,29.0,12
2019-07-15,31,24,阴,东南风,5级,27.5,7
2019-07-16,29,23,小雨,东南风,2级,26.0,6
2019-07-17,21,19,大雨,东南风,3级,20.0,2
