日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,20,阴,西南风,1级,23.5,7
2019-09-02,24,21,阴,南风,微风,22.5,3
2019-09-03,31,21,晴,东北风,2级,26.0,10
2019-09-04,32,22,多云,西北风,2级,27.0,10
2019-09-05,32,23,晴,东北风,2级,27.5,9
2019-09-06,34,22,晴,东南风,1级,28.0,12
2019-09-07,35,24,晴,东北风,2级,29.5,11
2019-09-08,36,26,晴,北风,微风,31.0,10
2019-09-09,37,26,晴,西南风,2级,31.5,11
2019-09-10,36,26,阴,东南风,2级,31.0,10
2019-09-11,35,25,多云,东北风,2级,30.0,10
2019-09-12,36,26,多云,东北风,1级,31.0,10
2019-09-13,37,24,晴,东北风,3级,30.5,13
2019-09-14,30,24,晴,西北风,2级,27.0,6
2019-09-15,31,22,多云,西北风,3级,26.5,9
2019-09-16,27,22,阴,西北风,3级,24.5,5
2019-09-17,29,21,多云,东北风,4级,25.0,8
2019-09-18,26,20,多云,西北风,3级,23.0,6
2019-09-19,30,20,多云,东北风,微风,25.0,10
2019-09-20,29,20,多云,西北风,2级,24.5,9
2019-09-21,28,18,晴,北风,4级,23.0,10
2019-09-22,29,18,晴,西北风,3级,23.5,11
2019-09-23,31,17,晴,西北风,2级,24.0,14
2019-09-24,32,18,晴,西南风,1级,25.0,14
2019-09-25,31,20,晴,北风,微风,25.5,11
2019-09-26,30,17,阴,东北风,1级,23.5,13
2019-09-27,32,18,多云,东北风,2级,25.0,14
2019-09-28,33,18,多云,东北风,1级,25.5,15
2019-09-29,33,18,多云,东北风,1级,25.5,15
2019-09-30,34,18,晴,东南风,1级,26.0,16
2019-08-01,36,27,多云,东北风,2级,31.5,9
2019-08-02,33,27,阴,东北风,2级,30.0,6
2019-08-03,35,27,多云,东北风,2级,31.0,8
2019-08-04,36,27,晴,东北风,3级,31.5,9
2019-08-05,36,28,多云,东北风,微风,32.0,8
2019-08-06,37,27,多云,西北风,2级,32.0,10
2019-08-07,35,26,小雨,南风,微风,30.5,9
2019-08-08,34,27,多云,西北风,2级,30.5,7
2019-08-09,35,27,阴,西北风,2级,31.0,8
2019-08-10,35,27,多云,东北风,2级,31.0,8
2019-08-11,37,26,多云,西南风,2级,31.5,11
2019-08-12,37,27,晴,东北风,1级,32.0,10
2019-08-13,34,26,阴,东北风,1级,30.0,8
2019-08-14,34,27,多云,东北风,1级,30.5,7
2019-08-15,35,25,晴,东北风,2级,30.0,10
2019-08-16,38,27,晴,东南风,1级,32.5,11
2019-08-17,37,27,晴,东北风,1级,32.0,10
2019-08-18,37,26,多云,东北风,2级,31.5,11
2019-08-19,37,26,多云,东北风,2级,31.5,11
2019-08-20,37,26,晴,东北风,1级,31.5,11
2019-08-21,37,26,多云,西北风,2级,31.5,11
2019-08-22,35,25,晴,东北风,2级,30.0,10
2019-08-23,34,27,多云,东北风,2级,30.5,7
2019-08-24,36,28,阴,东北风,2级,32.0,8
2019-08-25,35,26,多云,西北风,4级,30.5,9
2019-08-26,30,25,小雨,东北风,1级,27.5,5
2019-08-27,35,25,晴,东北风,2级,30.0,10
2019-08-28,33,25,多云,西北风,2级,29.0,8
2019-08-29,31,24,阴,西北风,2级,27.5,7
2019-08-30,32,22,阴,东北风,3级,27.0,10
2019-08-31,31,22,阴,西北风,1级,26.5,9
2019-07-01,32,25,多云,西北风,3级,28.5,7
2019-07-02,33,25,阴,西北风,2级,29.0,8
2019-07-03,34,25,多云,东北风,2级,29.5,9
2019-07-04,31,24,小雨,东北风,2级,27.5,7
2019-07-05,28,25,小雨,西北风,1级,26.5,3
2019-07-06,32,25,多云,西南风,3级,28.5,7
2019-07-07,27,23,暴雨,东北风,1级,25.0,4
2019-07-08,23,21,大雨,西北风,3级,22.0,2
2019-07-09,24,20,小雨,西北风,2级,22.0,4
2019-07-10,30,22,多云,西南风,2级,26.0,8
2019-07-11,32,24,多云,北风,微风,28.0,8
2019-07-12,27,23,小雨,东南风,1级,25.0,4
2019-07-13,27,23,阴,东北风,微风,25.0,4
2019-07-14,28,22,小雨,西南风,1级,25.0,6
2019-07-15,31,24,阴,东南风,1级,27.5,7
2019-07-16,33,26,阴,西北风,2级,29.5,7
2019-07-17,35,27,阴,西北风,2级,31.0,8
2019-07-18,33,26,阴,西北风,2级,29.5,7
2019-07-19,31,25,阴,东北风,2级,28.0,6
2019-07-20,34,27,多云,西南风,1级,30.5,7
2019-07-21,32,26,多云,东南风,2级,29.0,6
2019-07-22,35,26,多云,西南风,2级,30.5,9
2019-07-23,34,27,阴,西南风,2级,30.5,7
2019-07-24,35,27,晴,西南风,1级,31.0,8
2019-07-25,36,28,晴,西南风,3级,32.0,8
2019-07-26,36,28,晴,西南风,2级,32.0,8
2019-07-27,36,28,晴,西南风,2级,32.0,8
2019-07-28,36,28,多云,东南风,2级,32.0,8
2019-07-29,36,28,阴,东南风,2级,32.0,8
2019-07-30,36,28,晴,西南风,1级,32.0,8
2019-07-31,36,27,多云,东北风,2级,31.5,9
2019-06-01,22,18,阴,南风,微风,20.0,4
2019-06-02,30,20,晴,东北风,1级,25.0,10
2019-06-03,34,21,多云,西南风,1级,27.5,13
2019-06-04,35,25,晴,东南风,2级,30.0,10
2019-06-05,31,25,阴,西南风,5级,28.0,6
2019-06-06,28,24,阴,西南风,2级,26.0,4
2019-06-07,26,23,阴,东南风,1级,24.5,3
2019-06-08,30,24,阴,东北风,1级,27.0,6
2019-06-09,27,25,阴,西南风,1级,26.0,2
2019-06-10,30,24,阴,东北风,2级,27.0,6
2019-06-11,31,22,阴,东北风,2级,26.5,9
2019-06-12,25,20,中雨,东北风,3级,22.5,5
2019-06-13,24,19,阴,西北风,1级,21.5,5
2019-06-14,30,20,晴,西北风,2级,25.0,10
2019-06-15,32,22,晴,东北风,1级,27.0,10
2019-06-16,24,23,阴,东北风,2级,23.5,1
2019-06-17,26,23,阵雨,东北风,2级,24.5,3
2019-06-18,29,24,阴,东北风,3级,26.5,5
2019-06-19,34,27,阴,东南风,2级,30.5,7
2019-06-20,34,26,晴,西南风,2级,30.0,8
2019-06-21,33,24,阴,东北风,2级,28.5,9
2019-06-22,23,21,小雨,东北风,1级,22.0,2
2019-06-23,23,20,小雨,西南风,1级,21.5,3
2019-06-24,29,23,阴,东北风,1级,26.0,6
2019-06-25,29,22,阴,西北风,2级,25.5,7
2019-06-26,34,24,多云,东北风,1级,29.0,10
2019-06-27,33,26,多云,西南风,2级,29.5,7
