日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,18,阴,东南风,1级,24.0,12
2019-09-02,29,19,阴,西南风,2级,24.0,10
2019-09-03,30,19,多云,东南风,2级,24.5,11
2019-09-04,30,17,多云,南风,微风,23.5,13
2019-09-05,30,18,晴,东南风,2级,24.0,12
2019-09-06,31,19,晴,南风,微风,25.0,12
2019-09-07,32,20,晴,东南风,2级,26.0,12
2019-09-08,33,20,晴,东风,1级,26.5,13
2019-09-09,32,22,晴,北风,微风,27.0,10
2019-09-10,27,20,阴,东北风,4级,23.5,7
2019-09-11,18,17,阴,东北风,3级,17.5,1
2019-09-12,18,18,阴,东北风,2级,18.0,0
2019-09-13,26,17,阴,西北风,1级,21.5,9
2019-09-14,25,16,阴,西北风,微风,20.5,9
2019-09-15,17,14,阴,西南风,2级,15.5,3
2019-09-16,25,18,多云,东南风,1级,21.5,7
2019-09-17,23,15,阴,西北风,3级,19.0,8
2019-09-18,25,16,多云,北风,2级,20.5,9
2019-09-19,21,17,阴,西南风,2级,19.0,4
2019-09-20,25,15,多云,东北风,1级,20.0,10
2019-09-21,28,16,晴,西北风,1级,22.0,12
2019-09-22,27,14,晴,北风,微风,20.5,13
2019-09-23,29,15,晴,西南风,1级,22.0,14
2019-09-24,31,16,晴,南风,微风,23.5,15
2019-09-25,31,15,阴,东南风,微风,23.0,16
2019-09-26,31,17,多云,南风,微风,24.0,14
2019-09-27,29,17,多云,南风,微风,23.0,12
2019-09-28,30,16,晴,东南风,2级,23.0,14
2019-09-29,31,18,晴,东南风,2级,24.5,13
2019-09-30,31,18,晴,东南风,2级,24.5,13
2019-08-01,34,24,阴,东北风,1级,29.0,10
2019-08-02,30,23,阴,东北风,2级,26.5,7
2019-08-03,30,23,阴,东北风,2级,26.5,7
2019-08-04,31,23,阴,东南风,2级,27.0,8
2019-08-05,33,24,阴,东北风,1级,28.5,9
2019-08-06,31,24,阴,南风,微风,27.5,7
2019-08-07,30,24,小雨,东北风,1级,27.0,6
2019-08-08,32,24,阴,东北风,微风,28.0,8
2019-08-09,34,23,阴,东南风,3级,28.5,11
2019-08-10,26,23,大雨,东北风,3级,24.5,3
2019-08-11,25,21,小雨,西北风,2级,23.0,4
2019-08-12,30,22,小雨,西南风,2级,26.0,8
2019-08-13,31,21,多云,东北风,1级,26.0,10
2019-08-14,33,21,多云,西北风,1级,27.0,12
2019-08-15,33,24,晴,西南风,2级,28.5,9
2019-08-16,30,19,晴,东北风,1级,24.5,11
2019-08-17,31,19,晴,东南风,1级,25.0,12
2019-08-18,31,21,晴,东南风,1级,26.0,10
2019-08-19,31,21,多云,东南风,1级,26.0,10
2019-08-20,31,23,多云,东南风,2级,27.0,8
2019-08-21,27,21,阴,北风,微风,24.0,6
2019-08-22,31,22,阴,南风,微风,26.5,9
2019-08-23,31,22,多云,东南风,1级,26.5,9
2019-08-24,30,21,阴,东北风,3级,25.5,9
2019-08-25,23,21,小雨,东北风,2级,22.0,2
2019-08-26,31,22,阴,北风,微风,26.5,9
2019-08-27,31,23,晴,西南风,2级,27.0,8
2019-08-28,34,19,晴,西南风,2级,26.5,15
2019-08-29,31,18,晴,南风,微风,24.5,13
2019-08-30,31,18,多云,西南风,微风,24.5,13
2019-08-31,30,18,多云,南风,微风,24.0,12
2019-07-01,37,24,晴,西南风,3级,30.5,13
2019-07-02,38,25,多云,西南风,3级,31.5,13
2019-07-03,38,26,多云,东南风,1级,32.0,12
2019-07-04,33,24,阴,西南风,3级,28.5,9
2019-07-05,36,23,多云,西南风,3级,29.5,13
2019-07-06,32,22,多云,东北风,2级,27.0,10
2019-07-07,32,20,多云,东北风,2级,26.0,12
2019-07-08,28,23,阴,东南风,2级,25.5,5
2019-07-09,30,20,阴,东北风,2级,25.0,10
2019-07-10,29,20,阴,东南风,1级,24.5,9
2019-07-11,30,22,多云,东南风,1级,26.0,8
2019-07-12,32,23,多云,西南风,3级,27.5,9
2019-07-13,35,23,多云,南风,2级,29.0,12
2019-07-14,34,24,多云,西北风,1级,29.0,10
2019-07-15,35,25,阴,西南风,1级,30.0,10
2019-07-16,32,25,阴,东南风,2级,28.5,7
2019-07-17,31,23,阴,西北风,1级,27.0,8
2019-07-18,33,24,多云,北风,微风,28.5,9
2019-07-19,34,25,晴,东南风,微风,29.5,9
2019-07-20,35,26,多云,东北风,2级,30.5,9
2019-07-21,35,27,晴,东南风,1级,31.0,8
2019-07-22,36,27,阴,东南风,2级,31.5,9
2019-07-23,37,25,多云,西北风,1级,31.0,12
2019-07-24,37,28,晴,南风,微风,32.5,9
2019-07-25,34,25,阴,东南风,2级,29.5,9
2019-07-26,37,26,多云,西南风,2级,31.5,11
2019-07-27,35,26,阴,东北风,2级,30.5,9
2019-07-28,36,27,阴,东南风,2级,31.5,9
2019-07-29,37,24,阴,东北风,4级,30.5,13
2019-07-30,33,24,阴,西南风,1级,28.5,9
2019-07-31,34,25,小雨,东南风,2级,29.5,9
2019-06-01,34,21,多云,东南风,3级,27.5,13
2019-06-02,39,23,多云,东南风,2级,31.0,16
2019-06-03,36,22,多云,西南风,2级,29.0,14
2019-06-04,37,24,多云,东北风,2级,30.5,13
2019-06-05,29,18,阴,东北风,4级,23.5,11
2019-06-06,26,18,阴,东北风,2级,22.0,8
2019-06-07,33,23,多云,西南风,3级,28.0,10
2019-06-08,36,22,阴,西南风,3级,29.0,14
2019-06-09,33,17,晴,东北风,3级,25.0,16
2019-06-10,33,20,多云,东南风,1级,26.5,13
2019-06-11,35,23,阴,西南风,2级,29.0,12
2019-06-12,35,24,多云,西南风,1级,29.5,11
2019-06-13,35,22,多云,东南风,2级,28.5,13
2019-06-14,36,25,晴,西南风,2级,30.5,11
2019-06-15,37,25,阴,西南风,2级,31.0,12
2019-06-16,32,21,阴,东北风,2级,26.5,11
2019-06-17,34,23,多云,西南风,1级,28.5,11
2019-06-18,36,25,多云,西南风,2级,30.5,11
2019-06-19,35,25,阴,西南风,2级,30.0,10
2019-06-20,27,22,多云,西南风,2级,24.5,5
2019-06-21,31,25,阴,北风,微风,28.0,6
2019-06-22,33,22,阴,东北风,1级,27.5,11
2019-06-23,35,23,多云,东南风,2级,29.0,12
2019-06-24,34,25,多云,西南风,2级,29.5,9
2019-06-25,33,21,阴,东南风,1级,27.0,12
2019-06-26,34,24,多云,东南风,2级,29.0,10
2019-06-27,36,23,多云,西南风,2级,29.5,13
2019-06-28,23,20,中雨,西南风,3级,21.5,3
2019-06-29,35,23,多云,西南风,3级,29.0,12
2019-06-30,34,19,多云,东北风,1级,26.5,15
2019-05-01,25,10,多云,西南风,1级,17.5,15
2019-05-02,26,12,晴,东南风,3级,19.0,14
2019-05-03,26,15,多云,东南风,3级,20.5,11
2019-05-04,22,13,阴,东南风,2级,17.5,9
2019-05-05,24,13,阴,东北风,4级,18.5,11
2019-05-06,21,10,阴,西北风,微风,15.5,11
2019-05-07,22,14,阴,西南风,3级,18.0,8
2019-05-08,23,13,阴,东南风,3级,18.0,10
2019-05-09,25,14,阴,东南风,2级,19.5,11
2019-05-10,27,14,多云,西北风,1级,20.5,13
2019-05-11,28,16,阴,东南风,1级,22.0,12
2019-05-12,29,12,阴,西北风,微风,20.5,17
2019-05-13,21,14,阴,东南风,2级,17.5,7
2019-05-14,26,15,阴,东南风,3级,20.5,11
2019-05-15,25,17,阴,西南风,2级,21.0,8
2019-05-16,28,20,阴,东南风,2级,24.0,8
2019-05-17,30,18,晴,东南风,3级,24.0,12
2019-05-18,25,17,阴,东南风,2级,21.0,8
2019-05-19,30,12,多云,东北风,2级,21.0,18
2019-05-20,26,13,多云,东南风,2级,19.5,13
2019-05-21,31,14,阴,西南风,2级,22.5,17
2019-05-22,35,21,晴,东南风,2级,28.0,14
2019-05-23,37,23,多云,西南风,2级,30.0,14
2019-05-24,29,23,阴,东南风,2级,26.0,6
2019-05-25,33,24,晴,东南风,2级,28.5,9
2019-05-26,31,19,多云,西南风,2级,25.0,12
2019-05-27,26,18,多云,东南风,2级,22.0,8
2019-05-28,27,17,阴,西南风,3级,22.0,10
2019-05-29,28,17,晴,西南风,2级,22.5,11
2019-05-30,31,17,晴,东南风,2级,24.0,14
2019-05-31,29,22,阴,东南风,1级,25.5,7
2019-04-01,19,7,多云,南风,微风,13.0,12
2019-04-02,19,6,多云,北风,1级,12.5,13
2019-04-03,19,11,多云,西南风,2级,15.0,8
2019-04-04,22,12,多云,西南风,3级,17.0,10
2019-04-05,24,13,多云,东南风,2级,18.5,11
2019-04-06,19,9,多云,东北风,4级,14.0,10
2019-04-07,22,13,阴,东南风,1级,17.5,9
2019-04-08,13,3,阴,东北风,5级,8.0,10
2019-04-09,5,3,阴,东北风,3级,4.0,2
2019-04-10,13,6,多云,西南风,2级,9.5,7
2019-04-11,17,4,多云,西北风,1级,10.5,13
