日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,30,20,多云,东南风,2级,25.0,10
2019-09-02,30,19,晴,东南风,2级,24.5,11
2019-09-03,31,20,晴,东南风,1级,25.5,11
2019-09-04,28,20,阴,东北风,1级,24.0,8
2019-09-05,31,20,多云,东南风,1级,25.5,11
2019-09-06,31,21,晴,东南风,2级,26.0,10
2019-09-07,31,21,晴,西南风,2级,26.0,10
2019-09-08,33,22,晴,东南风,2级,27.5,11
2019-09-09,32,22,晴,东南风,3级,27.0,10
2019-09-10,26,20,阴,东北风,3级,23.0,6
2019-09-11,24,20,阴,东南风,1级,22.0,4
2019-09-12,23,20,阴,西北风,1级,21.5,3
2019-09-13,23,20,阴,西北风,3级,21.5,3
2019-09-14,27,19,多云,南风,微风,23.0,8
2019-09-15,27,17,阴,西南风,1级,22.0,10
2019-09-16,27,17,多云,东北风,1级,22.0,10
2019-09-17,25,17,阴,西北风,2级,21.0,8
2019-09-18,24,13,多云,东南风,2级,18.5,11
2019-09-19,22,16,阴,东南风,2级,19.0,6
2019-09-20,22,15,阴,北风,微风,18.5,7
2019-09-21,27,16,多云,东北风,2级,21.5,11
2019-09-22,26,14,晴,东北风,1级,20.0,12
2019-09-23,28,16,晴,东南风,1级,22.0,12
2019-09-24,31,16,晴,东南风,2级,23.5,15
2019-09-25,29,14,阴,东南风,1级,21.5,15
2019-09-26,29,15,晴,东南风,1级,22.0,14
2019-09-27,29,16,多云,东北风,1级,22.5,13
2019-09-28,30,18,晴,东南风,1级,24.0,12
2019-09-29,31,18,晴,东南风,2级,24.5,13
2019-09-30,31,16,晴,东南风,2级,23.5,15
2019-08-01,35,25,阴,东北风,2级,30.0,10
2019-08-02,27,22,暴雨,西南风,1级,24.5,5
2019-08-03,31,24,小雨,东南风,2级,27.5,7
2019-08-04,33,24,阴,东南风,2级,28.5,9
2019-08-05,33,25,阴,东南风,2级,29.0,8
2019-08-06,32,24,小雨,西南风,2级,28.0,8
2019-08-07,27,23,小雨,东南风,1级,25.0,4
2019-08-08,32,24,多云,东南风,3级,28.0,8
2019-08-09,33,24,多云,东南风,1级,28.5,9
2019-08-10,29,22,大雨,东北风,3级,25.5,7
2019-08-11,24,23,大暴雨,东北风,4级,23.5,1
2019-08-12,22,22,大雨,西北风,4级,22.0,0
2019-08-13,23,22,小雨,北风,3级,22.5,1
2019-08-14,29,21,多云,东南风,1级,25.0,8
2019-08-15,31,20,晴,东南风,1级,25.5,11
2019-08-16,27,19,小雨,西北风,2级,23.0,8
2019-08-17,30,18,晴,西南风,1级,24.0,12
2019-08-18,31,20,晴,东南风,1级,25.5,11
2019-08-19,32,21,晴,东南风,2级,26.5,11
2019-08-20,31,23,多云,西北风,2级,27.0,8
2019-08-21,30,19,多云,东北风,1级,24.5,11
2019-08-22,31,19,晴,西北风,2级,25.0,12
2019-08-23,31,21,多云,东北风,2级,26.0,10
2019-08-24,29,21,阴,东南风,1级,25.0,8
2019-08-25,30,22,多云,西北风,2级,26.0,8
2019-08-26,28,20,阴,西北风,1级,24.0,8
2019-08-27,31,22,阴,西北风,2级,26.5,9
2019-08-28,32,19,多云,东南风,1级,25.5,13
2019-08-29,28,19,晴,东南风,2级,23.5,9
2019-08-30,29,18,晴,东南风,2级,23.5,11
2019-08-31,30,19,晴,东南风,2级,24.5,11
2019-07-01,33,21,晴,东南风,2级,27.0,12
2019-07-02,38,23,多云,东北风,3级,30.5,15
2019-07-03,35,23,晴,东南风,1级,29.0,12
2019-07-04,36,26,多云,西北风,1级,31.0,10
2019-07-05,38,22,多云,西北风,1级,30.0,16
2019-07-06,23,19,大雨,北风,1级,21.0,4
2019-07-07,26,19,雷阵雨,东南风,3级,22.5,7
