日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2018-11-02,19,6,晴,东南风,1级,12.5,13
2018-09-06,31,18,多云,西南风,2级,24.5,13
2018-09-27,24,16,晴,东南风,1级,20.0,8
2018-05-14,35,22,晴,东南风,3级,28.5,13
2018-05-20,22,12,阴,东风,1级,17.0,10
2018-04-05,8,4,阵雨,西北风,2级,6.0,4
2018-03-09,11,-2,晴,南风,2级,4.5,13
2018-03-22,14,1,多云,东南风,1级,7.5,13
2018-02-24,3,-4,雨夹雪,西北风,2级,-0.5,7
2017-12-17,6,-4,晴,西南风,1级,1.0,10
2017-11-09,19,12,多云,南风,2级,15.5,7
2017-11-19,7,-2,晴,南风,3级,2.5,9
2017-09-24,31,20,晴,东南风,2级,25.5,11
2017-07-11,37,26,晴,西南风,3级,31.5,11
2017-06-10,33,20,多云,东南风,4级,26.5,13
2017-05-26,32,17,晴,西北风,4级,24.5,15
2017-04-19,22,9,多云,西北风,4级,15.5,13
2017-03-30,17,6,多云,东北风,3级,11.5,11
2017-01-10,3,-5,晴,东南风,1级,-1.0,8
2017-01-30,0,-7,晴,东风,1级,-3.5,7
2016-11-18,15,9,小雨,东风,1级,12.0,6
2016-10-19,24,14,多云,东南风,1级,19.0,10
2016-08-03,31,23,多云,北风,2级,27.0,8
2016-08-12,34,25,晴,东南风,3级,29.5,9
2016-07-29,36,27,晴,暂无实况,,31.5,9
