日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,13,阴,西北风,3级,20.0,14
2019-09-02,26,11,多云,东北风,1级,18.5,15
2019-09-03,27,10,晴,东南风,2级,18.5,17
2019-09-04,27,12,晴,东北风,2级,19.5,15
2019-09-05,29,11,晴,西北风,1级,20.0,18
2019-09-06,29,13,晴,东北风,2级,21.0,16
2019-09-07,30,10,晴,西北风,2级,20.0,20
2019-09-08,32,15,晴,东北风,2级,23.5,17
2019-09-09,29,15,阴,东北风,2级,22.0,14
2019-09-10,23,15,阴,东北风,2级,19.0,8
2019-09-11,13,13,阴,东北风,3级,13.0,0
2019-09-12,16,15,阴,东南风,1级,15.5,1
2019-09-13,20,12,阴,西南风,1级,16.0,8
2019-09-14,17,12,阴,西南风,1级,14.5,5
2019-09-15,20,11,阴,东北风,1级,15.5,9
2019-09-16,23,13,雾,东南风,3级,18.0,10
2019-09-17,20,10,阴,西北风,2级,15.0,10
2019-09-18,22,8,多云,东北风,2级,15.0,14
2019-09-19,19,11,阴,西南风,2级,15.0,8
2019-09-20,21,10,阴,东北风,1级,15.5,11
2019-09-21,24,8,晴,东北风,2级,16.0,16
2019-09-22,25,8,晴,西南风,1级,16.5,17
2019-09-23,26,9,晴,东北风,1级,17.5,17
2019-09-24,26,9,多云,东北风,1级,17.5,17
2019-09-25,26,8,晴,东南风,1级,17.0,18
2019-09-26,25,9,多云,西南风,1级,17.0,16
2019-09-27,24,10,阴,东北风,2级,17.0,14
2019-09-28,26,6,多云,东北风,1级,16.0,20
2019-09-29,26,10,多云,东北风,1级,18.0,16
2019-09-30,27,11,晴,东南风,1级,19.0,16
2019-08-01,32,16,小雨,东南风,2级,24.0,16
2019-08-02,27,18,阴,东北风,3级,22.5,9
2019-08-03,22,18,小雨,东南风,4级,20.0,4
2019-08-04,24,19,小雨,东北风,2级,21.5,5
2019-08-05,27,19,阴,东北风,1级,23.0,8
2019-08-06,26,18,阴,东南风,1级,22.0,8
2019-08-07,30,19,多云,东北风,1级,24.5,11
2019-08-08,30,18,阴,东南风,2级,24.0,12
2019-08-09,28,19,阴,西南风,1级,23.5,9
2019-08-10,30,18,阴,东北风,3级,24.0,12
2019-08-11,28,19,多云,东南风,2级,23.5,9
2019-08-12,31,18,多云,东北风,2级,24.5,13
2019-08-13,30,17,多云,东北风,2级,23.5,13
2019-08-14,28,16,小雨,东北风,1级,22.0,12
2019-08-15,33,17,晴,西南风,2级,25.0,16
2019-08-16,31,15,晴,东北风,3级,23.0,16
2019-08-17,30,13,晴,东北风,2级,21.5,17
2019-08-18,31,15,阴,东北风,2级,23.0,16
2019-08-19,31,17,多云,东北风,1级,24.0,14
2019-08-20,29,19,阴,西南风,2级,24.0,10
2019-08-21,24,16,阴,东北风,1级,20.0,8
