日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,20,多云,西南风,2级,26.0,12
2019-09-01,22,13,零散雷雨,东风,2级,17.5,9
2019-09-02,13,0,雷雨,东南偏东风,2级,6.5,13
2019-09-02,22,13,雷雨,东南偏东风,2级,17.5,9
2019-09-03,21,13,雷雨,东北风,1级,17.0,8
2019-09-03,21,13,雷雨,东北风,1级,17.0,8
2019-09-04,19,13,雷雨,西风,2级,16.0,6
2019-09-04,28,21,阴,西南风,2级,24.5,7
2019-09-05,19,13,雷雨,西风,2级,16.0,6
2019-09-05,19,13,雷雨,西风,2级,16.0,6
2019-09-06,19,13,雷雨,西风,2级,16.0,6
2019-09-06,19,13,雷雨,西风,2级,16.0,6
2019-09-07,19,14,零散雷雨,西风,2级,16.5,5
2019-09-07,19,14,零散雷雨,西风,2级,16.5,5
2019-09-08,18,14,雷雨,西风,2级,16.0,4
2019-09-08,18,14,雷雨,西风,2级,16.0,4
2019-09-09,17,13,雷雨,西风,2级,15.0,4
2019-09-09,17,13,雷雨,西风,2级,15.0,4
2019-09-10,23,22,阴,西南风,3级,22.5,1
2019-09-10,24,22,阴,西南风,3级,23.0,2
2019-09-11,17,13,雷雨,西风,2级,15.0,4
2019-09-11,17,13,雷雨,西风,2级,15.0,4
2019-09-12,18,13,雷雨,西风,2级,15.5,5
2019-09-12,18,13,雷雨,西风,2级,15.5,5
2019-09-13,19,13,局部多云,西风,2级,16.0,6
2019-09-13,19,13,局部多云,西风,2级,16.0,6
2019-09-14,20,13,雷雨,西南风,2级,16.5,7
2019-09-14,20,13,雷雨,西南风,2级,16.5,7
2019-09-15,19,12,雷雨,西南风,2级,15.5,7
2019-09-15,19,12,雷雨,西南风,2级,15.5,7
2019-09-16,22,12,零散雷雨,西南偏西风,2级,17.0,10
2019-09-16,22,12,零散雷雨,西南偏西风,2级,17.0,10
2019-09-17,22,12,零散雷雨,西风,2级,17.0,10
2019-09-17,22,12,零散雷雨,西风,2级,17.0,10
2019-09-18,22,12,零散雷雨,西南偏西风,2级,17.0,10
2019-09-18,22,12,零散雷雨,西南偏西风,2级,17.0,10
2019-09-19,21,12,雷雨,西南偏西风,2级,16.5,9
2019-09-19,21,12,雷雨,西南偏西风,2级,16.5,9
2019-09-20,21,13,零散雷雨,西风,2级,17.0,8
2019-09-20,21,13,零散雷雨,西风,2级,17.0,8
2019-09-21,19,12,雷雨,东南偏东风,2级,15.5,7
2019-09-21,19,12,雷雨,东南偏东风,2级,15.5,7
2019-09-22,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-22,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-23,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-23,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-24,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-24,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-25,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-25,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-26,27,17,阴,西南风,1级,22.0,10
2019-09-26,30,17,小雨,南风,4级,23.5,13
2019-09-27,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-27,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-28,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-28,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-29,19,11,零散雷雨,东南偏东风,2级,15.0,8
2019-09-29,29,17,小雨,东南风,2级,23.0,12
2019-09-30,20,11,零散雷雨,西风,2级,15.5,9
2019-09-30,20,11,零散雷雨,西风,2级,15.5,9
2019-08-01,14,0,雷雨,,,7.0,14
2019-08-01,21,13,雷雨,东南偏东风,1级,17.0,8
2019-08-02,14,0,零散雷雨,西风,2级,7.0,14
2019-08-02,21,14,零散雷雨,西风,2级,17.5,7
2019-08-03,14,0,雷雨,西风,2级,7.0,14
2019-08-03,20,14,雷雨,西风,2级,17.0,6
2019-08-04,14,0,雷雨,东风,2级,7.0,14
2019-08-04,22,14,雷雨,东风,2级,18.0,8
2019-08-05,22,14,零散雷雨,东南偏东风,2级,18.0,8
2019-08-05,22,14,零散雷雨,东南偏东风,2级,18.0,8
2019-08-06,21,14,雷雨,东南偏东风,2级,17.5,7
2019-08-06,21,14,雷雨,东南偏东风,2级,17.5,7
2019-08-07,20,14,雷雨,西南偏南风,2级,17.0,6
2019-08-07,20,14,雷雨,西南偏南风,2级,17.0,6
2019-08-08,21,14,雷雨,西南风,2级,17.5,7
2019-08-08,21,14,雷雨,西南风,2级,17.5,7
2019-08-09,21,14,雷雨,西风,2级,17.5,7
2019-08-09,21,14,雷雨,西风,2级,17.5,7
2019-08-10,21,14,雷雨,东北风,1级,17.5,7
2019-08-10,21,14,雷雨,东北风,1级,17.5,7
2019-08-11,21,14,雷雨,西风,1级,17.5,7
2019-08-11,21,14,雷雨,西风,1级,17.5,7
2019-08-12,20,14,雷雨,西风,2级,17.0,6
2019-08-12,20,14,雷雨,西风,2级,17.0,6
2019-08-13,18,14,雷雨,西南偏西风,2级,16.0,4
2019-08-13,18,14,雷雨,西南偏西风,2级,16.0,4
2019-08-14,19,13,雷雨,西南偏西风,2级,16.0,6
2019-08-14,19,13,雷雨,西南偏西风,2级,16.0,6
2019-08-15,19,13,雷雨,西南偏西风,2级,16.0,6
2019-08-15,19,13,雷雨,西南偏西风,2级,16.0,6
2019-08-16,19,13,雷雨,西南偏西风,2级,16.0,6
2019-08-16,19,13,雷雨,西南偏西风,2级,16.0,6
2019-08-17,19,13,雷雨,西南偏西风,2级,16.0,6
2019-08-17,19,13,雷雨,西南偏西风,2级,16.0,6
2019-08-18,21,14,雷雨,西风,2级,17.5,7
2019-08-18,21,14,雷雨,西风,2级,17.5,7
2019-08-19,21,14,零散雷雨,西风,2级,17.5,7
2019-08-19,21,14,零散雷雨,西风,2级,17.5,7
2019-08-20,22,14,零散雷雨,西风,2级,18.0,8
2019-08-20,22,14,零散雷雨,西风,2级,18.0,8
2019-08-21,21,14,雷雨,西南偏西风,1级,17.5,7
2019-08-21,21,14,雷雨,西南偏西风,1级,17.5,7
2019-08-22,21,13,零散雷雨,西南偏南风,2级,17.0,8
2019-08-22,21,13,零散雷雨,西南偏南风,2级,17.0,8
2019-08-23,17,13,雷雨,东南偏东风,2级,15.0,4
2019-08-23,17,13,雷雨,东南偏东风,2级,15.0,4
2019-08-24,22,13,雷雨,东南偏东风,2级,17.5,9
2019-08-24,22,13,雷雨,东南偏东风,2级,17.5,9
2019-08-25,23,13,零散雷雨,东南风,1级,18.0,10
2019-08-25,23,13,零散雷雨,东南风,1级,18.0,10
2019-08-26,23,14,零散雷雨,西风,2级,18.5,9
2019-08-26,23,14,零散雷雨,西风,2级,18.5,9
2019-08-27,23,13,雷雨,东南偏东风,2级,18.0,10
2019-08-27,23,13,雷雨,东南偏东风,2级,18.0,10
2019-08-28,21,13,雷雨,东南风,2级,17.0,8
2019-08-28,21,13,雷雨,东南风,2级,17.0,8
2019-08-29,22,13,雷雨,东南偏南风,2级,17.5,9
2019-08-29,22,13,雷雨,东南偏南风,2级,17.5,9
2019-08-30,14,0,零散雷雨,,,7.0,14
2019-08-30,22,14,雷雨,西南偏西风,2级,18.0,8
2019-08-31,14,0,零散雷雨,东北偏东风,2级,7.0,14
2019-08-31,23,14,零散雷雨,东北偏东风,2级,18.5,9
2019-07-01,14,0,零散雷雨,西南偏西风,2级,7.0,14
2019-07-01,14,0,零散雷雨,西南偏西风,2级,7.0,14
2019-07-02,14,0,雷雨,,,7.0,14
2019-07-02,14,0,雷雨,,,7.0,14
2019-07-03,14,0,零散雷雨,西风,2级,7.0,14
2019-07-03,20,14,雷雨,西风,2级,17.0,6
2019-07-04,15,0,雷雨,西风,2级,7.5,15
2019-07-04,30,21,中雨,西南风,3级,25.5,9
2019-07-05,14,0,雷雨,西南偏西风,2级,7.0,14
2019-07-05,17,14,雷雨,西南偏西风,2级,15.5,3
2019-07-06,14,0,雷雨,西南风,2级,7.0,14
2019-07-06,18,14,雷雨,西南风,2级,16.0,4
2019-07-07,14,0,雷雨,西南风,2级,7.0,14
2019-07-07,19,14,雷雨,西南风,2级,16.5,5
2019-07-08,14,0,雷雨,西南风,2级,7.0,14
2019-07-08,19,14,雷雨,西南风,2级,16.5,5
2019-07-09,14,0,雷雨,西南风,2级,7.0,14
2019-07-09,18,14,雷雨,西南风,2级,16.0,4
2019-07-10,14,0,雷雨,西南风,2级,7.0,14
2019-07-10,18,14,雷雨,西南风,2级,16.0,4
