日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,27,多云,东南风,4级,29.5,5
2019-09-02,33,27,多云,东南风,1级,30.0,6
2019-09-03,33,27,阵雨,东风,3级,30.0,6
2019-09-04,32,27,阴,东北风,3级,29.5,5
2019-09-05,30,25,阴,东北风,2级,27.5,5
2019-09-06,33,26,多云,西北风,2级,29.5,7
2019-09-07,34,27,多云,东南风,1级,30.5,7
2019-09-08,33,28,多云,东南风,1级,30.5,5
2019-09-09,32,27,多云,东南风,1级,29.5,5
2019-09-10,33,27,多云,东南风,2级,30.0,6
2019-09-11,34,27,多云,东北风,2级,30.5,7
2019-09-12,34,28,多云,东南风,2级,31.0,6
2019-09-13,34,28,多云,东南风,2级,31.0,6
2019-09-14,32,27,阴,东北风,2级,29.5,5
2019-09-15,33,27,多云,东南风,2级,30.0,6
2019-09-16,33,26,晴,东北风,3级,29.5,7
2019-09-17,32,27,多云,东北风,2级,29.5,5
2019-09-18,33,26,多云,东北风,3级,29.5,7
2019-09-19,32,25,多云,东南风,2级,28.5,7
2019-09-20,34,24,晴,东南风,2级,29.0,10
2019-09-21,34,24,晴,西南风,1级,29.0,10
2019-09-22,32,23,多云,东南风,1级,27.5,9
2019-09-23,31,24,多云,东北风,3级,27.5,7
2019-09-24,30,23,多云,东南风,2级,26.5,7
2019-09-25,30,24,晴,东南风,2级,27.0,6
2019-09-26,30,24,晴,东北风,3级,27.0,6
2019-09-27,31,24,晴,东南风,3级,27.5,7
2019-09-28,31,25,多云,东北风,1级,28.0,6
2019-09-29,34,26,多云,东北风,2级,30.0,8
2019-09-30,36,27,多云,东南风,2级,31.5,9
2019-08-01,29,25,大雨,东南风,5级,27.0,4
2019-08-02,28,25,小雨,东北风,3级,26.5,3
2019-08-03,32,26,阴,东北风,3级,29.0,6
2019-08-04,33,27,阴,东南风,2级,30.0,6
2019-08-05,34,27,多云,东南风,3级,30.5,7
2019-08-06,34,28,多云,东南风,3级,31.0,6
2019-08-07,33,27,晴,西南风,1级,30.0,6
2019-08-08,37,29,多云,东南风,1级,33.0,8
2019-08-09,38,29,多云,西北风,2级,33.5,9
2019-08-10,36,29,多云,西南风,4级,32.5,7
2019-08-11,34,27,阴,西南风,3级,30.5,7
2019-08-12,34,27,小雨,西北风,2级,30.5,7
2019-08-13,33,27,多云,西南风,2级,30.0,6
2019-08-14,35,28,阴,西南风,2级,31.5,7
2019-08-15,34,27,多云,西北风,2级,30.5,7
2019-08-16,33,27,阴,西南风,3级,30.0,6
2019-08-17,34,27,阴,西北风,2级,30.5,7
2019-08-18,31,26,大雨,西南风,2级,28.5,5
2019-08-19,30,26,小雨,东北风,2级,28.0,4
2019-08-20,32,26,阴,东南风,2级,29.0,6
2019-08-21,33,27,多云,东南风,2级,30.0,6
2019-08-22,32,27,多云,东南风,1级,29.5,5
2019-08-23,33,28,多云,东南风,2级,30.5,5
2019-08-24,37,25,阴,西北风,1级,31.0,12
2019-08-25,27,25,暴雨,东南风,3级,26.0,2
