日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,26,多云,东南风,3级,29.0,6
2019-09-02,32,26,多云,东南风,1级,29.0,6
2019-09-03,33,27,阵雨,东南风,3级,30.0,6
2019-09-04,31,26,阴,东北风,4级,28.5,5
2019-09-05,30,25,阴,东南风,2级,27.5,5
2019-09-06,32,26,多云,西南风,3级,29.0,6
2019-09-07,32,26,多云,东南风,2级,29.0,6
2019-09-08,32,28,多云,东南风,2级,30.0,4
2019-09-09,31,26,多云,东南风,3级,28.5,5
2019-09-10,31,26,多云,东南风,2级,28.5,5
2019-09-11,32,27,多云,东南风,2级,29.5,5
2019-09-12,33,27,多云,东南风,3级,30.0,6
2019-09-13,33,27,多云,东北风,1级,30.0,6
2019-09-14,32,26,阴,东南风,2级,29.0,6
2019-09-15,32,26,多云,东北风,2级,29.0,6
2019-09-16,33,25,晴,东北风,5级,29.0,8
2019-09-17,32,26,多云,东南风,2级,29.0,6
2019-09-18,33,26,多云,东北风,4级,29.5,7
2019-09-19,31,24,晴,东北风,4级,27.5,7
2019-09-20,32,23,晴,东南风,3级,27.5,9
2019-09-21,34,23,晴,西北风,2级,28.5,11
2019-09-22,31,23,多云,东南风,1级,27.0,8
2019-09-23,30,24,多云,东北风,1级,27.0,6
2019-09-24,29,23,多云,东南风,2级,26.0,6
2019-09-25,29,23,晴,东南风,2级,26.0,6
2019-09-26,30,23,晴,东北风,2级,26.5,7
2019-09-27,30,23,晴,东南风,2级,26.5,7
2019-09-28,31,24,阴,东北风,3级,27.5,7
2019-09-29,33,25,多云,东北风,1级,29.0,8
2019-09-30,36,26,多云,西南风,3级,31.0,10
2019-08-01,29,25,大雨,东南风,4级,27.0,4
2019-08-02,28,25,小雨,东北风,3级,26.5,3
2019-08-03,31,26,阴,东北风,3级,28.5,5
2019-08-04,31,26,阴,东北风,1级,28.5,5
2019-08-05,32,27,多云,东北风,3级,29.5,5
2019-08-06,32,27,多云,东南风,4级,29.5,5
2019-08-07,33,26,晴,东南风,3级,29.5,7
2019-08-08,35,28,多云,西南风,2级,31.5,7
2019-08-09,38,28,多云,西北风,3级,33.0,10
2019-08-10,37,27,小雨,西北风,2级,32.0,10
2019-08-11,34,27,阴,西南风,3级,30.5,7
2019-08-12,34,26,中雨,西南风,3级,30.0,8
2019-08-13,32,26,阴,西南风,1级,29.0,6
2019-08-14,32,27,阴,西北风,1级,29.5,5
2019-08-15,34,26,阴,西北风,2级,30.0,8
2019-08-16,31,26,阴,西南风,3级,28.5,5
2019-08-17,32,25,阴,西北风,1级,28.5,7
2019-08-18,30,25,中雨,西南风,2级,27.5,5
2019-08-19,29,25,小雨,东南风,1级,27.0,4
2019-08-20,31,26,阴,东南风,4级,28.5,5
2019-08-21,32,26,多云,东南风,2级,29.0,6
2019-08-22,32,26,多云,东南风,1级,29.0,6
2019-08-23,33,28,多云,西北风,1级,30.5,5
2019-08-24,36,25,阴,东北风,3级,30.5,11
2019-08-25,27,25,大暴雨,西南风,4级,26.0,2
2019-08-26,31,26,大雨,东南风,3级,28.5,5
2019-08-27,31,27,多云,东南风,2级,29.0,4
2019-08-28,32,27,多云,东北风,4级,29.5,5
2019-08-29,32,27,多云,西南风,2级,29.5,5
2019-08-30,31,26,阴,东南风,2级,28.5,5
2019-08-31,28,25,阴,东北风,3级,26.5,3
2019-07-01,33,27,阴,东南风,1级,30.0,6
2019-07-02,30,25,阴,东南风,3级,27.5,5
2019-07-03,30,25,中雨,东南风,2级,27.5,5
2019-07-04,30,27,中雨,西南风,3级,28.5,3
2019-07-05,32,27,中雨,西南风,2级,29.5,5
2019-07-06,33,27,阴,西南风,3级,30.0,6
2019-07-07,32,27,多云,西南风,2级,29.5,5
2019-07-08,32,27,阴,西南风,3级,29.5,5
2019-07-09,32,27,小雨,西南风,3级,29.5,5
2019-07-10,27,25,中雨,东南风,1级,26.0,2
2019-07-11,30,25,小雨,西南风,2级,27.5,5
2019-07-12,31,26,阴,西南风,3级,28.5,5
2019-07-13,32,27,阴,西南风,3级,29.5,5
2019-07-14,30,27,中雨,西南风,3级,28.5,3
2019-07-15,31,27,阴,东南风,3级,29.0,4
2019-07-16,32,27,阴,东南风,3级,29.5,5
2019-07-17,34,27,阴,西南风,3级,30.5,7
2019-07-18,34,27,多云,西南风,3级,30.5,7
2019-07-19,34,26,阴,西南风,1级,30.0,8
2019-07-20,32,27,阴,西北风,2级,29.5,5
2019-07-21,31,27,大雨,西北风,2级,29.0,4
2019-07-22,29,26,小雨,东南风,2级,27.5,3
2019-07-23,30,25,小雨,东南风,2级,27.5,5
2019-07-24,31,26,阴,西南风,3级,28.5,5
2019-07-25,31,27,小雨,西南风,3级,29.0,4
2019-07-26,33,27,阴,西南风,2级,30.0,6
2019-07-27,32,26,小雨,东北风,1级,29.0,6
2019-07-28,30,26,阴,东南风,1级,28.0,4
2019-07-29,32,26,阴,东南风,2级,29.0,6
2019-07-30,32,26,多云,东南风,2级,29.0,6
2019-07-31,30,26,阴,东南风,3级,28.0,4
2019-06-01,29,24,阴,西南风,3级,26.5,5
2019-06-02,32,26,阴,西南风,3级,29.0,6
2019-06-03,29,25,阴,西南风,2级,27.0,4
2019-06-04,29,25,阴,西南风,1级,27.0,4
2019-06-05,30,25,阴,西南风,3级,27.5,5
2019-06-06,31,27,多云,西南风,3级,29.0,4
2019-06-07,31,26,阴,西北风,1级,28.5,5
2019-06-08,31,26,多云,西南风,3级,28.5,5
2019-06-09,32,26,阴,西南风,3级,29.0,6
2019-06-10,30,25,阴,西南风,1级,27.5,5
2019-06-11,28,24,阴,东南风,2级,26.0,4
2019-06-12,28,23,阵雨,东北风,3级,25.5,5
2019-06-13,24,23,小雨,东南风,1级,23.5,1
2019-06-14,30,24,多云,东南风,3级,27.0,6
2019-06-15,28,24,多云,东北风,1级,26.0,4
2019-06-16,29,23,多云,东北风,1级,26.0,6
2019-06-17,31,23,多云,东南风,3级,27.0,8
2019-06-18,31,27,阴,西南风,2级,29.0,4
2019-06-19,30,26,中雨,西南风,1级,28.0,4
2019-06-20,32,27,多云,西南风,3级,29.5,5
2019-06-21,32,27,阴,西南风,2级,29.5,5
2019-06-22,33,27,阴,西南风,3级,30.0,6
2019-06-23,32,27,阴,西南风,2级,29.5,5
2019-06-24,26,24,中雨,东北风,3级,25.0,2
2019-06-25,27,25,中雨,东南风,1级,26.0,2
2019-06-26,30,26,阵雨,西南风,1级,28.0,4
2019-06-27,31,26,阵雨,西南风,2级,28.5,5
2019-06-28,31,27,阴,西南风,2级,29.0,4
2019-06-29,31,27,小雨,西南风,3级,29.0,4
2019-06-30,32,28,阴,东南风,2级,30.0,4
2019-05-01,25,20,阴,东南风,3级,22.5,5
2019-05-02,24,20,阴,东北风,3级,22.0,4
2019-05-03,25,18,多云,东南风,5级,21.5,7
2019-05-04,24,19,多云,东北风,3级,21.5,5
2019-05-05,21,20,阴,东北风,4级,20.5,1
2019-05-06,20,18,阴,东北风,4级,19.0,2
2019-05-07,21,18,阴,东北风,5级,19.5,3
2019-05-08,19,17,阴,东北风,2级,18.0,2
2019-05-09,21,20,阴,东北风,4级,20.5,1
2019-05-10,26,20,阴,东北风,3级,23.0,6
2019-05-11,28,20,多云,东北风,3级,24.0,8
2019-05-12,27,22,多云,东南风,1级,24.5,5
2019-05-13,27,22,多云,东南风,2级,24.5,5
2019-05-14,32,24,多云,西南风,3级,28.0,8
2019-05-15,29,25,阴,西南风,3级,27.0,4
2019-05-16,33,26,阴,西南风,3级,29.5,7
2019-05-17,33,27,阴,西南风,2级,30.0,6
2019-05-18,31,26,阴,西南风,3级,28.5,5
2019-05-19,30,28,阴,西南风,2级,29.0,2
2019-05-20,32,23,阴,东北风,5级,27.5,9
2019-05-21,26,21,阴,东南风,3级,23.5,5
2019-05-22,26,22,多云,东南风,1级,24.0,4
2019-05-23,24,22,阴,东北风,3级,23.0,2
2019-05-24,26,23,阴,东北风,3级,24.5,3
2019-05-25,27,24,阴,东北风,2级,25.5,3
2019-05-26,26,24,阴,东风,2级,25.0,2
2019-05-27,29,24,阴,东南风,1级,26.5,5
2019-05-28,28,23,阴,东南风,4级,25.5,5
2019-05-29,24,21,阴,东北风,3级,22.5,3
2019-05-30,27,22,阴,东南风,2级,24.5,5
2019-05-31,29,23,阴,西南风,2级,26.0,6
2019-04-01,18,15,阴,东北风,4级,16.5,3
2019-04-02,22,18,多云,东南风,2级,20.0,4
