日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,22,阴,东北风,1级,25.5,7
2019-09-02,28,22,阴,东北风,1级,25.0,6
2019-09-03,26,21,小雨,西北风,1级,23.5,5
2019-09-04,28,19,多云,东南风,微风,23.5,9
2019-09-05,29,22,阴,东南风,2级,25.5,7
2019-09-06,29,21,阴,西北风,1级,25.0,8
2019-09-07,31,20,多云,东南风,2级,25.5,11
2019-09-08,31,21,晴,东南风,2级,26.0,10
2019-09-09,30,22,多云,东北风,1级,26.0,8
2019-09-10,28,23,阴,东北风,1级,25.5,5
2019-09-11,29,21,多云,东北风,1级,25.0,8
2019-09-12,29,20,阴,东北风,3级,24.5,9
2019-09-13,31,22,多云,东南风,1级,26.5,9
2019-09-14,28,19,阴,东北风,微风,23.5,9
2019-09-15,29,19,多云,北风,微风,24.0,10
2019-09-16,25,18,阴,西北风,1级,21.5,7
2019-09-17,28,18,多云,东北风,1级,23.0,10
2019-09-18,26,15,晴,东北风,微风,20.5,11
2019-09-19,26,16,多云,东南风,1级,21.0,10
2019-09-20,28,16,阴,东北风,1级,22.0,12
2019-09-21,28,18,多云,东北风,微风,23.0,10
2019-09-22,29,15,晴,西北风,1级,22.0,14
2019-09-23,28,14,晴,西南风,1级,21.0,14
2019-09-24,30,17,阴,西南风,2级,23.5,13
2019-09-25,29,15,阴,东北风,3级,22.0,14
2019-09-26,27,16,阴,东南风,2级,21.5,11
2019-09-27,26,15,多云,东南风,2级,20.5,11
2019-09-28,28,14,晴,东南风,1级,21.0,14
2019-09-29,28,16,阴,东南风,3级,22.0,12
2019-09-30,28,16,阴,东北风,2级,22.0,12
2019-08-01,33,25,小雨,东北风,2级,29.0,8
2019-08-02,32,24,大雨,西南风,1级,28.0,8
2019-08-03,32,24,多云,东北风,2级,28.0,8
2019-08-04,31,25,小雨,东北风,1级,28.0,6
2019-08-05,32,25,阴,东南风,3级,28.5,7
2019-08-06,32,26,阴,东南风,3级,29.0,6
2019-08-07,31,25,多云,东南风,3级,28.0,6
2019-08-08,33,26,多云,东风,2级,29.5,7
2019-08-09,33,26,小雨,东南风,3级,29.5,7
2019-08-10,28,26,中雨,东北风,4级,27.0,2
2019-08-11,29,24,中雨,西南风,4级,26.5,5
2019-08-12,25,23,小雨,西南风,3级,24.0,2
2019-08-13,29,23,多云,西南风,1级,26.0,6
2019-08-14,29,23,多云,东北风,微风,26.0,6
2019-08-15,31,22,多云,西北风,1级,26.5,9
2019-08-16,32,22,晴,东南风,2级,27.0,10
2019-08-17,32,20,多云,东南风,1级,26.0,12
2019-08-18,31,19,晴,东北风,2级,25.0,12
2019-08-19,30,20,晴,东南风,2级,25.0,10
2019-08-20,30,20,晴,东北风,2级,25.0,10
2019-08-21,31,20,多云,东北风,1级,25.5,11
2019-08-22,31,21,多云,东北风,1级,26.0,10
2019-08-23,32,20,多云,东南风,2级,26.0,12
2019-08-24,31,22,多云,东南风,2级,26.5,9
2019-08-25,30,23,晴,东北风,2级,26.5,7
2019-08-26,31,24,阴,东北风,2级,27.5,7
2019-08-27,29,23,小雨,东北风,1级,26.0,6
2019-08-28,31,21,小雨,西南风,2级,26.0,10
2019-08-29,32,19,晴,东北风,2级,25.5,13
2019-08-30,30,20,晴,西南风,1级,25.0,10
2019-08-31,30,20,阴,东南风,3级,25.0,10
2019-07-01,31,21,多云,东南风,2级,26.0,10
2019-07-02,31,22,多云,东南风,2级,26.5,9
2019-07-03,31,21,多云,西南风,2级,26.0,10
2019-07-04,31,23,阴,西南风,3级,27.0,8
2019-07-05,32,21,多云,东南风,3级,26.5,11
2019-07-06,30,21,小雨,东南风,2级,25.5,9
2019-07-07,28,22,阴,东北风,2级,25.0,6
2019-07-08,26,20,阴,东北风,2级,23.0,6
2019-07-09,28,20,阴,东南风,2级,24.0,8
2019-07-10,28,20,阴,东南风,2级,24.0,8
2019-07-11,29,23,多云,西南风,2级,26.0,6
2019-07-12,29,23,阴,西南风,2级,26.0,6
2019-07-13,31,23,阴,西南风,2级,27.0,8
2019-07-14,33,23,晴,东南风,2级,28.0,10
2019-07-15,33,24,多云,东南风,2级,28.5,9
2019-07-16,31,23,阴,东南风,3级,27.0,8
2019-07-17,26,24,小雨,东北风,2级,25.0,2
2019-07-18,30,24,多云,东北风,1级,27.0,6
2019-07-19,29,25,小雨,西北风,1级,27.0,4
2019-07-20,33,25,多云,西南风,1级,29.0,8
2019-07-21,35,27,多云,东南风,1级,31.0,8
2019-07-22,34,27,晴,东风,3级,30.5,7
2019-07-23,36,27,多云,西南风,3级,31.5,9
2019-07-24,35,28,阴,西北风,1级,31.5,7
2019-07-25,35,27,小雨,西北风,1级,31.0,8
2019-07-26,35,27,阴,东南风,2级,31.0,8
2019-07-27,30,26,小雨,东南风,2级,28.0,4
2019-07-28,35,27,阴,东南风,2级,31.0,8
2019-07-29,37,28,阴,东南风,2级,32.5,9
2019-07-30,35,27,阴,西北风,2级,31.0,8
2019-07-31,33,26,阴,东南风,2级,29.5,7
2019-06-01,29,18,阴,东南风,2级,23.5,11
2019-06-02,31,19,晴,东南风,2级,25.0,12
2019-06-03,34,22,晴,东南风,3级,28.0,12
2019-06-04,35,21,多云,东南风,3级,28.0,14
2019-06-05,35,22,多云,东南风,3级,28.5,13
2019-06-06,22,18,阴,东北风,3级,20.0,4
2019-06-07,28,18,阴,东南风,2级,23.0,10
2019-06-08,31,20,阴,东南风,1级,25.5,11
2019-06-09,34,17,阴,东北风,2级,25.5,17
2019-06-10,27,17,晴,东南风,2级,22.0,10
2019-06-11,30,17,晴,东南风,2级,23.5,13
2019-06-12,30,18,多云,东南风,3级,24.0,12
2019-06-13,28,18,阴,东南风,3级,23.0,10
2019-06-14,30,19,阴,东南风,2级,24.5,11
2019-06-15,33,20,阴,东南风,2级,26.5,13
2019-06-16,30,22,阴,东南风,3级,26.0,8
2019-06-17,33,22,多云,东南风,1级,27.5,11
2019-06-18,28,21,多云,东南风,2级,24.5,7
2019-06-19,29,22,阴,西南风,3级,25.5,7
2019-06-20,25,20,小雨,东南风,1级,22.5,5
2019-06-21,29,19,多云,东风,2级,24.0,10
2019-06-22,30,18,多云,东南风,1级,24.0,12
2019-06-23,31,19,晴,东南风,2级,25.0,12
2019-06-24,29,20,多云,东南风,4级,24.5,9
2019-06-25,29,21,阴,东南风,4级,25.0,8
2019-06-26,27,20,多云,东南风,3级,23.5,7
2019-06-27,29,22,多云,东南风,2级,25.5,7
2019-06-28,31,23,多云,东北风,3级,27.0,8
2019-06-29,28,22,多云,东南风,1级,25.0,6
2019-06-30,33,23,多云,西南风,微风,28.0,10
2019-05-01,24,9,晴,北风,微风,16.5,15
2019-05-02,26,11,多云,西北风,微风,18.5,15
2019-05-03,26,14,晴,东南风,微风,20.0,12
2019-05-04,26,15,阴,东南风,3级,20.5,11
2019-05-05,25,12,阴,东北风,1级,18.5,13
2019-05-06,19,8,阴,东南风,2级,13.5,11
2019-05-07,22,11,阴,东南风,2级,16.5,11
2019-05-08,21,12,阴,东南风,2级,16.5,9
2019-05-09,25,14,阴,西南风,2级,19.5,11
2019-05-10,26,17,多云,东南风,3级,21.5,9
2019-05-11,27,16,多云,南风,微风,21.5,11
2019-05-12,29,17,多云,东南风,2级,23.0,12
2019-05-13,21,12,阴,东北风,1级,16.5,9
