日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,12,晴,东北风,2级,20.5,17
2019-09-02,21,11,阴,东南风,1级,16.0,10
2019-09-03,26,9,晴,东北风,2级,17.5,17
2019-09-04,27,10,多云,东北风,1级,18.5,17
2019-09-05,26,9,阴,东北风,3级,17.5,17
2019-09-06,20,7,阴,东北风,3级,13.5,13
2019-09-07,24,9,多云,西南风,微风,16.5,15
2019-09-08,25,8,晴,东北风,1级,16.5,17
2019-09-09,22,8,阴,东北风,4级,15.0,14
2019-09-10,16,4,阴,东南风,1级,10.0,12
2019-09-11,21,5,阴,东北风,2级,13.0,16
2019-09-12,23,4,晴,东南风,3级,13.5,19
2019-09-13,22,5,晴,东南风,2级,13.5,17
2019-09-14,23,6,晴,东南风,2级,14.5,17
2019-09-15,24,7,晴,东北风,1级,15.5,17
2019-09-16,21,8,阴,西北风,1级,14.5,13
2019-09-17,24,5,阴,东北风,1级,14.5,19
2019-09-18,23,4,晴,西北风,1级,13.5,19
2019-09-19,26,6,晴,东南风,3级,16.0,20
2019-09-20,28,7,晴,东北风,2级,17.5,21
2019-09-21,29,8,晴,东北风,2级,18.5,21
2019-09-22,30,8,晴,东北风,1级,19.0,22
2019-09-23,32,9,晴,东北风,2级,20.5,23
2019-09-24,26,9,晴,东风,3级,17.5,17
2019-09-25,27,10,多云,东南风,1级,18.5,17
2019-09-26,26,11,阴,西北风,2级,18.5,15
2019-09-27,25,10,晴,西北风,1级,17.5,15
2019-09-28,24,8,阴,东北风,3级,16.0,16
2019-09-29,23,7,多云,东北风,1级,15.0,16
2019-09-30,14,5,阴,东南风,2级,9.5,9
2019-08-01,29,14,多云,东北风,2级,21.5,15
2019-08-02,31,16,多云,西南风,3级,23.5,15
2019-08-03,30,15,多云,东北风,1级,22.5,15
2019-08-04,30,16,多云,西北风,3级,23.0,14
2019-08-05,30,15,阴,东南风,2级,22.5,15
2019-08-06,32,16,晴,东南风,1级,24.0,16
2019-08-07,32,16,晴,东北风,1级,24.0,16
2019-08-08,32,16,晴,东南风,2级,24.0,16
2019-08-09,34,16,多云,东北风,3级,25.0,18
2019-08-10,20,10,中雨,东北风,2级,15.0,10
2019-08-11,25,11,晴,东南风,1级,18.0,14
2019-08-12,30,15,晴,东北风,2级,22.5,15
2019-08-13,31,15,晴,东北风,2级,23.0,16
2019-08-14,26,16,阴,西南风,2级,21.0,10
2019-08-15,18,10,阴,东北风,1级,14.0,8
2019-08-16,18,10,阴,西北风,2级,14.0,8
2019-08-17,15,8,中雨,东南风,1级,11.5,7
2019-08-18,21,11,雾,东南风,3级,16.0,10
2019-08-19,20,9,阴,西南风,1级,14.5,11
2019-08-20,22,12,多云,东北风,1级,17.0,10
2019-08-21,24,12,阴,西南风,3级,18.0,12
2019-08-22,25,11,晴,东北风,2级,18.0,14
2019-08-23,26,12,晴,东北风,2级,19.0,14
2019-08-24,22,12,阴,东北风,1级,17.0,10
2019-08-25,23,11,多云,东南风,2级,17.0,12
2019-08-26,26,12,晴,东北风,1级,19.0,14
2019-08-27,28,13,晴,东北风,1级,20.5,15
2019-08-28,27,15,晴,东南风,2级,21.0,12
2019-08-29,33,13,晴,东南风,2级,23.0,20
2019-08-30,34,12,多云,东北风,3级,23.0,22
2019-08-31,30,14,晴,东北风,3级,22.0,16
2019-07-01,30,16,晴,东北风,2级,23.0,14
2019-07-02,31,15,晴,东南风,2级,23.0,16
2019-07-03,33,16,晴,东北风,3级,24.5,17
2019-07-04,17,13,小雨,西南风,1级,15.0,4
2019-07-05,25,12,晴,东南风,3级,18.5,13
2019-07-06,29,14,晴,东北风,3级,21.5,15
2019-07-07,25,15,阵雨,西北风,1级,20.0,10
2019-07-08,28,15,阴,西北风,1级,21.5,13
2019-07-09,30,15,晴,东北风,2级,22.5,15
2019-07-10,21,15,阴,东南风,1级,18.0,6
2019-07-11,29,15,晴,东风,2级,22.0,14
2019-07-12,32,15,晴,东南风,2级,23.5,17
2019-07-13,32,16,晴,东北风,2级,24.0,16
2019-07-14,29,16,阴,西南风,2级,22.5,13
2019-07-15,26,12,阴,西北风,2级,19.0,14
2019-07-16,29,15,阴,东北风,2级,22.0,14
2019-07-17,32,15,晴,西北风,1级,23.5,17
2019-07-18,32,14,阴,西南风,2级,23.0,18
2019-07-19,31,16,阴,西南风,2级,23.5,15
2019-07-20,29,15,阴,西南风,2级,22.0,14
2019-07-21,23,14,小雨,西南风,微风,18.5,9
2019-07-22,26,14,多云,东南风,2级,20.0,12
2019-07-23,27,15,多云,东南风,3级,21.0,12
2019-07-24,28,16,多云,东南风,3级,22.0,12
2019-07-25,21,13,小雨,西南风,3级,17.0,8
2019-07-26,26,12,晴,东南风,3级,19.0,14
2019-07-27,19,12,小雨,西南风,3级,15.5,7
