日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,25,阴,东北风,3级,27.0,4
2019-09-02,28,25,阴,东北风,2级,26.5,3
2019-09-03,30,25,阵雨,东北风,1级,27.5,5
2019-09-04,30,26,阴,东北风,2级,28.0,4
2019-09-05,29,25,阴,西南风,1级,27.0,4
2019-09-06,33,25,多云,东北风,1级,29.0,8
2019-09-07,34,26,晴,东南风,1级,30.0,8
2019-09-08,35,26,多云,西南风,2级,30.5,9
2019-09-09,33,27,多云,西南风,1级,30.0,6
2019-09-10,33,26,阴,东南风,2级,29.5,7
2019-09-11,33,25,多云,西南风,2级,29.0,8
2019-09-12,34,25,多云,东南风,2级,29.5,9
2019-09-13,35,26,阴,西南风,2级,30.5,9
2019-09-14,33,25,阴,西南风,2级,29.0,8
2019-09-15,32,24,阴,东北风,2级,28.0,8
2019-09-16,34,25,阴,西南风,1级,29.5,9
2019-09-17,32,24,阴,西南风,1级,28.0,8
2019-09-18,33,24,多云,东北风,2级,28.5,9
2019-09-19,31,22,多云,东北风,3级,26.5,9
2019-09-20,31,21,晴,北风,2级,26.0,10
2019-09-21,30,21,晴,西北风,2级,25.5,9
2019-09-22,29,22,晴,西北风,1级,25.5,7
2019-09-23,30,20,多云,东北风,2级,25.0,10
2019-09-24,31,20,多云,东北风,2级,25.5,11
2019-09-25,31,19,晴,东北风,1级,25.0,12
2019-09-26,31,21,多云,东北风,3级,26.0,10
2019-09-27,32,20,多云,东北风,1级,26.0,12
2019-09-28,32,21,晴,东北风,2级,26.5,11
2019-09-29,33,22,晴,东北风,2级,27.5,11
2019-09-30,33,21,晴,东北风,1级,27.0,12
2019-08-01,28,23,中雨,东北风,4级,25.5,5
2019-08-02,29,25,大雨,东南风,3级,27.0,4
2019-08-03,28,25,小雨,东北风,3级,26.5,3
2019-08-04,32,25,阴,东北风,2级,28.5,7
2019-08-05,33,25,多云,东南风,1级,29.0,8
2019-08-06,34,26,多云,西北风,1级,30.0,8
2019-08-07,35,28,多云,东南风,2级,31.5,7
2019-08-08,34,26,阴,西南风,1级,30.0,8
2019-08-09,35,25,多云,西北风,3级,30.0,10
2019-08-10,35,27,多云,东南风,2级,31.0,8
2019-08-11,35,27,小雨,西北风,1级,31.0,8
2019-08-12,35,26,阴,东南风,2级,30.5,9
2019-08-13,36,27,多云,东南风,2级,31.5,9
2019-08-14,36,26,阴,西北风,1级,31.0,10
2019-08-15,34,26,小雨,东南风,2级,30.0,8
2019-08-16,32,26,多云,东南风,1级,29.0,6
2019-08-17,27,24,小雨,东南风,2级,25.5,3
2019-08-18,30,25,阴,西南风,2级,27.5,5
2019-08-19,34,26,阴,西北风,1级,30.0,8
2019-08-20,34,26,阴,东南风,2级,30.0,8
2019-08-21,33,26,阴,西南风,2级,29.5,7
2019-08-22,33,25,阴,东南风,3级,29.0,8
2019-08-23,34,26,多云,东南风,1级,30.0,8
2019-08-24,34,26,阴,西南风,3级,30.0,8
2019-08-25,36,26,阴,东南风,2级,31.0,10
2019-08-26,25,24,中雨,东北风,2级,24.5,1
2019-08-27,32,25,小雨,东南风,2级,28.5,7
2019-08-28,33,25,阴,西北风,2级,29.0,8
2019-08-29,34,26,阴,东南风,1级,30.0,8
2019-08-30,30,25,阴,东北风,1级,27.5,5
