日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-02,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-03,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-04,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-05,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-06,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-07,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-08,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-09,13,3,阴,东北风,4级,8.0,10
2019-09-10,12,4,阴,西北风,1级,8.0,8
2019-09-11,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-12,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-13,18,4,零散雷雨,东北风,2级,11.0,14
2019-09-14,15,3,局部多云,西北偏北风,2级,9.0,12
2019-09-15,16,6,局部多云,东北偏东风,2级,11.0,10
2019-09-16,12,5,阵雨,东北偏北风,2级,8.5,7
2019-09-17,5,3,阴,东北风,5级,4.0,2
2019-09-18,9,1,雨,北风,2级,5.0,8
2019-09-19,3,0,雨夹雪,,,1.5,3
2019-09-20,0,-1,局部多云,西北风,2级,-0.5,1
2019-09-21,1,0,局部多云,,,0.5,1
2019-09-22,1,0,多云,西北偏北风,2级,0.5,1
2019-09-23,1,0,多云,北风,2级,0.5,1
2019-09-24,0,-2,局部多云,西北偏西风,2级,-1.0,2
2019-09-25,0,-3,晴,西风,2级,-1.5,3
2019-09-26,8,-6,多云,东北风,2级,1.0,14
2019-09-27,0,-2,少云,西风,2级,-1.0,2
2019-09-28,0,-1,局部多云,西南偏西风,2级,-0.5,1
2019-09-29,0,0,局部多云,西风,2级,0.0,0
2019-09-30,2,0,局部多云,西南风,2级,1.0,2
2019-08-01,19,7,局部多云,东北偏北风,2级,13.0,12
2019-08-02,19,7,局部多云,东北偏北风,2级,13.0,12
2019-08-03,19,7,局部多云,东北偏北风,2级,13.0,12
2019-08-04,19,7,局部多云,东北偏北风,2级,13.0,12
2019-08-05,17,4,阵雨,西北偏北风,2级,10.5,13
2019-08-06,21,5,晴,南风,2级,13.0,16
2019-08-07,21,8,阴天,东南偏南风,3级,14.5,13
2019-08-08,15,5,雨,西北风,2级,10.0,10
2019-08-09,19,3,少云,西北偏西风,2级,11.0,16
2019-08-10,21,3,晴,西风,2级,12.0,18
2019-08-11,22,7,少云,南风,2级,14.5,15
2019-08-12,19,6,局部多云,西风,2级,12.5,13
2019-08-13,18,5,零散阵雨,西北偏西风,2级,11.5,13
