日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,18,阴,西南风,2级,25.0,14
2019-09-02,25,15,多云,东北风,1级,20.0,10
2019-09-03,28,17,多云,西南风,2级,22.5,11
2019-09-04,28,16,多云,西南风,3级,22.0,12
2019-09-05,21,13,阴,东南风,3级,17.0,8
2019-09-06,24,13,阴,西北风,2级,18.5,11
2019-09-07,24,12,多云,西南风,2级,18.0,12
2019-09-08,27,12,晴,西北风,2级,19.5,15
2019-09-09,27,13,多云,西北风,3级,20.0,14
2019-09-10,15,11,阴,西南风,3级,13.0,4
2019-09-11,20,9,阴,西南风,1级,14.5,11
2019-09-12,22,10,晴,东南风,1级,16.0,12
2019-09-13,23,10,晴,东北风,1级,16.5,13
2019-09-14,24,11,晴,北风,微风,17.5,13
2019-09-15,26,10,晴,西北风,1级,18.0,16
2019-09-16,25,12,阴,西北风,3级,18.5,13
2019-09-17,23,10,多云,南风,微风,16.5,13
2019-09-18,26,10,晴,北风,微风,18.0,16
2019-09-19,25,11,晴,西北风,1级,18.0,14
2019-09-20,30,11,晴,南风,微风,20.5,19
2019-09-21,32,14,晴,南风,微风,23.0,18
2019-09-22,31,13,晴,南风,微风,22.0,18
2019-09-23,33,16,晴,西北风,1级,24.5,17
2019-09-24,28,15,多云,南风,微风,21.5,13
2019-09-25,27,15,阴,东南风,2级,21.0,12
2019-09-26,25,13,晴,北风,微风,19.0,12
2019-09-27,26,11,多云,南风,微风,18.5,15
2019-09-28,27,13,晴,南风,微风,20.0,14
2019-09-29,30,16,晴,东南风,2级,23.0,14
2019-09-30,17,8,阴,东南风,2级,12.5,9
2019-08-01,34,19,多云,西南风,4级,26.5,15
2019-08-02,36,21,晴,东南风,2级,28.5,15
2019-08-03,35,22,晴,西南风,2级,28.5,13
2019-08-04,33,21,多云,西南风,2级,27.0,12
2019-08-05,33,23,多云,西南风,1级,28.0,10
2019-08-06,34,21,晴,西南风,2级,27.5,13
2019-08-07,33,20,晴,东南风,3级,26.5,13
2019-08-08,34,21,晴,西南风,2级,27.5,13
2019-08-09,38,24,晴,西北风,微风,31.0,14
2019-08-10,28,13,中雨,东南风,3级,20.5,15
2019-08-11,29,14,晴,西南风,1级,21.5,15
2019-08-12,31,15,晴,西南风,1级,23.0,16
2019-08-13,35,17,晴,东南风,1级,26.0,18
