日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2018-10-12,24,15,多云,西北风,1级,19.5,9
2018-10-15,19,15,小雨,西北风,1级,17.0,4
2018-09-06,34,24,多云,东南风,微风,29.0,10
2018-09-14,31,24,阵雨,西北风,1级,27.5,7
2016-06-01,30,23,小雨,南风,小于3级,26.5,7
2016-06-02,30,23,小雨,南风,小于3级,26.5,7
2016-06-03,30,23,小雨,南风,小于3级,26.5,7
2016-06-04,23,33,多云, 东风 2级, 东风 2级,28.0,10
2016-06-05,23,33,多云, 东风 2级, 东风 2级,28.0,10
2016-06-06,23,33,多云, 东风 2级, 东风 2级,28.0,10
2016-06-07,24,34,多云, 东南风 2级, 东南风 2级,29.0,10
2016-06-08,23,31,阵雨, 西风 1级, 西风 1级,27.0,8
2016-06-09,24,31,阵雨, 西风 2级, 西风 2级,27.5,7
2016-06-10,24,31,阵雨, 西风 2级, 西风 2级,27.5,7
2016-06-11,24,29,中雨~大到暴雨, 西南风 1级, 西南风 1级,26.5,5
2016-06-12,24,29,中雨~大到暴雨, 西南风 1级, 西南风 1级,26.5,5
2016-06-13,24,29,中雨~大到暴雨, 西南风 1级, 西南风 1级,26.5,5
2016-06-14,24,29,中雨~大到暴雨, 西南风 1级, 西南风 1级,26.5,5
2016-06-15,26,18,阵雨~多云,南风,小于3级,22.0,8
2016-06-16,26,18,阵雨~多云,南风,小于3级,22.0,8
2016-06-17,25,33,阵雨~多云, 南风 2级, 南风 2级,29.0,8
2016-06-18,25,33,阵雨~多云, 南风 2级, 南风 2级,29.0,8
2016-06-19,25,34,多云, 西风 2级, 西风 2级,29.5,9
2016-06-20,26,35,多云, 西南风 1级, 西南风 1级,30.5,9
2016-06-21,26,35,多云, 西南风 1级, 西南风 1级,30.5,9
2015-12-01,11,16,小雨,北风 微风 ,北风 微风 ,13.5,5
2015-12-02,10,13,阴~小雨,北风 微风 ,北风 微风 ,11.5,3
2015-12-03,10,13,阴~小雨,北风 微风 ,北风 微风 ,11.5,3
2015-12-04,7,11,大到暴雨~小雨,北风 微风 ,北风 微风 ,9.0,4
2015-12-05,7,11,大到暴雨~小雨,北风 微风 ,北风 微风 ,9.0,4
2015-12-06,6,12,晴~多云,北风 微风 ,北风 微风 ,9.0,6
2015-12-07,6,12,晴~多云,北风 微风 ,北风 微风 ,9.0,6
2015-12-08,7,10,多云~小雨,北风 微风 ,北风 微风 ,8.5,3
2015-12-09,9,15,阴,北风 微风 ,北风 微风 ,12.0,6
2015-12-10,9,15,阴,北风 微风 ,北风 微风 ,12.0,6
2015-12-11,9,15,阴,北风 微风 ,北风 微风 ,12.0,6
2015-12-12,8,12,小雨,北风 微风 ,北风 微风 ,10.0,4
2015-12-13,9,12,中雨,北风 微风 ,北风 微风 ,10.5,3
2015-12-14,6,11,多云,北风 微风 ,北风 微风 ,8.5,5
2015-12-15,6,11,多云,北风 微风 ,北风 微风 ,8.5,5
2015-12-16,5,14,多云~晴,北风 微风 ,北风 微风 ,9.5,9
2015-12-17,5,14,多云~晴,北风 微风 ,北风 微风 ,9.5,9
2015-12-18,14,9,多云~阴,南风,小于3级,11.5,5
2015-12-19,14,9,多云~阴,南风,小于3级,11.5,5
2015-12-20,14,9,多云~阴,南风,小于3级,11.5,5
2015-12-21,15,12,小雨~中雨,南风,小于3级,13.5,3
2015-12-22,13,17,大雨~大到暴雨,北风 微风 ,北风 微风 ,15.0,4
2015-12-23,7,14,阴~小雨,北风 微风 ,北风 微风 ,10.5,7
2015-12-24,7,14,阴~小雨,北风 微风 ,北风 微风 ,10.5,7
2015-12-25,7,14,阴~小雨,北风 微风 ,北风 微风 ,10.5,7
2015-12-26,8,14,多云,北风 微风 ,北风 微风 ,11.0,6
2015-12-27,8,14,多云,北风 微风 ,北风 微风 ,11.0,6
2015-12-28,6,11,小雨,北风 微风 ,北风 微风 ,8.5,5
2015-12-29,6,11,小雨,北风 微风 ,北风 微风 ,8.5,5
2015-12-30,8,12,小雨~多云,北风 微风 ,北风 微风 ,10.0,4
2015-12-31,6,15,多云,北风 微风 ,北风 微风 ,10.5,9
2015-11-01,12,21,多云,北风 微风 ,北风 微风 ,16.5,9
2015-11-02,12,21,多云,北风 微风 ,北风 微风 ,16.5,9
2015-11-03,27,20,阵雨~小雨,南风,小于3级,23.5,7
2015-11-04,27,20,阵雨~小雨,南风,小于3级,23.5,7
2015-11-05,27,20,阵雨~小雨,南风,小于3级,23.5,7
2015-11-06,27,20,阵雨~小雨,南风,小于3级,23.5,7
2015-11-07,27,20,阵雨~小雨,南风,小于3级,23.5,7
2015-11-08,11,20,小雨,北风 微风 ,北风 微风 ,15.5,9
2015-11-09,11,20,小雨,北风 微风 ,北风 微风 ,15.5,9
2015-11-10,13,18,小雨,北风 微风 ,北风 微风 ,15.5,5
2015-11-11,12,14,大到暴雨~大雨,北风 微风 ,北风 微风 ,13.0,2
2015-11-12,12,14,大到暴雨~大雨,北风 微风 ,北风 微风 ,13.0,2
2015-11-13,24,12,阴~小雨,南风,小于3级,18.0,12
2015-11-14,24,12,阴~小雨,南风,小于3级,18.0,12
2015-11-15,16,22,小雨~大雨,北风 微风 ,北风 微风 ,19.0,6
2015-11-16,18,23,中雨~小雨,南风 微风 ,南风 微风 ,20.5,5
2015-11-17,19,16,中雨~小雨,南风,小于3级,17.5,3
2015-11-18,19,16,中雨~小雨,南风,小于3级,17.5,3
2015-11-19,19,16,中雨~小雨,南风,小于3级,17.5,3
2015-11-20,19,16,中雨~小雨,南风,小于3级,17.5,3
2015-11-21,19,16,中雨~小雨,南风,小于3级,17.5,3
2015-11-22,17,23,多云,北风 微风 ,北风 微风 ,20.0,6
2015-11-23,8,24,多云~小雨,北风 3-4级 ,北风 3-4级 ,16.0,16
2015-11-24,8,24,多云~小雨,北风 3-4级 ,北风 3-4级 ,16.0,16
2015-11-25,6,9,小雨~多云,北风 3-4级 ,北风 3-4级 ,7.5,3
2015-11-26,19,12,阴~小雨,南风,小于3级,15.5,7
