日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,21,多云,西南风,3级,24.5,7
2019-09-02,28,21,多云,东南风,1级,24.5,7
2019-09-03,27,22,多云,东北风,2级,24.5,5
2019-09-04,27,21,阴,西南风,4级,24.0,6
2019-09-05,27,21,多云,西南风,2级,24.0,6
2019-09-06,27,22,阴,东北风,2级,24.5,5
2019-09-07,24,21,阴,西北风,2级,22.5,3
2019-09-08,29,20,晴,西南风,3级,24.5,9
2019-09-09,30,22,晴,东北风,2级,26.0,8
2019-09-10,27,21,多云,西北风,3级,24.0,6
2019-09-11,26,21,多云,西北风,2级,23.5,5
2019-09-12,26,20,多云,东北风,1级,23.0,6
2019-09-13,26,20,多云,西北风,2级,23.0,6
2019-09-14,26,21,多云,西北风,4级,23.5,5
2019-09-15,26,20,多云,西北风,3级,23.0,6
2019-09-16,27,19,多云,西北风,3级,23.0,8
2019-09-17,26,19,多云,西南风,1级,22.5,7
2019-09-18,20,18,多云,西北风,4级,19.0,2
2019-09-19,24,17,晴,西北风,1级,20.5,7
2019-09-20,24,20,阴,东北风,2级,22.0,4
2019-09-21,26,20,多云,西北风,1级,23.0,6
2019-09-22,23,19,多云,西北风,3级,21.0,4
2019-09-23,24,17,晴,西北风,3级,20.5,7
2019-09-24,29,18,晴,西南风,1级,23.5,11
2019-09-25,27,17,阴,东南风,1级,22.0,10
2019-09-26,27,18,多云,西南风,1级,22.5,9
2019-09-27,26,17,多云,西南风,1级,21.5,9
2019-09-28,28,18,晴,西北风,2级,23.0,10
2019-09-29,29,19,多云,南风,微风,24.0,10
2019-09-30,30,18,晴,西南风,3级,24.0,12
2019-08-01,31,26,阴,东南风,2级,28.5,5
2019-08-02,32,26,阴,东南风,4级,29.0,6
2019-08-03,33,25,多云,西南风,4级,29.0,8
2019-08-04,30,25,晴,东南风,2级,27.5,5
2019-08-05,34,25,多云,西南风,2级,29.5,9
2019-08-06,31,25,多云,东南风,2级,28.0,6
2019-08-07,33,26,晴,西南风,4级,29.5,7
2019-08-08,28,24,小雨,北风,微风,26.0,4
2019-08-09,30,26,中雨,西南风,1级,28.0,4
2019-08-10,29,25,小雨,东北风,1级,27.0,4
2019-08-11,25,25,中雨,东南风,5级,25.0,0
2019-08-12,26,24,小雨,东南风,3级,25.0,2
2019-08-13,25,23,小雨,西南风,3级,24.0,2
2019-08-14,26,23,阴,西南风,3级,24.5,3
2019-08-15,24,23,小雨,西北风,5级,23.5,1
2019-08-16,30,23,多云,西北风,3级,26.5,7
2019-08-17,29,21,晴,西北风,3级,25.0,8
2019-08-18,31,21,多云,西南风,3级,26.0,10
2019-08-19,30,21,晴,东北风,2级,25.5,9
2019-08-20,28,22,阴,西南风,3级,25.0,6
2019-08-21,28,22,阴,西北风,1级,25.0,6
2019-08-22,29,22,多云,西北风,3级,25.5,7
2019-08-23,31,22,多云,西北风,3级,26.5,9
2019-08-24,27,21,阴,西风,1级,24.0,6
2019-08-25,29,21,多云,东北风,1级,25.0,8
2019-08-26,29,22,阴,西南风,4级,25.5,7
2019-08-27,28,22,阴,西南风,2级,25.0,6
2019-08-28,32,22,多云,西南风,2级,27.0,10
2019-08-29,25,22,阴,西北风,3级,23.5,3
2019-08-30,27,21,多云,西北风,2级,24.0,6
2019-08-31,28,19,晴,西南风,4级,23.5,9
2019-07-01,30,20,多云,西南风,1级,25.0,10
2019-07-02,29,21,晴,西南风,3级,25.0,8
2019-07-03,29,21,雷阵雨,西南风,2级,25.0,8
2019-07-04,32,23,晴,西南风,5级,27.5,9
2019-07-05,31,22,晴,西南风,5级,26.5,9
2019-07-06,31,21,多云,西南风,4级,26.0,10
2019-07-07,25,21,雷阵雨,东北风,1级,23.0,4
2019-07-08,28,20,多云,东南风,2级,24.0,8
2019-07-09,27,21,阴,东北风,3级,24.0,6
2019-07-10,25,20,阴,东南风,2级,22.5,5
2019-07-11,26,21,多云,西南风,3级,23.5,5
2019-07-12,27,22,多云,东南风,2级,24.5,5
2019-07-13,28,23,多云,东北风,1级,25.5,5
2019-07-14,28,22,多云,东北风,1级,25.0,6
2019-07-15,28,22,多云,东北风,2级,25.0,6
2019-07-16,27,23,阴,西南风,3级,25.0,4
2019-07-17,28,22,阴,东南风,3级,25.0,6
2019-07-18,27,22,多云,东南风,2级,24.5,5
2019-07-19,27,23,多云,东北风,2级,25.0,4
2019-07-20,30,24,晴,西北风,2级,27.0,6
2019-07-21,33,25,多云,东南风,1级,29.0,8
2019-07-22,34,26,晴,西南风,5级,30.0,8
2019-07-23,32,25,阴,东南风,3级,28.5,7
2019-07-24,31,25,多云,西南风,1级,28.0,6
2019-07-25,32,26,多云,西南风,3级,29.0,6
2019-07-26,32,25,多云,东南风,3级,28.5,7
2019-07-27,30,26,多云,东南风,3级,28.0,4
2019-07-28,32,26,阴,西南风,4级,29.0,6
2019-07-29,34,26,多云,西南风,3级,30.0,8
