日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,21,阴,西南风,1级,22.0,2
2019-09-02,26,21,阴,东南风,1级,23.5,5
2019-09-03,29,21,阵雨,东北风,微风,25.0,8
2019-09-04,29,22,阴,东北风,2级,25.5,7
2019-09-05,26,22,阴,东南风,1级,24.0,4
2019-09-06,28,22,阴,西北风,1级,25.0,6
2019-09-07,27,22,阴,西南风,1级,24.5,5
2019-09-08,26,22,阴,西南风,1级,24.0,4
2019-09-09,30,23,阴,东北风,微风,26.5,7
2019-09-10,28,22,阴,东南风,3级,25.0,6
2019-09-11,32,23,阴,西南风,1级,27.5,9
2019-09-12,34,23,多云,东北风,2级,28.5,11
2019-09-13,30,18,阴,东北风,1级,24.0,12
2019-09-14,21,18,多云,东南风,微风,19.5,3
2019-09-15,20,19,阴,东南风,1级,19.5,1
2019-09-16,27,19,多云,东北风,1级,23.0,8
2019-09-17,22,18,阴,西南风,1级,20.0,4
2019-09-18,26,19,多云,西北风,1级,22.5,7
2019-09-19,20,17,阴,北风,微风,18.5,3
2019-09-20,24,16,阴,西南风,1级,20.0,8
2019-09-21,30,17,阴,东南风,1级,23.5,13
2019-09-22,31,15,晴,西南风,1级,23.0,16
2019-09-23,30,17,多云,东北风,微风,23.5,13
2019-09-24,19,16,阴,东北风,2级,17.5,3
2019-09-25,27,16,阴,东北风,1级,21.5,11
2019-09-26,28,18,晴,东南风,1级,23.0,10
2019-09-27,29,18,晴,东南风,1级,23.5,11
2019-09-28,31,19,多云,东南风,1级,25.0,12
2019-09-29,31,20,多云,东北风,1级,25.5,11
2019-09-30,29,20,阴,西南风,1级,24.5,9
2019-08-01,33,23,阴,东北风,1级,28.0,10
2019-08-02,36,24,阴,东南风,2级,30.0,12
2019-08-03,29,23,阴,东北风,1级,26.0,6
2019-08-04,30,23,大雨,东北风,1级,26.5,7
2019-08-05,33,23,阴,西北风,3级,28.0,10
2019-08-06,26,23,小雨,东南风,1级,24.5,3
2019-08-07,34,23,阴,东北风,1级,28.5,11
2019-08-08,33,23,阴,东南风,1级,28.0,10
2019-08-09,29,23,暴雨,西南风,1级,26.0,6
2019-08-10,36,22,晴,东南风,1级,29.0,14
2019-08-11,39,22,晴,西南风,1级,30.5,17
2019-08-12,37,24,晴,西南风,1级,30.5,13
2019-08-13,37,24,多云,东南风,1级,30.5,13
2019-08-14,31,22,小雨,东南风,2级,26.5,9
2019-08-15,38,21,晴,西南风,1级,29.5,17
2019-08-16,38,22,晴,东北风,1级,30.0,16
2019-08-17,37,24,晴,西南风,1级,30.5,13
2019-08-18,38,24,阴,东南风,1级,31.0,14
2019-08-19,33,24,阴,东北风,2级,28.5,9
2019-08-20,34,24,阴,东北风,2级,29.0,10
2019-08-21,34,23,阴,东北风,3级,28.5,11
2019-08-22,33,22,阴,西南风,4级,27.5,11
2019-08-23,34,23,阴,东南风,1级,28.5,11
2019-08-24,36,24,晴,东南风,1级,30.0,12
2019-08-25,36,24,多云,西南风,1级,30.0,12
2019-08-26,37,24,多云,东南风,2级,30.5,13
2019-08-27,33,23,阴,东北风,1级,28.0,10
2019-08-28,32,23,阴,西南风,1级,27.5,9
2019-08-29,33,22,小雨,东北风,1级,27.5,11
2019-08-30,29,20,阴,西北风,1级,24.5,9
2019-08-31,20,19,阴,东南风,1级,19.5,1
2019-07-01,34,22,阴,东南风,1级,28.0,12
2019-07-02,35,23,多云,东南风,1级,29.0,12
2019-07-03,28,20,阵雨,东北风,1级,24.0,8
2019-07-04,23,21,小雨,西南风,1级,22.0,2
2019-07-05,29,22,中雨,东北风,1级,25.5,7
2019-07-06,30,21,阴,东北风,1级,25.5,9
2019-07-07,26,20,阵雨,北风,微风,23.0,6
2019-07-08,25,21,小雨,东南风,微风,23.0,4
2019-07-09,31,21,阴,东风,1级,26.0,10
2019-07-10,33,22,多云,东南风,1级,27.5,11
2019-07-11,27,21,阴,东北风,1级,24.0,6
2019-07-12,25,20,小雨,东风,1级,22.5,5
2019-07-13,34,22,阴,东南风,1级,28.0,12
2019-07-14,33,22,阴,东南风,1级,27.5,11
2019-07-15,24,22,小雨,西南风,1级,23.0,2
2019-07-16,27,23,小雨,东北风,1级,25.0,4
2019-07-17,30,24,阴,东南风,1级,27.0,6
2019-07-18,29,24,阴,西南风,1级,26.5,5
2019-07-19,32,25,阴,东北风,1级,28.5,7
2019-07-20,28,24,中雨,西南风,1级,26.0,4
2019-07-21,35,25,阴,西北风,3级,30.0,10
2019-07-22,26,23,大暴雨,东南风,1级,24.5,3
2019-07-23,34,23,阴,东南风,1级,28.5,11
2019-07-24,31,23,阴,东南风,1级,27.0,8
2019-07-25,33,23,小雨,东南风,微风,28.0,10
2019-07-26,36,25,多云,东南风,1级,30.5,11
2019-07-27,38,25,多云,东南风,1级,31.5,13
2019-07-28,38,26,多云,东北风,1级,32.0,12
2019-07-29,28,23,阴,西北风,3级,25.5,5
2019-07-30,32,23,阴,西南风,1级,27.5,9
2019-07-31,30,23,暴雨,东南风,1级,26.5,7
2019-06-01,28,19,阴,东南风,1级,23.5,9
2019-06-02,34,19,晴,西南风,1级,26.5,15
2019-06-03,34,22,晴,西南风,1级,28.0,12
2019-06-04,34,22,阴,东南风,1级,28.0,12
2019-06-05,33,21,阴,东北风,1级,27.0,12
2019-06-06,29,23,多云,东北风,1级,26.0,6
2019-06-07,33,22,多云,东南风,1级,27.5,11
2019-06-08,30,21,阴,东南风,2级,25.5,9
2019-06-09,30,22,阴,东北风,1级,26.0,8
2019-06-10,33,22,阴,东北风,1级,27.5,11
2019-06-11,24,22,阴,西南风,1级,23.0,2
2019-06-12,27,22,阵雨,西北风,1级,24.5,5
2019-06-13,33,22,多云,西北风,2级,27.5,11
2019-06-14,28,23,阴,西北风,1级,25.5,5
2019-06-15,24,20,阴,东北风,1级,22.0,4
2019-06-16,23,20,小雨,东南风,2级,21.5,3
2019-06-17,25,21,多云,东南风,1级,23.0,4
2019-06-18,28,21,小雨,西南风,1级,24.5,7
2019-06-19,25,22,小雨,北风,微风,23.5,3
2019-06-20,28,24,阴,西南风,1级,26.0,4
2019-06-21,28,24,阴,东北风,1级,26.0,4
2019-06-22,28,23,小雨,东北风,1级,25.5,5
2019-06-23,25,22,小雨,东南风,1级,23.5,3
2019-06-24,23,21,阴,南风,1级,22.0,2
2019-06-25,24,21,小雨,东北风,1级,22.5,3
2019-06-26,28,21,阴,东北风,1级,24.5,7
2019-06-27,28,22,大雨,东北风,1级,25.0,6
2019-06-28,27,21,小雨,西南风,2级,24.0,6
2019-06-29,31,22,多云,北风,微风,26.5,9
2019-06-30,33,23,阴,东南风,1级,28.0,10
2019-05-01,26,17,阴,东北风,1级,21.5,9
2019-05-02,25,17,阴,东北风,1级,21.0,8
2019-05-03,22,18,阴,东南风,1级,20.0,4
2019-05-04,22,18,阴,东风,1级,20.0,4
2019-05-05,19,18,阴,北风,微风,18.5,1
2019-05-06,19,16,阴,东北风,2级,17.5,3
2019-05-07,19,14,阴,东北风,2级,16.5,5
2019-05-08,22,15,阴,东北风,1级,18.5,7
2019-05-09,23,16,阴,东南风,1级,19.5,7
2019-05-10,26,17,阴,东南风,1级,21.5,9
2019-05-11,26,18,阴,东北风,1级,22.0,8
2019-05-12,26,15,阴,东北风,1级,20.5,11
2019-05-13,23,15,阴,东南风,1级,19.0,8
2019-05-14,25,18,阴,东北风,1级,21.5,7
2019-05-15,29,20,多云,东北风,1级,24.5,9
2019-05-16,27,21,阴,东南风,1级,24.0,6
2019-05-17,29,21,多云,东南风,1级,25.0,8
2019-05-18,25,21,阴,西北风,1级,23.0,4
2019-05-19,22,16,阴,西南风,2级,19.0,6
2019-05-20,20,16,阴,西南风,1级,18.0,4
2019-05-21,26,17,阴,东北风,1级,21.5,9
2019-05-22,30,17,多云,东北风,微风,23.5,13
2019-05-23,30,20,多云,东北风,1级,25.0,10
2019-05-24,28,20,多云,西北风,微风,24.0,8
2019-05-25,30,22,阴,东南风,1级,26.0,8
2019-05-26,30,22,阴,东北风,微风,26.0,8
2019-05-27,24,17,阴,东南风,1级,20.5,7
2019-05-28,17,16,阴,东北风,2级,16.5,1
2019-05-29,20,16,阴,西北风,1级,18.0,4
2019-05-30,26,17,阴,东南风,1级,21.5,9
2019-05-31,30,18,阴,西南风,1级,24.0,12
2019-04-01,23,14,多云,东北风,2级,18.5,9
2019-04-02,15,13,阴,东北风,1级,14.0,2
2019-04-03,21,14,阴,东风,2级,17.5,7
2019-04-04,21,13,阴,西南风,1级,17.0,8
2019-04-05,28,14,多云,东南风,1级,21.0,14
2019-04-06,31,13,阴,西南风,2级,22.0,18
2019-04-07,32,15,阴,东北风,2级,23.5,17
2019-04-08,32,17,多云,东南风,1级,24.5,15
2019-04-09,32,16,多云,东南风,1级,24.0,16
2019-04-10,28,18,阴,东北风,3级,23.0,10
2019-04-11,22,15,阴,东南风,1级,18.5,7
2019-04-12,24,17,阴,东北风,2级,20.5,7
2019-04-13,25,15,阴,东北风,3级,20.0,10
2019-04-14,21,15,阴,东南风,1级,18.0,6
2019-04-15,20,15,阴,东南风,1级,17.5,5
2019-04-16,24,17,阴,东南风,1级,20.5,7
2019-04-17,26,19,多云,东南风,1级,22.5,7
2019-04-18,30,21,多云,东南风,2级,25.5,9
2019-04-19,28,20,阴,东南风,微风,24.0,8
2019-04-20,24,17,多云,东南风,1级,20.5,7
2019-04-21,30,18,晴,东北风,2级,24.0,12
2019-04-22,30,19,多云,东北风,1级,24.5,11
2019-04-23,31,20,多云,东北风,1级,25.5,11
2019-04-24,33,19,晴,东南风,1级,26.0,14
2019-04-25,36,20,多云,东南风,1级,28.0,16
2019-04-26,37,20,晴,东风,2级,28.5,17
2019-04-27,35,21,阴,西南风,1级,28.0,14
2019-04-28,25,17,阴,东北风,3级,21.0,8
2019-04-29,27,16,阴,东南风,1级,21.5,11
2019-04-30,22,17,阴,西南风,3级,19.5,5
2019-03-01,12,9,阴,东北风,3级,10.5,3
2019-03-02,17,8,阴,西南风,1级,12.5,9
2019-03-03,19,9,多云,西北风,微风,14.0,10
2019-03-04,14,9,多云,西南风,1级,11.5,5
2019-03-05,16,10,阴,东南风,1级,13.0,6
2019-03-06,15,11,阴,东北风,1级,13.0,4
2019-03-07,11,10,阴,东北风,1级,10.5,1
2019-03-08,12,9,阴,西北风,2级,10.5,3
2019-03-09,17,10,阴,东风,1级,13.5,7
2019-03-10,21,11,阴,东南风,1级,16.0,10
2019-03-11,23,13,阴,东南风,1级,18.0,10
2019-03-12,21,13,阴,东北风,1级,17.0,8
2019-03-13,17,12,阴,东南风,1级,14.5,5
2019-03-14,15,11,阴,东北风,1级,13.0,4
2019-03-15,15,10,阴,东北风,1级,12.5,5
2019-03-16,17,12,阴,西北风,2级,14.5,5
2019-03-17,17,11,阴,东北风,1级,14.0,6
2019-03-18,19,12,多云,东北风,1级,15.5,7
2019-03-19,20,11,阴,东南风,2级,15.5,9
2019-03-20,24,13,多云,西北风,1级,18.5,11
2019-03-21,25,11,阴,东北风,4级,18.0,14
2019-03-22,17,10,阴,西北风,1级,13.5,7
2019-03-23,13,10,阴,西南风,1级,11.5,3
2019-03-24,18,9,阴,西北风,1级,13.5,9
2019-03-25,19,11,多云,西北风,1级,15.0,8
2019-03-26,19,13,阴,西南风,1级,16.0,6
2019-03-27,23,14,阴,东南风,1级,18.5,9
2019-03-28,29,11,晴,西南风,1级,20.0,18
2019-03-29,29,14,晴,东北风,1级,21.5,15
2019-03-30,27,13,多云,东北风,2级,20.0,14
2019-03-31,18,13,阴,东北风,1级,15.5,5
2019-02-01,10,8,阴,东北风,1级,9.0,2
2019-02-02,12,7,阴,东北风,1级,9.5,5
2019-02-03,17,6,阴,西南风,1级,11.5,11
2019-02-04,17,8,多云,东南风,1级,12.5,9
2019-02-05,20,8,晴,东南风,2级,14.0,12
2019-02-06,19,9,多云,东南风,1级,14.0,10
2019-02-07,23,7,多云,东南风,1级,15.0,16
2019-02-08,16,8,阴,西北风,1级,12.0,8
2019-02-09,9,6,小雨,西北风,2级,7.5,3
2019-02-10,7,4,阴,东北风,1级,5.5,3
2019-02-11,14,6,多云,东北风,2级,10.0,8
2019-02-12,12,7,阴,东北风,1级,9.5,5
2019-02-13,17,7,多云,东南风,1级,12.0,10
2019-02-14,13,8,阴,西南风,1级,10.5,5
2019-02-15,12,8,阴,东北风,1级,10.0,4
2019-02-16,10,8,阴,东北风,1级,9.0,2
2019-02-17,10,4,阴,东北风,3级,7.0,6
2019-02-18,9,6,阴,北风,2级,7.5,3
2019-02-19,8,5,阴,东北风,1级,6.5,3
2019-02-20,11,7,阴,东南风,1级,9.0,4
2019-02-21,15,8,阴,东北风,微风,11.5,7
2019-02-22,12,10,阴,东北风,3级,11.0,2
2019-02-23,12,8,小雨,东北风,1级,10.0,4
2019-02-24,9,9,阴,西北风,3级,9.0,0
2019-02-25,11,9,阴,东北风,1级,10.0,2
2019-02-26,10,9,阴,东北风,1级,9.5,1
2019-02-27,12,9,阴,东北风,1级,10.5,3
2019-02-28,9,9,阴,东北风,2级,9.0,0
2019-01-01,6,3,小雨,西北风,1级,4.5,3
2019-01-02,9,4,多云,东北风,1级,6.5,5
2019-01-03,6,4,阴,东北风,1级,5.0,2
2019-01-04,9,5,阴,西北风,1级,7.0,4
2019-01-05,13,5,阴,东北风,1级,9.0,8
2019-01-06,9,7,阴,东北风,1级,8.0,2
2019-01-07,10,6,阴,东南风,1级,8.0,4
2019-01-08,9,6,阴,西北风,1级,7.5,3
2019-01-09,7,5,小雨,东北风,1级,6.0,2
2019-01-10,7,6,小雨,东北风,1级,6.5,1
2019-01-11,14,5,雾,东南风,1级,9.5,9
2019-01-12,10,7,阴,北风,微风,8.5,3
2019-01-13,12,6,阴,东北风,1级,9.0,6
2019-01-14,12,7,阴,东北风,微风,9.5,5
2019-01-15,10,5,阴,西北风,1级,7.5,5
2019-01-16,14,6,小雨,东北风,2级,10.0,8
2019-01-17,10,7,阴,西北风,2级,8.5,3
2019-01-18,7,7,阴,东北风,2级,7.0,0
2019-01-19,14,7,阴,东风,1级,10.5,7
2019-01-20,14,5,多云,东南风,1级,9.5,9
2019-01-21,10,3,小雨,西南风,1级,6.5,7
2019-01-22,15,7,阴,东北风,1级,11.0,8
2019-01-23,13,8,阴,东北风,1级,10.5,5
2019-01-24,13,8,多云,东北风,1级,10.5,5
2019-01-25,14,8,阴,东风,1级,11.0,6
2019-01-26,10,8,阴,西北风,微风,9.0,2
2019-01-27,10,8,小雨,东北风,1级,9.0,2
2019-01-28,10,8,小雨,东北风,1级,9.0,2
2019-01-29,10,7,小雨,北风,2级,8.5,3
2019-01-30,9,7,小雨,东南风,2级,8.0,2
2019-01-31,9,6,阴,东北风,1级,7.5,3
2018-12-02,17,11,小雨,西北风,3级,14.0,6
2018-12-03,14,11,小雨,东北风,2级,12.5,3
2018-12-04,15,10,阴,东北风,2级,12.5,5
2018-12-05,13,9,小雨,西北风,2级,11.0,4
2018-12-06,10,6,小雨,东北风,2级,8.0,4
2018-12-07,7,5,小雨,西北风,2级,6.0,2
2018-12-08,6,4,小雨,西北风,2级,5.0,2
2018-12-09,8,5,小雨,西北风,2级,6.5,3
2018-12-10,7,5,小雨,西北风,1级,6.0,2
2018-12-11,9,6,阴,西北风,1级,7.5,3
2018-12-12,8,6,小雨,西北风,1级,7.0,2
2018-12-13,8,5,小雨,西北风,1级,6.5,3
2018-12-14,9,5,多云,西北风,1级,7.0,4
2018-12-15,7,5,小雨,西北风,1级,6.0,2
2018-12-16,14,4,晴,东北风,1级,9.0,10
2018-12-17,17,4,晴,东北风,1级,10.5,13
2018-12-18,13,7,小雨,西北风,1级,10.0,6
2018-12-19,9,6,小雨,东南风,1级,7.5,3
2018-12-20,9,8,多云,西北风,1级,8.5,1
2018-12-21,13,8,阴,东北风,2级,10.5,5
2018-12-22,13,8,阴,东北风,2级,10.5,5
2018-12-23,14,8,阴,东北风,2级,11.0,6
2018-12-24,8,7,小雨,东北风,2级,7.5,1
2018-12-25,9,7,阴,东北风,1级,8.0,2
2018-12-26,11,7,阴,东北风,2级,9.0,4
2018-12-27,8,8,小雨,东北风,2级,8.0,0
2018-12-28,7,3,小雨,东北风,2级,5.0,4
2018-12-29,4,1,小雨,东北风,1级,2.5,3
2018-12-30,8,3,多云,西北风,2级,5.5,5
2018-12-31,5,3,小雨,东北风,1级,4.0,2
2018-11-01,25,11,多云,东风,1级,18.0,14
2018-11-02,25,11,晴,西南风,1级,18.0,14
2018-11-03,23,13,多云,西南风,1级,18.0,10
2018-11-04,20,12,小雨,北风,1级,16.0,8
2018-11-05,14,10,小雨,南风,1级,12.0,4
2018-11-06,13,9,小雨,东风,1级,11.0,4
2018-11-07,11,7,小雨,南风,2级,9.0,4
2018-11-08,13,8,晴,西北风,1级,10.5,5
2018-11-09,15,10,小雨,西北风,1级,12.5,5
2018-11-10,15,11,阵雨,东北风,1级,13.0,4
2018-11-11,17,10,阵雨,东北风,1级,13.5,7
2018-11-12,19,12,多云,东北风,1级,15.5,7
2018-11-13,18,12,小雨,西北风,2级,15.0,6
2018-11-14,16,12,小雨,西北风,2级,14.0,4
2018-11-15,15,11,小雨,西北风,2级,13.0,4
2018-11-16,12,9,小雨,西北风,2级,10.5,3
2018-11-17,11,8,小雨,西北风,2级,9.5,3
2018-11-18,11,7,阴,东北风,1级,9.0,4
2018-11-19,13,7,多云,东北风,1级,10.0,6
2018-11-20,12,7,小雨,东北风,1级,9.5,5
2018-11-21,12,5,小雨,西南风,1级,8.5,7
2018-11-22,15,6,多云,东北风,1级,10.5,9
2018-11-23,16,7,多云,西北风,1级,11.5,9
2018-11-24,15,9,多云,东北风,1级,12.0,6
2018-11-25,20,8,晴,西北风,1级,14.0,12
2018-11-26,16,10,小雨,东北风,2级,13.0,6
2018-11-27,16,8,多云,东北风,1级,12.0,8
2018-11-28,19,8,多云,西北风,1级,13.5,11
2018-11-29,14,11,小雨,东北风,2级,12.5,3
2018-11-30,15,11,多云,东北风,2级,13.0,4
2018-10-01,18,15,小雨,西风,1级,16.5,3
2018-10-02,16,14,小雨,东南风,1级,15.0,2
2018-10-03,17,14,小雨,东南风,1级,15.5,3
2018-10-04,21,15,小雨,东南风,1级,18.0,6
2018-10-05,19,16,小雨,东风,微风,17.5,3
2018-10-06,19,16,小雨,南风,1级,17.5,3
2018-10-07,19,16,小雨,东南风,1级,17.5,3
2018-10-08,20,14,小雨,南风,1级,17.0,6
2018-10-09,18,12,小雨,南风,3级,15.0,6
2018-10-10,24,13,多云,南风,2级,18.5,11
2018-10-12,19,13,小雨,东北风,1级,16.0,6
2018-10-13,16,13,小雨,东风,1级,14.5,3
2018-10-14,18,14,阴,东北风,1级,16.0,4
2018-10-15,20,14,多云,北风,2级,17.0,6
2018-10-16,20,15,多云,东风,1级,17.5,5
2018-10-17,22,15,多云,东北风,1级,18.5,7
2018-10-18,19,13,小雨,东风,1级,16.0,6
2018-10-19,18,15,阴,东风,1级,16.5,3
2018-10-20,18,14,小雨,西北风,1级,16.0,4
2018-10-21,19,12,多云,东风,1级,15.5,7
2018-10-22,20,15,小雨,北风,1级,17.5,5
2018-10-23,18,14,小雨,北风,1级,16.0,4
2018-10-24,19,14,小雨,东北风,1级,16.5,5
2018-10-25,18,14,小雨,南风,1级,16.0,4
2018-10-26,21,15,多云,南风,1级,18.0,6
2018-10-27,18,14,小雨,东南风,1级,16.0,4
2018-10-28,19,15,小雨,南风,1级,17.0,4
2018-10-29,19,14,小雨,北风,1级,16.5,5
2018-10-30,21,11,阵雨,西北风,1级,16.0,10
2018-10-31,27,12,多云,东南风,1级,19.5,15
2018-09-01,36,24,雷阵雨,东风,1级,30.0,12
2018-09-02,35,23,多云,南风,1级,29.0,12
