日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-02,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-03,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-04,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-05,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-06,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-07,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-08,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-09,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-10,21,10,阴,西南风,2级,15.5,11
2019-09-11,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-12,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-13,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-14,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-15,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-16,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-17,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-18,17,6,晴,西南风,2级,11.5,11
2019-09-19,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-20,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-21,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-22,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-23,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-24,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-25,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-26,28,9,晴,西南风,2级,18.5,19
2019-09-27,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-28,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-29,17,0,阵雨,东南偏南风,2级,8.5,17
2019-09-30,17,0,阵雨,东南偏南风,2级,8.5,17
2019-08-01,33,23,局部多云,西风,2级,28.0,10
2019-08-02,32,22,阴天,西风,2级,27.0,10
2019-08-03,32,21,局部多云,西风,2级,26.5,11
2019-08-04,32,22,局部多云,西南偏西风,2级,27.0,10
2019-08-05,32,22,局部多云,西南风,2级,27.0,10
2019-08-06,31,22,零散雷雨,西南风,2级,26.5,9
2019-08-07,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-08,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-09,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-10,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-11,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-12,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-13,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-14,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-15,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-16,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-17,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-18,29,22,阵雨,西南偏南风,2级,25.5,7
2019-08-19,18,0,零散雷雨,,,9.0,18
2019-08-20,18,0,阵雨,西南偏西风,2级,9.0,18
