日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,23,阴,西南风,2级,27.5,9
2019-09-02,29,23,阴,东南风,2级,26.0,6
2019-09-03,30,22,中雨,东北风,2级,26.0,8
2019-09-04,28,22,阴,西北风,2级,25.0,6
2019-09-05,28,22,阴,西北风,1级,25.0,6
2019-09-06,29,22,阴,西北风,1级,25.5,7
2019-09-07,29,23,阴,西南风,3级,26.0,6
2019-09-08,28,23,阴,西南风,2级,25.5,5
2019-09-09,25,22,阴,西南风,2级,23.5,3
2019-09-10,24,23,阴,西南风,1级,23.5,1
2019-09-11,25,22,阴,东北风,1级,23.5,3
2019-09-12,27,22,阴,西南风,2级,24.5,5
2019-09-13,28,22,阴,西南风,2级,25.0,6
2019-09-14,29,21,阴,西北风,1级,25.0,8
2019-09-15,26,21,阴,西北风,2级,23.5,5
2019-09-16,30,21,阴,东南风,2级,25.5,9
2019-09-17,31,22,雾,西南风,2级,26.5,9
2019-09-18,34,21,多云,西南风,2级,27.5,13
2019-09-19,30,22,雾,东南风,2级,26.0,8
2019-09-20,30,22,阴,西南风,2级,26.0,8
2019-09-21,29,22,阴,东北风,2级,25.5,7
2019-09-22,21,19,阴,西南风,1级,20.0,2
2019-09-23,29,20,阴,西南风,1级,24.5,9
2019-09-24,29,20,阴,西南风,1级,24.5,9
2019-09-25,24,20,阴,西南风,1级,22.0,4
2019-09-26,26,19,阴,西南风,1级,22.5,7
2019-09-27,29,18,雾,西南风,1级,23.5,11
2019-09-28,30,18,多云,南风,2级,24.0,12
2019-09-29,29,18,多云,西北风,2级,23.5,11
2019-09-30,28,19,多云,东南风,1级,23.5,9
2019-08-01,29,22,小雨,西北风,1级,25.5,7
2019-08-02,32,22,多云,西南风,2级,27.0,10
2019-08-03,28,23,小雨,西南风,3级,25.5,5
2019-08-04,30,23,小雨,西南风,2级,26.5,7
2019-08-05,33,23,阴,东南风,1级,28.0,10
2019-08-06,31,22,阴,东北风,2级,26.5,9
2019-08-07,31,23,小雨,西南风,2级,27.0,8
2019-08-08,30,22,阴,西南风,3级,26.0,8
2019-08-09,31,22,阴,西南风,2级,26.5,9
2019-08-10,31,23,阴,西南风,1级,27.0,8
2019-08-11,33,23,中雨,东北风,2级,28.0,10
2019-08-12,31,22,暴雨,东北风,3级,26.5,9
2019-08-13,27,22,中雨,西北风,微风,24.5,5
2019-08-14,26,22,大雨,西南风,3级,24.0,4
2019-08-15,25,21,暴雨,西南风,2级,23.0,4
2019-08-16,29,23,阴,西南风,3级,26.0,6
2019-08-17,32,22,阴,西南风,2级,27.0,10
2019-08-18,30,22,小雨,西南风,3级,26.0,8
2019-08-19,26,22,大雨,西南风,1级,24.0,4
2019-08-20,25,22,中雨,西南风,1级,23.5,3
2019-08-21,32,23,阴,西南风,2级,27.5,9
2019-08-22,32,23,中雨,西南风,2级,27.5,9
2019-08-23,26,22,大暴雨,西南风,微风,24.0,4
2019-08-24,32,22,阴,西南风,2级,27.0,10
2019-08-25,33,22,多云,西南风,3级,27.5,11
2019-08-26,32,23,多云,西南风,3级,27.5,9
2019-08-27,30,23,阴,西南风,2级,26.5,7
2019-08-28,32,22,中雨,西南风,2级,27.0,10
2019-08-29,33,22,阴,西南风,3级,27.5,11
2019-08-30,31,22,阴,东北风,2级,26.5,9
2019-08-31,33,23,阴,西南风,2级,28.0,10
2019-07-01,29,22,小雨,东北风,2级,25.5,7
2019-07-02,29,22,阴,西南风,2级,25.5,7
2019-07-03,31,23,阵雨,西南风,3级,27.0,8
2019-07-04,31,23,阴,西南风,2级,27.0,8
2019-07-05,26,23,中雨,东北风,2级,24.5,3
2019-07-06,30,22,阴,东北风,2级,26.0,8
2019-07-07,30,23,中雨,东北风,1级,26.5,7
2019-07-08,29,23,阴,西南风,1级,26.0,6
2019-07-09,27,22,中雨,东北风,1级,24.5,5
2019-07-10,26,23,阴,西北风,2级,24.5,3
2019-07-11,27,22,阴,东北风,1级,24.5,5
2019-07-12,29,22,阴,西南风,1级,25.5,7
2019-07-13,28,22,小雨,东南风,1级,25.0,6
2019-07-14,29,22,小雨,西南风,1级,25.5,7
2019-07-15,27,22,阴,西南风,1级,24.5,5
2019-07-16,30,22,中雨,西南风,3级,26.0,8
2019-07-17,31,23,多云,西南风,3级,27.0,8
2019-07-18,32,23,阴,西南风,3级,27.5,9
2019-07-19,30,23,阴,西南风,2级,26.5,7
2019-07-20,29,23,阴,西南风,2级,26.0,6
2019-07-21,26,23,中雨,西南风,2级,24.5,3
2019-07-22,24,23,中雨,东北风,2级,23.5,1
2019-07-23,25,22,大雨,东北风,1级,23.5,3
2019-07-24,27,22,小雨,西南风,1级,24.5,5
2019-07-25,24,22,大雨,西北风,1级,23.0,2
2019-07-26,23,22,中雨,东北风,微风,22.5,1
2019-07-27,28,21,中雨,西南风,2级,24.5,7
2019-07-28,29,22,小雨,西南风,2级,25.5,7
2019-07-29,29,22,阴,西南风,2级,25.5,7
2019-07-30,25,22,小雨,西南风,3级,23.5,3
2019-07-31,28,22,阴,西南风,3级,25.0,6
2019-06-01,30,20,多云,西南风,3级,25.0,10
2019-06-02,33,20,阴,西南风,2级,26.5,13
2019-06-03,32,21,阴,东北风,1级,26.5,11
2019-06-04,31,21,阴,西南风,3级,26.0,10
2019-06-05,29,22,阴,西南风,3级,25.5,7
2019-06-06,32,21,阴,西南风,3级,26.5,11
2019-06-07,31,21,阴,北风,微风,26.0,10
2019-06-08,33,22,阴,东南风,1级,27.5,11
2019-06-09,33,22,阴,西南风,2级,27.5,11
2019-06-10,33,22,阴,西南风,1级,27.5,11
2019-06-11,30,22,阴,东南风,1级,26.0,8
2019-06-12,31,22,小雨,西南风,1级,26.5,9
2019-06-13,32,23,阴,东南风,2级,27.5,9
2019-06-14,32,23,阴,东南风,2级,27.5,9
2019-06-15,28,23,阴,西南风,1级,25.5,5
2019-06-16,28,22,阴,西北风,1级,25.0,6
2019-06-17,31,23,阵雨,东南风,1级,27.0,8
2019-06-18,31,23,小雨,西南风,2级,27.0,8
2019-06-19,28,23,中雨,西南风,2级,25.5,5
2019-06-20,30,22,小雨,西南风,2级,26.0,8
2019-06-21,28,23,中雨,东北风,1级,25.5,5
2019-06-22,30,23,阴,西南风,3级,26.5,7
2019-06-23,25,23,大暴雨,东南风,微风,24.0,2
2019-06-24,30,23,中雨,西北风,2级,26.5,7
2019-06-25,25,23,中雨,西北风,1级,24.0,2
2019-06-26,28,23,大雨,西南风,微风,25.5,5
2019-06-27,28,22,中雨,西南风,1级,25.0,6
2019-06-28,30,23,小雨,东北风,2级,26.5,7
2019-06-29,30,23,阴,西北风,1级,26.5,7
2019-06-30,31,22,阴,西南风,3级,26.5,9
2019-05-01,29,21,阴,西北风,1级,25.0,8
2019-05-02,32,20,多云,西南风,2级,26.0,12
2019-05-03,31,22,阴,东北风,2级,26.5,9
2019-05-04,32,21,阴,西南风,1级,26.5,11
2019-05-05,32,20,阴,东南风,2级,26.0,12
2019-05-06,33,19,多云,西北风,2级,26.0,14
2019-05-07,33,17,多云,西北风,2级,25.0,16
2019-05-08,34,18,晴,西北风,2级,26.0,16
2019-05-09,35,19,多云,西北风,1级,27.0,16
2019-05-10,36,19,多云,西北风,2级,27.5,17
2019-05-11,36,20,晴,西南风,3级,28.0,16
2019-05-12,35,20,多云,东南风,2级,27.5,15
2019-05-13,30,20,多云,西南风,微风,25.0,10
2019-05-14,32,20,多云,西南风,1级,26.0,12
2019-05-15,33,20,多云,西南风,2级,26.5,13
2019-05-16,33,20,多云,西南风,2级,26.5,13
2019-05-17,33,20,多云,西北风,2级,26.5,13
2019-05-18,34,20,多云,西北风,1级,27.0,14
2019-05-19,35,20,多云,西南风,3级,27.5,15
2019-05-20,36,20,多云,西北风,1级,28.0,16
2019-05-21,35,21,晴,西北风,2级,28.0,14
2019-05-22,36,22,晴,西北风,2级,29.0,14
2019-05-23,33,21,阴,东南风,2级,27.0,12
2019-05-24,30,22,阴,西南风,2级,26.0,8
2019-05-25,31,22,阴,西南风,2级,26.5,9
2019-05-26,31,20,阴,西北风,2级,25.5,11
2019-05-27,33,21,多云,西南风,3级,27.0,12
2019-05-28,33,20,晴,西南风,1级,26.5,13
2019-05-29,35,21,晴,西南风,2级,28.0,14
2019-05-30,30,22,晴,西南风,3级,26.0,8
2019-05-31,34,21,多云,西南风,2级,27.5,13
2019-04-01,30,16,阴,西南风,1级,23.0,14
2019-04-02,28,15,阴,东北风,1级,21.5,13
2019-04-03,27,14,阴,西北风,1级,20.5,13
2019-04-04,30,14,阴,西北风,3级,22.0,16
