日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,20,7,多云,西北风,2级,13.5,13
2019-09-02,21,7,阴,西北风,3级,14.0,14
2019-09-03,20,7,阵雨,东北风,2级,13.5,13
2019-09-04,22,7,阴,东北风,2级,14.5,15
2019-09-05,21,8,阴,东南风,3级,14.5,13
2019-09-06,20,9,阴,西北风,1级,14.5,11
2019-09-07,20,9,多云,东北风,3级,14.5,11
2019-09-08,23,8,阴,西北风,2级,15.5,15
2019-09-09,13,9,阴,西北风,3级,11.0,4
2019-09-10,16,9,阴,西北风,3级,12.5,7
2019-09-11,24,11,阴,东北风,2级,17.5,13
2019-09-12,18,4,阴,西北风,4级,11.0,14
2019-09-13,6,4,阴,西北风,2级,5.0,2
2019-09-14,17,6,多云,东北风,3级,11.5,11
2019-09-15,10,4,阴,西南风,1级,7.0,6
2019-09-16,11,5,阴,东南风,2级,8.0,6
2019-09-17,9,5,阴,西北风,2级,7.0,4
2019-09-18,12,5,小到中雨,西北风,3级,8.5,7
2019-09-19,9,3,阴,西北风,2级,6.0,6
2019-09-20,12,0,阴,西北风,2级,6.0,12
2019-09-21,15,0,多云,东北风,2级,7.5,15
2019-09-22,15,2,阴,西北风,3级,8.5,13
2019-09-23,8,1,阴,西南风,1级,4.5,7
2019-09-24,11,0,阴,西南风,2级,5.5,11
2019-09-25,14,0,阴,西南风,1级,7.0,14
2019-09-26,15,-1,多云,东南风,1级,7.0,16
2019-09-27,16,-1,多云,东北风,2级,7.5,17
2019-09-28,18,-1,晴,西北风,2级,8.5,19
2019-09-29,19,1,晴,东北风,2级,10.0,18
2019-09-30,19,3,多云,东北风,1级,11.0,16
2019-08-01,21,9,阴,东北风,2级,15.0,12
2019-08-02,13,4,大雨,西北风,2级,8.5,9
2019-08-03,22,6,雾,东北风,2级,14.0,16
2019-08-04,16,7,阴,西北风,2级,11.5,9
2019-08-05,16,5,小雨,西南风,2级,10.5,11
2019-08-06,21,5,多云,东南风,2级,13.0,16
2019-08-07,22,8,阴,东北风,3级,15.0,14
2019-08-08,12,5,小雨,西北风,1级,8.5,7
2019-08-09,18,6,小雨,西北风,3级,12.0,12
2019-08-10,21,4,多云,西北风,2级,12.5,17
2019-08-11,24,5,晴,东南风,1级,14.5,19
2019-08-12,23,6,晴,东北风,2级,14.5,17
2019-08-13,14,3,小雨,西北风,1级,8.5,11
2019-08-14,21,4,晴,西南风,4级,12.5,17
2019-08-15,24,7,晴,西南风,2级,15.5,17
2019-08-16,24,8,阴,西北风,2级,16.0,16
2019-08-17,22,10,小雨,东北风,2级,16.0,12
2019-08-18,25,11,阴,西北风,2级,18.0,14
2019-08-19,25,9,多云,西北风,2级,17.0,16
2019-08-20,11,9,小雨,西北风,2级,10.0,2
2019-08-21,17,9,阴,西北风,3级,13.0,8
2019-08-22,14,11,小雨,西北风,1级,12.5,3
2019-08-23,22,11,阴,西北风,3级,16.5,11
2019-08-24,14,10,小雨,东北风,2级,12.0,4
2019-08-25,20,8,阴,西北风,2级,14.0,12
2019-08-26,13,8,中雨,东南风,1级,10.5,5
2019-08-27,19,9,阴,西南风,2级,14.0,10
2019-08-28,15,6,中雨,西南风,2级,10.5,9
2019-08-29,20,6,小雨,西北风,2级,13.0,14
2019-08-30,15,6,阴,西北风,2级,10.5,9
2019-08-31,18,5,阴,西北风,2级,11.5,13
2019-07-01,20,8,阴,西北风,1级,14.0,12
2019-07-02,14,8,小雨,东北风,2级,11.0,6
2019-07-03,17,8,中雨,西南风,2级,12.5,9
2019-07-04,21,7,多云,西北风,1级,14.0,14
2019-07-05,22,6,多云,东北风,3级,14.0,16
2019-07-06,19,8,阴,东北风,3级,13.5,11
2019-07-07,17,6,小雨,西北风,2级,11.5,11
2019-07-08,16,6,小雨,东北风,2级,11.0,10
2019-07-09,17,5,阴,西北风,4级,11.0,12
2019-07-10,20,9,阴,西北风,1级,14.5,11
2019-07-11,15,5,小雨,东北风,1级,10.0,10
2019-07-12,18,5,阴,西南风,1级,11.5,13
2019-07-13,20,7,雾,东北风,2级,13.5,13
2019-07-14,14,8,小雨,西北风,2级,11.0,6
2019-07-15,10,6,中雨,西北风,1级,8.0,4
2019-07-16,20,9,雾,东南风,3级,14.5,11
2019-07-17,16,8,阴,西南风,1级,12.0,8
2019-07-18,14,10,阴,西北风,2级,12.0,4
2019-07-19,15,5,小雨,西北风,1级,10.0,10
2019-07-20,22,9,多云,东北风,4级,15.5,13
2019-07-21,18,8,小雨,西北风,3级,13.0,10
2019-07-22,21,7,多云,东北风,2级,14.0,14
2019-07-23,21,10,阴,东南风,3级,15.5,11
2019-07-24,16,5,小雨,东南风,2级,10.5,11
2019-07-25,23,7,晴,西南风,1级,15.0,16
2019-07-26,26,9,晴,西南风,1级,17.5,17
2019-07-27,24,10,阴,东北风,2级,17.0,14
2019-07-28,26,10,阴,西北风,5级,18.0,16
2019-07-29,21,7,阴,西南风,2级,14.0,14
