日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,15,晴,东南风,4级,23.5,17
2019-09-02,29,15,阴,西北风,1级,22.0,14
2019-09-03,31,15,晴,西北风,3级,23.0,16
2019-09-04,31,15,晴,西南风,4级,23.0,16
2019-09-05,32,15,晴,西南风,1级,23.5,17
2019-09-06,30,16,多云,西北风,3级,23.0,14
2019-09-07,27,16,扬沙,西北风,2级,21.5,11
2019-09-08,21,13,阴,西北风,3级,17.0,8
2019-09-09,22,12,阴,东北风,2级,17.0,10
2019-09-10,27,13,晴,西南风,3级,20.0,14
2019-09-11,26,12,晴,西北风,3级,19.0,14
2019-09-12,14,9,阴,东南风,2级,11.5,5
2019-09-13,19,8,多云,南风,微风,13.5,11
2019-09-14,21,8,晴,西南风,4级,14.5,13
2019-09-15,24,10,晴,西北风,2级,17.0,14
2019-09-16,21,10,多云,东南风,1级,15.5,11
2019-09-17,25,12,多云,东南风,5级,18.5,13
2019-09-18,19,9,小到中雨,东北风,1级,14.0,10
2019-09-19,20,8,阴,西南风,2级,14.0,12
2019-09-20,24,9,晴,西南风,2级,16.5,15
2019-09-21,25,9,多云,西南风,1级,17.0,16
2019-09-22,24,9,多云,东北风,2级,16.5,15
2019-09-23,25,9,晴,西北风,1级,17.0,16
2019-09-24,25,8,晴,西南风,微风,16.5,17
2019-09-25,25,8,晴,西北风,2级,16.5,17
2019-09-26,27,9,晴,东北风,1级,18.0,18
2019-09-27,28,10,晴,西南风,2级,19.0,18
2019-09-28,29,10,晴,西南风,2级,19.5,19
2019-09-29,30,10,晴,西南风,1级,20.0,20
2019-09-30,30,10,多云,西南风,2级,20.0,20
2019-08-01,32,17,阴,西南风,4级,24.5,15
2019-08-02,35,17,晴,东南风,4级,26.0,18
2019-08-03,31,16,多云,东北风,4级,23.5,15
2019-08-04,35,17,晴,东北风,2级,26.0,18
2019-08-05,34,17,晴,西北风,2级,25.5,17
2019-08-06,35,19,晴,东北风,2级,27.0,16
2019-08-07,28,15,阴,西北风,5级,21.5,13
2019-08-08,27,14,阴,东南风,2级,20.5,13
2019-08-09,31,15,晴,西北风,2级,23.0,16
2019-08-10,32,15,晴,西北风,1级,23.5,17
2019-08-11,31,16,晴,西北风,2级,23.5,15
2019-08-12,27,15,阴,西北风,1级,21.0,12
2019-08-13,30,15,晴,西南风,2级,22.5,15
2019-08-14,32,15,晴,东南风,1级,23.5,17
2019-08-15,33,15,晴,东北风,2级,24.0,18
2019-08-16,27,15,阴,西北风,2级,21.0,12
2019-08-17,33,17,晴,东北风,2级,25.0,16
2019-08-18,30,19,多云,东南风,2级,24.5,11
2019-08-19,20,14,小雨,西北风,2级,17.0,6
2019-08-20,25,15,多云,东北风,2级,20.0,10
2019-08-21,19,14,小雨,西北风,1级,16.5,5
2019-08-22,24,14,阴,西南风,3级,19.0,10
2019-08-23,24,15,阴,东南风,2级,19.5,9
2019-08-24,30,16,阴,东北风,1级,23.0,14
2019-08-25,27,16,多云,西南风,2级,21.5,11
2019-08-26,28,15,多云,西北风,2级,21.5,13
2019-08-27,29,14,晴,西北风,3级,21.5,15
2019-08-28,31,15,晴,东北风,1级,23.0,16
2019-08-29,30,16,多云,东北风,2级,23.0,14
2019-08-30,31,15,阴,西南风,2级,23.0,16
2019-08-31,31,16,晴,东南风,3级,23.5,15
2019-07-01,33,17,多云,东南风,2级,25.0,16
2019-07-02,34,18,多云,东南风,2级,26.0,16
2019-07-03,33,18,多云,东北风,1级,25.5,15
2019-07-04,33,18,晴,西北风,3级,25.5,15
2019-07-05,32,17,晴,东北风,2级,24.5,15
2019-07-06,30,16,阴,东南风,1级,23.0,14
2019-07-07,20,13,中雨,东南风,2级,16.5,7
2019-07-08,22,13,小雨,东北风,3级,17.5,9
2019-07-09,25,15,多云,西北风,2级,20.0,10
2019-07-10,30,16,晴,东南风,2级,23.0,14
2019-07-11,30,16,多云,西南风,2级,23.0,14
2019-07-12,32,17,晴,西南风,2级,24.5,15
2019-07-13,26,15,阴,西北风,4级,20.5,11
2019-07-14,29,15,晴,西南风,2级,22.0,14
2019-07-15,32,16,多云,东南风,1级,24.0,16
2019-07-16,33,17,阴,西北风,2级,25.0,16
2019-07-17,27,16,阴,西北风,4级,21.5,11
2019-07-18,22,15,阴,东南风,4级,18.5,7
2019-07-19,30,16,晴,西南风,2级,23.0,14
2019-07-20,31,17,晴,东北风,1级,24.0,14
2019-07-21,23,15,小雨,东南风,1级,19.0,8
2019-07-22,29,15,晴,西北风,8级,22.0,14
2019-07-23,25,15,小雨,东南风,3级,20.0,10
2019-07-24,29,15,晴,西南风,2级,22.0,14
2019-07-25,31,17,晴,东南风,1级,24.0,14
2019-07-26,32,17,晴,西北风,4级,24.5,15
2019-07-27,28,17,阴,西南风,2级,22.5,11
2019-07-28,30,17,阴,西北风,2级,23.5,13
2019-07-29,29,17,晴,西南风,2级,23.0,12
2019-07-30,30,16,晴,西北风,2级,23.0,14
2019-07-31,32,15,晴,西北风,1级,23.5,17
