日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,16,1,多云,东南风,3级,8.5,15
2019-09-02,17,3,阴,东北风,3级,10.0,14
2019-09-03,15,0,阵雨,东南风,1级,7.5,15
2019-09-04,14,1,阴,西北风,2级,7.5,13
2019-09-05,18,3,阴,东南风,4级,10.5,15
2019-09-06,15,3,阴,西南风,1级,9.0,12
2019-09-07,12,4,阴,东北风,2级,8.0,8
2019-09-08,18,4,阴,西南风,2级,11.0,14
2019-09-09,16,3,阴,西北风,1级,9.5,13
2019-09-10,15,5,阴,东北风,2级,10.0,10
2019-09-11,18,5,阴,东南风,3级,11.5,13
2019-09-12,16,5,阴,西南风,2级,10.5,11
2019-09-13,8,3,阴,东南风,2级,5.5,5
2019-09-14,15,4,阴,东北风,2级,9.5,11
2019-09-15,11,4,阴,东南风,3级,7.5,7
2019-09-16,12,4,阴,西南风,2级,8.0,8
2019-09-17,8,4,阴,东北风,3级,6.0,4
2019-09-18,14,2,小雨,东北风,3级,8.0,12
2019-09-19,5,0,雨夹雪,东北风,3级,2.5,5
2019-09-20,6,-2,阴,东南风,1级,2.0,8
2019-09-21,8,-3,阴,西南风,2级,2.5,11
2019-09-22,9,-1,阴,东南风,3级,4.0,10
2019-09-23,4,0,阴,东南风,2级,2.0,4
2019-09-24,7,-5,阴,西北风,1级,1.0,12
2019-09-25,8,-6,多云,西南风,3级,1.0,14
2019-09-26,9,-7,晴,西南风,2级,1.0,16
2019-09-27,10,-7,多云,东北风,1级,1.5,17
2019-09-28,9,-5,多云,西南风,1级,2.0,14
2019-09-29,7,-2,阴,西南风,1级,2.5,9
2019-09-30,8,0,阴,西南风,微风,4.0,8
2019-08-01,15,4,阴,东北风,3级,9.5,11
2019-08-02,13,0,阴,东南风,3级,6.5,13
2019-08-03,16,0,多云,东南风,2级,8.0,16
2019-08-04,14,3,阴,东南风,1级,8.5,11
2019-08-05,10,2,小雨,东北风,2级,6.0,8
2019-08-06,15,0,多云,东南风,1级,7.5,15
2019-08-07,13,4,阴,东南风,2级,8.5,9
2019-08-08,10,-1,小雨,东北风,2级,4.5,11
2019-08-09,13,0,多云,西北风,3级,6.5,13
2019-08-10,16,-1,晴,西南风,1级,7.5,17
2019-08-11,17,-1,晴,东南风,1级,8.0,18
2019-08-12,19,1,阴,东北风,2级,10.0,18
2019-08-13,12,-1,小雨,东南风,3级,5.5,13
2019-08-14,13,-2,阴,西南风,1级,5.5,15
2019-08-15,16,0,晴,西南风,2级,8.0,16
2019-08-16,19,2,多云,东南风,2级,10.5,17
2019-08-17,21,6,阴,东南风,2级,13.5,15
2019-08-18,16,8,小雨,东北风,3级,12.0,8
2019-08-19,19,7,阴,东北风,3级,13.0,12
2019-08-20,15,6,小雨,东北风,3级,10.5,9
2019-08-21,16,8,小雨,东南风,微风,12.0,8
2019-08-22,15,7,小雨,东南风,1级,11.0,8
2019-08-23,15,8,小雨,东南风,1级,11.5,7
2019-08-24,16,5,小雨,东北风,2级,10.5,11
2019-08-25,18,3,阴,西南风,1级,10.5,15
2019-08-26,19,6,阴,东南风,2级,12.5,13
2019-08-27,16,4,阴,西南风,2级,10.0,12
2019-08-28,16,4,小雨,东南风,3级,10.0,12
2019-08-29,16,4,阴,南风,微风,10.0,12
2019-08-30,11,2,阴,北风,微风,6.5,9
2019-08-31,13,0,阴,东南风,2级,6.5,13
2019-07-01,15,6,阴,东北风,2级,10.5,9
2019-07-02,12,6,小雨,东北风,3级,9.0,6
2019-07-03,10,4,小雨,东北风,3级,7.0,6
2019-07-04,14,0,阴,东北风,2级,7.0,14
2019-07-05,15,3,阴,东南风,3级,9.0,12
2019-07-06,10,5,小雨,东南风,3级,7.5,5
2019-07-07,11,0,小雨,东北风,2级,5.5,11
2019-07-08,13,-2,多云,东北风,2级,5.5,15
2019-07-09,15,0,多云,西南风,2级,7.5,15
2019-07-10,16,3,阴,东南风,3级,9.5,13
2019-07-11,15,1,小雨,东南风,2级,8.0,14
2019-07-12,15,2,阴,东南风,1级,8.5,13
2019-07-13,11,4,小雨,东北风,3级,7.5,7
2019-07-14,12,4,小雨,东北风,3级,8.0,8
2019-07-15,8,4,小雨,东南风,1级,6.0,4
2019-07-16,12,6,阴,东南风,2级,9.0,6
2019-07-17,15,6,阴,东北风,4级,10.5,9
2019-07-18,13,6,阴,东北风,3级,9.5,7
2019-07-19,13,3,小雨,东北风,2级,8.0,10
2019-07-20,17,5,阴,东南风,3级,11.0,12
2019-07-21,17,4,阴,西南风,2级,10.5,13
2019-07-22,15,1,阴,西北风,1级,8.0,14
2019-07-23,16,2,阴,东北风,4级,9.0,14
2019-07-24,11,3,小雨,东南风,3级,7.0,8
2019-07-25,16,1,雾,西南风,2级,8.5,15
2019-07-26,19,1,晴,西南风,2级,10.0,18
2019-07-27,20,5,多云,东南风,1级,12.5,15
2019-07-28,19,4,阴,西北风,2级,11.5,15
2019-07-29,16,1,多云,西北风,1级,8.5,15
2019-07-30,18,0,多云,东北风,2级,9.0,18
2019-07-31,15,0,小雨,东北风,2级,7.5,15
2019-06-01,8,-4,多云,西北风,1级,2.0,12
2019-06-02,10,-3,晴,西北风,2级,3.5,13
2019-06-03,12,0,阴,南风,微风,6.0,12
2019-06-04,11,-1,阴,西北风,4级,5.0,12
2019-06-05,12,1,多云,东北风,3级,6.5,11
2019-06-06,12,1,多云,西北风,2级,6.5,11
2019-06-07,16,3,阴,东北风,3级,9.5,13
2019-06-08,6,2,阴,西北风,3级,4.0,4
2019-06-09,14,4,阴,西南风,3级,9.0,10
2019-06-10,10,4,中雨,东北风,3级,7.0,6
2019-06-11,13,0,雨夹雪,西南风,1级,6.5,13
2019-06-12,17,0,多云,西南风,1级,8.5,17
2019-06-13,18,5,阴,东北风,4级,11.5,13
2019-06-14,17,4,阴,西北风,4级,10.5,13
2019-06-15,16,5,小雨,东北风,3级,10.5,11
2019-06-16,12,5,小雨,东南风,3级,8.5,7
2019-06-17,10,5,小雨,东北风,4级,7.5,5
2019-06-18,16,4,小雨,东北风,1级,10.0,12
2019-06-19,17,4,阴,西南风,1级,10.5,13
2019-06-20,16,5,阴,东南风,2级,10.5,11
2019-06-21,11,6,阴,西北风,3级,8.5,5
2019-06-22,15,6,阴,东南风,4级,10.5,9
2019-06-23,17,4,阴,东南风,2级,10.5,13
2019-06-24,18,4,阴,西北风,2级,11.0,14
2019-06-25,18,5,阴,东北风,3级,11.5,13
2019-06-26,20,7,小雨,东南风,2级,13.5,13
2019-06-27,14,6,小雨,东南风,2级,10.0,8
2019-06-28,15,5,阴,东北风,3级,10.0,10
2019-06-29,12,4,阴,东南风,3级,8.0,8
2019-06-30,14,4,阴,东北风,4级,9.0,10
2019-05-01,5,-2,阴,东风,2级,1.5,7
2019-05-02,10,-1,多云,西南风,2级,4.5,11
2019-05-03,10,-1,多云,东南风,2级,4.5,11
2019-05-04,11,2,雨夹雪,东南风,2级,6.5,9
2019-05-05,8,1,阴,东北风,1级,4.5,7
2019-05-06,3,0,雨夹雪,东南风,2级,1.5,3
2019-05-07,4,-6,阴,西北风,3级,-1.0,10
2019-05-08,5,-5,阴,东南风,1级,0.0,10
2019-05-09,4,-6,多云,西南风,3级,-1.0,10
2019-05-10,5,-5,阴,西南风,2级,0.0,10
2019-05-11,8,-5,多云,西北风,2级,1.5,13
2019-05-12,5,-2,阴,东南风,3级,1.5,7
2019-05-13,9,-2,阴,东南风,3级,3.5,11
2019-05-14,9,-3,多云,西南风,1级,3.0,12
2019-05-15,8,-2,阴,西南风,2级,3.0,10
2019-05-16,10,-1,雨夹雪,西南风,1级,4.5,11
2019-05-17,11,-1,阴,西北风,1级,5.0,12
2019-05-18,12,1,阴,西南风,2级,6.5,11
2019-05-19,6,1,阴,东北风,3级,3.5,5
2019-05-20,8,1,阴,西南风,1级,4.5,7
2019-05-21,11,-1,阴,西南风,1级,5.0,12
2019-05-22,8,1,阴,东南风,3级,4.5,7
2019-05-23,11,-1,阴,西南风,2级,5.0,12
2019-05-24,13,0,多云,西北风,微风,6.5,13
2019-05-25,13,2,阴,东北风,2级,7.5,11
2019-05-26,14,2,阴,西北风,3级,8.0,12
2019-05-27,7,0,雨夹雪,东北风,4级,3.5,7
2019-05-28,11,2,阴,东风,2级,6.5,9
2019-05-29,8,0,阴,东风,2级,4.0,8
2019-05-30,5,0,阴,西南风,1级,2.5,5
2019-05-31,2,-3,雨夹雪,东南风,微风,-0.5,5
2019-04-01,5,-5,阴,西北风,2级,0.0,10
2019-04-02,1,-6,雨夹雪,东北风,3级,-2.5,7
2019-04-03,1,-9,阴,西北风,3级,-4.0,10
2019-04-04,-1,-8,阴,东北风,2级,-4.5,7
2019-04-05,1,-12,多云,北风,微风,-5.5,13
2019-04-06,4,-11,多云,西南风,2级,-3.5,15
2019-04-07,8,-6,多云,西北风,2级,1.0,14
2019-04-08,6,-9,雨夹雪,西北风,3级,-1.5,15
2019-04-09,8,-8,多云,西北风,4级,0.0,16
2019-04-10,5,-9,多云,西北风,3级,-2.0,14
2019-04-11,11,-9,多云,西南风,1级,1.0,20
2019-04-12,7,-6,多云,西北风,3级,0.5,13
2019-04-13,8,-4,阴,西北风,3级,2.0,12
2019-04-14,9,-5,多云,西南风,1级,2.0,14
2019-04-15,7,-5,多云,西北风,3级,1.0,12
2019-04-16,9,-6,阴,西南风,3级,1.5,15
2019-04-17,8,-7,多云,西南风,2级,0.5,15
2019-04-18,15,-4,多云,西北风,1级,5.5,19
2019-04-19,12,-4,多云,东北风,4级,4.0,16
2019-04-20,4,-3,阴,南风,微风,0.5,7
2019-04-21,4,-4,雨夹雪,西南风,1级,0.0,8
