日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,21,多云,北风,微风,23.0,4
2019-09-02,26,21,阴,西北风,2级,23.5,5
2019-09-03,24,21,小雨,西北风,3级,22.5,3
2019-09-04,21,21,阴,东北风,2级,21.0,0
2019-09-05,24,22,多云,西北风,1级,23.0,2
2019-09-06,27,22,多云,西北风,1级,24.5,5
2019-09-07,23,22,阴,东北风,3级,22.5,1
2019-09-08,24,22,阴,西北风,2级,23.0,2
2019-09-09,26,22,阴,东北风,3级,24.0,4
2019-09-10,26,22,阴,东北风,2级,24.0,4
2019-09-11,29,24,阴,西北风,2级,26.5,5
2019-09-12,33,20,阴,西北风,1级,26.5,13
2019-09-13,21,16,阴,西北风,4级,18.5,5
2019-09-14,20,17,阴,西北风,1级,18.5,3
2019-09-15,20,18,阴,西南风,1级,19.0,2
2019-09-16,22,18,阴,东北风,1级,20.0,4
2019-09-17,21,18,阴,西南风,1级,19.5,3
2019-09-18,22,17,多云,东北风,3级,19.5,5
2019-09-19,19,18,阴,东北风,1级,18.5,1
2019-09-20,27,17,阴,东北风,1级,22.0,10
2019-09-21,27,17,阴,西北风,2级,22.0,10
2019-09-22,29,17,晴,西北风,2级,23.0,12
2019-09-23,24,18,多云,西北风,1级,21.0,6
2019-09-24,22,16,阴,西南风,1级,19.0,6
2019-09-25,26,17,多云,西南风,1级,21.5,9
2019-09-26,26,17,多云,东北风,2级,21.5,9
2019-09-27,27,17,多云,北风,1级,22.0,10
2019-09-28,28,18,多云,西北风,2级,23.0,10
2019-09-29,29,19,阴,东北风,1级,24.0,10
2019-09-30,28,19,阴,西北风,2级,23.5,9
2019-08-01,33,23,多云,东南风,1级,28.0,10
2019-08-02,29,23,阴,东北风,3级,26.0,6
2019-08-03,28,23,小雨,东北风,1级,25.5,5
2019-08-04,32,23,阴,西北风,1级,27.5,9
2019-08-05,25,22,中雨,西北风,3级,23.5,3
2019-08-06,26,22,大雨,北风,1级,24.0,4
2019-08-07,33,24,多云,西南风,1级,28.5,9
2019-08-08,32,24,中雨,东北风,1级,28.0,8
2019-08-09,33,23,多云,西北风,1级,28.0,10
2019-08-10,35,23,晴,西南风,1级,29.0,12
2019-08-11,36,24,晴,西北风,1级,30.0,12
2019-08-12,37,24,晴,西北风,2级,30.5,13
