日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,21,13,阴,西北风,1级,17.0,8
2019-09-02,15,11,阴,西北风,1级,13.0,4
2019-09-03,17,12,阵雨,东北风,2级,14.5,5
2019-09-04,21,13,多云,东北风,2级,17.0,8
2019-09-05,21,13,阴,东北风,1级,17.0,8
2019-09-06,23,13,阴,西北风,2级,18.0,10
2019-09-07,23,14,多云,东北风,2级,18.5,9
2019-09-08,25,14,阴,西南风,2级,19.5,11
2019-09-09,24,13,阴,东南风,1级,18.5,11
2019-09-10,25,13,阴,东北风,1级,19.0,12
2019-09-11,21,14,阴,东北风,1级,17.5,7
2019-09-12,23,14,阴,西北风,2级,18.5,9
2019-09-13,23,14,阴,西北风,1级,18.5,9
2019-09-14,20,13,阴,东南风,1级,16.5,7
2019-09-15,21,13,阴,西北风,2级,17.0,8
2019-09-16,21,13,阴,东北风,2级,17.0,8
2019-09-17,22,12,阴,东北风,1级,17.0,10
2019-09-18,20,12,阵雨,东北风,1级,16.0,8
2019-09-19,23,12,多云,东北风,2级,17.5,11
2019-09-20,16,9,阴,东北风,4级,12.5,7
2019-09-21,14,7,阴,东北风,3级,10.5,7
2019-09-22,17,9,阴,东南风,2级,13.0,8
2019-09-23,17,9,阴,东北风,2级,13.0,8
2019-09-24,11,8,阴,西南风,微风,9.5,3
2019-09-25,12,6,阴,西南风,1级,9.0,6
2019-09-26,19,8,多云,西南风,2级,13.5,11
2019-09-27,18,6,雾,西南风,2级,12.0,12
2019-09-28,21,7,雾,西北风,3级,14.0,14
2019-09-29,22,10,多云,东北风,1级,16.0,12
2019-09-30,21,10,多云,东北风,2级,15.5,11
2019-08-01,22,13,小雨,东南风,1级,17.5,9
2019-08-02,25,14,阴,西北风,2级,19.5,11
2019-08-03,21,13,中雨,东南风,5级,17.0,8
2019-08-04,22,13,阴,东南风,2级,17.5,9
2019-08-05,23,13,小雨,东北风,2级,18.0,10
2019-08-06,24,14,小雨,东北风,1级,19.0,10
2019-08-07,20,12,中雨,西南风,1级,16.0,8
2019-08-08,24,13,雾,东南风,4级,18.5,11
2019-08-09,23,14,阴,西南风,2级,18.5,9
2019-08-10,23,13,阴,东南风,3级,18.0,10
2019-08-11,27,13,晴,西北风,2级,20.0,14
2019-08-12,27,13,阴,西南风,3级,20.0,14
2019-08-13,28,14,阴,西北风,2级,21.0,14
2019-08-14,19,11,小雨,东北风,微风,15.0,8
2019-08-15,26,11,晴,西南风,2级,18.5,15
2019-08-16,27,12,晴,东北风,2级,19.5,15
2019-08-17,27,14,多云,西北风,2级,20.5,13
2019-08-18,27,14,阴,东北风,1级,20.5,13
2019-08-19,26,16,阴,东北风,2级,21.0,10
2019-08-20,27,14,阴,东南风,3级,20.5,13
2019-08-21,24,15,阴,东南风,2级,19.5,9
2019-08-22,18,13,暴雨,西北风,1级,15.5,5
2019-08-23,20,12,小雨,东北风,1级,16.0,8
2019-08-24,24,13,雾,东南风,1级,18.5,11
2019-08-25,26,13,晴,东北风,3级,19.5,13
2019-08-26,28,13,晴,东北风,3级,20.5,15
2019-08-27,25,13,阴,东南风,4级,19.0,12
2019-08-28,21,14,小雨,东南风,2级,17.5,7
2019-08-29,23,12,小雨,东南风,4级,17.5,11
2019-08-30,17,12,阴,西南风,1级,14.5,5
2019-08-31,18,12,阴,东南风,1级,15.0,6
2019-07-01,19,14,阴,北风,微风,16.5,5
2019-07-02,26,15,多云,西南风,2级,20.5,11
2019-07-03,23,14,阵雨,东北风,1级,18.5,9
2019-07-04,16,14,大雨,西南风,2级,15.0,2
2019-07-05,17,13,中雨,西南风,2级,15.0,4
2019-07-06,19,14,小雨,西北风,3级,16.5,5
2019-07-07,24,14,阵雨,东北风,1级,19.0,10
2019-07-08,24,14,阴,东北风,2级,19.0,10
2019-07-09,22,12,小雨,西北风,2级,17.0,10
2019-07-10,18,13,阴,东南风,1级,15.5,5
2019-07-11,20,13,阴,西南风,1级,16.5,7
2019-07-12,20,14,阴,东北风,1级,17.0,6
2019-07-13,18,13,小雨,东北风,1级,15.5,5
2019-07-14,22,14,阴,东北风,3级,18.0,8
2019-07-15,24,14,阴,东北风,2级,19.0,10
2019-07-16,25,16,阴,东北风,2级,20.5,9
2019-07-17,27,15,阴,西南风,1级,21.0,12
2019-07-18,27,14,阴,西南风,2级,20.5,13
2019-07-19,20,15,阴,西南风,2级,17.5,5
2019-07-20,24,15,小雨,东北风,1级,19.5,9
2019-07-21,24,15,小雨,西北风,2级,19.5,9
2019-07-22,23,15,阴,西南风,2级,19.0,8
2019-07-23,20,14,小雨,东南风,4级,17.0,6
2019-07-24,22,13,阴,西南风,2级,17.5,9
2019-07-25,21,13,小雨,东北风,2级,17.0,8
2019-07-26,21,14,小雨,东南风,1级,17.5,7
2019-07-27,25,14,阴,东北风,2级,19.5,11
2019-07-28,26,15,多云,西北风,1级,20.5,11
2019-07-29,17,14,大雨,东北风,1级,15.5,3
2019-07-30,21,13,小雨,西南风,2级,17.0,8
2019-07-31,22,15,阴,东南风,3级,18.5,7
2019-06-01,12,7,阴,西北风,1级,9.5,5
2019-06-02,23,10,晴,西南风,3级,16.5,13
2019-06-03,27,12,阴,西南风,2级,19.5,15
2019-06-04,23,12,阴,西南风,3级,17.5,11
2019-06-05,28,14,多云,西南风,3级,21.0,14
2019-06-06,27,15,晴,东南风,3级,21.0,12
2019-06-07,28,14,多云,西南风,5级,21.0,14
2019-06-08,27,15,多云,西南风,5级,21.0,12
2019-06-09,28,14,多云,西南风,5级,21.0,14
2019-06-10,27,14,阴,西南风,4级,20.5,13
2019-06-11,29,14,多云,西南风,6级,21.5,15
2019-06-12,26,15,阵雨,西南风,3级,20.5,11
2019-06-13,23,14,小雨,西南风,1级,18.5,9
2019-06-14,26,15,多云,西南风,5级,20.5,11
2019-06-15,27,15,阴,西南风,5级,21.0,12
2019-06-16,25,15,阴,东南风,1级,20.0,10
2019-06-17,24,15,阵雨,东南风,2级,19.5,9
2019-06-18,28,15,阴,西南风,4级,21.5,13
2019-06-19,27,16,阴,西北风,2级,21.5,11
2019-06-20,29,15,多云,西南风,4级,22.0,14
2019-06-21,26,16,多云,西南风,4级,21.0,10
2019-06-22,30,16,阴,北风,4级,23.0,14
2019-06-23,25,15,阴,西北风,3级,20.0,10
2019-06-24,26,15,阴,西南风,1级,20.5,11
2019-06-25,18,17,大雨,西南风,2级,17.5,1
2019-06-26,21,15,阵雨,西北风,1级,18.0,6
2019-06-27,22,16,阵雨,西南风,4级,19.0,6
2019-06-28,27,15,阴,东北风,3级,21.0,12
2019-06-29,22,14,阴,东南风,4级,18.0,8
2019-06-30,17,14,小雨,东南风,4级,15.5,3
2019-05-01,18,10,阴,西北风,2级,14.0,8
2019-05-02,21,11,多云,西南风,1级,16.0,10
2019-05-03,26,12,晴,西南风,5级,19.0,14
2019-05-04,26,13,多云,西南风,5级,19.5,13
2019-05-05,23,14,阴,西南风,3级,18.5,9
2019-05-06,23,11,阴,西南风,4级,17.0,12
2019-05-07,25,11,多云,西南风,5级,18.0,14
2019-05-08,23,12,晴,西南风,5级,17.5,11
2019-05-09,20,10,阴,西南风,3级,15.0,10
2019-05-10,22,9,阴,西南风,4级,15.5,13
2019-05-11,23,10,晴,西南风,5级,16.5,13
2019-05-12,23,11,多云,西北风,3级,17.0,12
2019-05-13,24,10,多云,西南风,4级,17.0,14
2019-05-14,25,11,阴,西南风,4级,18.0,14
2019-05-15,26,12,多云,西南风,3级,19.0,14
2019-05-16,27,15,多云,西南风,4级,21.0,12
2019-05-17,27,12,多云,西南风,5级,19.5,15
2019-05-18,28,16,多云,西南风,4级,22.0,12
2019-05-19,28,12,多云,西南风,3级,20.0,16
2019-05-20,27,13,阴,西南风,5级,20.0,14
2019-05-21,28,12,晴,东南风,5级,20.0,16
2019-05-22,24,12,阴,西南风,3级,18.0,12
2019-05-23,25,13,阴,西南风,3级,19.0,12
2019-05-24,26,12,多云,西南风,4级,19.0,14
2019-05-25,27,14,多云,西南风,4级,20.5,13
2019-05-26,26,12,多云,西北风,1级,19.0,14
2019-05-27,21,12,阴,西南风,3级,16.5,9
2019-05-28,25,11,多云,西南风,3级,18.0,14
2019-05-29,26,13,多云,西南风,6级,19.5,13
2019-05-30,24,11,多云,东南风,4级,17.5,13
2019-05-31,25,11,阴,东北风,4级,18.0,14
2019-04-01,17,7,阴,西南风,4级,12.0,10
2019-04-02,17,6,晴,西南风,5级,11.5,11
2019-04-03,10,4,阴,西北风,1级,7.0,6
2019-04-04,18,4,雾,西南风,3级,11.0,14
2019-04-05,16,5,阴,东北风,1级,10.5,11
2019-04-06,19,4,晴,西南风,2级,11.5,15
2019-04-07,21,7,多云,西南风,4级,14.0,14
2019-04-08,19,6,多云,西南风,5级,12.5,13
2019-04-09,21,7,晴,西南风,5级,14.0,14
2019-04-10,20,8,阴,西南风,4级,14.0,12
2019-04-11,24,8,多云,西北风,1级,16.0,16
2019-04-12,25,6,晴,西南风,6级,15.5,19
2019-04-13,26,8,晴,西南风,6级,17.0,18
2019-04-14,23,8,阴,西南风,4级,15.5,15
2019-04-15,22,9,多云,西南风,4级,15.5,13
2019-04-16,19,8,阴,西北风,2级,13.5,11
2019-04-17,22,9,晴,西南风,4级,15.5,13
