日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,19,晴,西南风,3级,24.0,10
2019-09-02,29,17,晴,西南风,2级,23.0,12
2019-09-03,30,17,晴,北风,1级,23.5,13
2019-09-04,27,20,阴,东北风,4级,23.5,7
2019-09-05,26,20,阴,东北风,1级,23.0,6
2019-09-06,27,20,阴,东北风,1级,23.5,7
2019-09-07,23,20,阴,西北风,3级,21.5,3
2019-09-08,30,19,晴,东北风,1级,24.5,11
2019-09-09,29,18,阴,东北风,2级,23.5,11
2019-09-10,22,13,阴,东北风,4级,17.5,9
2019-09-11,24,13,多云,东北风,1级,18.5,11
2019-09-12,25,19,阴,东南风,2级,22.0,6
2019-09-13,20,16,阴,东北风,3级,18.0,4
2019-09-14,24,13,多云,东北风,1级,18.5,11
2019-09-15,27,14,晴,西南风,1级,20.5,13
2019-09-16,21,9,晴,东北风,2级,15.0,12
2019-09-17,24,10,阴,西南风,1级,17.0,14
2019-09-18,19,11,晴,东北风,1级,15.0,8
2019-09-19,23,16,阴,东南风,1级,19.5,7
2019-09-20,25,12,多云,北风,微风,18.5,13
2019-09-21,25,12,晴,东北风,2级,18.5,13
2019-09-22,23,10,晴,东北风,3级,16.5,13
2019-09-23,23,10,晴,东北风,1级,16.5,13
2019-09-24,25,9,晴,东北风,1级,17.0,16
2019-09-25,26,13,晴,东北风,1级,19.5,13
2019-09-26,26,13,晴,东北风,微风,19.5,13
2019-09-27,26,14,晴,东北风,1级,20.0,12
2019-09-28,27,17,晴,东南风,1级,22.0,10
2019-09-29,27,16,晴,东北风,1级,21.5,11
2019-09-30,29,17,晴,东南风,2级,23.0,12
2019-08-01,34,25,多云,东南风,3级,29.5,9
2019-08-02,30,23,小雨,东南风,3级,26.5,7
2019-08-03,28,23,小雨,西南风,1级,25.5,5
2019-08-04,31,23,阴,东北风,1级,27.0,8
2019-08-05,30,24,小雨,东南风,2级,27.0,6
2019-08-06,31,24,阴,东北风,2级,27.5,7
2019-08-07,30,24,阴,西北风,1级,27.0,6
2019-08-08,28,23,小雨,西南风,微风,25.5,5
2019-08-09,31,24,多云,东南风,2级,27.5,7
2019-08-10,33,24,阴,东南风,1级,28.5,9
2019-08-11,25,23,小雨,东北风,5级,24.0,2
2019-08-12,30,22,小雨,东北风,2级,26.0,8
2019-08-13,25,23,中雨,东北风,2级,24.0,2
2019-08-14,23,20,小雨,东北风,3级,21.5,3
2019-08-15,28,20,多云,西北风,1级,24.0,8
2019-08-16,29,19,多云,东北风,1级,24.0,10
2019-08-17,26,19,多云,西北风,1级,22.5,7
