日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,20,多云,西南风,2级,25.5,11
2019-09-01,31,20,晴,东南风,3级,25.5,11
2019-09-02,32,20,晴,西南风,2级,26.0,12
2019-09-02,32,20,晴,东南风,3级,26.0,12
2019-09-03,32,20,晴,东南风,2级,26.0,12
2019-09-03,32,20,晴,东南风,3级,26.0,12
2019-09-04,31,20,晴,西南风,2级,25.5,11
2019-09-04,31,20,晴,西北风,2级,25.5,11
2019-09-05,31,20,晴,西南风,1级,25.5,11
2019-09-05,32,20,晴,西南风,3级,26.0,12
2019-09-06,32,20,晴,西南风,1级,26.0,12
2019-09-06,33,20,晴,北风,2级,26.5,13
2019-09-07,34,20,晴,西南风,2级,27.0,14
2019-09-07,34,20,晴,西北风,2级,27.0,14
2019-09-08,35,21,晴,东南风,2级,28.0,14
2019-09-08,35,20,晴,东北风,2级,27.5,15
2019-09-09,33,21,多云,东南风,2级,27.0,12
2019-09-09,33,21,多云,东南风,3级,27.0,12
2019-09-10,20,18,阴,西北风,2级,19.0,2
2019-09-10,24,19,小雨,西北风,3级,21.5,5
2019-09-11,20,17,阴,西北风,2级,18.5,3
2019-09-11,21,17,小雨,西南风,2级,19.0,4
2019-09-12,20,16,阴,西南风,1级,18.0,4
2019-09-12,21,17,阴,西北风,2级,19.0,4
2019-09-13,27,18,阴,西南风,1级,22.5,9
2019-09-13,25,19,小雨,西北风,2级,22.0,6
2019-09-14,27,18,多云,东南风,微风,22.5,9
2019-09-14,27,18,多云,西北风,2级,22.5,9
2019-09-15,29,17,多云,东南风,2级,23.0,12
2019-09-15,28,18,多云,东南风,2级,23.0,10
2019-09-16,27,18,阴,东南风,2级,22.5,9
2019-09-16,27,18,晴,西北风,2级,22.5,9
2019-09-17,27,17,多云,西北风,3级,22.0,10
2019-09-17,26,17,多云,东南风,3级,21.5,9
2019-09-18,26,17,晴,西南风,1级,21.5,9
2019-09-18,26,17,晴,东北风,3级,21.5,9
2019-09-19,23,17,阴,东南风,2级,20.0,6
2019-09-19,23,17,阴,东南风,2级,20.0,6
2019-09-20,22,17,阴,东北风,2级,19.5,5
2019-09-20,26,17,多云,西北风,3级,21.5,9
2019-09-21,28,17,多云,西北风,2级,22.5,11
2019-09-21,28,17,晴,东北风,3级,22.5,11
2019-09-22,27,18,晴,西南风,2级,22.5,9
2019-09-22,28,18,晴,东北风,1级,23.0,10
2019-09-23,30,19,多云,西北风,1级,24.5,11
2019-09-23,29,18,晴,东北风,2级,23.5,11
2019-09-24,32,17,晴,西北风,2级,24.5,15
2019-09-24,31,17,晴,东北风,2级,24.0,14
2019-09-25,30,18,晴,东南风,2级,24.0,12
2019-09-25,29,18,晴,东北风,2级,23.5,11
2019-09-26,30,17,多云,西南风,2级,23.5,13
2019-09-26,29,17,晴,东南风,2级,23.0,12
2019-09-27,28,18,晴,东北风,1级,23.0,10
2019-09-27,29,18,晴,东北风,1级,23.5,11
2019-09-28,30,17,多云,东南风,2级,23.5,13
2019-09-28,30,17,晴,东南风,2级,23.5,13
