日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,20,多云,东北风,2级,26.0,12
2019-09-02,28,22,多云,西南风,1级,25.0,6
2019-09-03,30,20,多云,东北风,2级,25.0,10
2019-09-04,29,20,晴,东南风,1级,24.5,9
2019-09-05,31,21,晴,西南风,1级,26.0,10
2019-09-06,31,21,晴,东北风,1级,26.0,10
2019-09-07,32,21,晴,东南风,1级,26.5,11
2019-09-08,34,21,晴,东南风,2级,27.5,13
2019-09-09,32,22,多云,东北风,2级,27.0,10
2019-09-10,27,20,阴,东北风,2级,23.5,7
2019-09-11,19,19,阴,东北风,3级,19.0,0
2019-09-12,18,18,阴,东北风,2级,18.0,0
2019-09-13,26,19,阴,东北风,1级,22.5,7
2019-09-14,24,17,阴,西北风,1级,20.5,7
2019-09-15,17,16,阴,东南风,1级,16.5,1
2019-09-16,23,18,多云,北风,微风,20.5,5
2019-09-17,19,17,阴,西北风,3级,18.0,2
2019-09-18,27,17,多云,东北风,3级,22.0,10
2019-09-19,22,17,阴,西北风,2级,19.5,5
2019-09-20,26,17,阴,东北风,2级,21.5,9
2019-09-21,27,16,多云,东北风,1级,21.5,11
2019-09-22,27,15,晴,东北风,1级,21.0,12
2019-09-23,29,18,晴,西南风,1级,23.5,11
2019-09-24,30,17,多云,西南风,1级,23.5,13
2019-09-25,30,17,阴,东北风,1级,23.5,13
2019-09-26,30,19,多云,东南风,1级,24.5,11
2019-09-27,30,18,多云,东南风,2级,24.0,12
2019-09-28,30,18,晴,东南风,2级,24.0,12
2019-09-29,31,20,晴,东南风,4级,25.5,11
2019-09-30,31,20,多云,东南风,3级,25.5,11
2019-08-01,34,26,阴,东北风,2级,30.0,8
2019-08-02,26,24,中雨,东北风,2级,25.0,2
2019-08-03,30,24,阴,东北风,3级,27.0,6
2019-08-04,31,24,阴,东南风,2级,27.5,7
2019-08-05,31,25,中雨,东北风,1级,28.0,6
2019-08-06,31,25,小雨,西南风,3级,28.0,6
2019-08-07,32,24,阴,东北风,2级,28.0,8
2019-08-08,32,25,多云,东北风,1级,28.5,7
2019-08-09,33,25,中雨,东北风,2级,29.0,8
2019-08-10,25,24,大雨,东北风,2级,24.5,1
2019-08-11,26,23,阴,东北风,3级,24.5,3
2019-08-12,30,23,阴,东南风,2级,26.5,7
2019-08-13,31,23,晴,东北风,1级,27.0,8
2019-08-14,32,23,阴,东北风,2级,27.5,9
2019-08-15,33,24,晴,西南风,2级,28.5,9
2019-08-16,31,22,晴,东北风,2级,26.5,9
2019-08-17,31,22,多云,东南风,2级,26.5,9
2019-08-18,32,23,晴,东南风,2级,27.5,9
2019-08-19,32,22,多云,东南风,3级,27.0,10
2019-08-20,32,24,阴,东南风,2级,28.0,8
2019-08-21,25,23,小雨,东南风,1级,24.0,2
2019-08-22,31,23,多云,东北风,2级,27.0,8
2019-08-23,32,25,多云,东北风,2级,28.5,7
2019-08-24,32,23,多云,东北风,3级,27.5,9
2019-08-25,27,22,多云,东北风,2级,24.5,5
2019-08-26,31,23,阴,东北风,2级,27.0,8
2019-08-27,26,22,小雨,西南风,2级,24.0,4
2019-08-28,33,22,晴,西南风,3级,27.5,11
2019-08-29,31,20,晴,东北风,2级,25.5,11
2019-08-30,33,20,晴,东北风,2级,26.5,13
2019-08-31,31,20,多云,东南风,1级,25.5,11
2019-07-01,35,23,晴,西南风,1级,29.0,12
2019-07-02,35,23,小雨,西南风,1级,29.0,12
2019-07-03,37,26,阴,东南风,1级,31.5,11
2019-07-04,32,24,阴,西南风,3级,28.0,8
2019-07-05,34,25,晴,西南风,3级,29.5,9
2019-07-06,33,21,晴,东北风,2级,27.0,12
2019-07-07,31,21,多云,东北风,3级,26.0,10
2019-07-08,27,23,阴,东北风,2级,25.0,4
2019-07-09,31,22,阴,东北风,5级,26.5,9
2019-07-10,29,22,多云,西北风,1级,25.5,7
2019-07-11,31,23,多云,东南风,1级,27.0,8
2019-07-12,30,22,阴,东南风,2级,26.0,8
2019-07-13,33,24,多云,西南风,2级,28.5,9
2019-07-14,34,25,晴,西南风,2级,29.5,9
2019-07-15,34,26,阴,东南风,1级,30.0,8
2019-07-16,33,27,小雨,东南风,3级,30.0,6
2019-07-17,30,24,小雨,西南风,2级,27.0,6
2019-07-18,33,24,多云,东北风,1级,28.5,9
2019-07-19,35,26,晴,东南风,2级,30.5,9
2019-07-20,36,27,晴,东北风,2级,31.5,9
2019-07-21,37,28,多云,东南风,2级,32.5,9
2019-07-22,36,29,阴,东南风,2级,32.5,7
2019-07-23,38,28,阴,西南风,2级,33.0,10
2019-07-24,38,29,多云,西南风,3级,33.5,9
2019-07-25,36,28,多云,东南风,2级,32.0,8
2019-07-26,37,26,多云,东南风,2级,31.5,11
2019-07-27,35,27,阴,东南风,2级,31.0,8
2019-07-28,37,28,阴,西南风,4级,32.5,9
2019-07-29,36,26,多云,西南风,2级,31.0,10
2019-07-30,32,27,小雨,西南风,2级,29.5,5
2019-07-31,33,26,小雨,东南风,2级,29.5,7
2019-06-01,33,22,多云,西南风,3级,27.5,11
2019-06-02,37,25,多云,西南风,5级,31.0,12
2019-06-03,35,25,阴,东北风,2级,30.0,10
2019-06-04,36,27,多云,东南风,2级,31.5,9
2019-06-05,29,20,阴,东北风,4级,24.5,9
2019-06-06,27,18,阴,东北风,2级,22.5,9
2019-06-07,31,23,多云,东南风,1级,27.0,8
2019-06-08,35,23,多云,西南风,1级,29.0,12
2019-06-09,34,22,阴,东北风,3级,28.0,12
2019-06-10,32,22,多云,东南风,1级,27.0,10
2019-06-11,33,23,阴,西南风,2级,28.0,10
2019-06-12,34,22,多云,西南风,2级,28.0,12
2019-06-13,34,23,阴,东南风,3级,28.5,11
2019-06-14,35,25,晴,东南风,2级,30.0,10
2019-06-15,35,25,阴,西南风,3级,30.0,10
2019-06-16,33,24,多云,东南风,1级,28.5,9
2019-06-17,33,24,多云,西南风,2级,28.5,9
2019-06-18,33,25,小雨,东南风,2级,29.0,8
2019-06-19,32,25,多云,东北风,2级,28.5,7
2019-06-20,24,21,小雨,东南风,1级,22.5,3
2019-06-21,29,24,阴,西北风,1级,26.5,5
2019-06-22,32,22,多云,西南风,2级,27.0,10
2019-06-23,34,23,多云,东南风,2级,28.5,11
2019-06-24,31,23,阴,西南风,1级,27.0,8
2019-06-25,32,22,小雨,东北风,1级,27.0,10
2019-06-26,34,24,多云,东南风,2级,29.0,10
2019-06-27,34,24,多云,西南风,2级,29.0,10
2019-06-28,22,22,大雨,西北风,1级,22.0,0
2019-06-29,35,25,多云,西南风,3级,30.0,10
2019-06-30,34,22,多云,西南风,1级,28.0,12
2019-05-01,25,14,多云,东北风,1级,19.5,11
2019-05-02,26,12,晴,西北风,1级,19.0,14
2019-05-03,26,16,多云,东南风,3级,21.0,10
2019-05-04,25,13,阴,东南风,2级,19.0,12
2019-05-05,26,14,阴,东北风,4级,20.0,12
2019-05-06,21,12,阴,东北风,1级,16.5,9
2019-05-07,20,14,阴,西南风,3级,17.0,6
2019-05-08,23,14,多云,东南风,1级,18.5,9
2019-05-09,27,16,阴,东南风,2级,21.5,11
2019-05-10,31,16,多云,东北风,5级,23.5,15
2019-05-11,27,17,阴,西南风,3级,22.0,10
2019-05-12,30,15,阴,西南风,2级,22.5,15
2019-05-13,23,13,阴,西南风,2级,18.0,10
2019-05-14,26,16,阴,西南风,2级,21.0,10
2019-05-15,27,17,多云,东南风,2级,22.0,10
2019-05-16,29,19,阴,西南风,2级,24.0,10
2019-05-17,32,19,晴,东南风,3级,25.5,13
2019-05-18,25,17,阴,东北风,2级,21.0,8
2019-05-19,31,15,晴,西北风,2级,23.0,16
2019-05-20,28,16,多云,西南风,2级,22.0,12
2019-05-21,32,18,阴,西南风,2级,25.0,14
2019-05-22,37,21,晴,西南风,3级,29.0,16
2019-05-23,37,21,晴,东南风,2级,29.0,16
2019-05-24,30,23,阴,东南风,2级,26.5,7
2019-05-25,33,23,晴,西南风,3级,28.0,10
2019-05-26,32,21,多云,西南风,3级,26.5,11
2019-05-27,26,19,多云,东北风,2级,22.5,7
2019-05-28,26,15,阴,西南风,3级,20.5,11
2019-05-29,27,18,晴,西南风,3级,22.5,9
2019-05-30,29,17,多云,西南风,3级,23.0,12
2019-05-31,30,22,阴,西南风,3级,26.0,8
2019-04-01,20,11,多云,东北风,2级,15.5,9
2019-04-02,20,10,阴,东北风,2级,15.0,10
2019-04-03,22,11,多云,东南风,2级,16.5,11
2019-04-04,23,14,阴,西南风,3级,18.5,9
2019-04-05,27,16,多云,西南风,3级,21.5,11
2019-04-06,19,10,多云,东北风,3级,14.5,9
2019-04-07,24,15,多云,东南风,2级,19.5,9
2019-04-08,17,6,阴,东北风,5级,11.5,11
2019-04-09,6,4,阴,东北风,4级,5.0,2
2019-04-10,13,7,阴,西南风,3级,10.0,6
2019-04-11,19,7,阴,东北风,2级,13.0,12
2019-04-12,20,11,阴,西南风,2级,15.5,9
2019-04-13,22,13,阴,西南风,1级,17.5,9
2019-04-14,21,10,多云,东南风,2级,15.5,11
2019-04-15,20,13,多云,西南风,3级,16.5,7
