日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,15,阴,东南风,3级,20.5,11
2019-09-02,24,15,阴,西南风,2级,19.5,9
2019-09-03,24,17,阴,东南风,3级,20.5,7
2019-09-04,23,17,阴,东北风,2级,20.0,6
2019-09-05,26,17,阴,西北风,1级,21.5,9
2019-09-06,27,18,多云,东南风,1级,22.5,9
2019-09-07,29,18,阴,东南风,1级,23.5,11
2019-09-08,28,19,阴,东南风,2级,23.5,9
2019-09-09,22,16,阴,西北风,2级,19.0,6
2019-09-10,22,17,阴,东北风,2级,19.5,5
2019-09-11,23,19,阴,东北风,3级,21.0,4
2019-09-12,21,12,阴,西南风,2级,16.5,9
2019-09-13,14,10,阴,西南风,2级,12.0,4
2019-09-14,14,10,阴,东北风,1级,12.0,4
2019-09-15,18,12,多云,东北风,1级,15.0,6
2019-09-16,20,13,阴,东北风,3级,16.5,7
2019-09-17,17,10,阴,西南风,2级,13.5,7
2019-09-18,16,12,小雨,东南风,2级,14.0,4
2019-09-19,19,12,阴,南风,1级,15.5,7
2019-09-20,25,9,阴,西南风,1级,17.0,16
2019-09-21,25,9,晴,东南风,2级,17.0,16
2019-09-22,24,11,晴,东南风,2级,17.5,13
2019-09-23,23,11,阴,东北风,1级,17.0,12
2019-09-24,24,11,阴,东南风,1级,17.5,13
2019-09-25,24,10,晴,东南风,2级,17.0,14
2019-09-26,22,10,多云,西南风,1级,16.0,12
2019-09-27,21,11,阴,东南风,1级,16.0,10
2019-09-28,24,13,多云,东南风,1级,18.5,11
2019-09-29,25,14,阴,东南风,1级,19.5,11
2019-09-30,24,16,阴,东南风,2级,20.0,8
2019-08-01,31,19,多云,东南风,3级,25.0,12
2019-08-02,23,17,小雨,东风,1级,20.0,6
2019-08-03,29,18,阴,西南风,1级,23.5,11
2019-08-04,30,20,阴,西南风,2级,25.0,10
2019-08-05,25,17,阴,西南风,2级,21.0,8
2019-08-06,30,17,多云,东南风,4级,23.5,13
2019-08-07,32,18,晴,东南风,4级,25.0,14
2019-08-08,29,17,阴,东南风,1级,23.0,12
2019-08-09,30,16,多云,西北风,6级,23.0,14
2019-08-10,31,15,晴,西南风,1级,23.0,16
2019-08-11,33,16,晴,东北风,2级,24.5,17
2019-08-12,31,16,晴,东南风,1级,23.5,15
2019-08-13,31,16,多云,西南风,2级,23.5,15
2019-08-14,32,15,晴,西南风,1级,23.5,17
2019-08-15,34,17,晴,西北风,1级,25.5,17
2019-08-16,32,19,晴,西南风,2级,25.5,13
2019-08-17,30,20,多云,东南风,2级,25.0,10
2019-08-18,28,21,多云,东南风,1级,24.5,7
2019-08-19,27,20,阴,东南风,1级,23.5,7
2019-08-20,19,16,中雨,西南风,2级,17.5,3
2019-08-21,19,17,小雨,东南风,微风,18.0,2
2019-08-22,20,18,中雨,东南风,1级,19.0,2
2019-08-23,28,19,阴,东北风,3级,23.5,9
2019-08-24,26,19,多云,西南风,1级,22.5,7
