日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,15,2,阴,东南风,2级,8.5,13
2019-09-02,14,0,阴,东南风,3级,7.0,14
2019-09-03,15,3,小雨,东南风,3级,9.0,12
2019-09-04,13,0,雾,东南风,2级,6.5,13
2019-09-05,16,0,阴,东南风,3级,8.0,16
2019-09-06,13,4,阴,西南风,3级,8.5,9
2019-09-07,11,0,阴,东南风,1级,5.5,11
2019-09-08,15,4,雾,东南风,2级,9.5,11
2019-09-09,13,1,阴,东南风,4级,7.0,12
2019-09-10,12,2,阴,东南风,2级,7.0,10
2019-09-11,16,1,阴,东南风,3级,8.5,15
2019-09-12,14,2,阴,西南风,1级,8.0,12
2019-09-13,8,1,阴,东北风,3级,4.5,7
2019-09-14,11,0,多云,西北风,微风,5.5,11
2019-09-15,10,2,阴,东南风,2级,6.0,8
2019-09-16,12,1,阴,东南风,3级,6.5,11
2019-09-17,8,1,雨夹雪,西北风,2级,4.5,7
2019-09-18,11,2,中雨,西北风,1级,6.5,9
2019-09-19,2,-3,雨夹雪,东北风,3级,-0.5,5
2019-09-20,3,-3,阴,西北风,2级,0.0,6
2019-09-21,5,-4,阴,东南风,2级,0.5,9
2019-09-22,7,-2,阴,东北风,4级,2.5,9
2019-09-23,1,-4,阴,东北风,3级,-1.5,5
2019-09-24,2,-7,阴,东南风,2级,-2.5,9
2019-09-25,6,-7,雾,西北风,2级,-0.5,13
2019-09-26,7,-7,多云,西北风,4级,0.0,14
2019-09-27,8,-7,晴,东北风,1级,0.5,15
2019-09-28,6,-6,阴,西北风,2级,0.0,12
2019-09-29,5,-3,阴,西南风,2级,1.0,8
2019-09-30,5,-3,阴,东北风,4级,1.0,8
2019-08-01,14,1,阴,东北风,3级,7.5,13
2019-08-02,12,0,多云,东北风,4级,6.0,12
2019-08-03,14,3,多云,东南风,2级,8.5,11
2019-08-04,10,1,小雨,东北风,4级,5.5,9
2019-08-05,9,2,小雨,东南风,3级,5.5,7
2019-08-06,13,3,多云,东南风,2级,8.0,10
2019-08-07,11,2,小雨,东北风,4级,6.5,9
2019-08-08,9,-4,阴,西北风,5级,2.5,13
2019-08-09,11,-2,多云,东北风,3级,4.5,13
2019-08-10,13,-2,晴,东北风,1级,5.5,15
2019-08-11,15,-1,晴,西南风,1级,7.0,16
2019-08-12,16,3,阴,东北风,5级,9.5,13
2019-08-13,11,-4,多云,东北风,2级,3.5,15
2019-08-14,15,-3,多云,东南风,1级,6.0,18
2019-08-15,15,0,晴,东南风,2级,7.5,15
2019-08-16,18,2,阴,西南风,4级,10.0,16
2019-08-17,19,4,阴,东南风,3级,11.5,15
2019-08-18,14,4,小雨,西北风,1级,9.0,10
2019-08-19,17,3,阴,西南风,3级,10.0,14
2019-08-20,17,3,阴,东南风,4级,10.0,14
2019-08-21,17,4,阴,东南风,3级,10.5,13
2019-08-22,15,5,阴,东南风,2级,10.0,10
2019-08-23,14,4,中雨,东北风,4级,9.0,10
2019-08-24,15,2,小雨,西北风,3级,8.5,13
2019-08-25,18,3,多云,东北风,5级,10.5,15
2019-08-26,15,5,阴,西北风,3级,10.0,10
2019-08-27,13,4,小雨,东北风,2级,8.5,9
2019-08-28,12,5,小雨,西北风,4级,8.5,7
2019-08-29,14,5,阴,东北风,2级,9.5,9
2019-08-30,11,2,阴,东北风,4级,6.5,9
2019-08-31,12,0,多云,东北风,2级,6.0,12
2019-07-01,11,5,小雨,西北风,2级,8.0,6
2019-07-02,14,5,阴,西南风,4级,9.5,9
2019-07-03,14,2,小雨,东北风,6级,8.0,12
2019-07-04,12,2,阴,东南风,3级,7.0,10
2019-07-05,12,4,阴,东南风,4级,8.0,8
2019-07-06,13,3,小雨,西北风,4级,8.0,10
2019-07-07,10,-2,小雨,西北风,4级,4.0,12
2019-07-08,11,-2,雾,西北风,3级,4.5,13
2019-07-09,12,-1,多云,东北风,3级,5.5,13
2019-07-10,12,0,阴,东北风,4级,6.0,12
2019-07-11,11,-1,多云,东北风,3级,5.0,12
2019-07-12,12,1,阴,东北风,1级,6.5,11
2019-07-13,13,3,阴,东北风,5级,8.0,10
2019-07-14,10,3,阴,西北风,3级,6.5,7
2019-07-15,7,2,雨夹雪,东南风,2级,4.5,5
2019-07-16,11,3,雨夹雪,西北风,5级,7.0,8
2019-07-17,12,3,小雨,东北风,4级,7.5,9
2019-07-18,10,1,阴,东北风,3级,5.5,9
2019-07-19,10,2,阴,东北风,1级,6.0,8
2019-07-20,15,3,阴,西南风,2级,9.0,12
2019-07-21,13,2,阴,东北风,4级,7.5,11
2019-07-22,12,1,多云,东北风,2级,6.5,11
2019-07-23,8,-1,中雪,西北风,2级,3.5,9
2019-07-24,10,0,多云,西北风,5级,5.0,10
2019-07-25,13,0,晴,西南风,2级,6.5,13
2019-07-26,16,2,多云,东南风,3级,9.0,14
2019-07-27,17,5,小雨,东南风,2级,11.0,12
2019-07-28,14,-1,小雨,东北风,4级,6.5,15
2019-07-29,14,0,多云,东北风,3级,7.0,14
2019-07-30,15,0,多云,东北风,4级,7.5,15
2019-07-31,14,1,晴,东北风,2级,7.5,13
2019-06-01,5,-5,多云,东南风,1级,0.0,10
2019-06-02,7,-4,多云,西南风,1级,1.5,11
2019-06-03,12,0,多云,南风,2级,6.0,12
2019-06-04,3,-3,雨夹雪,西北风,4级,0.0,6
2019-06-05,8,-1,雨夹雪,东北风,4级,3.5,9
2019-06-06,12,1,多云,东南风,3级,6.5,11
2019-06-07,12,0,阴,东南风,3级,6.0,12
2019-06-08,11,-1,雨夹雪,西北风,2级,5.0,12
2019-06-09,11,0,阴,西南风,3级,5.5,11
2019-06-10,9,-1,雨夹雪,东北风,2级,4.0,10
2019-06-11,10,-1,阴,西北风,3级,4.5,11
2019-06-12,15,0,多云,东南风,3级,7.5,15
2019-06-13,16,2,多云,西北风,5级,9.0,14
2019-06-14,14,0,阴,东南风,2级,7.0,14
2019-06-15,13,3,小雨,东南风,2级,8.0,10
2019-06-16,6,0,雨夹雪,西北风,3级,3.0,6
2019-06-17,9,3,小雨,东南风,2级,6.0,6
2019-06-18,9,2,小雨,西北风,1级,5.5,7
2019-06-19,14,1,阴,西北风,1级,7.5,13
2019-06-20,10,3,小雨,东北风,3级,6.5,7
2019-06-21,11,1,阴,东南风,2级,6.0,10
2019-06-22,13,3,阴,东北风,4级,8.0,10
2019-06-23,11,4,小雨,东北风,3级,7.5,7
2019-06-24,14,3,小雨,东北风,3级,8.5,11
2019-06-25,17,3,多云,东北风,6级,10.0,14
2019-06-26,17,4,小雨,东北风,3级,10.5,13
2019-06-27,14,4,小雨,西南风,1级,9.0,10
2019-06-28,13,4,阴,东南风,1级,8.5,9
2019-06-29,10,2,小雨,东南风,1级,6.0,8
2019-06-30,13,2,雨夹雪,东北风,3级,7.5,11
2019-05-01,7,-2,雨夹雪,东北风,3级,2.5,9
2019-05-02,10,-3,多云,西北风,4级,3.5,13
2019-05-03,14,-1,多云,东南风,2级,6.5,15
2019-05-04,9,1,雨夹雪,东南风,4级,5.0,8
2019-05-05,11,0,阴,东北风,4级,5.5,11
2019-05-06,3,-5,雨夹雪,西南风,2级,-1.0,8
2019-05-07,3,-6,阴,西北风,5级,-1.5,9
2019-05-08,2,-7,阴,西北风,3级,-2.5,9
2019-05-09,4,-7,多云,东北风,3级,-1.5,11
2019-05-10,3,-5,阴,东北风,4级,-1.0,8
2019-05-11,7,-4,阴,东北风,4级,1.5,11
2019-05-12,2,-3,阴,东北风,1级,-0.5,5
2019-05-13,7,-3,阴,西南风,1级,2.0,10
2019-05-14,8,-5,阴,西南风,3级,1.5,13
2019-05-15,8,-1,阴,西北风,3级,3.5,9
2019-05-16,8,-2,阴,东北风,2级,3.0,10
2019-05-17,9,-2,阴,东北风,1级,3.5,11
2019-05-18,11,-1,阴,东北风,2级,5.0,12
2019-05-19,7,0,雨夹雪,东南风,3级,3.5,7
2019-05-20,6,0,雨夹雪,东北风,5级,3.0,6
2019-05-21,8,-2,阴,东南风,2级,3.0,10
2019-05-22,10,-2,雨夹雪,西南风,4级,4.0,12
2019-05-23,9,-3,阴,东北风,3级,3.0,12
2019-05-24,8,-2,阴,西南风,2级,3.0,10
2019-05-25,11,-2,阴,东北风,2级,4.5,13
2019-05-26,13,0,阴,东南风,2级,6.5,13
2019-05-27,10,-2,阴,东北风,4级,4.0,12
2019-05-28,8,0,阴,东南风,1级,4.0,8
2019-05-29,3,-1,雨夹雪,东北风,3级,1.0,4
2019-05-30,3,-3,雨夹雪,西南风,1级,0.0,6
2019-05-31,2,-7,阴,东北风,3级,-2.5,9
2019-04-01,2,-8,阴,东北风,3级,-3.0,10
2019-04-02,0,-9,阴,西北风,2级,-4.5,9
2019-04-03,-4,-16,阴,西北风,2级,-10.0,12
2019-04-04,-3,-19,阴,西北风,4级,-11.0,16
2019-04-05,-7,-24,阴,西北风,2级,-15.5,17
2019-04-06,-2,-20,雾,东南风,1级,-11.0,18
2019-04-07,3,-10,阴,东南风,1级,-3.5,13
2019-04-08,0,-20,阴,西北风,3级,-10.0,20
2019-04-09,3,-20,多云,西北风,2级,-8.5,23
2019-04-10,2,-19,雾,西北风,1级,-8.5,21
2019-04-11,5,-13,多云,西南风,3级,-4.0,18
2019-04-12,3,-9,多云,西北风,1级,-3.0,12
2019-04-13,4,-5,阴,西南风,2级,-0.5,9
2019-04-14,0,-6,雾,西北风,2级,-3.0,6
2019-04-15,3,-4,阴,东北风,3级,-0.5,7
2019-04-16,3,-10,多云,西北风,2级,-3.5,13
2019-04-17,2,-7,阴,西南风,2级,-2.5,9
2019-04-18,10,-3,多云,东南风,2级,3.5,13
2019-04-19,8,-3,多云,西南风,4级,2.5,11
2019-04-20,3,-5,阴,西北风,3级,-1.0,8
2019-04-21,3,-8,阴,西北风,4级,-2.5,11
2019-04-22,3,-9,多云,东北风,2级,-3.0,12
2019-04-23,7,-4,阴,西北风,2级,1.5,11
2019-04-24,7,-5,多云,西南风,2级,1.0,12
2019-04-25,12,-6,多云,西北风,2级,3.0,18
