日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,15,晴,西北风,2级,22.0,14
2019-09-02,25,14,多云,东北风,2级,19.5,11
2019-09-03,28,15,晴,西南风,3级,21.5,13
2019-09-04,31,18,多云,西南风,3级,24.5,13
2019-09-05,30,16,晴,东南风,2级,23.0,14
2019-09-06,28,17,多云,西南风,2级,22.5,11
2019-09-07,27,17,多云,西北风,2级,22.0,10
2019-09-08,25,12,晴,西北风,2级,18.5,13
2019-09-09,21,10,多云,西北风,2级,15.5,11
2019-09-10,22,9,晴,东南风,3级,15.5,13
2019-09-11,25,12,晴,西南风,2级,18.5,13
2019-09-12,23,14,阴,西南风,3级,18.5,9
2019-09-13,23,9,阴,西北风,2级,16.0,14
2019-09-14,25,11,晴,西南风,3级,18.0,14
2019-09-15,26,5,晴,西北风,5级,15.5,21
2019-09-16,21,8,晴,东南风,2级,14.5,13
2019-09-17,23,5,多云,西北风,5级,14.0,18
2019-09-18,19,4,晴,西北风,2级,11.5,15
2019-09-19,21,7,阴,东北风,1级,14.0,14
2019-09-20,23,8,多云,西北风,1级,15.5,15
2019-09-21,22,9,阴,西南风,2级,15.5,13
2019-09-22,26,10,晴,西南风,2级,18.0,16
2019-09-23,31,9,晴,西北风,3级,20.0,22
2019-09-24,24,10,晴,东南风,3级,17.0,14
2019-09-25,28,10,晴,东北风,3级,19.0,18
2019-09-26,27,11,晴,西北风,2级,19.0,16
2019-09-27,29,12,晴,西南风,3级,20.5,17
2019-09-28,30,7,多云,西北风,3级,18.5,23
2019-09-29,18,7,阴,东北风,3级,12.5,11
2019-09-30,26,12,阴,西南风,3级,19.0,14
2019-08-01,30,19,晴,东南风,2级,24.5,11
2019-08-02,32,19,晴,东南风,2级,25.5,13
2019-08-03,31,20,阴,东南风,3级,25.5,11
2019-08-04,35,21,晴,西南风,3级,28.0,14
2019-08-05,30,21,阴,东风,2级,25.5,9
2019-08-06,20,17,阴,东北风,4级,18.5,3
2019-08-07,25,17,阴,东北风,5级,21.0,8
2019-08-08,22,16,小雨,东南风,1级,19.0,6
2019-08-09,22,16,阴,东北风,3级,19.0,6
2019-08-10,18,17,阴,东南风,1级,17.5,1
2019-08-11,22,17,阴,东南风,1级,19.5,5
2019-08-12,24,15,多云,东北风,1级,19.5,9
2019-08-13,23,16,多云,东北风,1级,19.5,7
2019-08-14,26,16,多云,东南风,2级,21.0,10
2019-08-15,28,17,阴,东北风,3级,22.5,11
2019-08-16,26,17,多云,西北风,2级,21.5,9
2019-08-17,26,15,阴,东南风,1级,20.5,11
2019-08-18,24,14,阴,西北风,1级,19.0,10
2019-08-19,25,17,多云,东南风,2级,21.0,8
2019-08-20,22,16,阴,西南风,3级,19.0,6
2019-08-21,25,15,多云,西南风,4级,20.0,10
2019-08-22,24,14,小雨,西北风,3级,19.0,10
2019-08-23,23,14,小雨,西北风,1级,18.5,9
2019-08-24,25,16,阴,西北风,1级,20.5,9
2019-08-25,23,17,小雨,东南风,2级,20.0,6
2019-08-26,18,14,大雨,西风,2级,16.0,4
2019-08-27,24,13,小雨,西北风,2级,18.5,11
2019-08-28,20,15,阴,西北风,3级,17.5,5
2019-08-29,21,14,阴,东北风,4级,17.5,7
2019-08-30,25,13,晴,西北风,2级,19.0,12
2019-08-31,27,15,多云,西南风,2级,21.0,12
2019-07-01,29,17,晴,西北风,1级,23.0,12
2019-07-02,29,17,阴,西南风,2级,23.0,12
2019-07-03,30,18,多云,东南风,3级,24.0,12
2019-07-04,32,21,多云,西南风,3级,26.5,11
2019-07-05,22,16,小雨,西北风,4级,19.0,6
2019-07-06,17,15,中雨,东南风,2级,16.0,2
2019-07-07,28,17,晴,东南风,1级,22.5,11
2019-07-08,29,18,晴,东南风,1级,23.5,11
2019-07-09,29,20,阴,东南风,1级,24.5,9
2019-07-10,29,19,阴,东北风,1级,24.0,10
2019-07-11,25,19,阴,东南风,3级,22.0,6
2019-07-12,27,19,多云,西北风,1级,23.0,8
2019-07-13,27,18,阴,西北风,1级,22.5,9
2019-07-14,28,18,多云,东北风,2级,23.0,10
2019-07-15,29,19,晴,西南风,2级,24.0,10
2019-07-16,31,21,阴,西南风,2级,26.0,10
2019-07-17,28,20,阴,西南风,2级,24.0,8
