日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,23,阴,西北风,1级,27.5,9
2019-09-02,31,24,阴,东北风,2级,27.5,7
2019-09-03,31,23,阵雨,西北风,1级,27.0,8
2019-09-04,32,24,阴,北风,1级,28.0,8
2019-09-05,31,23,阴,东南风,2级,27.0,8
2019-09-06,33,23,阴,东北风,1级,28.0,10
2019-09-07,35,24,多云,东南风,2级,29.5,11
2019-09-08,35,24,多云,西北风,1级,29.5,11
2019-09-09,35,24,阴,东北风,1级,29.5,11
2019-09-10,34,24,多云,西南风,1级,29.0,10
2019-09-11,35,24,阴,东南风,1级,29.5,11
2019-09-12,34,24,多云,西南风,1级,29.0,10
2019-09-13,34,25,多云,西南风,1级,29.5,9
2019-09-14,34,24,阴,西南风,1级,29.0,10
2019-09-15,33,23,多云,东南风,2级,28.0,10
2019-09-16,33,24,阴,西北风,1级,28.5,9
2019-09-17,34,25,多云,东南风,1级,29.5,9
2019-09-18,34,22,多云,东南风,1级,28.0,12
2019-09-19,31,22,多云,东南风,1级,26.5,9
2019-09-20,31,19,晴,东南风,1级,25.0,12
2019-09-21,30,19,晴,西北风,2级,24.5,11
2019-09-22,29,21,多云,东南风,1级,25.0,8
2019-09-23,31,19,晴,东南风,1级,25.0,12
2019-09-24,31,17,晴,东南风,2级,24.0,14
2019-09-25,31,18,晴,东南风,2级,24.5,13
2019-09-26,32,18,晴,东南风,1级,25.0,14
2019-09-27,31,19,晴,东南风,2级,25.0,12
2019-09-28,32,19,晴,东南风,1级,25.5,13
2019-09-29,33,21,晴,东南风,1级,27.0,12
2019-09-30,34,21,晴,东南风,1级,27.5,13
2019-08-01,28,24,中雨,东北风,2级,26.0,4
2019-08-02,29,24,小雨,东南风,2级,26.5,5
2019-08-03,32,24,阴,西南风,微风,28.0,8
2019-08-04,34,24,多云,东北风,1级,29.0,10
2019-08-05,34,25,多云,东南风,2级,29.5,9
2019-08-06,34,26,小雨,西南风,1级,30.0,8
2019-08-07,34,26,多云,西南风,1级,30.0,8
2019-08-08,36,26,阴,东南风,2级,31.0,10
2019-08-09,37,25,多云,西北风,2级,31.0,12
2019-08-10,35,25,小雨,西南风,2级,30.0,10
