日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,20,17,阴,西北风,2级,18.5,3
2019-09-02,22,16,阴,西北风,1级,19.0,6
2019-09-03,24,15,阴,东南风,微风,19.5,9
2019-09-04,26,17,阴,西南风,1级,21.5,9
2019-09-05,26,18,阴,西南风,1级,22.0,8
2019-09-06,26,19,阴,西北风,1级,22.5,7
2019-09-07,27,20,阴,东南风,2级,23.5,7
2019-09-08,23,20,阴,东南风,1级,21.5,3
2019-09-09,23,19,阴,西南风,1级,21.0,4
2019-09-10,23,20,阴,东南风,1级,21.5,3
2019-09-11,26,20,阴,西南风,3级,23.0,6
2019-09-12,26,20,多云,东南风,1级,23.0,6
2019-09-13,28,20,多云,东南风,2级,24.0,8
2019-09-14,29,20,多云,东南风,1级,24.5,9
2019-09-15,28,18,多云,西北风,3级,23.0,10
2019-09-16,25,17,阴,西南风,1级,21.0,8
2019-09-17,26,17,阴,东北风,2级,21.5,9
2019-09-18,26,17,阴,东北风,1级,21.5,9
2019-09-19,22,15,阴,东北风,1级,18.5,7
2019-09-20,17,13,阴,东北风,3级,15.0,4
2019-09-21,21,14,多云,东北风,2级,17.5,7
2019-09-22,22,12,多云,西南风,1级,17.0,10
2019-09-23,23,13,多云,西南风,1级,18.0,10
2019-09-24,22,12,多云,西北风,1级,17.0,10
2019-09-25,19,13,阴,西北风,1级,16.0,6
2019-09-26,23,14,多云,西南风,1级,18.5,9
2019-09-27,24,14,多云,东南风,2级,19.0,10
2019-09-28,25,13,多云,西南风,1级,19.0,12
2019-09-29,26,14,多云,西南风,1级,20.0,12
2019-09-30,24,14,多云,西南风,1级,19.0,10
2019-08-01,29,19,多云,东北风,2级,24.0,10
2019-08-02,27,20,阴,东南风,微风,23.5,7
2019-08-03,26,18,阴,东北风,微风,22.0,8
2019-08-04,25,19,大雨,西南风,1级,22.0,6
2019-08-05,27,19,阴,南风,1级,23.0,8
2019-08-06,28,20,阴,西北风,1级,24.0,8
2019-08-07,30,20,阴,西北风,1级,25.0,10
2019-08-08,30,19,多云,西北风,2级,24.5,11
2019-08-09,28,19,小雨,东北风,2级,23.5,9
2019-08-10,29,18,阴,西北风,2级,23.5,11
2019-08-11,32,18,晴,西南风,2级,25.0,14
2019-08-12,33,18,多云,西北风,1级,25.5,15
2019-08-13,32,20,多云,西南风,4级,26.0,12
2019-08-14,28,18,多云,西北风,微风,23.0,10
2019-08-15,31,17,晴,西北风,1级,24.0,14
2019-08-16,32,18,晴,西南风,2级,25.0,14
2019-08-17,31,20,阴,西南风,1级,25.5,11
2019-08-18,29,20,阴,东南风,1级,24.5,9
2019-08-19,30,21,阴,西北风,1级,25.5,9
2019-08-20,30,20,多云,南风,微风,25.0,10
2019-08-21,30,21,阴,西南风,微风,25.5,9
2019-08-22,28,19,阴,西南风,1级,23.5,9
2019-08-23,28,18,多云,西北风,1级,23.0,10
