日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,15,阴,西北风,2级,20.5,11
2019-09-02,26,16,多云,西南风,1级,21.0,10
2019-09-03,26,16,晴,西南风,1级,21.0,10
2019-09-04,28,15,晴,西南风,微风,21.5,13
2019-09-05,29,17,多云,西北风,1级,23.0,12
2019-09-06,31,16,晴,西北风,1级,23.5,15
2019-09-07,32,17,晴,西北风,2级,24.5,15
2019-09-08,34,18,晴,西南风,1级,26.0,16
2019-09-09,28,18,阴,东南风,1级,23.0,10
2019-09-10,21,16,阴,东北风,1级,18.5,5
2019-09-11,18,15,阴,东南风,2级,16.5,3
2019-09-12,23,17,阴,东南风,1级,20.0,6
2019-09-13,17,13,阴,西北风,3级,15.0,4
2019-09-14,15,12,阴,西北风,2级,13.5,3
2019-09-15,14,13,阴,西北风,5级,13.5,1
2019-09-16,23,14,多云,东南风,1级,18.5,9
2019-09-17,17,14,阴,东北风,2级,15.5,3
2019-09-18,25,13,多云,东南风,1级,19.0,12
2019-09-19,15,12,阴,东北风,1级,13.5,3
2019-09-20,20,10,雾,东南风,2级,15.0,10
2019-09-21,24,11,晴,西南风,1级,17.5,13
2019-09-22,24,11,晴,西北风,2级,17.5,13
2019-09-23,25,13,晴,西北风,2级,19.0,12
2019-09-24,23,14,多云,西北风,2级,18.5,9
2019-09-25,25,12,多云,西南风,1级,18.5,13
2019-09-26,25,14,晴,西北风,1级,19.5,11
2019-09-27,25,14,多云,西南风,1级,19.5,11
2019-09-28,26,16,晴,西南风,1级,21.0,10
2019-09-29,26,16,晴,西北风,1级,21.0,10
2019-09-30,27,15,晴,西北风,1级,21.0,12
2019-08-01,31,20,阴,东南风,3级,25.5,11
2019-08-02,29,19,阴,东南风,3级,24.0,10
2019-08-03,23,19,中雨,东北风,1级,21.0,4
2019-08-04,28,21,阴,东南风,2级,24.5,7
2019-08-05,30,23,阴,东南风,2级,26.5,7
2019-08-06,23,20,小雨,东北风,微风,21.5,3
2019-08-07,28,20,雾,东南风,1级,24.0,8
2019-08-08,29,20,阴,西南风,1级,24.5,9
2019-08-09,24,18,小雨,西北风,2级,21.0,6
2019-08-10,28,17,晴,西北风,2级,22.5,11
2019-08-11,31,19,多云,西北风,1级,25.0,12
2019-08-12,31,20,多云,西北风,1级,25.5,11
2019-08-13,32,19,多云,西南风,1级,25.5,13
2019-08-14,32,18,晴,西南风,1级,25.0,14
2019-08-15,33,19,晴,西北风,2级,26.0,14
2019-08-16,33,16,晴,西北风,2级,24.5,17
2019-08-17,30,18,晴,西北风,2级,24.0,12
2019-08-18,31,21,晴,东南风,1级,26.0,10
2019-08-19,31,23,多云,东南风,3级,27.0,8
2019-08-20,29,20,小雨,西北风,2级,24.5,9
2019-08-21,20,17,小雨,南风,微风,18.5,3
2019-08-22,25,20,阴,西北风,2级,22.5,5
2019-08-23,26,19,多云,南风,微风,22.5,7
2019-08-24,29,22,多云,东南风,2级,25.5,7
2019-08-25,25,20,阴,东北风,1级,22.5,5
2019-08-26,27,17,阴,西北风,2级,22.0,10
2019-08-27,22,16,小雨,西北风,2级,19.0,6
2019-08-28,27,16,多云,西南风,1级,21.5,11
2019-08-29,28,16,晴,西北风,2级,22.0,12
2019-08-30,27,14,多云,西北风,2级,20.5,13
2019-08-31,28,17,多云,东南风,1级,22.5,11
2019-07-01,33,18,晴,东北风,1级,25.5,15
2019-07-02,33,20,多云,西南风,1级,26.5,13
2019-07-03,33,21,多云,东南风,1级,27.0,12
2019-07-04,31,19,阴,西南风,1级,25.0,12
2019-07-05,33,17,晴,西北风,1级,25.0,16
2019-07-06,31,17,晴,西北风,1级,24.0,14
2019-07-07,33,18,晴,东南风,4级,25.5,15
2019-07-08,23,18,阴,西南风,1级,20.5,5
2019-07-09,24,16,阴,西北风,3级,20.0,8
2019-07-10,24,18,小雨,东南风,3级,21.0,6
2019-07-11,29,18,多云,东南风,2级,23.5,11
2019-07-12,27,15,阴,西北风,2级,21.0,12
2019-07-13,33,20,多云,西南风,1级,26.5,13
2019-07-14,34,20,多云,东南风,3级,27.0,14
2019-07-15,33,21,阴,东南风,2级,27.0,12
2019-07-16,28,19,阴,西南风,1级,23.5,9
2019-07-17,24,18,小雨,东北风,1级,21.0,6
2019-07-18,29,19,阴,东南风,1级,24.0,10
2019-07-19,31,22,多云,东北风,2级,26.5,9
2019-07-20,27,22,小雨,西南风,微风,24.5,5
2019-07-21,34,23,多云,东南风,3级,28.5,11
2019-07-22,30,22,中雨,西北风,2级,26.0,8
2019-07-23,32,23,阴,西北风,3级,27.5,9
2019-07-24,33,23,多云,西北风,3级,28.0,10
2019-07-25,33,22,阴,东南风,1级,27.5,11
2019-07-26,33,24,多云,东南风,3级,28.5,9
2019-07-27,35,25,多云,东南风,2级,30.0,10
2019-07-28,36,24,多云,东南风,3级,30.0,12
2019-07-29,28,23,中雨,西北风,3级,25.5,5
2019-07-30,31,21,多云,西北风,3级,26.0,10
2019-07-31,35,23,多云,西北风,1级,29.0,12
2019-06-01,30,18,晴,西北风,2级,24.0,12
2019-06-02,34,17,扬沙,西北风,2级,25.5,17
2019-06-03,33,20,多云,西北风,2级,26.5,13
2019-06-04,35,22,阴,西北风,1级,28.5,13
2019-06-05,21,17,阴,东南风,1级,19.0,4
2019-06-06,24,17,晴,东南风,2级,20.5,7
2019-06-07,31,17,多云,东北风,3级,24.0,14
2019-06-08,32,17,多云,西北风,2级,24.5,15
2019-06-09,34,17,多云,东南风,2级,25.5,17
2019-06-10,32,21,多云,东南风,1级,26.5,11
2019-06-11,31,20,阴,东北风,2级,25.5,11
2019-06-12,28,17,晴,西南风,1级,22.5,11
2019-06-13,32,17,晴,东南风,2级,24.5,15
2019-06-14,34,19,晴,西南风,1级,26.5,15
2019-06-15,30,20,多云,东北风,1级,25.0,10
2019-06-16,30,20,多云,东南风,3级,25.0,10
2019-06-17,30,20,多云,东南风,1级,25.0,10
2019-06-18,34,21,晴,东南风,1级,27.5,13
2019-06-19,31,18,阴,东北风,2级,24.5,13
2019-06-20,19,18,小雨,西南风,2级,18.5,1
2019-06-21,24,18,阴,西南风,1级,21.0,6
2019-06-22,27,19,阴,西南风,1级,23.0,8
2019-06-23,29,16,多云,西北风,1级,22.5,13
2019-06-24,25,17,小雨,东北风,1级,21.0,8
2019-06-25,28,18,多云,西南风,1级,23.0,10
2019-06-26,30,19,晴,东南风,2级,24.5,11
2019-06-27,25,20,小雨,西北风,1级,22.5,5
2019-06-28,19,17,中雨,西南风,2级,18.0,2
2019-06-29,26,18,阴,西北风,2级,22.0,8
2019-06-30,30,15,雾,西北风,3级,22.5,15
2019-05-01,19,9,多云,西南风,2级,14.0,10
2019-05-02,23,11,晴,东南风,1级,17.0,12
2019-05-03,22,13,阴,西南风,1级,17.5,9
2019-05-04,24,15,阴,东南风,1级,19.5,9
2019-05-05,24,11,阴,西南风,1级,17.5,13
