日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,19,阴,东北风,1级,22.0,6
2019-09-02,26,21,阴,东南风,2级,23.5,5
2019-09-03,29,21,晴,东南风,1级,25.0,8
2019-09-04,30,20,晴,东北风,1级,25.0,10
2019-09-05,33,20,晴,西北风,1级,26.5,13
2019-09-06,33,21,晴,东北风,1级,27.0,12
2019-09-07,35,23,晴,西北风,1级,29.0,12
2019-09-08,33,25,多云,南风,微风,29.0,8
2019-09-09,31,25,阴,西北风,1级,28.0,6
2019-09-10,29,24,阴,西北风,1级,26.5,5
2019-09-11,33,24,阴,西北风,1级,28.5,9
2019-09-12,34,24,多云,南风,微风,29.0,10
2019-09-13,35,24,晴,南风,微风,29.5,11
2019-09-14,33,24,阴,东北风,1级,28.5,9
2019-09-15,30,23,多云,西北风,2级,26.5,7
2019-09-16,32,23,多云,东北风,2级,27.5,9
2019-09-17,31,22,多云,东北风,2级,26.5,9
2019-09-18,25,19,阴,东北风,3级,22.0,6
2019-09-19,25,20,多云,东北风,1级,22.5,5
2019-09-20,28,19,多云,西北风,3级,23.5,9
2019-09-21,27,19,多云,西北风,1级,23.0,8
2019-09-22,28,16,多云,北风,微风,22.0,12
2019-09-23,29,14,晴,北风,微风,21.5,15
2019-09-24,29,16,多云,西北风,1级,22.5,13
2019-09-25,29,15,多云,北风,微风,22.0,14
2019-09-26,28,16,多云,东南风,1级,22.0,12
2019-09-27,31,16,晴,西北风,1级,23.5,15
2019-09-28,32,15,晴,北风,微风,23.5,17
2019-09-29,32,15,晴,北风,微风,23.5,17
2019-09-30,33,16,晴,北风,微风,24.5,17
2019-08-01,35,24,阴,东北风,2级,29.5,11
2019-08-02,31,24,小雨,东南风,1级,27.5,7
2019-08-03,34,24,阴,东南风,1级,29.0,10
2019-08-04,34,25,阴,西北风,2级,29.5,9
2019-08-05,34,24,阴,东南风,2级,29.0,10
2019-08-06,36,25,多云,西北风,2级,30.5,11
2019-08-07,35,24,阴,东北风,2级,29.5,11
2019-08-08,35,25,小雨,西北风,1级,30.0,10
2019-08-09,33,25,多云,东北风,1级,29.0,8
2019-08-10,34,24,多云,西北风,1级,29.0,10
2019-08-11,36,24,晴,西北风,2级,30.0,12
2019-08-12,38,24,多云,西北风,1级,31.0,14
2019-08-13,38,24,多云,西北风,2级,31.0,14
