日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,23,18,阴,东南风,1级,20.5,5
2019-09-02,22,16,阴,东南风,1级,19.0,6
2019-09-03,23,16,阵雨,东南风,2级,19.5,7
2019-09-04,25,18,阴,东南风,1级,21.5,7
2019-09-05,26,19,阴,东南风,2级,22.5,7
2019-09-06,25,19,阴,西南风,2级,22.0,6
2019-09-07,26,19,阴,东南风,3级,22.5,7
2019-09-08,24,19,阴,东南风,1级,21.5,5
2019-09-09,22,19,阴,东南风,2级,20.5,3
2019-09-10,22,19,阴,东南风,2级,20.5,3
2019-09-11,25,18,阴,东南风,3级,21.5,7
2019-09-12,25,18,阴,西南风,2级,21.5,7
2019-09-13,27,17,阴,西南风,2级,22.0,10
2019-09-14,28,18,多云,西南风,2级,23.0,10
2019-09-15,27,18,多云,西南风,2级,22.5,9
2019-09-16,26,18,阴,东南风,1级,22.0,8
2019-09-17,25,18,多云,东南风,1级,21.5,7
2019-09-18,22,17,阵雨,东南风,2级,19.5,5
2019-09-19,24,15,阴,西南风,2级,19.5,9
2019-09-20,20,15,阴,西北风,1级,17.5,5
2019-09-21,22,11,多云,东南风,1级,16.5,11
2019-09-22,23,12,晴,西南风,2级,17.5,11
2019-09-23,21,11,多云,西南风,1级,16.0,10
2019-09-24,21,12,多云,东南风,1级,16.5,9
2019-09-25,20,13,阴,东南风,2级,16.5,7
2019-09-26,21,13,多云,东南风,2级,17.0,8
2019-09-27,23,12,多云,东南风,1级,17.5,11
2019-09-28,24,12,晴,西南风,1级,18.0,12
2019-09-29,25,15,晴,西南风,2级,20.0,10
2019-09-30,25,17,多云,西南风,2级,21.0,8
2019-08-01,29,19,小雨,东北风,1级,24.0,10
2019-08-02,27,19,阴,东南风,2级,23.0,8
2019-08-03,25,18,小雨,东北风,1级,21.5,7
2019-08-04,23,18,大雨,东北风,2级,20.5,5
2019-08-05,25,19,小雨,东北风,1级,22.0,6
2019-08-06,26,19,阴,西南风,2级,22.5,7
2019-08-07,27,19,小雨,东北风,1级,23.0,8
2019-08-08,27,19,小雨,西南风,3级,23.0,8
2019-08-09,27,19,小雨,东南风,1级,23.0,8
2019-08-10,25,20,多云,西北风,2级,22.5,5
2019-08-11,31,18,多云,西南风,2级,24.5,13
2019-08-12,30,19,多云,西北风,3级,24.5,11
2019-08-13,30,18,多云,东北风,1级,24.0,12
2019-08-14,29,18,多云,东北风,1级,23.5,11
2019-08-15,28,17,小雨,东南风,1级,22.5,11
2019-08-16,30,18,多云,西南风,1级,24.0,12
2019-08-17,28,18,多云,南风,2级,23.0,10
2019-08-18,28,19,多云,西南风,3级,23.5,9
2019-08-19,27,18,阴,东南风,2级,22.5,9
2019-08-20,29,19,阴,西南风,2级,24.0,10
2019-08-21,27,17,阴,西南风,2级,22.0,10
2019-08-22,25,16,阴,东南风,2级,20.5,9
2019-08-23,26,16,多云,东北风,2级,21.0,10
2019-08-24,28,18,多云,西南风,2级,23.0,10
2019-08-25,30,17,多云,东南风,1级,23.5,13
2019-08-26,31,19,阴,东南风,2级,25.0,12
2019-08-27,22,19,暴雨,东南风,1级,20.5,3
2019-08-28,27,19,阴,西南风,1级,23.0,8
2019-08-29,28,18,阴,西北风,2级,23.0,10
2019-08-30,21,15,阴,西北风,2级,18.0,6
2019-08-31,21,17,阴,东北风,2级,19.0,4
2019-07-01,28,19,多云,东南风,1级,23.5,9
2019-07-02,28,19,多云,东南风,2级,23.5,9
2019-07-03,26,19,阵雨,东南风,2级,22.5,7
2019-07-04,24,19,阴,东北风,2级,21.5,5
2019-07-05,21,20,小雨,东南风,2级,20.5,1
2019-07-06,25,19,大雨,西北风,1级,22.0,6
2019-07-07,27,20,中雨,东南风,2级,23.5,7
2019-07-08,28,18,阴,东南风,1级,23.0,10
2019-07-09,21,17,中雨,东北风,1级,19.0,4
2019-07-10,20,17,小雨,西南风,微风,18.5,3
2019-07-11,23,19,小雨,东南风,1级,21.0,4
2019-07-12,26,19,阴,东南风,2级,22.5,7
2019-07-13,24,19,小雨,西南风,1级,21.5,5
2019-07-14,22,19,阴,东南风,2级,20.5,3
2019-07-15,26,19,阴,东南风,2级,22.5,7
2019-07-16,28,20,阴,东南风,3级,24.0,8
2019-07-17,28,19,阴,西南风,1级,23.5,9
2019-07-18,29,19,阴,西南风,1级,24.0,10
2019-07-19,24,19,阴,东南风,1级,21.5,5
2019-07-20,26,21,中雨,西南风,1级,23.5,5
2019-07-21,26,21,阴,南风,微风,23.5,5
2019-07-22,26,20,阴,西南风,2级,23.0,6
2019-07-23,25,19,阴,东北风,1级,22.0,6
2019-07-24,25,19,大雨,东南风,1级,22.0,6
2019-07-25,25,19,小雨,东南风,2级,22.0,6
2019-07-26,27,19,小雨,西南风,2级,23.0,8
2019-07-27,28,19,阴,东南风,2级,23.5,9
2019-07-28,29,19,阴,东南风,3级,24.0,10
2019-07-29,26,19,中雨,东南风,3级,22.5,7
2019-07-30,26,19,中雨,西南风,2级,22.5,7
2019-07-31,25,18,阴,东南风,1级,21.5,7
2019-06-01,22,15,阴,东南风,1级,18.5,7
2019-06-02,26,15,多云,西南风,2级,20.5,11
2019-06-03,28,18,阴,东南风,4级,23.0,10
2019-06-04,26,18,阴,西南风,1级,22.0,8
2019-06-05,30,19,多云,南风,2级,24.5,11
2019-06-06,28,19,阴,东南风,3级,23.5,9
2019-06-07,30,19,多云,西南风,3级,24.5,11
2019-06-08,32,20,多云,西南风,3级,26.0,12
2019-06-09,33,19,阴,西南风,1级,26.0,14
2019-06-10,27,20,阴,东南风,2级,23.5,7
2019-06-11,26,20,阴,东南风,3级,23.0,6
2019-06-12,26,19,中雨,东北风,1级,22.5,7
2019-06-13,29,19,阴,西南风,2级,24.0,10
2019-06-14,23,20,中雨,南风,2级,21.5,3
2019-06-15,29,20,阴,东南风,2级,24.5,9
2019-06-16,29,20,中雨,西北风,2级,24.5,9
2019-06-17,26,20,中雨,东南风,2级,23.0,6
2019-06-18,24,20,大雨,东南风,2级,22.0,4
2019-06-19,25,20,小雨,东南风,2级,22.5,5
2019-06-20,31,21,阴,西南风,2级,26.0,10
2019-06-21,29,21,阴,西南风,2级,25.0,8
2019-06-22,32,20,阴,东南风,2级,26.0,12
2019-06-23,22,20,中雨,东南风,2级,21.0,2
2019-06-24,23,20,阴,东南风,2级,21.5,3
2019-06-25,23,20,大雨,西南风,1级,21.5,3
2019-06-26,26,20,阵雨,东南风,1级,23.0,6
2019-06-27,28,19,多云,东南风,3级,23.5,9
2019-06-28,29,19,阴,东南风,2级,24.0,10
2019-06-29,23,19,中雨,东南风,2级,21.0,4
2019-06-30,26,18,阴,东南风,2级,22.0,8
2019-05-01,23,16,阴,东南风,3级,19.5,7
2019-05-02,24,14,阴,东南风,4级,19.0,10
2019-05-03,16,16,阴,东南风,2级,16.0,0
2019-05-04,18,18,阴,东南风,2级,18.0,0
2019-05-05,25,19,阴,东南风,3级,22.0,6
2019-05-06,25,18,阴,东南风,2级,21.5,7
2019-05-07,22,15,多云,东南风,2级,18.5,7
2019-05-08,18,15,阴,东南风,2级,16.5,3
2019-05-09,16,14,阴,东北风,3级,15.0,2
2019-05-10,16,16,阴,东南风,2级,16.0,0
2019-05-11,19,18,阴,西南风,1级,18.5,1
2019-05-12,33,18,多云,东南风,2级,25.5,15
2019-05-13,30,18,阴,东南风,3级,24.0,12
2019-05-14,33,20,多云,东南风,3级,26.5,13
2019-05-15,33,19,多云,东南风,3级,26.0,14
2019-05-16,33,18,晴,西南风,3级,25.5,15
2019-05-17,33,19,多云,东南风,5级,26.0,14
2019-05-18,35,19,晴,东南风,3级,27.0,16
2019-05-19,33,17,晴,东北风,3级,25.0,16
2019-05-20,21,16,阴,东南风,3级,18.5,5
2019-05-21,17,15,阴,东北风,3级,16.0,2
2019-05-22,24,16,阴,东南风,2级,20.0,8
2019-05-23,24,18,阴,东南风,3级,21.0,6
2019-05-24,31,18,多云,东南风,3级,24.5,13
2019-05-25,30,17,多云,东南风,3级,23.5,13
2019-05-26,27,18,阴,西南风,1级,22.5,9
2019-05-27,21,17,阴,东南风,1级,19.0,4
2019-05-28,22,16,雾,东北风,2级,19.0,6
2019-05-29,18,17,阴,东南风,2级,17.5,1
2019-05-30,20,16,阴,东北风,3级,18.0,4
2019-05-31,16,14,阴,东南风,2级,15.0,2
2019-04-01,14,13,阴,东南风,2级,13.5,1
2019-04-02,28,15,雾,西南风,4级,21.5,13
2019-04-03,14,13,阴,东南风,2级,13.5,1
2019-04-04,19,13,雾,东南风,3级,16.0,6
2019-04-05,16,11,阴,西北风,1级,13.5,5
2019-04-06,24,11,阴,东北风,1级,17.5,13
2019-04-07,29,15,晴,东南风,3级,22.0,14
2019-04-08,28,15,阴,西南风,3级,21.5,13
2019-04-09,27,16,晴,西南风,3级,21.5,11
2019-04-10,29,15,多云,西南风,3级,22.0,14
2019-04-11,27,15,阴,西北风,3级,21.0,12
2019-04-12,30,16,多云,东南风,3级,23.0,14
2019-04-13,27,17,多云,东南风,3级,22.0,10
2019-04-14,25,14,多云,东北风,4级,19.5,11
2019-04-15,16,15,阴,东南风,2级,15.5,1
2019-04-16,17,16,阴,西南风,2级,16.5,1
2019-04-17,24,16,阴,东南风,4级,20.0,8
2019-04-18,33,16,多云,西南风,4级,24.5,17
2019-04-19,32,16,晴,西南风,2级,24.0,16
2019-04-20,33,16,晴,西南风,3级,24.5,17
2019-04-21,31,17,多云,东南风,3级,24.0,14
2019-04-22,31,14,多云,西南风,3级,22.5,17
2019-04-23,31,16,多云,西南风,3级,23.5,15
2019-04-24,32,16,多云,东南风,2级,24.0,16
2019-04-25,31,18,多云,东北风,4级,24.5,13
2019-04-26,29,15,阴,西南风,2级,22.0,14
2019-04-27,31,17,多云,东南风,4级,24.0,14
2019-04-28,30,18,晴,西南风,3级,24.0,12
2019-04-29,27,16,阴,东北风,3级,21.5,11
2019-04-30,22,13,阴,东南风,3级,17.5,9
2019-03-01,24,10,多云,西南风,4级,17.0,14
2019-03-02,24,6,多云,西南风,3级,15.0,18
2019-03-03,23,10,晴,东南风,3级,16.5,13
2019-03-04,25,9,雾,西南风,2级,17.0,16
2019-03-05,24,8,阴,东北风,3级,16.0,16
2019-03-06,10,9,阴,东南风,2级,9.5,1
2019-03-07,10,8,阴,东南风,3级,9.0,2
2019-03-08,23,10,阴,东北风,2级,16.5,13
2019-03-09,10,7,阴,东南风,1级,8.5,3
2019-03-10,13,9,阴,西南风,1级,11.0,4
2019-03-11,12,11,阴,东南风,1级,11.5,1
2019-03-12,18,11,多云,东南风,3级,14.5,7
2019-03-13,20,10,晴,东南风,1级,15.0,10
2019-03-14,11,9,阴,东南风,2级,10.0,2
2019-03-15,10,10,阴,东风,2级,10.0,0
2019-03-16,10,10,阴,东南风,1级,10.0,0
2019-03-17,12,10,阴,东南风,2级,11.0,2
2019-03-18,16,13,阴,东南风,3级,14.5,3
2019-03-19,24,14,阴,西南风,5级,19.0,10
2019-03-20,26,11,晴,西北风,2级,18.5,15
2019-03-21,26,12,晴,西南风,3级,19.0,14
2019-03-22,27,9,阴,西南风,2级,18.0,18
2019-03-23,11,9,阴,东北风,2级,10.0,2
2019-03-24,13,11,阴,东南风,2级,12.0,2
2019-03-25,12,10,阴,东南风,1级,11.0,2
2019-03-26,21,14,阴,西北风,1级,17.5,7
2019-03-27,29,16,阴,西南风,3级,22.5,13
2019-03-28,26,9,阴,西北风,5级,17.5,17
2019-03-29,25,14,晴,东南风,3级,19.5,11
2019-03-30,30,15,多云,东南风,3级,22.5,15
2019-03-31,25,10,多云,东北风,4级,17.5,15
2019-02-01,22,9,多云,东南风,2级,15.5,13
2019-02-02,24,10,晴,西南风,2级,17.0,14
2019-02-03,24,9,晴,西南风,3级,16.5,15
2019-02-04,22,9,多云,西南风,3级,15.5,13
2019-02-05,22,9,晴,西南风,2级,15.5,13
2019-02-06,24,8,多云,南风,3级,16.0,16
2019-02-07,25,8,晴,西南风,4级,16.5,17
2019-02-08,28,10,晴,东南风,2级,19.0,18
2019-02-09,27,10,多云,东南风,2级,18.5,17
2019-02-10,25,7,雾,东南风,3级,16.0,18
2019-02-11,13,10,阴,东南风,2级,11.5,3
2019-02-12,25,10,阴,西南风,2级,17.5,15
2019-02-13,25,6,多云,东南风,3级,15.5,19
2019-02-14,26,10,晴,西南风,3级,18.0,16
2019-02-15,24,7,多云,东北风,2级,15.5,17
2019-02-16,26,7,雾,东南风,4级,16.5,19
2019-02-17,9,8,阴,西南风,1级,8.5,1
2019-02-18,20,8,多云,西南风,3级,14.0,12
2019-02-19,23,10,雾,西南风,4级,16.5,13
2019-02-20,24,8,晴,西南风,3级,16.0,16
2019-02-21,21,8,晴,东南风,2级,14.5,13
2019-02-22,11,7,阴,东南风,2级,9.0,4
2019-02-23,8,5,阴,东南风,3级,6.5,3
2019-02-24,6,6,雾,东南风,2级,6.0,0
2019-02-25,9,9,阴,东南风,3级,9.0,0
2019-02-26,25,11,雾,南风,2级,18.0,14
2019-02-27,24,11,多云,西南风,2级,17.5,13
2019-02-28,22,11,多云,西南风,4级,16.5,11
2019-01-01,2,2,雨夹雪,东南风,2级,2.0,0
2019-01-02,3,3,雨夹雪,东南风,2级,3.0,0
2019-01-03,12,5,小雨,东北风,3级,8.5,7
2019-01-04,18,7,小雨,东南风,2级,12.5,11
2019-01-05,18,7,阴,东北风,1级,12.5,11
2019-01-06,23,8,晴,东南风,2级,15.5,15
2019-01-07,20,9,多云,东南风,3级,14.5,11
2019-01-08,9,6,大雨,东南风,2级,7.5,3
2019-01-09,12,7,小雨,东南风,2级,9.5,5
2019-01-10,18,8,雾,西南风,1级,13.0,10
2019-01-11,16,8,小雨,东北风,1级,12.0,8
2019-01-12,22,7,雾,东南风,2级,14.5,15
2019-01-13,14,8,雾,东南风,2级,11.0,6
2019-01-14,13,6,阴,东南风,3级,9.5,7
2019-01-15,6,3,小雨,东北风,2级,4.5,3
2019-01-16,7,2,小雨,东南风,2级,4.5,5
2019-01-17,10,4,阴,东南风,3级,7.0,6
2019-01-18,21,8,雾,东北风,2级,14.5,13
2019-01-19,21,7,雾,东北风,2级,14.0,14
2019-01-20,10,3,雾,东北风,2级,6.5,7
2019-01-21,7,2,小雨,东南风,2级,4.5,5
2019-01-22,4,4,阴,东南风,1级,4.0,0
2019-01-23,6,5,雾,东南风,2级,5.5,1
2019-01-24,16,6,阴,东南风,2级,11.0,10
2019-01-25,12,8,阴,西南风,1级,10.0,4
2019-01-26,12,7,阴,东南风,3级,9.5,5
2019-01-27,22,8,多云,东北风,1级,15.0,14
2019-01-28,22,9,晴,东南风,2级,15.5,13
2019-01-29,19,9,多云,东南风,2级,14.0,10
2019-01-30,21,5,阵雨,西南风,5级,13.0,16
2019-01-31,18,9,晴,东南风,2级,13.5,9
2018-12-02,21,9,多云,西南风,3级,15.0,12
2018-12-03,25,10,阴,西南风,2级,17.5,15
2018-12-04,22,9,多云,西南风,1级,15.5,13
2018-12-05,24,9,晴,西南风,3级,16.5,15
2018-12-06,21,8,小雨,东南风,1级,14.5,13
2018-12-07,10,6,小雨,东南风,2级,8.0,4
2018-12-08,9,6,中雨,东南风,1级,7.5,3
2018-12-09,8,5,小雨,东南风,2级,6.5,3
2018-12-10,16,5,阵雨,东南风,2级,10.5,11
2018-12-11,9,2,小雨,东南风,2级,5.5,7
2018-12-12,5,2,小雨,东南风,1级,3.5,3
2018-12-13,7,3,多云,东南风,1级,5.0,4
2018-12-14,7,5,多云,东南风,1级,6.0,2
2018-12-15,13,6,多云,东南风,1级,9.5,7
2018-12-16,8,3,小雨,东南风,1级,5.5,5
2018-12-17,12,6,多云,东南风,1级,9.0,6
2018-12-18,15,7,多云,东南风,2级,11.0,8
2018-12-19,21,9,小雨,西南风,3级,15.0,12
2018-12-20,22,9,多云,西南风,2级,15.5,13
2018-12-21,23,8,晴,西南风,3级,15.5,15
2018-12-22,20,8,晴,西南风,1级,14.0,12
2018-12-23,15,6,小雨,东南风,1级,10.5,9
2018-12-24,21,7,雾,西南风,2级,14.0,14
2018-12-25,18,8,雾,西南风,2级,13.0,10
2018-12-26,14,4,阴,东北风,2级,9.0,10
2018-12-27,12,5,阴,东南风,3级,8.5,7
2018-12-28,7,1,雾,东南风,2级,4.0,6
2018-12-29,3,-1,雨夹雪,东南风,2级,1.0,4
2018-12-30,2,-1,雨夹雪,东南风,1级,0.5,3
2018-12-31,4,2,雾,东南风,1级,3.0,2
2018-11-01,16,6,多云,南风,1级,11.0,10
2018-11-02,20,7,晴,西南风,1级,13.5,13
2018-11-03,21,9,多云,西南风,2级,15.0,12
2018-11-04,23,12,多云,南风,2级,17.5,11
2018-11-05,21,13,小雨,南风,2级,17.0,8
2018-11-06,18,9,小雨,东南风,3级,13.5,9
2018-11-07,16,10,阵雨,东南风,2级,13.0,6
2018-11-08,17,8,阵雨,东南风,1级,12.5,9
2018-11-09,21,7,多云,东南风,1级,14.0,14
2018-11-10,23,11,小雨,西风,1级,17.0,12
2018-11-11,20,10,多云,东南风,2级,15.0,10
2018-11-12,21,12,阵雨,东南风,1级,16.5,9
2018-11-13,18,13,晴,西南风,2级,15.5,5
2018-11-14,25,11,多云,西南风,2级,18.0,14
2018-11-15,20,10,小雨,西南风,1级,15.0,10
2018-11-16,17,11,多云,西南风,2级,14.0,6
2018-11-17,18,11,多云,西南风,2级,14.5,7
2018-11-18,17,7,多云,东南风,2级,12.0,10
2018-11-19,15,8,小雨,西南风,2级,11.5,7
2018-11-20,21,8,阵雨,西南风,2级,14.5,13
2018-11-21,17,4,小雨,东北风,2级,10.5,13
2018-11-22,13,7,小雨,东南风,1级,10.0,6
2018-11-23,15,8,晴,西南风,2级,11.5,7
2018-11-24,13,8,中雨,东北风,2级,10.5,5
2018-11-25,18,5,多云,东南风,1级,11.5,13
2018-11-26,18,7,晴,东南风,1级,12.5,11
2018-11-27,16,6,多云,东北风,1级,11.0,10
2018-11-28,19,7,晴,西南风,1级,13.0,12
2018-11-29,19,6,小雨,东南风,3级,12.5,13
2018-11-30,20,11,晴,西南风,3级,15.5,9
2018-10-01,20,12,小雨,东北风,1级,16.0,8
2018-10-02,18,13,小雨,东南风,3级,15.5,5
2018-10-03,19,13,多云,南风,2级,16.0,6
2018-10-04,18,12,阵雨,东南风,2级,15.0,6
2018-10-05,17,13,阵雨,东南风,1级,15.0,4
2018-10-06,19,14,小雨,东风,2级,16.5,5
2018-10-07,22,15,阵雨,南风,1级,18.5,7
2018-10-08,22,14,阵雨,西南风,1级,18.0,8
2018-10-09,19,11,中雨,东北风,2级,15.0,8
2018-10-10,13,11,小雨,东北风,2级,12.0,2
2018-10-12,14,11,阵雨,南风,1级,12.5,3
2018-10-13,18,12,阵雨,东风,2级,15.0,6
2018-10-14,22,13,阵雨,东南风,2级,17.5,9
2018-10-15,17,12,中雨,东北风,2级,14.5,5
2018-10-16,17,12,中雨,东南风,1级,14.5,5
2018-10-17,16,12,阵雨,东南风,2级,14.0,4
2018-10-18,18,12,阵雨,西南风,1级,15.0,6
2018-10-19,21,13,小雨,南风,2级,17.0,8
2018-10-20,23,14,多云,东南风,1级,18.5,9
2018-10-21,25,15,多云,东南风,2级,20.0,10
2018-10-22,21,13,小雨,东南风,2级,17.0,8
2018-10-23,17,12,中雨,东南风,1级,14.5,5
2018-10-24,18,12,阵雨,东风,2级,15.0,6
2018-10-25,23,14,多云,东北风,1级,18.5,9
2018-10-26,19,13,小雨,东风,1级,16.0,6
2018-10-27,16,12,阵雨,东南风,2级,14.0,4
2018-10-28,17,12,小雨,东南风,2级,14.5,5
2018-10-29,15,11,小雨,北风,1级,13.0,4
2018-10-30,14,9,小雨,西北风,2级,11.5,5
2018-10-31,19,8,多云,西风,1级,13.5,11
2018-09-01,25,19,中雨,东风,2级,22.0,6
2018-09-02,26,18,中雨,东风,3级,22.0,8
2018-09-03,26,19,小雨,东南风,3级,22.5,7
2018-09-04,27,19,阵雨,东南风,3级,23.0,8
2018-09-05,30,17,多云,南风,2级,23.5,13
2018-09-06,27,19,小雨,西南风,微风,23.0,8
2018-09-10,22,17,阵雨,东南风,2级,19.5,5
2018-09-11,23,17,阵雨,东南风,2级,20.0,6
2018-09-12,21,17,大雨,东北风,2级,19.0,4
2018-09-13,21,16,小雨,东南风,2级,18.5,5
2018-09-14,23,18,阵雨,东南风,2级,20.5,5
2018-09-16,27,17,阵雨,东风,2级,22.0,10
2018-09-17,23,17,中雨,东风,3级,20.0,6
2018-09-18,20,17,阵雨,东南风,3级,18.5,3
2018-09-19,24,17,阵雨,东南风,2级,20.5,7
2018-09-20,25,18,多云,南风,2级,21.5,7
2018-09-21,27,18,多云,东南风,2级,22.5,9
2018-09-22,25,16,大雨,东南风,2级,20.5,9
2018-09-23,26,16,多云,南风,2级,21.0,10
2018-09-24,26,17,多云,东南风,2级,21.5,9
2018-09-25,25,18,小雨,东南风,2级,21.5,7
2018-09-26,23,18,阵雨,东北风,1级,20.5,5
2018-09-27,22,15,小雨,东南风,2级,18.5,7
2018-09-28,20,14,小雨,东风,1级,17.0,6
2018-09-29,22,14,阵雨,南风,微风,18.0,8
2018-09-30,21,13,小雨,东风,1级,17.0,8
2018-08-01,26,18,小雨,东南风,1级,22.0,8
2018-08-02,26,18,大雨,东南风,微风,22.0,8
2018-08-03,24,19,中雨,东北风,1级,21.5,5
2018-08-04,22,18,中雨,东北风,1级,20.0,4
2018-08-05,23,18,大雨,东风,1级,20.5,5
2018-08-06,25,19,小雨,东南风,微风,22.0,6
2018-08-07,25,18,中雨,南风,微风,21.5,7
2018-08-08,24,18,暴雨,东风,微风,21.0,6
2018-08-09,24,18,中雨,西南风,1级,21.0,6
2018-08-10,27,18,阵雨,东南风,微风,22.5,9
2018-08-11,26,18,中雨,东南风,微风,22.0,8
2018-08-12,26,17,小到中雨,东南风,2级,21.5,9
2018-08-13,28,17,阴,东南风,2级,22.5,11
2018-08-14,28,18,多云,东风,2级,23.0,10
2018-08-15,28,19,中雨,东南风,2级,23.5,9
2018-08-16,27,19,小到中雨,东北风,1级,23.0,8
2018-08-17,26,17,阵雨,北风,2级,21.5,9
2018-08-18,25,16,阵雨,东风,2级,20.5,9
2018-08-19,27,18,多云,南风,2级,22.5,9
2018-08-20,27,19,中雨,南风,微风,23.0,8
2018-08-21,27,19,中雨,西南风,微风,23.0,8
2018-08-22,26,17,阵雨,东北风,1级,21.5,9
2018-08-23,26,19,阵雨,东风,1级,22.5,7
2018-08-24,26,19,阵雨,东南风,1级,22.5,7
2018-08-25,27,18,多云,东南风,2级,22.5,9
2018-08-26,26,16,多云,东南风,1级,21.0,10
