日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,21,阴,西南风,1级,21.5,1
2019-09-02,23,21,阴,西北风,3级,22.0,2
2019-09-03,28,20,阵雨,西北风,4级,24.0,8
2019-09-04,23,22,阴,西北风,4级,22.5,1
2019-09-05,23,23,阴,东北风,1级,23.0,0
2019-09-06,26,23,雾,西北风,2级,24.5,3
2019-09-07,24,23,阴,西北风,2级,23.5,1
2019-09-08,26,23,阴,西北风,2级,24.5,3
2019-09-09,29,24,多云,西北风,2级,26.5,5
2019-09-10,24,22,阴,西北风,3级,23.0,2
2019-09-11,30,22,雾,西北风,2级,26.0,8
2019-09-12,31,23,多云,西北风,4级,27.0,8
2019-09-13,25,18,阴,北风,4级,21.5,7
2019-09-14,18,18,多云,西北风,3级,18.0,0
2019-09-15,19,18,阴,西南风,1级,18.5,1
2019-09-16,25,19,多云,东北风,2级,22.0,6
2019-09-17,20,18,阴,西北风,3级,19.0,2
2019-09-18,26,18,多云,东南风,3级,22.0,8
2019-09-19,18,17,阴,西北风,3级,17.5,1
2019-09-20,25,16,阴,西北风,3级,20.5,9
2019-09-21,28,17,多云,东风,1级,22.5,11
2019-09-22,29,16,晴,东南风,3级,22.5,13
2019-09-23,27,18,多云,西风,3级,22.5,9
2019-09-24,17,15,阴,西北风,3级,16.0,2
2019-09-25,25,15,阴,东南风,2级,20.0,10
2019-09-26,27,18,多云,东北风,2级,22.5,9
2019-09-27,27,19,多云,西北风,2级,23.0,8
2019-09-28,29,20,多云,西北风,2级,24.5,9
2019-09-29,28,21,多云,西北风,4级,24.5,7
2019-09-30,27,21,阴,西北风,3级,24.0,6
2019-08-01,33,24,多云,东北风,1级,28.5,9
2019-08-02,34,24,阴,东北风,2级,29.0,10
2019-08-03,25,23,雾,西北风,2级,24.0,2
2019-08-04,29,24,中雨,东南风,2级,26.5,5
2019-08-05,31,23,阴,东北风,3级,27.0,8
2019-08-06,24,23,中雨,西北风,1级,23.5,1
2019-08-07,32,23,多云,东南风,3级,27.5,9
2019-08-08,32,24,小雨,东北风,2级,28.0,8
2019-08-09,31,25,小雨,西北风,3级,28.0,6
2019-08-10,35,25,晴,东南风,3级,30.0,10
2019-08-11,35,25,晴,东北风,1级,30.0,10
2019-08-12,35,26,晴,东北风,2级,30.5,9
2019-08-13,35,23,多云,东北风,2级,29.0,12
2019-08-14,27,24,小雨,西南风,3级,25.5,3
2019-08-15,36,24,晴,东南风,3级,30.0,12
2019-08-16,36,24,晴,东南风,2级,30.0,12
2019-08-17,36,27,晴,东南风,2级,31.5,9
2019-08-18,36,25,阴,西北风,2级,30.5,11
2019-08-19,27,24,阴,西北风,3级,25.5,3
2019-08-20,30,25,阴,西北风,4级,27.5,5
2019-08-21,27,24,阴,西北风,3级,25.5,3
2019-08-22,31,24,阴,西北风,3级,27.5,7
2019-08-23,33,23,小雨,西北风,3级,28.0,10
2019-08-24,36,26,晴,东北风,2级,31.0,10
2019-08-25,36,26,多云,东南风,2级,31.0,10
2019-08-26,36,24,多云,东北风,3级,30.0,12
2019-08-27,30,24,阴,西北风,3级,27.0,6
2019-08-28,33,23,阴,东北风,2级,28.0,10
2019-08-29,31,23,多云,西北风,3级,27.0,8
2019-08-30,30,19,阴,东北风,3级,24.5,11
