日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,13,7,阴,西南风,3级,10.0,6
2019-09-02,15,7,阴,东南风,4级,11.0,8
2019-09-03,14,8,小雨,西南风,3级,11.0,6
2019-09-04,13,6,阴,西南风,3级,9.5,7
2019-09-05,15,7,阴,西南风,4级,11.0,8
2019-09-06,16,8,阴,东南风,6级,12.0,8
2019-09-07,14,9,阴,西南风,5级,11.5,5
2019-09-08,15,8,多云,西南风,4级,11.5,7
2019-09-09,15,9,阴,东南风,4级,12.0,6
2019-09-10,15,8,雾,西南风,4级,11.5,7
2019-09-11,16,7,阴,东南风,5级,11.5,9
2019-09-12,14,6,阴,西南风,3级,10.0,8
2019-09-13,13,7,阴,东南风,4级,10.0,6
2019-09-14,15,8,阴,东南风,5级,11.5,7
2019-09-15,13,7,雾,东南风,3级,10.0,6
2019-09-16,13,6,阴,东南风,5级,9.5,7
2019-09-17,10,5,阴,西南风,2级,7.5,5
2019-09-18,10,4,小雨,西南风,3级,7.0,6
2019-09-19,9,4,阴,西南风,3级,6.5,5
2019-09-20,13,4,阴,东南风,3级,8.5,9
2019-09-21,13,4,阴,东南风,3级,8.5,9
2019-09-22,12,4,阴,西南风,3级,8.0,8
2019-09-23,12,4,阴,东南风,4级,8.0,8
2019-09-24,12,4,阴,东南风,4级,8.0,8
2019-09-25,11,4,雾,西南风,4级,7.5,7
2019-09-26,12,5,阴,西南风,3级,8.5,7
2019-09-27,12,4,阴,东南风,4级,8.0,8
2019-09-28,9,3,阴,西南风,3级,6.0,6
2019-09-29,10,4,阴,西南风,4级,7.0,6
2019-09-30,12,4,阴,东南风,4级,8.0,8
2019-08-01,14,8,小雨,西南风,3级,11.0,6
2019-08-02,13,9,阴,东南风,4级,11.0,4
2019-08-03,15,9,阴,东南风,5级,12.0,6
2019-08-04,16,10,多云,东南风,3级,13.0,6
2019-08-05,14,9,阴,东南风,3级,11.5,5
2019-08-06,15,10,小雨,西南风,4级,12.5,5
2019-08-07,18,10,阴,西南风,4级,14.0,8
2019-08-08,16,9,阴,西南风,3级,12.5,7
2019-08-09,16,9,阴,西北风,2级,12.5,7
2019-08-10,16,9,阴,西南风,3级,12.5,7
2019-08-11,14,9,阴,西南风,4级,11.5,5
2019-08-12,15,9,阴,东南风,4级,12.0,6
2019-08-13,15,9,阴,东南风,4级,12.0,6
2019-08-14,15,9,阴,东南风,4级,12.0,6
2019-08-15,15,8,阴,东北风,6级,11.5,7
2019-08-16,15,9,阴,西南风,4级,12.0,6
2019-08-17,15,8,阴,西南风,3级,11.5,7
2019-08-18,15,8,阴,东南风,5级,11.5,7
2019-08-19,14,7,多云,西南风,4级,10.5,7
2019-08-20,14,8,阴,东南风,5级,11.0,6
2019-08-21,15,7,小雨,东南风,5级,11.0,8
2019-08-22,16,7,阴,东南风,5级,11.5,9
2019-08-23,15,7,阴,东南风,4级,11.0,8
2019-08-24,13,7,阴,东南风,4级,10.0,6
2019-08-25,13,7,小雨,西南风,3级,10.0,6
2019-08-26,15,7,小雨,东南风,4级,11.0,8
2019-08-27,16,6,阴,西南风,4级,11.0,10
2019-08-28,17,9,小雨,东南风,3级,13.0,8
2019-08-29,13,8,阴,西南风,4级,10.5,5
2019-08-30,16,8,阴,东南风,2级,12.0,8
2019-08-31,15,8,阴,西南风,3级,11.5,7
2019-07-01,16,8,阴,东南风,4级,12.0,8
2019-07-02,16,7,阴,东南风,4级,11.5,9
2019-07-03,17,9,小雨,西南风,4级,13.0,8
2019-07-04,15,10,阴,东南风,5级,12.5,5
2019-07-05,16,10,阴,东南风,5级,13.0,6
2019-07-06,15,8,阴,西南风,5级,11.5,7
2019-07-07,16,10,中雨,东南风,5级,13.0,6
2019-07-08,14,9,阴,东南风,3级,11.5,5
2019-07-09,12,9,小雨,东南风,4级,10.5,3
2019-07-10,13,10,小雨,东南风,6级,11.5,3
2019-07-11,14,10,阴,西南风,4级,12.0,4
2019-07-12,14,9,大雨,西南风,4级,11.5,5
2019-07-13,13,9,阴,东南风,5级,11.0,4
2019-07-14,12,9,阴,东南风,5级,10.5,3
2019-07-15,10,8,小雨,东南风,4级,9.0,2
2019-07-16,12,7,阴,西南风,5级,9.5,5
