日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,28,12,阴,东北风,2级,20.0,16
2019-09-02,26,14,阴,西南风,1级,20.0,12
2019-09-03,29,14,晴,西北风,1级,21.5,15
2019-09-04,28,15,晴,东南风,1级,21.5,13
2019-09-05,30,15,晴,东北风,2级,22.5,15
2019-09-06,29,14,多云,东北风,2级,21.5,15
2019-09-07,24,14,扬沙,东北风,2级,19.0,10
2019-09-08,20,13,阴,西北风,2级,16.5,7
2019-09-09,22,11,多云,东南风,2级,16.5,11
2019-09-10,24,11,多云,东南风,2级,17.5,13
2019-09-11,25,10,多云,西北风,4级,17.5,15
2019-09-12,18,6,多云,东南风,2级,12.0,12
2019-09-13,19,6,晴,东南风,1级,12.5,13
2019-09-14,21,8,晴,西南风,2级,14.5,13
2019-09-15,23,8,晴,东风,2级,15.5,15
2019-09-16,23,8,晴,东南风,2级,15.5,15
2019-09-17,24,11,多云,东风,3级,17.5,13
2019-09-18,17,8,小雨,西南风,3级,12.5,9
2019-09-19,22,9,多云,西南风,1级,15.5,13
2019-09-20,24,9,晴,东南风,2级,16.5,15
2019-09-21,24,9,多云,东北风,2级,16.5,15
2019-09-22,24,8,晴,东北风,1级,16.0,16
2019-09-23,24,9,晴,东北风,1级,16.5,15
2019-09-24,25,8,晴,东北风,2级,16.5,17
2019-09-25,25,9,晴,东南风,2级,17.0,16
2019-09-26,26,9,晴,东南风,1级,17.5,17
2019-09-27,28,9,晴,东南风,1级,18.5,19
2019-09-28,28,11,晴,东南风,1级,19.5,17
2019-09-29,28,10,晴,西南风,1级,19.0,18
2019-09-30,28,9,晴,东南风,1级,18.5,19
2019-08-01,30,16,多云,东南风,3级,23.0,14
2019-08-02,33,17,晴,西北风,2级,25.0,16
2019-08-03,32,18,多云,东南风,4级,25.0,14
2019-08-04,33,17,晴,东北风,2级,25.0,16
2019-08-05,32,17,晴,东北风,2级,24.5,15
2019-08-06,32,23,晴,东北风,1级,27.5,9
2019-08-07,24,15,阴,西北风,1级,19.5,9
2019-08-08,28,14,小雨,东南风,3级,21.0,14
2019-08-09,30,14,晴,东南风,2级,22.0,16
2019-08-10,31,14,晴,东南风,2级,22.5,17
2019-08-11,30,18,晴,东北风,3级,24.0,12
2019-08-12,21,15,小雨,东南风,3级,18.0,6
2019-08-13,31,14,晴,西北风,3级,22.5,17
2019-08-14,32,14,晴,东南风,2级,23.0,18
2019-08-15,32,14,晴,东北风,2级,23.0,18
2019-08-16,28,14,阴,东北风,3级,21.0,14
2019-08-17,29,16,多云,东北风,2级,22.5,13
2019-08-18,29,19,阴,南风,微风,24.0,10
2019-08-19,19,13,小雨,西北风,1级,16.0,6
2019-08-20,23,15,多云,东南风,2级,19.0,8
2019-08-21,17,12,小雨,北风,微风,14.5,5
2019-08-22,21,14,阴,西北风,1级,17.5,7
2019-08-23,28,14,小雨,东南风,3级,21.0,14
2019-08-24,29,15,多云,东北风,1级,22.0,14
2019-08-25,27,16,多云,西南风,2级,21.5,11
2019-08-26,22,14,阴,东南风,1级,18.0,8
2019-08-27,27,13,晴,东北风,3级,20.0,14
2019-08-28,28,14,晴,东北风,1级,21.0,14
2019-08-29,29,14,多云,东北风,2级,21.5,15
2019-08-30,30,13,晴,东北风,1级,21.5,17
2019-08-31,29,12,晴,东南风,3级,20.5,17
2019-07-01,31,17,多云,北风,微风,24.0,14
2019-07-02,31,19,晴,东北风,1级,25.0,12
2019-07-03,33,20,多云,东南风,1级,26.5,13
2019-07-04,34,19,晴,东北风,2级,26.5,15
2019-07-05,29,18,多云,东北风,3级,23.5,11
2019-07-06,28,15,阴,西南风,3级,21.5,13
2019-07-07,24,13,小雨,东南风,2级,18.5,11
2019-07-08,25,14,阴,东北风,3级,19.5,11
2019-07-09,25,15,晴,东北风,2级,20.0,10
2019-07-10,27,16,多云,西南风,2级,21.5,11
2019-07-11,29,16,多云,东南风,3级,22.5,13
2019-07-12,31,19,晴,西北风,1级,25.0,12
2019-07-13,23,14,阴,东南风,1级,18.5,9
2019-07-14,29,14,多云,东南风,2级,21.5,15
2019-07-15,30,17,多云,东北风,1级,23.5,13
2019-07-16,32,18,多云,西南风,1级,25.0,14
2019-07-17,25,16,阴,西北风,3级,20.5,9
2019-07-18,26,15,阴,西北风,3级,20.5,11
2019-07-19,30,17,晴,西南风,4级,23.5,13
2019-07-20,30,17,阴,西北风,2级,23.5,13
2019-07-21,21,15,小雨,西南风,2级,18.0,6
2019-07-22,27,16,多云,西南风,2级,21.5,11
2019-07-23,25,16,多云,东北风,1级,20.5,9
2019-07-24,29,17,晴,东南风,1级,23.0,12
2019-07-25,29,16,晴,东南风,3级,22.5,13
2019-07-26,29,16,多云,西北风,5级,22.5,13
2019-07-27,28,15,晴,东南风,1级,21.5,13
2019-07-28,30,15,晴,东北风,1级,22.5,15
2019-07-29,29,14,晴,南风,微风,21.5,15
2019-07-30,30,14,晴,东南风,2级,22.0,16
2019-07-31,30,15,晴,东北风,3级,22.5,15
2019-06-01,26,14,多云,西北风,4级,20.0,12
2019-06-02,28,14,多云,东南风,3级,21.0,14
2019-06-03,27,14,多云,东北风,2级,20.5,13
2019-06-04,27,14,晴,东南风,2级,20.5,13
2019-06-05,29,15,多云,东北风,1级,22.0,14
2019-06-06,25,14,晴,西南风,3级,19.5,11
2019-06-07,29,16,晴,东南风,2级,22.5,13
2019-06-08,30,17,晴,东南风,1级,23.5,13
2019-06-09,26,16,多云,西北风,3级,21.0,10
2019-06-10,27,16,扬沙,西南风,3级,21.5,11
2019-06-11,23,13,阴,东南风,3级,18.0,10
2019-06-12,30,16,晴,东北风,3级,23.0,14
2019-06-13,28,14,阴,西北风,5级,21.0,14
2019-06-14,18,12,小雨,西南风,1级,15.0,6
2019-06-15,25,14,多云,西南风,2级,19.5,11
2019-06-16,28,15,晴,东南风,2级,21.5,13
2019-06-17,29,17,多云,东北风,1级,23.0,12
2019-06-18,24,17,阴,西南风,2级,20.5,7
2019-06-19,28,16,多云,东北风,3级,22.0,12
2019-06-20,18,14,大雨,西北风,4级,16.0,4
2019-06-21,17,14,阴,西南风,2级,15.5,3
2019-06-22,26,16,多云,西南风,2级,21.0,10
2019-06-23,27,18,阴,西北风,1级,22.5,9
2019-06-24,24,16,小雨,西南风,1级,20.0,8
2019-06-25,24,16,阴,西南风,2级,20.0,8
2019-06-26,25,15,阵雨,东南风,1级,20.0,10
2019-06-27,24,14,多云,西南风,2级,19.0,10
2019-06-28,26,15,多云,东南风,3级,20.5,11
2019-06-29,28,15,多云,东南风,3级,21.5,13
2019-06-30,29,16,多云,东北风,2级,22.5,13
2019-05-01,23,9,多云,东北风,3级,16.0,14
2019-05-02,21,10,阴,东南风,3级,15.5,11
2019-05-03,25,9,多云,东北风,2级,17.0,16
2019-05-04,22,10,阴,东南风,4级,16.0,12
2019-05-05,11,7,阴,东北风,1级,9.0,4
2019-05-06,9,5,阴,东北风,3级,7.0,4
2019-05-07,9,6,阴,西南风,1级,7.5,3
2019-05-08,15,7,阴,东南风,2级,11.0,8
2019-05-09,16,7,阴,西南风,5级,11.5,9
2019-05-10,18,7,多云,西北风,3级,12.5,11
2019-05-11,22,1,扬沙,西北风,3级,11.5,21
2019-05-12,14,4,晴,东南风,2级,9.0,10
2019-05-13,23,10,晴,西南风,2级,16.5,13
2019-05-14,21,8,阴,东北风,4级,14.5,13
2019-05-15,22,10,晴,东南风,2级,16.0,12
2019-05-16,26,8,多云,西南风,4级,17.0,18
2019-05-17,18,6,多云,东风,3级,12.0,12
2019-05-18,13,2,阴,东北风,2级,7.5,11
2019-05-19,17,5,晴,东北风,3级,11.0,12
2019-05-20,20,9,阴,东南风,1级,14.5,11
2019-05-21,26,11,多云,东南风,1级,18.5,15
2019-05-22,27,15,多云,西南风,1级,21.0,12
2019-05-23,29,12,多云,东北风,2级,20.5,17
2019-05-24,25,10,晴,东北风,3级,17.5,15
2019-05-25,20,7,多云,东北风,1级,13.5,13
2019-05-26,17,10,阴,东南风,4级,13.5,7
2019-05-27,21,11,多云,东北风,2级,16.0,10
2019-05-28,23,14,多云,西北风,1级,18.5,9
2019-05-29,16,9,阴,东南风,2级,12.5,7
2019-05-30,23,12,多云,西南风,2级,17.5,11
2019-05-31,26,13,晴,西北风,5级,19.5,13
2019-04-01,15,3,阴,东北风,2级,9.0,12
2019-04-02,17,2,多云,东北风,1级,9.5,15
2019-04-03,18,4,阴,东南风,2级,11.0,14
2019-04-04,21,6,晴,西北风,3级,13.5,15
2019-04-05,22,7,晴,西北风,5级,14.5,15
2019-04-06,21,7,多云,西北风,2级,14.0,14
2019-04-07,20,4,阴,东北风,1级,12.0,16
2019-04-08,7,0,阴,东南风,2级,3.5,7
2019-04-09,11,-2,阴,西北风,4级,4.5,13
2019-04-10,11,1,晴,东南风,2级,6.0,10
2019-04-11,15,4,多云,西北风,4级,9.5,11
2019-04-12,17,5,多云,东北风,4级,11.0,12
