日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,26,15,晴,西南风,2级,20.5,11
2019-09-02,25,16,多云,东北风,1级,20.5,9
2019-09-03,27,16,晴,东南风,2级,21.5,11
2019-09-04,30,18,晴,东南风,1级,24.0,12
2019-09-05,29,18,多云,东南风,2级,23.5,11
2019-09-06,24,19,阴,东北风,2级,21.5,5
2019-09-07,23,19,阴,东北风,6级,21.0,4
2019-09-08,26,13,阴,西风,2级,19.5,13
2019-09-09,23,11,阴,西南风,1级,17.0,12
2019-09-10,20,7,阴,东北风,2级,13.5,13
2019-09-11,21,10,晴,东南风,2级,15.5,11
2019-09-12,22,14,阴,东南风,4级,18.0,8
2019-09-13,22,11,阴,西南风,3级,16.5,11
2019-09-14,21,10,晴,东南风,1级,15.5,11
2019-09-15,23,8,多云,西南风,2级,15.5,15
2019-09-16,16,4,晴,东南风,2级,10.0,12
2019-09-17,21,5,晴,西北风,4级,13.0,16
2019-09-18,15,4,晴,西南风,2级,9.5,11
2019-09-19,15,6,晴,东南风,2级,10.5,9
2019-09-20,21,7,晴,西北风,1级,14.0,14
2019-09-21,19,3,多云,东南风,1级,11.0,16
2019-09-22,20,5,晴,东南风,1级,12.5,15
2019-09-23,22,8,晴,东南风,1级,15.0,14
2019-09-24,19,5,晴,东南风,2级,12.0,14
2019-09-25,23,12,晴,东南风,2级,17.5,11
2019-09-26,25,13,晴,东南风,2级,19.0,12
2019-09-27,27,14,阴,东南风,1级,20.5,13
2019-09-28,25,11,晴,西南风,3级,18.0,14
2019-09-29,21,8,晴,东南风,2级,14.5,13
2019-09-30,26,11,多云,西南风,3级,18.5,15
2019-08-01,29,20,多云,西北风,3级,24.5,9
2019-08-02,28,20,阴,东南风,2级,24.0,8
2019-08-03,24,19,中雨,东北风,2级,21.5,5
2019-08-04,28,20,阴,东南风,1级,24.0,8
2019-08-05,30,22,阴,东南风,1级,26.0,8
2019-08-06,30,22,阴,东南风,2级,26.0,8
2019-08-07,30,21,阴,东北风,2级,25.5,9
2019-08-08,28,20,中雨,西南风,4级,24.0,8
2019-08-09,25,18,阴,东南风,1级,21.5,7
2019-08-10,29,21,阴,西南风,1级,25.0,8
2019-08-11,22,20,小雨,西南风,1级,21.0,2
2019-08-12,25,19,阴,东北风,2级,22.0,6
2019-08-13,26,20,阴,东南风,3级,23.0,6
2019-08-14,22,20,大雨,东北风,3级,21.0,2
2019-08-15,22,20,小雨,东北风,2级,21.0,2
2019-08-16,22,18,小雨,西北风,1级,20.0,4
2019-08-17,20,16,大雨,西南风,3级,18.0,4
2019-08-18,23,16,阴,西南风,1级,19.5,7
2019-08-19,24,14,多云,北风,微风,19.0,10
2019-08-20,25,18,阴,东南风,3级,21.5,7
2019-08-21,24,16,小雨,西南风,3级,20.0,8
2019-08-22,23,16,小雨,西南风,4级,19.5,7
2019-08-23,21,15,小雨,西北风,1级,18.0,6
2019-08-24,23,12,阴,北风,微风,17.5,11
2019-08-25,24,16,多云,东南风,1级,20.0,8
2019-08-26,25,17,小雨,东南风,3级,21.0,8
2019-08-27,24,15,阴,东南风,3级,19.5,9
2019-08-28,23,14,阴,东北风,1级,18.5,9
2019-08-29,20,14,阴,东北风,1级,17.0,6
2019-08-30,20,14,阴,东南风,2级,17.0,6
2019-08-31,24,15,多云,东南风,1级,19.5,9
2019-07-01,17,14,中雨,西南风,1级,15.5,3
2019-07-02,27,16,多云,西北风,2级,21.5,11
2019-07-03,24,15,中雨,西南风,2级,19.5,9
2019-07-04,27,19,晴,东南风,2级,23.0,8
2019-07-05,30,20,多云,东南风,2级,25.0,10
2019-07-06,31,19,阴,东南风,2级,25.0,12
2019-07-07,31,18,晴,东北风,2级,24.5,13
2019-07-08,30,18,多云,西北风,1级,24.0,12
2019-07-09,30,18,多云,东北风,1级,24.0,12
2019-07-10,28,18,晴,东南风,3级,23.0,10
2019-07-11,26,19,多云,东南风,2级,22.5,7
2019-07-12,25,18,小雨,西南风,1级,21.5,7
2019-07-13,28,17,多云,东南风,1级,22.5,11
2019-07-14,28,18,阴,西南风,2级,23.0,10
2019-07-15,28,18,阴,西南风,2级,23.0,10
2019-07-16,27,21,阴,东南风,3级,24.0,6
2019-07-17,24,20,小雨,东南风,2级,22.0,4
2019-07-18,26,20,大暴雨,东南风,3级,23.0,6
2019-07-19,29,22,多云,东南风,2级,25.5,7
