日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,20,多云,东南风,2级,26.0,12
2019-09-02,23,20,阴,北风,微风,21.5,3
2019-09-03,30,19,小雨,东北风,1级,24.5,11
2019-09-04,29,18,多云,东南风,2级,23.5,11
2019-09-05,31,18,晴,东南风,2级,24.5,13
2019-09-06,32,19,晴,东北风,微风,25.5,13
2019-09-07,33,19,晴,东南风,2级,26.0,14
2019-09-08,35,19,晴,东南风,2级,27.0,16
2019-09-09,33,21,晴,东南风,2级,27.0,12
2019-09-10,29,21,阴,西北风,2级,25.0,8
2019-09-11,24,21,阴,东北风,3级,22.5,3
2019-09-12,22,20,雾,东北风,2级,21.0,2
2019-09-13,26,19,多云,西北风,3级,22.5,7
2019-09-14,27,18,多云,东北风,1级,22.5,9
2019-09-15,20,17,阴,西北风,2级,18.5,3
2019-09-16,20,17,阴,东北风,1级,18.5,3
2019-09-17,17,14,阴,西北风,1级,15.5,3
2019-09-18,28,18,多云,西北风,1级,23.0,10
2019-09-19,24,17,阴,东北风,2级,20.5,7
2019-09-20,26,17,阴,西北风,1级,21.5,9
2019-09-21,27,16,多云,西北风,1级,21.5,11
2019-09-22,29,13,晴,东北风,微风,21.0,16
2019-09-23,31,16,多云,西南风,1级,23.5,15
2019-09-24,31,18,阴,东北风,1级,24.5,13
2019-09-25,32,14,阴,北风,微风,23.0,18
2019-09-26,32,13,晴,西南风,1级,22.5,19
2019-09-27,32,17,晴,东南风,3级,24.5,15
2019-09-28,32,15,晴,东南风,3级,23.5,17
2019-09-29,33,15,晴,东南风,3级,24.0,18
2019-09-30,34,19,晴,东南风,3级,26.5,15
2019-08-01,35,24,阴,东北风,3级,29.5,11
2019-08-02,28,25,小雨,东北风,2级,26.5,3
2019-08-03,32,24,阴,东北风,1级,28.0,8
2019-08-04,33,25,阴,东南风,2级,29.0,8
2019-08-05,33,25,阴,东南风,微风,29.0,8
2019-08-06,33,24,阴,东北风,2级,28.5,9
2019-08-07,31,23,小雨,东南风,2级,27.0,8
2019-08-08,32,25,多云,东北风,1级,28.5,7
2019-08-09,33,23,多云,西北风,1级,28.0,10
2019-08-10,26,23,大雨,东北风,2级,24.5,3
2019-08-11,25,22,多云,西北风,1级,23.5,3
2019-08-12,31,25,阴,东南风,1级,28.0,6
2019-08-13,31,23,小雨,东北风,1级,27.0,8
2019-08-14,33,23,多云,西北风,1级,28.0,10
2019-08-15,34,25,晴,东南风,2级,29.5,9
2019-08-16,37,23,晴,东北风,3级,30.0,14
2019-08-17,31,21,晴,东北风,1级,26.0,10
2019-08-18,32,25,晴,东南风,2级,28.5,7
2019-08-19,32,23,多云,东南风,2级,27.5,9
2019-08-20,33,25,阴,东北风,2级,29.0,8
2019-08-21,26,22,小雨,东北风,2级,24.0,4
2019-08-22,29,21,多云,西北风,微风,25.0,8
2019-08-23,32,22,多云,东北风,1级,27.0,10
2019-08-24,32,21,多云,东北风,2级,26.5,11
2019-08-25,31,24,多云,东北风,1级,27.5,7
2019-08-26,30,24,阴,东北风,2级,27.0,6
2019-08-27,26,20,中雨,西北风,1级,23.0,6
2019-08-28,32,20,多云,西北风,1级,26.0,12
2019-08-29,31,18,晴,东南风,2级,24.5,13
2019-08-30,31,18,多云,东南风,3级,24.5,13
2019-08-31,32,16,多云,东南风,1级,24.0,16
2019-07-01,36,22,晴,东南风,微风,29.0,14
2019-07-02,35,21,晴,西南风,2级,28.0,14
2019-07-03,35,22,多云,西南风,1级,28.5,13
2019-07-04,29,21,阴,西南风,2级,25.0,8
2019-07-05,33,23,晴,西南风,2级,28.0,10
2019-07-06,34,23,晴,东北风,2级,28.5,11
2019-07-07,34,24,多云,东北风,2级,29.0,10
2019-07-08,27,22,阴,东南风,1级,24.5,5
2019-07-09,31,21,多云,东北风,1级,26.0,10
2019-07-10,29,20,暴雨,西南风,1级,24.5,9
2019-07-11,32,22,多云,南风,微风,27.0,10
2019-07-12,28,21,小雨,西南风,2级,24.5,7
2019-07-13,33,22,多云,东南风,2级,27.5,11
2019-07-14,33,23,晴,东南风,2级,28.0,10
2019-07-15,33,24,多云,东南风,1级,28.5,9
2019-07-16,33,26,阴,东南风,1级,29.5,7
2019-07-17,27,25,小雨,西北风,2级,26.0,2
2019-07-18,30,23,小雨,北风,1级,26.5,7
2019-07-19,33,25,多云,东北风,1级,29.0,8
2019-07-20,36,25,阴,东北风,1级,30.5,11
2019-07-21,37,27,晴,东南风,2级,32.0,10
2019-07-22,37,27,多云,东南风,1级,32.0,10
2019-07-23,34,27,阴,西南风,2级,30.5,7
2019-07-24,35,27,多云,西南风,1级,31.0,8
2019-07-25,37,28,阴,东南风,2级,32.5,9
2019-07-26,37,26,阴,西北风,1级,31.5,11
2019-07-27,35,27,多云,东北风,1级,31.0,8
2019-07-28,37,27,多云,西南风,2级,32.0,10
2019-07-29,37,24,多云,西北风,2级,30.5,13
2019-07-30,31,27,阴,南风,微风,29.0,4
2019-07-31,32,26,小雨,东南风,3级,29.0,6
2019-06-01,34,21,阴,西南风,2级,27.5,13
2019-06-02,37,21,晴,西南风,3级,29.0,16
