日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,31,24,阴,东北风,3级,27.5,7
2019-09-01,31,24,阴,东北风,3级,27.5,7
2019-09-02,30,25,阴,东北风,2级,27.5,5
2019-09-02,30,25,阴,东北风,4级,27.5,5
2019-09-03,33,25,多云,东北风,2级,29.0,8
2019-09-03,33,25,多云,东北风,4级,29.0,8
2019-09-04,33,25,阴,东北风,2级,29.0,8
2019-09-04,33,25,阴,东北风,3级,29.0,8
2019-09-05,33,25,多云,东北风,1级,29.0,8
2019-09-05,35,25,多云,东北风,2级,30.0,10
2019-09-06,36,26,阴,东南风,2级,31.0,10
2019-09-06,36,26,阴,东南风,2级,31.0,10
2019-09-07,35,26,多云,东南风,3级,30.5,9
2019-09-07,36,26,多云,东南风,2级,31.0,10
2019-09-08,35,26,阴,东南风,2级,30.5,9
2019-09-08,35,26,多云,东南风,3级,30.5,9
2019-09-09,32,25,阴,东南风,2级,28.5,7
2019-09-09,33,25,阵雨,东北风,2级,29.0,8
2019-09-10,28,24,阴,东南风,3级,26.0,4
2019-09-10,28,24,阴,东南风,1级,26.0,4
2019-09-11,33,24,阴,东南风,1级,28.5,9
2019-09-11,33,24,阵雨,东风,4级,28.5,9
2019-09-12,34,25,阴,南风,3级,29.5,9
2019-09-12,34,25,多云,西南风,2级,29.5,9
2019-09-13,35,26,多云,东南风,3级,30.5,9
2019-09-13,35,26,多云,西南风,2级,30.5,9
2019-09-14,35,26,阴,北风,微风,30.5,9
2019-09-14,35,26,多云,东北风,2级,30.5,9
2019-09-15,34,25,阴,东北风,2级,29.5,9
2019-09-15,34,24,多云,东南风,3级,29.0,10
2019-09-16,35,25,阴,东南风,2级,30.0,10
2019-09-16,35,25,多云,东南风,1级,30.0,10
2019-09-17,34,25,阴,西南风,1级,29.5,9
2019-09-17,34,25,多云,西北风,2级,29.5,9
2019-09-18,35,25,多云,东北风,3级,30.0,10
2019-09-18,35,25,多云,东北风,2级,30.0,10
2019-09-19,33,24,多云,东北风,2级,28.5,9
2019-09-19,33,24,多云,西北风,2级,28.5,9
2019-09-20,33,23,多云,东北风,2级,28.0,10
2019-09-20,34,23,多云,东北风,4级,28.5,11
2019-09-21,31,23,多云,西北风,3级,27.0,8
2019-09-21,33,22,多云,西北风,4级,27.5,11
2019-09-22,32,22,多云,东北风,2级,27.0,10
2019-09-22,32,21,多云,东北风,2级,26.5,11
2019-09-23,32,22,多云,东北风,2级,27.0,10
2019-09-23,33,21,多云,北风,3级,27.0,12
2019-09-24,34,22,晴,东北风,2级,28.0,12
2019-09-24,33,21,晴,东风,3级,27.0,12
2019-09-25,34,22,晴,东北风,1级,28.0,12
2019-09-25,34,22,晴,东北风,2级,28.0,12
2019-09-26,34,23,多云,东北风,2级,28.5,11
2019-09-26,33,23,多云,东北风,2级,28.0,10
2019-09-27,33,23,多云,东北风,2级,28.0,10
2019-09-27,33,23,多云,东北风,2级,28.0,10
2019-09-28,34,23,晴,东南风,2级,28.5,11
2019-09-28,34,23,晴,东北风,3级,28.5,11
2019-09-29,35,23,晴,东南风,3级,29.0,12
2019-09-29,34,23,晴,东南风,1级,28.5,11
2019-09-30,35,23,多云,东南风,3级,29.0,12
2019-09-30,35,23,多云,东南风,3级,29.0,12
2019-08-01,28,23,阴,东北风,3级,25.5,5
2019-08-01,28,23,阴,东北风,3级,25.5,5
2019-08-02,25,23,阴,东北风,4级,24.0,2
2019-08-02,27,24,大雨,西北风,2级,25.5,3
2019-08-03,28,24,阴,东北风,4级,26.0,4
2019-08-03,28,24,阴,东北风,3级,26.0,4
2019-08-04,32,25,阴,东南风,3级,28.5,7
2019-08-04,33,25,阵雨,东北风,3级,29.0,8
2019-08-05,34,26,阴,东南风,2级,30.0,8
2019-08-05,34,25,多云,东北风,3级,29.5,9
2019-08-06,35,26,多云,东南风,2级,30.5,9
2019-08-06,35,26,多云,东南风,1级,30.5,9
2019-08-07,36,27,多云,东南风,3级,31.5,9
2019-08-07,36,27,多云,东北风,2级,31.5,9
2019-08-08,34,26,阴,东南风,2级,30.0,8
2019-08-08,35,27,多云,西北风,2级,31.0,8
2019-08-09,35,27,多云,东南风,1级,31.0,8
2019-08-09,36,26,多云,西南风,2级,31.0,10
2019-08-10,35,27,多云,东北风,1级,31.0,8
2019-08-10,35,27,多云,东北风,2级,31.0,8
2019-08-11,36,27,多云,东南风,3级,31.5,9
2019-08-11,36,27,多云,西北风,2级,31.5,9
2019-08-12,36,26,多云,东南风,4级,31.0,10
2019-08-12,36,26,多云,东南风,2级,31.0,10
2019-08-13,37,27,多云,东南风,3级,32.0,10
2019-08-13,37,27,多云,东北风,2级,32.0,10
2019-08-14,36,26,阴,东南风,2级,31.0,10
2019-08-14,36,26,多云,西南风,2级,31.0,10
2019-08-15,36,27,阴,东南风,3级,31.5,9
2019-08-15,34,27,阵雨,西北风,3级,30.5,7
2019-08-16,34,26,阴,东北风,2级,30.0,8
2019-08-16,34,26,阵雨,东南风,6级,30.0,8
2019-08-17,32,25,阴,东南风,2级,28.5,7
2019-08-17,33,25,阵雨,东南风,3级,29.0,8
2019-08-18,34,25,阴,东风,2级,29.5,9
2019-08-18,34,25,阴,东南风,3级,29.5,9
2019-08-19,35,26,阴,东南风,1级,30.5,9
2019-08-19,35,26,阴,东南风,2级,30.5,9
2019-08-20,35,26,阴,东风,2级,30.5,9
2019-08-20,35,26,阵雨,东北风,3级,30.5,9
2019-08-21,34,25,阴,东南风,2级,29.5,9
2019-08-21,34,25,阵雨,东北风,2级,29.5,9
2019-08-22,34,25,阴,西风,3级,29.5,9
2019-08-22,33,25,阵雨,东北风,2级,29.0,8
2019-08-23,35,26,多云,东北风,2级,30.5,9
2019-08-23,35,26,多云,东北风,2级,30.5,9
2019-08-24,36,26,多云,东南风,2级,31.0,10
2019-08-24,36,26,多云,东风,3级,31.0,10
2019-08-25,37,27,阴,西北风,1级,32.0,10
2019-08-25,37,27,阴,西南风,3级,32.0,10
2019-08-26,29,24,阴,东南风,2级,26.5,5
2019-08-26,29,24,阴,东北风,2级,26.5,5
2019-08-27,29,25,阴,东南风,1级,27.0,4
2019-08-27,29,25,阴,西北风,2级,27.0,4
2019-08-28,34,26,多云,东北风,2级,30.0,8
2019-08-28,35,25,多云,东北风,1级,30.0,10
2019-08-29,36,26,阴,东北风,4级,31.0,10
2019-08-29,36,26,阴,东北风,2级,31.0,10
2019-08-30,31,24,阴,东北风,4级,27.5,7
2019-08-30,32,25,中雨,东北风,4级,28.5,7
2019-08-31,32,24,阴,东南风,3级,28.0,8
2019-08-31,32,24,阴,东南风,1级,28.0,8
2019-07-01,34,26,阴,东南风,3级,30.0,8
2019-07-01,33,26,阵雨,东北风,3级,29.5,7
2019-07-02,35,27,阴,东北风,1级,31.0,8
2019-07-02,35,26,多云,东北风,3级,30.5,9
