日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,32,22,多云,东南风,2级,27.0,10
2019-09-02,28,22,阴,东北风,1级,25.0,6
2019-09-03,29,22,中雨,南风,微风,25.5,7
2019-09-04,27,22,阴,东南风,1级,24.5,5
2019-09-05,30,22,阴,西北风,1级,26.0,8
2019-09-06,28,22,阴,西南风,3级,25.0,6
2019-09-07,29,23,阴,西南风,2级,26.0,6
2019-09-08,26,22,阴,东北风,1级,24.0,4
2019-09-09,26,22,阴,东北风,2级,24.0,4
2019-09-10,27,23,阴,东北风,2级,25.0,4
2019-09-11,24,22,阴,北风,微风,23.0,2
2019-09-12,28,22,阴,西南风,2级,25.0,6
2019-09-13,28,22,阴,西南风,微风,25.0,6
2019-09-14,31,21,阴,西南风,3级,26.0,10
2019-09-15,25,21,阴,西南风,1级,23.0,4
2019-09-16,31,20,阴,西南风,2级,25.5,11
2019-09-17,29,20,多云,东北风,2级,24.5,9
2019-09-18,32,21,多云,西南风,1级,26.5,11
2019-09-19,32,21,阴,西南风,1级,26.5,11
2019-09-20,31,21,阴,西南风,1级,26.0,10
2019-09-21,30,21,阴,南风,微风,25.5,9
2019-09-22,25,18,阴,西南风,微风,21.5,7
2019-09-23,29,19,阴,东南风,1级,24.0,10
2019-09-24,28,20,阴,东北风,2级,24.0,8
2019-09-25,25,20,阴,东北风,2级,22.5,5
2019-09-26,27,18,多云,西北风,1级,22.5,9
2019-09-27,29,17,多云,西南风,2级,23.0,12
2019-09-28,30,18,多云,东南风,1级,24.0,12
2019-09-29,30,18,阴,西南风,1级,24.0,12
2019-09-30,27,19,多云,东南风,1级,23.0,8
2019-08-01,28,21,小雨,东南风,微风,24.5,7
2019-08-02,32,22,阴,西北风,2级,27.0,10
2019-08-03,29,22,阴,北风,微风,25.5,7
2019-08-04,30,23,小雨,东北风,2级,26.5,7
2019-08-05,33,23,小雨,东南风,3级,28.0,10
2019-08-06,32,22,小雨,东北风,2级,27.0,10
2019-08-07,27,22,大雨,西南风,1级,24.5,5
2019-08-08,26,22,小雨,东北风,1级,24.0,4
2019-08-09,31,22,阴,西北风,1级,26.5,9
