日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,34,26,小雨,东南风,3级,30.0,8
2019-09-02,34,25,小雨,东北风,1级,29.5,9
2019-09-03,34,26,小雨,东北风,2级,30.0,8
2019-09-04,33,26,中雨,东南风,4级,29.5,7
2019-09-05,32,25,中雨,东南风,2级,28.5,7
2019-09-06,34,26,多云,西南风,2级,30.0,8
2019-09-07,34,26,多云,东北风,3级,30.0,8
2019-09-08,34,25,多云,西南风,1级,29.5,9
2019-09-09,33,25,小雨,东南风,2级,29.0,8
2019-09-10,34,26,小雨,东南风,1级,30.0,8
2019-09-11,35,26,多云,西南风,3级,30.5,9
2019-09-12,36,27,多云,东北风,3级,31.5,9
2019-09-13,35,27,晴,东南风,1级,31.0,8
2019-09-14,34,25,小雨,东南风,2级,29.5,9
2019-09-15,34,26,晴,东北风,2级,30.0,8
2019-09-16,34,25,多云,东南风,2级,29.5,9
2019-09-17,35,25,多云,东南风,3级,30.0,10
2019-09-18,35,24,多云,东北风,3级,29.5,11
2019-09-19,33,22,晴,东北风,2级,27.5,11
2019-09-20,34,21,晴,东北风,3级,27.5,13
2019-09-21,34,23,晴,西北风,3级,28.5,11
2019-09-22,34,23,晴,东南风,2级,28.5,11
2019-09-23,33,22,多云,西北风,3级,27.5,11
2019-09-24,32,22,多云,西南风,3级,27.0,10
2019-09-25,32,21,晴,东南风,2级,26.5,11
2019-09-26,32,22,晴,西南风,3级,27.0,10
2019-09-27,33,23,晴,东南风,2级,28.0,10
2019-09-28,33,25,阴,东南风,3级,29.0,8
2019-09-29,35,25,多云,东北风,2级,30.0,10
2019-09-30,36,25,多云,西北风,3级,30.5,11
2019-08-01,31,26,中雨,东南风,3级,28.5,5
2019-08-02,32,26,中雨,西南风,3级,29.0,6
2019-08-03,33,25,阴,东风,2级,29.0,8
2019-08-04,35,26,多云,东南风,3级,30.5,9
2019-08-05,35,26,阴,东北风,2级,30.5,9
2019-08-06,34,26,小雨,东北风,3级,30.0,8
2019-08-07,36,27,多云,东南风,3级,31.5,9
2019-08-08,36,28,小雨,东北风,3级,32.0,8
2019-08-09,39,28,多云,西北风,3级,33.5,11
2019-08-10,38,29,多云,西南风,4级,33.5,9
2019-08-11,36,28,多云,西北风,2级,32.0,8
2019-08-12,36,27,多云,西北风,2级,31.5,9
2019-08-13,35,27,中雨,东北风,3级,31.0,8
2019-08-14,34,26,中雨,西北风,2级,30.0,8
2019-08-15,35,26,中雨,西北风,1级,30.5,9
2019-08-16,35,26,小雨,西南风,2级,30.5,9
2019-08-17,35,26,阴,西南风,3级,30.5,9
2019-08-18,34,25,中雨,西南风,2级,29.5,9
2019-08-19,32,25,阴,西南风,1级,28.5,7
2019-08-20,34,25,中雨,东北风,3级,29.5,9
2019-08-21,35,26,多云,东南风,2级,30.5,9
2019-08-22,35,26,小雨,东北风,1级,30.5,9
2019-08-23,36,27,阴,东南风,3级,31.5,9
2019-08-24,38,27,中雨,东北风,4级,32.5,11
2019-08-25,30,27,大雨,东风,3级,28.5,3
2019-08-26,34,26,小雨,东南风,3级,30.0,8
2019-08-27,36,26,多云,东北风,1级,31.0,10
2019-08-28,37,27,多云,西北风,2级,32.0,10
2019-08-29,35,27,多云,东南风,3级,31.0,8
2019-08-30,34,26,中雨,西南风,1级,30.0,8
2019-08-31,32,24,中雨,东北风,2级,28.0,8
2019-07-01,35,27,阴,东南风,2级,31.0,8
2019-07-02,34,27,大雨,东南风,4级,30.5,7
2019-07-03,30,26,大雨,西南风,2级,28.0,4
2019-07-04,32,26,中雨,南风,3级,29.0,6
2019-07-05,34,27,小雨,西南风,2级,30.5,7
2019-07-06,34,27,阴,西南风,3级,30.5,7
2019-07-07,34,27,小雨,西南风,4级,30.5,7
2019-07-08,34,27,阴,西南风,3级,30.5,7
2019-07-09,34,27,小雨,西南风,4级,30.5,7
2019-07-10,32,27,大雨,西北风,3级,29.5,5
2019-07-11,31,27,大雨,西南风,2级,29.0,4
2019-07-12,34,27,小雨,东南风,4级,30.5,7
2019-07-13,34,27,多云,西南风,2级,30.5,7
2019-07-14,35,27,小雨,西南风,4级,31.0,8
2019-07-15,35,27,多云,西南风,2级,31.0,8
2019-07-16,36,27,小雨,东南风,3级,31.5,9
2019-07-17,37,28,多云,东北风,3级,32.5,9
2019-07-18,35,28,多云,东北风,2级,31.5,7
2019-07-19,36,28,多云,东南风,2级,32.0,8
2019-07-20,35,27,中雨,西南风,2级,31.0,8
2019-07-21,33,27,中雨,西北风,1级,30.0,6
2019-07-22,34,26,中雨,东南风,2级,30.0,8
2019-07-23,33,25,小雨,西南风,2级,29.0,8
2019-07-24,34,26,多云,东南风,2级,30.0,8
2019-07-25,37,27,多云,西南风,2级,32.0,10
2019-07-26,37,27,阴,西南风,2级,32.0,10
2019-07-27,33,26,大雨,东南风,6级,29.5,7
2019-07-28,32,25,中雨,东南风,3级,28.5,7
2019-07-29,35,26,多云,西南风,2级,30.5,9
2019-07-30,35,26,多云,东北风,1级,30.5,9
2019-07-31,35,27,小雨,东南风,3级,31.0,8
2019-06-01,28,25,大雨,东南风,2级,26.5,3
2019-06-02,30,25,大雨,西南风,1级,27.5,5
2019-06-03,29,25,大雨,西北风,1级,27.0,4
2019-06-04,31,25,小雨,西南风,2级,28.0,6
2019-06-05,32,26,小雨,东南风,3级,29.0,6
2019-06-06,33,26,阴,西北风,1级,29.5,7
2019-06-07,33,26,阴,东北风,2级,29.5,7
2019-06-08,34,27,阴,西南风,3级,30.5,7
2019-06-09,33,27,中雨,西北风,2级,30.0,6
2019-06-10,29,25,中雨,东南风,1级,27.0,4
2019-06-11,29,23,暴雨,东北风,3级,26.0,6
2019-06-12,27,22,中雨,西北风,1级,24.5,5
2019-06-13,26,22,大雨,东南风,1级,24.0,4
2019-06-14,31,23,多云,东风,2级,27.0,8
2019-06-15,30,23,多云,东南风,3级,26.5,7
2019-06-16,32,22,多云,东南风,3级,27.0,10
2019-06-17,31,26,小雨,东南风,2级,28.5,5
2019-06-18,31,26,小雨,东南风,3级,28.5,5
2019-06-19,34,27,小雨,西南风,2级,30.5,7
2019-06-20,35,27,多云,西北风,3级,31.0,8
2019-06-21,35,28,中雨,西北风,3级,31.5,7
2019-06-22,33,27,小雨,西北风,2级,30.0,6
2019-06-23,31,25,中雨,东南风,3级,28.0,6
2019-06-24,27,23,大雨,东南风,3级,25.0,4
2019-06-25,28,24,大雨,西北风,1级,26.0,4
2019-06-26,32,25,小雨,西南风,2级,28.5,7
2019-06-27,32,26,小雨,西南风,4级,29.0,6
2019-06-28,34,28,小雨,西南风,3级,31.0,6
2019-06-29,36,28,小雨,西南风,2级,32.0,8
2019-06-30,34,27,小雨,东南风,3级,30.5,7
2019-05-01,26,21,小雨,西南风,2级,23.5,5
2019-05-02,25,20,阴,东南风,2级,22.5,5
2019-05-03,26,17,晴,东北风,3级,21.5,9
2019-05-04,27,20,阴,东南风,3级,23.5,7
2019-05-05,23,20,小雨,西南风,2级,21.5,3
2019-05-06,22,18,小雨,东南风,2级,20.0,4
2019-05-07,23,17,多云,东南风,1级,20.0,6
2019-05-08,22,17,小雨,西北风,1级,19.5,5
2019-05-09,24,19,小雨,西南风,2级,21.5,5
2019-05-10,28,21,多云,西北风,1级,24.5,7
