日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,29,19,多云,西南风,3级,24.0,10
2019-09-02,28,18,多云,东南风,1级,23.0,10
2019-09-03,28,22,多云,东北风,3级,25.0,6
2019-09-04,23,20,阴,西南风,2级,21.5,3
2019-09-05,26,20,阴,东北风,1级,23.0,6
2019-09-06,26,22,阴,东北风,3级,24.0,4
2019-09-07,24,20,阴,西北风,2级,22.0,4
2019-09-08,30,20,晴,西南风,1级,25.0,10
2019-09-09,27,23,晴,东北风,1级,25.0,4
2019-09-10,26,21,多云,西北风,3级,23.5,5
2019-09-11,24,21,多云,东北风,2级,22.5,3
2019-09-12,25,20,阴,东南风,1级,22.5,5
2019-09-13,27,21,阴,西北风,2级,24.0,6
2019-09-14,25,21,多云,西北风,2级,23.0,4
2019-09-15,25,20,多云,西南风,2级,22.5,5
2019-09-16,24,19,多云,东北风,4级,21.5,5
2019-09-17,25,18,多云,西北风,1级,21.5,7
2019-09-18,20,17,晴,东北风,4级,18.5,3
2019-09-19,22,17,晴,西南风,1级,19.5,5
2019-09-20,22,20,阴,西南风,1级,21.0,2
2019-09-21,23,19,多云,东北风,2级,21.0,4
2019-09-22,22,18,晴,东北风,3级,20.0,4
2019-09-23,24,15,晴,西北风,1级,19.5,9
2019-09-24,26,17,晴,西北风,1级,21.5,9
2019-09-25,24,17,阴,东南风,1级,20.5,7
2019-09-26,24,16,多云,东南风,2级,20.0,8
2019-09-27,24,17,晴,东南风,1级,20.5,7
2019-09-28,27,17,晴,西南风,1级,22.0,10
2019-09-29,29,19,晴,西北风,1级,24.0,10
2019-09-30,28,19,晴,东南风,2级,23.5,9
2019-08-01,31,27,阴,东南风,2级,29.0,4
2019-08-02,31,25,小雨,西南风,2级,28.0,6
2019-08-03,33,25,多云,东南风,1级,29.0,8
2019-08-04,31,25,多云,东南风,3级,28.0,6
2019-08-05,33,24,多云,东南风,3级,28.5,9
2019-08-06,30,24,晴,东南风,2级,27.0,6
2019-08-07,32,25,晴,东南风,1级,28.5,7
2019-08-08,27,25,小雨,东南风,2级,26.0,2
2019-08-09,31,25,大雨,东南风,3级,28.0,6
2019-08-10,29,25,小雨,东南风,3级,27.0,4
2019-08-11,25,25,大雨,东北风,4级,25.0,0
2019-08-12,25,24,小雨,西南风,3级,24.5,1
2019-08-13,25,23,小雨,西北风,1级,24.0,2
2019-08-14,26,24,阴,西北风,2级,25.0,2
2019-08-15,25,22,小雨,西北风,3级,23.5,3
2019-08-16,29,22,多云,西南风,3级,25.5,7
2019-08-17,29,20,多云,西北风,2级,24.5,9
2019-08-18,30,20,晴,西南风,1级,25.0,10
2019-08-19,28,20,晴,东南风,1级,24.0,8
