日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,19,阴,东北风,3级,20.5,3
2019-09-02,20,20,阴,东北风,1级,20.0,0
2019-09-03,25,20,雷阵雨,东北风,2级,22.5,5
2019-09-04,25,21,阴,东南风,2级,23.0,4
2019-09-05,25,22,阴,东北风,3级,23.5,3
2019-09-06,30,21,阴,西北风,2级,25.5,9
2019-09-07,31,19,晴,西南风,2级,25.0,12
2019-09-08,31,20,晴,东北风,3级,25.5,11
2019-09-09,31,21,晴,东北风,3级,26.0,10
2019-09-10,33,23,多云,东北风,2级,28.0,10
2019-09-11,31,22,多云,东北风,3级,26.5,9
2019-09-12,31,23,阴,东北风,3级,27.0,8
2019-09-13,33,22,多云,东北风,3级,27.5,11
2019-09-14,31,22,多云,东北风,3级,26.5,9
2019-09-15,27,20,阴,东北风,3级,23.5,7
2019-09-16,28,20,多云,东北风,3级,24.0,8
2019-09-17,31,21,多云,东北风,3级,26.0,10
2019-09-18,29,17,多云,东北风,3级,23.0,12
2019-09-19,28,17,多云,东北风,3级,22.5,11
2019-09-20,28,17,多云,东北风,3级,22.5,11
2019-09-21,27,18,多云,北风,3级,22.5,9
2019-09-22,29,16,多云,西北风,2级,22.5,13
2019-09-23,29,16,晴,西北风,3级,22.5,13
2019-09-24,30,19,阴,西南风,1级,24.5,11
2019-09-25,30,18,阴,东北风,2级,24.0,12
2019-09-26,25,18,阴,东北风,2级,21.5,7
2019-09-27,27,18,多云,东北风,3级,22.5,9
2019-09-28,29,18,晴,东南风,3级,23.5,11
2019-09-29,29,17,晴,东北风,3级,23.0,12
2019-09-30,28,19,多云,东北风,4级,23.5,9
2019-08-01,37,27,阴,东北风,3级,32.0,10
2019-08-02,37,26,阴,东北风,4级,31.5,11
2019-08-03,34,25,晴,东北风,3级,29.5,9
2019-08-04,32,25,阴,东南风,4级,28.5,7
2019-08-05,35,26,阴,东北风,3级,30.5,9
2019-08-06,34,25,中雨,东北风,3级,29.5,9
2019-08-07,35,24,多云,东北风,3级,29.5,11
2019-08-08,35,26,阴,东北风,3级,30.5,9
2019-08-09,34,25,多云,东北风,5级,29.5,9
2019-08-10,26,25,大雨,东南风,2级,25.5,1
2019-08-11,29,24,小雨,西北风,3级,26.5,5
2019-08-12,32,25,多云,西北风,2级,28.5,7
2019-08-13,34,25,晴,东北风,2级,29.5,9
2019-08-14,35,23,晴,东北风,1级,29.0,12
2019-08-15,34,25,晴,西北风,2级,29.5,9
2019-08-16,36,25,晴,东南风,3级,30.5,11
2019-08-17,37,24,多云,东北风,3级,30.5,13
2019-08-18,32,23,阴,东北风,4级,27.5,9
2019-08-19,32,22,晴,东北风,3级,27.0,10
2019-08-20,33,24,多云,东北风,2级,28.5,9
2019-08-21,34,24,多云,东北风,3级,29.0,10
2019-08-22,35,23,阴,西北风,2级,29.0,12
2019-08-23,35,24,多云,东风,2级,29.5,11
2019-08-24,33,25,多云,东北风,3级,29.0,8
2019-08-25,33,26,阴,东南风,4级,29.5,7
2019-08-26,38,27,阴,东南风,1级,32.5,11
2019-08-27,36,24,中雨,东风,2级,30.0,12
2019-08-28,25,21,小雨,东南风,3级,23.0,4
2019-08-29,29,21,小雨,东南风,3级,25.0,8
2019-08-30,33,21,阴,东北风,3级,27.0,12
2019-08-31,30,21,阴,东北风,3级,25.5,9
2019-07-01,30,22,多云,东南风,2级,26.0,8
2019-07-02,32,22,多云,东南风,3级,27.0,10
2019-07-03,28,24,阴,东风,3级,26.0,4
2019-07-04,30,21,阴,东南风,3级,25.5,9
2019-07-05,31,22,晴,东南风,2级,26.5,9
2019-07-06,32,24,阴,东风,4级,28.0,8
2019-07-07,31,22,晴,西北风,1级,26.5,9
2019-07-08,28,20,阴,东北风,3级,24.0,8
2019-07-09,23,20,小雨,西北风,2级,21.5,3
2019-07-10,28,20,小雨,东北风,3级,24.0,8
2019-07-11,30,23,多云,东南风,2级,26.5,7
2019-07-12,27,21,大雨,东北风,2级,24.0,6
2019-07-13,25,20,小雨,西南风,2级,22.5,5
2019-07-14,30,21,多云,东南风,2级,25.5,9
2019-07-15,31,23,多云,东北风,2级,27.0,8
2019-07-16,31,24,小雨,东南风,3级,27.5,7
2019-07-17,32,25,小雨,东北风,3级,28.5,7
2019-07-18,31,24,阴,东北风,2级,27.5,7
2019-07-19,31,24,阴,东北风,1级,27.5,7
2019-07-20,33,24,阴,东北风,3级,28.5,9
2019-07-21,34,26,多云,东南风,3级,30.0,8
2019-07-22,35,27,多云,东南风,2级,31.0,8
2019-07-23,35,27,多云,西南风,2级,31.0,8
2019-07-24,36,27,阴,西南风,3级,31.5,9
2019-07-25,34,28,多云,东南风,2级,31.0,6
2019-07-26,37,28,多云,西南风,1级,32.5,9
2019-07-27,36,28,阴,东南风,2级,32.0,8
2019-07-28,37,28,阴,东南风,2级,32.5,9
2019-07-29,37,28,多云,东南风,3级,32.5,9
2019-07-30,37,28,多云,西南风,1级,32.5,9
2019-07-31,36,28,阴,东北风,3级,32.0,8
2019-06-01,27,19,阴,东南风,2级,23.0,8
2019-06-02,29,20,阴,东南风,2级,24.5,9
2019-06-03,32,21,晴,东南风,2级,26.5,11
2019-06-04,34,24,晴,东南风,3级,29.0,10
2019-06-05,35,24,多云,东北风,4级,29.5,11
2019-06-06,27,21,阴,西北风,3级,24.0,6
2019-06-07,28,20,多云,东南风,2级,24.0,8
2019-06-08,31,21,多云,东北风,3级,26.0,10
2019-06-09,32,23,多云,东南风,2级,27.5,9
2019-06-10,31,20,阴,东北风,3级,25.5,11
2019-06-11,29,19,多云,东北风,3级,24.0,10
2019-06-12,29,19,多云,东风,3级,24.0,10
2019-06-13,24,17,小雨,东南风,3级,20.5,7
2019-06-14,28,20,晴,西南风,1级,24.0,8
2019-06-15,33,22,多云,东南风,2级,27.5,11
