日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,36,18,多云,东北风,1级,27.0,18
2019-09-02,37,17,多云,东北风,1级,27.0,20
2019-09-03,35,15,晴,南风,微风,25.0,20
2019-09-04,35,17,浮尘,东北风,3级,26.0,18
2019-09-05,36,18,浮尘,西北风,1级,27.0,18
2019-09-06,32,16,扬沙,东北风,2级,24.0,16
2019-09-07,30,15,多云,南风,微风,22.5,15
2019-09-08,28,14,阴,东北风,2级,21.0,14
2019-09-09,30,13,晴,东北风,1级,21.5,17
2019-09-10,32,15,晴,西北风,1级,23.5,17
2019-09-11,21,10,扬沙,东北风,1级,15.5,11
2019-09-12,24,8,浮尘,东北风,2级,16.0,16
2019-09-13,26,7,多云,西南风,1级,16.5,19
2019-09-14,27,8,多云,西北风,1级,17.5,19
2019-09-15,29,10,多云,东北风,1级,19.5,19
2019-09-16,30,10,多云,东北风,1级,20.0,20
2019-09-17,28,13,阴,西南风,1级,20.5,15
2019-09-18,26,10,浮尘,西南风,2级,18.0,16
2019-09-19,28,6,多云,西南风,1级,17.0,22
2019-09-20,28,8,多云,西南风,1级,18.0,20
2019-09-21,30,9,晴,西北风,1级,19.5,21
2019-09-22,31,8,晴,北风,微风,19.5,23
2019-09-23,31,10,晴,西南风,1级,20.5,21
2019-09-24,31,8,晴,西南风,1级,19.5,23
2019-09-25,32,7,晴,北风,1级,19.5,25
2019-09-26,32,9,晴,西南风,1级,20.5,23
2019-09-27,32,10,晴,西南风,1级,21.0,22
2019-09-28,33,11,晴,西北风,微风,22.0,22
2019-09-29,33,11,晴,西南风,1级,22.0,22
2019-09-30,34,13,晴,东北风,1级,23.5,21
2019-08-01,38,18,浮尘,东北风,4级,28.0,20
2019-08-02,39,19,浮尘,东北风,1级,29.0,20
2019-08-03,38,20,浮尘,东北风,4级,29.0,18
2019-08-04,38,18,浮尘,东北风,2级,28.0,20
2019-08-05,37,21,阴,西北风,3级,29.0,16
2019-08-06,31,19,浮尘,东北风,3级,25.0,12
2019-08-07,36,17,多云,西北风,1级,26.5,19
2019-08-08,38,17,多云,东北风,2级,27.5,21
2019-08-09,39,18,晴,东北风,1级,28.5,21
2019-08-10,39,21,多云,西北风,1级,30.0,18
2019-08-11,29,18,扬沙,东北风,4级,23.5,11
2019-08-12,36,16,晴,东北风,1级,26.0,20
2019-08-13,37,16,晴,东北风,3级,26.5,21
2019-08-14,38,19,晴,东北风,3级,28.5,19
2019-08-15,32,19,阴,西南风,1级,25.5,13
2019-08-16,35,19,阴,东北风,6级,27.0,16
2019-08-17,30,25,多云,东南风,1级,27.5,5
2019-08-18,29,18,浮尘,北风,微风,23.5,11
2019-08-19,30,18,浮尘,东北风,4级,24.0,12
2019-08-20,24,19,阴,西南风,3级,21.5,5
2019-08-21,24,17,阴,西南风,2级,20.5,7
2019-08-22,29,15,多云,西南风,1级,22.0,14
2019-08-23,33,14,晴,北风,微风,23.5,19
2019-08-24,30,16,晴,东北风,1级,23.0,14
2019-08-25,27,18,多云,西南风,1级,22.5,9
2019-08-26,32,15,浮尘,东北风,3级,23.5,17
2019-08-27,34,16,晴,东北风,2级,25.0,18
2019-08-28,34,15,晴,北风,微风,24.5,19
2019-08-29,37,16,多云,北风,微风,26.5,21
2019-08-30,38,16,晴,北风,微风,27.0,22
2019-08-31,37,18,阴,西南风,1级,27.5,19
2019-07-01,33,21,阴,西南风,3级,27.0,12
2019-07-02,35,21,阴,西南风,1级,28.0,14
2019-07-03,36,19,多云,东北风,微风,27.5,17
2019-07-04,39,20,晴,西南风,3级,29.5,19
2019-07-05,30,19,阴,西南风,4级,24.5,11
2019-07-06,29,14,阴,东北风,4级,21.5,15
2019-07-07,35,14,晴,东北风,4级,24.5,21
2019-07-08,38,16,晴,东北风,4级,27.0,22
2019-07-09,37,16,晴,西北风,1级,26.5,21
2019-07-10,38,20,晴,东风,1级,29.0,18
