日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,14,少云,西北风,2级,20.5,13
2019-09-02,29,14,少云,西风,2级,21.5,15
2019-09-03,29,13,晴,东南偏东风,3级,21.0,16
2019-09-04,29,13,少云,东北偏东风,2级,21.0,16
2019-09-05,29,14,少云,西南风,2级,21.5,15
2019-09-06,29,13,晴,南风,2级,21.0,16
2019-09-07,29,15,少云,西北风,2级,22.0,14
2019-09-08,28,14,少云,西风,2级,21.0,14
2019-09-09,13,10,阴,东北风,1级,11.5,3
2019-09-10,15,8,阴,东南风,3级,11.5,7
2019-09-11,25,13,局部多云,西南偏南风,3级,19.0,12
2019-09-12,16,0,雨,,,8.0,16
2019-09-13,12,0,局部多云,,,6.0,12
2019-09-14,11,0,局部多云,西风,2级,5.5,11
2019-09-15,9,0,晴,西北偏西风,2级,4.5,9
2019-09-16,11,0,阴天,西南风,2级,5.5,11
2019-09-17,11,0,少云,西北偏西风,2级,5.5,11
2019-09-18,11,0,多云,西风,2级,5.5,11
2019-09-19,10,0,阵雨,西南偏南风,2级,5.0,10
2019-09-20,9,0,零散阵雨,西北偏西风,2级,4.5,9
2019-09-21,8,0,少云,西北风,2级,4.0,8
2019-09-22,8,0,晴,西北偏北风,2级,4.0,8
2019-09-23,8,0,晴,西北偏北风,2级,4.0,8
2019-09-24,8,0,晴,西北偏北风,2级,4.0,8
2019-09-25,8,0,晴,西北偏北风,2级,4.0,8
2019-09-26,23,5,晴,东南风,1级,14.0,18
2019-09-27,8,0,晴,西北偏北风,2级,4.0,8
2019-09-28,8,0,晴,西北偏北风,2级,4.0,8
2019-09-29,8,0,晴,西北偏北风,2级,4.0,8
2019-09-30,8,0,晴,西北偏北风,2级,4.0,8
2019-08-01,30,18,零散雷雨,东南风,2级,24.0,12
2019-08-02,29,18,少云,东南风,2级,23.5,11
2019-08-03,27,19,零散雷雨,东南风,2级,23.0,8
2019-08-04,25,19,零散雷雨,东南偏南风,3级,22.0,6
2019-08-05,27,19,零散雷雨,南风,2级,23.0,8
2019-08-06,25,18,零散雷雨,东南风,2级,21.5,7
2019-08-07,26,18,雷雨,东北偏东风,2级,22.0,8
2019-08-08,19,0,零散雷雨,,,9.5,19
2019-08-09,17,0,局部多云,西南偏南风,2级,8.5,17
2019-08-10,17,0,零散雷雨,,,8.5,17
2019-08-11,18,0,局部多云,东北偏北风,3级,9.0,18
2019-08-12,16,0,局部多云,,3级,8.0,16
2019-08-13,17,0,局部多云,北风,3级,8.5,17
2019-08-14,17,0,晴,北风,3级,8.5,17
2019-08-15,17,0,少云,西北风,2级,8.5,17
2019-08-16,16,0,局部多云,西北偏北风,3级,8.0,16
2019-08-17,26,13,晴,西北偏北风,3级,19.5,13
2019-08-18,28,14,局部多云,西北偏西风,2级,21.0,14
2019-08-19,30,19,局部多云,西南偏南风,3级,24.5,11
2019-08-20,22,17,雨,南风,3级,19.5,5
2019-08-21,24,14,少云,西北偏北风,2级,19.0,10
2019-08-22,26,14,少云,西北偏北风,2级,20.0,12
2019-08-23,26,16,阴天,西北偏北风,2级,21.0,10
2019-08-24,25,13,局部多云,,2级,19.0,12
2019-08-25,27,15,少云,西南风,2级,21.0,12
2019-08-26,24,14,零散雷雨,西风,2级,19.0,10
2019-08-27,24,13,晴,西北风,3级,18.5,11
2019-08-28,26,13,晴,西北风,3级,19.5,13
2019-08-29,26,14,晴,西北风,2级,20.0,12
2019-08-30,27,14,少云,西北风,2级,20.5,13
2019-08-31,27,14,少云,西北风,2级,20.5,13
2019-07-01,28,15,少云,西北风,3级,21.5,13
2019-07-02,28,16,少云,西北风,2级,22.0,12
2019-07-03,31,17,少云,西北风,2级,24.0,14
2019-07-04,26,13,阴,东南风,2级,19.5,13
