日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,20,20,阴,东北风,2级,20.0,0
2019-09-02,23,22,阴,东北风,3级,22.5,1
2019-09-03,26,23,中雨,西北风,2级,24.5,3
2019-09-04,26,24,阴,东北风,2级,25.0,2
2019-09-05,29,25,阴,东北风,3级,27.0,4
2019-09-06,28,24,阴,东北风,2级,26.0,4
2019-09-07,30,20,阴,西北风,1级,25.0,10
2019-09-08,30,23,多云,东北风,2级,26.5,7
2019-09-09,29,23,阴,西北风,1级,26.0,6
2019-09-10,32,24,多云,东北风,3级,28.0,8
2019-09-11,31,24,阴,东北风,3级,27.5,7
2019-09-12,30,23,阴,东北风,2级,26.5,7
2019-09-13,30,22,多云,东南风,2级,26.0,8
2019-09-14,30,23,多云,东南风,2级,26.5,7
2019-09-15,29,22,阴,东北风,2级,25.5,7
2019-09-16,28,23,多云,西北风,3级,25.5,5
2019-09-17,29,22,多云,东北风,3级,25.5,7
2019-09-18,29,20,多云,东北风,4级,24.5,9
2019-09-19,26,20,多云,东北风,3级,23.0,6
2019-09-20,26,21,多云,东北风,3级,23.5,5
2019-09-21,21,20,阴,东北风,4级,20.5,1
2019-09-22,23,19,阴,西北风,3级,21.0,4
2019-09-23,27,17,多云,东北风,3级,22.0,10
2019-09-24,27,17,多云,东北风,2级,22.0,10
2019-09-25,27,17,多云,东北风,2级,22.0,10
2019-09-26,27,18,阴,东北风,3级,22.5,9
2019-09-27,27,19,多云,东北风,2级,23.0,8
2019-09-28,27,20,多云,东南风,3级,23.5,7
2019-09-29,26,20,多云,东北风,2级,23.0,6
2019-09-30,27,22,阴,东北风,3级,24.5,5
2019-08-01,35,28,多云,东南风,3级,31.5,7
2019-08-02,34,27,多云,东南风,3级,30.5,7
2019-08-03,32,27,小雨,东南风,3级,29.5,5
2019-08-04,30,26,中雨,东南风,2级,28.0,4
2019-08-05,32,27,多云,东南风,2级,29.5,5
2019-08-06,32,26,多云,东南风,4级,29.0,6
2019-08-07,33,26,多云,东南风,3级,29.5,7
2019-08-08,32,27,小雨,东北风,3级,29.5,5
2019-08-09,31,25,小雨,东北风,5级,28.0,6
2019-08-10,29,25,中雨,东南风,6级,27.0,4
2019-08-11,31,26,阴,西南风,2级,28.5,5
2019-08-12,33,26,阴,西北风,1级,29.5,7
2019-08-13,32,26,小雨,东北风,2级,29.0,6
2019-08-14,34,26,晴,东北风,3级,30.0,8
2019-08-15,32,26,多云,东北风,1级,29.0,6
2019-08-16,33,26,多云,东北风,2级,29.5,7
2019-08-17,35,26,多云,西北风,3级,30.5,9
2019-08-18,31,25,阴,西北风,1级,28.0,6
2019-08-19,30,24,多云,东北风,3级,27.0,6
2019-08-20,30,24,多云,东北风,3级,27.0,6
2019-08-21,31,24,多云,东北风,3级,27.5,7
2019-08-22,32,24,晴,东南风,2级,28.0,8
2019-08-23,31,25,多云,东北风,2级,28.0,6
2019-08-24,29,27,小雨,东北风,3级,28.0,2
2019-08-25,32,26,阴,东南风,3级,29.0,6
2019-08-26,35,28,阴,西南风,3级,31.5,7
2019-08-27,36,24,阴,东北风,2级,30.0,12
2019-08-28,29,22,小雨,东北风,2级,25.5,7
2019-08-29,22,21,小雨,西南风,2级,21.5,1
2019-08-30,29,22,多云,东南风,2级,25.5,7
2019-08-31,29,21,阴,东北风,3级,25.0,8
2019-07-01,25,23,小雨,东南风,2级,24.0,2
2019-07-02,24,22,小雨,东南风,3级,23.0,2
2019-07-03,26,22,阴,东南风,2级,24.0,4
2019-07-04,28,22,阴,东北风,2级,25.0,6
2019-07-05,29,22,阴,东南风,3级,25.5,7
2019-07-06,31,23,多云,东南风,3级,27.0,8
2019-07-07,33,23,多云,西风,3级,28.0,10
2019-07-08,30,23,阴,东北风,4级,26.5,7
2019-07-09,23,22,中雨,东北风,4级,22.5,1
2019-07-10,24,21,小雨,西北风,3级,22.5,3
2019-07-11,28,23,阴,东南风,2级,25.5,5
2019-07-12,27,21,中雨,东北风,3级,24.0,6
2019-07-13,22,22,中雨,东北风,2级,22.0,0
2019-07-14,29,23,多云,东南风,2级,26.0,6
2019-07-15,30,23,晴,东南风,2级,26.5,7
